,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,23.041166,-0.0734729766845703
83,1826,23.14925,0.0346107482910156
84,1827,23.646418,0.5317783355712891
85,1828,22.94725,-0.167388916015625
86,1829,22.594584,-0.5200557708740234
87,1830,23.129333,0.0146942138671875
88,1831,22.357166,-0.7574729919433594
89,1832,22.888834,-0.2258052825927734
90,1833,,
91,1834,,
92,1835,21.741667,-1.3729724884033203
93,1836,,
94,1837,22.304417,-0.8102226257324219
95,1838,21.982,-1.132638931274414
96,1839,22.381666,-0.7329730987548828
97,1840,22.503584,-0.6110553741455078
98,1841,22.420584,-0.6940555572509766
99,1842,22.70125,-0.4133892059326172
100,1843,22.814333,-0.3003063201904297
101,1844,22.220833,-0.8938064575195312
102,1845,22.138834,-0.9758052825927734
103,1846,23.031334,-0.0833053588867187
104,1847,22.679667,-0.4349727630615234
105,1848,22.686333,-0.4283065795898437
106,1849,23.22975,0.1151103973388671
107,1850,23.010916,-0.1037235260009765
108,1851,22.74325,-0.3713893890380859
109,1852,22.754333,-0.3603057861328125
110,1853,22.3175,-0.7971401214599609
111,1854,22.262917,-0.8517227172851562
112,1855,22.350666,-0.7639732360839844
113,1856,22.4805,-0.6341400146484375
114,1857,22.530167,-0.58447265625
115,1858,22.887333,-0.2273063659667968
116,1859,22.689167,-0.4254722595214844
117,1860,22.35325,-0.7613887786865234
118,1861,22.7685,-0.346139907836914
119,1862,22.657333,-0.457305908203125
120,1863,22.73225,-0.3823890686035156
121,1864,22.449583,-0.6650562286376953
122,1865,22.855083,-0.2595558166503906
123,1866,22.606333,-0.5083065032958984
124,1867,23.079916,-0.0347232818603515
125,1868,22.496666,-0.6179733276367188
126,1869,23.591333,0.476694107055664
127,1870,22.91725,-0.1973896026611328
128,1871,22.687084,-0.4275550842285156
129,1872,22.959833,-0.1548061370849609
130,1873,22.653418,-0.461221694946289
131,1874,22.924334,-0.1903057098388672
132,1875,22.712084,-0.4025554656982422
133,1876,22.7255,-0.389139175415039
134,1877,23.048166,-0.0664730072021484
135,1878,23.595917,0.4812774658203125
136,1879,22.692917,-0.421722412109375
137,1880,23.016666,-0.0979728698730468
138,1881,23.051332,-0.0633068084716796
139,1882,22.94275,-0.1718883514404297
140,1883,22.704916,-0.4097232818603515
141,1884,22.476,-0.6386394500732422
142,1885,22.450083,-0.6645565032958984
143,1886,22.649416,-0.4652233123779297
144,1887,22.378084,-0.7365550994873047
145,1888,22.396917,-0.7177219390869141
146,1889,22.787333,-0.3273067474365234
147,1890,22.353167,-0.7614727020263672
148,1891,22.954584,-0.1600551605224609
149,1892,22.5115,-0.6031398773193359
150,1893,22.67825,-0.4363899230957031
151,1894,22.884832,-0.229806900024414
152,1895,22.944666,-0.1699733734130859
153,1896,23.247667,0.1330280303955078
154,1897,23.612583,0.4979438781738281
155,1898,22.998,-0.1166400909423828
156,1899,22.691084,-0.4235553741455078
157,1900,22.861334,-0.253305435180664
158,1901,22.326666,-0.7879734039306641
159,1902,22.867416,-0.247222900390625
160,1903,22.64,-0.474639892578125
161,1904,22.309334,-0.8053054809570312
162,1905,22.632584,-0.4820556640625
163,1906,22.770082,-0.3445568084716797
164,1907,22.7975,-0.317138671875
165,1908,22.746334,-0.3683052062988281
166,1909,23.1225,0.0078601837158203
167,1910,22.23325,-0.8813896179199219
168,1911,23.101166,-0.0134735107421875
169,1912,23.1275,0.0128612518310546
170,1913,22.700417,-0.4142227172851562
171,1914,22.886583,-0.2280559539794922
172,1915,23.289167,0.1745281219482422
173,1916,22.779833,-0.3348064422607422
174,1917,22.602917,-0.5117225646972656
175,1918,23.071917,-0.0427227020263671
176,1919,23.260084,0.1454448699951172
177,1920,23.00775,-0.1068897247314453
178,1921,23.182833,0.0681934356689453
179,1922,23.292334,0.1776943206787109
180,1923,23.196333,0.0816936492919921
181,1924,23.241,0.1263599395751953
182,1925,23.039917,-0.0747222900390625
183,1926,23.282333,0.167694091796875
184,1927,23.133583,0.0189437866210937
185,1928,23.11225,-0.002389907836914
186,1929,23.3035,0.1888599395751953
187,1930,23.487583,0.3729438781738281
188,1931,23.2,0.0853614807128906
189,1932,23.331833,0.217193603515625
190,1933,23.418083,0.3034439086914062
191,1934,23.401,0.2863597869873047
192,1935,23.1745,0.0598602294921875
193,1936,23.389084,0.274444580078125
194,1937,23.257,0.1423606872558593
195,1938,22.889166,-0.225473403930664
196,1939,23.021,-0.0936393737792968
197,1940,23.074,-0.0406398773193359
198,1941,23.50475,0.3901100158691406
199,1942,23.40475,0.2901115417480469
200,1943,23.050083,-0.0645561218261718
201,1944,23.23525,0.1206111907958984
202,1945,23.463417,0.3487777709960937
203,1946,23.768417,0.653778076171875
204,1947,23.805666,0.6910266876220703
205,1948,23.597918,0.4832782745361328
206,1949,23.374166,0.2595272064208984
207,1950,22.90175,-0.2128887176513672
208,1951,23.493,0.3783607482910156
209,1952,23.527,0.4123611450195312
210,1953,23.835083,0.7204437255859375
211,1954,23.07825,-0.0363883972167968
212,1955,23.18875,0.0741100311279296
213,1956,23.0075,-0.1071395874023437
214,1957,23.460583,0.3459434509277344
215,1958,23.682833,0.5681934356689453
216,1959,23.47275,0.3581104278564453
217,1960,23.355833,0.2411937713623047
218,1961,23.439917,0.3252773284912109
219,1962,23.14225,0.0276107788085937
220,1963,23.211334,0.0966949462890625
221,1964,23.449917,0.3352775573730469
222,1965,23.384916,0.2702770233154297
223,1966,23.1495,0.034860610961914
224,1967,23.1495,0.034860610961914
225,1968,23.018167,-0.0964717864990234
226,1969,23.73725,0.6226100921630859
227,1970,23.30625,0.1916103363037109
228,1971,23.322834,0.2081947326660156
229,1972,23.721666,0.6070270538330078
230,1973,23.636333,0.5216941833496094
231,1974,23.115168,0.000528335571289
232,1975,23.41875,0.3041114807128906
233,1976,22.982916,-0.131723403930664
234,1977,23.509583,0.3949432373046875
235,1978,23.50825,0.3936100006103515
236,1979,23.56525,0.4506111145019531
237,1980,23.678833,0.5641937255859375
238,1981,23.375668,0.2610282897949219
239,1982,23.776667,0.6620273590087891
240,1983,23.889,0.7743606567382812
241,1984,23.28975,0.17510986328125
242,1985,23.323166,0.208526611328125
243,1986,23.397,0.2823600769042969
244,1987,23.681084,0.5664443969726562
245,1988,23.64725,0.5326099395751953
246,1989,23.310083,0.195444107055664
247,1990,23.5995,0.4848613739013672
248,1991,23.877583,0.7629432678222656
249,1992,23.79075,0.6761112213134766
250,1993,23.776333,0.6616935729980469
251,1994,24.021667,0.9070281982421876
252,1995,23.960667,0.8460273742675781
253,1996,23.450083,0.3354434967041015
254,1997,24.076834,0.9621944427490234
255,1998,24.3065,1.1918601989746094
256,1999,23.418417,0.3037776947021484
257,2000,23.428833,0.3141937255859375
258,2001,23.584417,0.4697780609130859
259,2002,23.833584,0.7189445495605469
260,2003,23.993834,0.8791942596435547
261,2004,23.797916,0.6832771301269531
262,2005,23.94825,0.8336105346679688
263,2006,23.80825,0.6936111450195312
264,2007,23.8185,0.7038612365722656
265,2008,23.482084,0.3674449920654297
266,2009,23.939917,0.8252773284912109
267,2010,23.687584,0.5729446411132812
268,2011,23.820833,0.7061939239501953
269,2012,23.848167,0.7335281372070312
270,2013,24.291334,1.1766948699951172
