,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,26.211666,-0.5480308532714844
107,1850,26.224833,-0.5348644256591797
108,1851,26.299334,-0.4603633880615234
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,26.223083,-0.5366134643554688
114,1857,25.914818,-0.844879150390625
115,1858,26.013416,-0.7462806701660156
116,1859,26.7145,-0.045196533203125
117,1860,26.150583,-0.6091136932373047
118,1861,26.220417,-0.5392799377441406
119,1862,25.891,-0.8686962127685547
120,1863,25.949083,-0.8106136322021484
121,1864,26.351166,-0.4085311889648437
122,1865,26.469584,-0.2901134490966797
123,1866,,
124,1867,,
125,1868,26.02209,-0.7376060485839844
126,1869,26.3075,-0.4521961212158203
127,1870,26.457363,-0.3023338317871094
128,1871,,
129,1872,,
130,1873,25.634832,-1.1248645782470703
131,1874,26.025,-0.7346973419189453
132,1875,25.7185,-1.0411968231201172
133,1876,26.07375,-0.6859474182128906
134,1877,26.32175,-0.4379463195800781
135,1878,26.57525,-0.1844463348388672
136,1879,26.179916,-0.5797805786132812
137,1880,26.528584,-0.2311134338378906
138,1881,26.744,-0.0156974792480468
139,1882,26.5315,-0.2281970977783203
140,1883,27.060818,0.3011207580566406
141,1884,26.534916,-0.2247810363769531
142,1885,25.911917,-0.8477802276611328
143,1886,26.008167,-0.7515296936035156
144,1887,26.059834,-0.6998634338378906
145,1888,26.172167,-0.5875301361083984
146,1889,25.477167,-1.2825298309326172
147,1890,25.95875,-0.8009471893310547
148,1891,26.348833,-0.4108638763427734
149,1892,26.7665,0.0068035125732421
150,1893,26.60225,-0.1574478149414062
151,1894,26.053917,-0.705780029296875
152,1895,26.124666,-0.6350307464599609
153,1896,26.933,0.1733036041259765
154,1897,27.152834,0.393136978149414
155,1898,26.558,-0.2016963958740234
156,1899,26.977583,0.2178859710693359
157,1900,26.68625,-0.0734462738037109
158,1901,26.77725,0.0175533294677734
159,1902,26.781166,0.0214691162109375
160,1903,26.5295,-0.2301979064941406
161,1904,25.991333,-0.7683639526367188
162,1905,26.390667,-0.3690299987792969
163,1906,26.529583,-0.2301139831542968
164,1907,25.838833,-0.9208641052246094
165,1908,26.205917,-0.5537796020507812
166,1909,26.244083,-0.5156135559082031
167,1910,26.791416,0.0317192077636718
168,1911,26.367,-0.3926963806152344
169,1912,26.663334,-0.0963630676269531
170,1913,26.964167,0.2044696807861328
171,1914,26.597,-0.1626968383789062
172,1915,26.855917,0.0962200164794921
173,1916,26.5975,-0.1621971130371093
174,1917,26.363667,-0.3960304260253906
175,1918,26.37875,-0.3809471130371094
176,1919,26.623083,-0.1366138458251953
177,1920,26.567583,-0.1921138763427734
178,1921,26.711584,-0.0481128692626953
179,1922,26.47125,-0.2884464263916015
180,1923,26.8545,0.0948028564453125
181,1924,26.5465,-0.2131977081298828
182,1925,26.707333,-0.0523643493652343
183,1926,27.145416,0.3857192993164062
184,1927,26.73525,-0.0244464874267578
185,1928,26.5935,-0.1661968231201172
186,1929,26.540916,-0.218780517578125
187,1930,26.511667,-0.2480297088623047
188,1931,27.088333,0.3286361694335937
189,1932,26.74775,-0.0119476318359375
190,1933,26.854416,0.0947189331054687
191,1934,26.60875,-0.1509475708007812
192,1935,26.60675,-0.1529464721679687
193,1936,26.779167,0.01947021484375
194,1937,27.017084,0.2573871612548828
195,1938,26.805,0.0453033447265625
196,1939,26.695583,-0.0641136169433593
197,1940,26.913918,0.1542205810546875
198,1941,27.1065,0.3468036651611328
199,1942,26.808584,0.0488872528076171
200,1943,26.563833,-0.1958637237548828
201,1944,27.025667,0.265970230102539
202,1945,27.1885,0.428802490234375
203,1946,26.7245,-0.035196304321289
204,1947,26.9325,0.1728038787841797
205,1948,26.600834,-0.1588630676269531
206,1949,26.86775,0.1080532073974609
207,1950,26.633583,-0.1261138916015625
208,1951,26.6905,-0.0691967010498046
209,1952,26.704916,-0.0547809600830078
210,1953,26.882416,0.1227188110351562
211,1954,26.573334,-0.1863632202148437
212,1955,26.803167,0.0434703826904296
213,1956,26.568832,-0.1908645629882812
214,1957,26.674667,-0.0850296020507812
215,1958,26.972666,0.2129688262939453
216,1959,26.75175,-0.0079460144042968
217,1960,26.8355,0.0758037567138671
218,1961,26.799583,0.039886474609375
219,1962,26.840084,0.0803871154785156
220,1963,27.0785,0.3188037872314453
221,1964,26.770334,0.0106372833251953
222,1965,26.505667,-0.2540302276611328
223,1966,26.926584,0.1668872833251953
224,1967,26.49325,-0.2664470672607422
225,1968,26.654333,-0.1053638458251953
226,1969,27.4335,0.6738033294677734
227,1970,27.225,0.4653034210205078
228,1971,26.6865,-0.0731964111328125
229,1972,26.985666,0.2259693145751953
230,1973,27.194834,0.4351367950439453
231,1974,26.5975,-0.1621971130371093
232,1975,26.568417,-0.1912803649902343
233,1976,26.490084,-0.2696132659912109
234,1977,27.157667,0.3979701995849609
235,1978,26.887417,0.1277198791503906
236,1979,27.21125,0.4515533447265625
237,1980,27.3105,0.5508022308349609
238,1981,27.208584,0.4488868713378906
239,1982,26.956833,0.1971359252929687
240,1983,27.7,0.9403038024902344
241,1984,27.143417,0.3837203979492187
242,1985,27.137583,0.3778858184814453
243,1986,27.014584,0.2548866271972656
244,1987,27.545834,0.7861366271972656
245,1988,27.282167,0.5224704742431641
246,1989,27.034166,0.2744693756103515
247,1990,27.3635,0.6038036346435547
248,1991,27.354334,0.5946369171142578
249,1992,27.2455,0.4858036041259765
250,1993,27.4525,0.6928024291992188
251,1994,27.182667,0.4229698181152344
252,1995,27.373333,0.6136360168457031
253,1996,27.493,0.7333030700683594
254,1997,27.436,0.6763038635253906
255,1998,27.972334,1.212636947631836
256,1999,27.149918,0.3902206420898437
257,2000,27.288834,0.5291366577148438
258,2001,27.663584,0.9038867950439452
259,2002,27.795166,1.0354690551757812
260,2003,27.463583,0.7038860321044922
261,2004,27.633333,0.8736362457275391
262,2005,27.959,1.1993026733398438
263,2006,27.352167,0.5924701690673828
264,2007,27.51825,0.7585525512695312
265,2008,27.583666,0.8239688873291016
266,2009,27.310417,0.55072021484375
267,2010,27.918917,1.159219741821289
268,2011,27.491083,0.7313861846923828
269,2012,27.4815,0.7218036651611328
270,2013,27.90675,1.147052764892578
