,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,24.903667,-0.5450725555419922
107,1850,24.918,-0.5307407379150391
108,1851,24.975334,-0.4734058380126953
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,24.890083,-0.5586566925048828
114,1857,24.553728,-0.8950119018554688
115,1858,24.736834,-0.7119064331054688
116,1859,25.370083,-0.0786571502685546
117,1860,24.859083,-0.5896568298339844
118,1861,24.880417,-0.5683231353759766
119,1862,24.545666,-0.9030742645263672
120,1863,24.75525,-0.6934890747070312
121,1864,25.001917,-0.4468231201171875
122,1865,25.12475,-0.3239898681640625
123,1866,,
124,1867,,
125,1868,24.751,-0.6977405548095703
126,1869,24.8126,-0.6361408233642578
127,1870,24.992908,-0.4558315277099609
128,1871,,
129,1872,,
130,1873,24.042334,-1.4064064025878906
131,1874,24.783167,-0.6655731201171875
132,1875,24.3695,-1.079240798950195
133,1876,24.514584,-0.9341564178466796
134,1877,25.020584,-0.4281558990478515
135,1878,25.231167,-0.2175731658935547
136,1879,24.824167,-0.62457275390625
137,1880,25.333,-0.1157398223876953
138,1881,25.651272,0.2025318145751953
139,1882,25.1815,-0.2672405242919922
140,1883,25.822,0.373260498046875
141,1884,25.387333,-0.0614070892333984
142,1885,24.637583,-0.8111572265625
143,1886,24.7215,-0.7272396087646484
144,1887,24.630167,-0.818572998046875
145,1888,24.67075,-0.7779903411865234
146,1889,24.096916,-1.351823806762695
147,1890,24.511667,-0.93707275390625
148,1891,24.84775,-0.6009902954101562
149,1892,25.107334,-0.3414058685302734
150,1893,25.011583,-0.4371566772460937
151,1894,24.676167,-0.7725734710693359
152,1895,24.815083,-0.6336574554443359
153,1896,25.288918,-0.1598224639892578
154,1897,25.458834,0.0100936889648437
155,1898,25.031584,-0.4171562194824219
156,1899,25.581583,0.132843017578125
157,1900,25.38025,-0.0684890747070312
158,1901,25.392334,-0.056406021118164
159,1902,25.296417,-0.152322769165039
160,1903,25.1265,-0.3222408294677734
161,1904,24.675833,-0.7729072570800781
162,1905,25.173334,-0.2754058837890625
163,1906,25.28275,-0.1659908294677734
164,1907,24.741667,-0.7070732116699219
165,1908,24.973333,-0.4754066467285156
166,1909,24.844084,-0.6046562194824219
167,1910,25.499,0.0502605438232421
168,1911,24.970333,-0.4784069061279297
169,1912,25.6095,0.1607608795166015
170,1913,25.70875,0.260009765625
171,1914,25.488,0.0392608642578125
172,1915,25.598333,0.1495933532714843
173,1916,25.333666,-0.1150741577148437
174,1917,25.192583,-0.2561569213867187
175,1918,25.12775,-0.3209896087646484
176,1919,25.372,-0.0767402648925781
177,1920,25.38125,-0.0674896240234375
178,1921,25.375834,-0.072906494140625
179,1922,25.306833,-0.14190673828125
180,1923,25.418417,-0.0303230285644531
181,1924,25.234417,-0.2143230438232422
182,1925,25.372084,-0.0766563415527343
183,1926,25.707916,0.2591762542724609
184,1927,25.385916,-0.0628242492675781
185,1928,25.297333,-0.151407241821289
186,1929,25.4,-0.0487403869628906
187,1930,25.458334,0.0095939636230468
188,1931,25.654917,0.2061767578125
189,1932,25.29125,-0.1574897766113281
190,1933,25.479834,0.0310935974121093
191,1934,25.464,0.0152606964111328
192,1935,25.313,-0.1357402801513672
193,1936,25.323668,-0.1250724792480468
194,1937,25.6815,0.2327594757080078
195,1938,25.52675,0.0780105590820312
196,1939,25.464834,0.0160942077636718
197,1940,25.801,0.3522605895996094
198,1941,25.898666,0.4499263763427734
199,1942,25.6005,0.1517601013183593
200,1943,25.274584,-0.1741561889648437
201,1944,25.716667,0.2679271697998047
202,1945,25.662083,0.2133426666259765
203,1946,25.470333,0.0215930938720703
204,1947,25.8055,0.356760025024414
205,1948,25.40725,-0.0414905548095703
206,1949,25.60875,0.1600093841552734
207,1950,25.325583,-0.1231575012207031
208,1951,25.470167,0.0214271545410156
209,1952,25.4695,0.0207595825195312
210,1953,25.648582,0.1998424530029297
211,1954,25.209167,-0.239572525024414
212,1955,25.337584,-0.1111564636230468
213,1956,25.339582,-0.1091575622558593
214,1957,25.528833,0.0800933837890625
215,1958,25.725834,0.2770938873291015
216,1959,25.658333,0.2095928192138672
217,1960,25.634666,0.1859264373779297
218,1961,25.4315,-0.0172405242919921
219,1962,25.446667,-0.0020732879638671
220,1963,25.774334,0.3255939483642578
221,1964,25.497833,0.0490932464599609
222,1965,25.373583,-0.0751571655273437
223,1966,25.6155,0.1667594909667968
224,1967,25.290083,-0.1586570739746093
225,1968,25.573833,0.1250934600830078
226,1969,26.010584,0.5618438720703125
227,1970,25.817583,0.3688430786132812
228,1971,25.439917,-0.0088233947753906
229,1972,25.743584,0.2948436737060547
230,1973,26.03675,0.5880107879638672
231,1974,25.46725,0.0185108184814453
232,1975,25.338583,-0.1101570129394531
233,1976,25.244333,-0.20440673828125
234,1977,25.79975,0.3510093688964844
235,1978,25.662834,0.2140941619873047
236,1979,25.9315,0.4827594757080078
237,1980,26.08225,0.6335105895996094
238,1981,25.862,0.4132595062255859
239,1982,25.581667,0.1329269409179687
240,1983,26.188583,0.7398433685302734
241,1984,25.825417,0.3766765594482422
242,1985,25.819084,0.3703441619873047
243,1986,25.5275,0.0787601470947265
244,1987,26.306583,0.8578433990478516
245,1988,25.932333,0.4835929870605469
246,1989,25.735,0.2862606048583984
247,1990,26.011168,0.5624275207519531
248,1991,26.050667,0.6019268035888672
249,1992,25.784082,0.3353424072265625
250,1993,26.027834,0.5790939331054688
251,1994,25.755417,0.3066768646240234
252,1995,25.946083,0.4973430633544922
253,1996,26.10075,0.6520099639892578
254,1997,25.985666,0.53692626953125
255,1998,26.519667,1.0709266662597656
256,1999,25.841917,0.3931770324707031
257,2000,25.969166,0.5204257965087891
258,2001,26.2885,0.8397598266601562
259,2002,26.514833,1.0660934448242188
260,2003,26.40975,0.9610099792480468
261,2004,26.404167,0.9554271697998048
262,2005,26.50725,1.0585098266601562
263,2006,26.120583,0.6718425750732422
264,2007,26.317333,0.8685932159423828
265,2008,26.28775,0.8390102386474609
266,2009,26.325666,0.8769264221191406
267,2010,26.59725,1.1485099792480469
268,2011,26.343,0.8942604064941406
269,2012,26.063168,0.6144275665283203
270,2013,26.68675,1.2380104064941406
