,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.831728,-0.1013107299804687
82,1825,25.97725,0.0442104339599609
83,1826,25.7901,-0.1429386138916015
84,1827,26.078728,0.1456890106201172
85,1828,25.597727,-0.3353118896484375
86,1829,25.5081,-0.4249382019042969
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.298334,-0.63470458984375
103,1846,25.93425,0.0012111663818359
104,1847,25.33025,-0.6027889251708984
105,1848,25.4365,-0.4965381622314453
106,1849,25.352917,-0.5801219940185547
107,1850,25.531918,-0.4011211395263672
108,1851,25.4115,-0.5215377807617188
109,1852,25.48225,-0.4507884979248047
110,1853,25.577168,-0.3558712005615234
111,1854,25.412333,-0.5207061767578125
112,1855,25.614666,-0.3183727264404297
113,1856,25.331833,-0.6012058258056641
114,1857,25.09075,-0.8422889709472656
115,1858,25.443167,-0.4898719787597656
116,1859,25.447166,-0.4858722686767578
117,1860,25.486584,-0.4464550018310547
118,1861,25.390083,-0.5429553985595703
119,1862,25.162416,-0.7706222534179688
120,1863,25.30775,-0.6252880096435547
121,1864,25.466333,-0.466705322265625
122,1865,25.555584,-0.3774547576904297
123,1866,25.622417,-0.3106212615966797
124,1867,25.797167,-0.1358718872070312
125,1868,25.538334,-0.3947048187255859
126,1869,25.927416,-0.0056228637695312
127,1870,25.469667,-0.4633712768554687
128,1871,25.61,-0.323038101196289
129,1872,25.643,-0.2900390625
130,1873,25.696083,-0.2369556427001953
131,1874,25.669584,-0.2634544372558594
132,1875,25.224333,-0.7087059020996094
133,1876,25.502417,-0.4306221008300781
134,1877,26.135834,0.2027950286865234
135,1878,26.384,0.4509620666503906
136,1879,25.534666,-0.3983726501464844
137,1880,25.162083,-0.7709560394287109
138,1881,25.716667,-0.2163715362548828
139,1882,25.400667,-0.5323715209960938
140,1883,25.271166,-0.6618728637695312
141,1884,25.190166,-0.7428722381591797
142,1885,,
143,1886,25.182417,-0.7506217956542969
144,1887,25.322083,-0.6109561920166016
145,1888,25.743334,-0.1897048950195312
146,1889,25.797333,-0.1357059478759765
147,1890,24.925667,-1.0073719024658203
148,1891,25.479918,-0.4531211853027344
149,1892,25.33525,-0.5977878570556641
150,1893,25.152666,-0.7803726196289062
151,1894,25.245083,-0.6879558563232422
152,1895,25.622917,-0.3101215362548828
153,1896,25.727,-0.2060394287109375
154,1897,25.7075,-0.2255382537841797
155,1898,25.384,-0.5490379333496094
156,1899,25.750584,-0.1824550628662109
157,1900,25.926666,-0.0063724517822265
158,1901,26.0645,0.1314620971679687
159,1902,25.821333,-0.1117057800292968
160,1903,25.799334,-0.1337051391601562
161,1904,25.282,-0.6510391235351562
162,1905,25.738,-0.195037841796875
163,1906,25.643583,-0.2894554138183594
164,1907,25.417833,-0.5152053833007812
165,1908,25.4685,-0.46453857421875
166,1909,25.578083,-0.3549556732177734
167,1910,25.510334,-0.4227046966552734
168,1911,25.563168,-0.3698711395263672
169,1912,25.8195,-0.1135387420654296
170,1913,25.471416,-0.4616222381591797
171,1914,25.8455,-0.0875377655029296
172,1915,26.071833,0.1387939453125
173,1916,25.662916,-0.2701225280761719
174,1917,25.18925,-0.7437877655029297
175,1918,25.40025,-0.5327892303466797
176,1919,25.857666,-0.0753726959228515
177,1920,25.626083,-0.306955337524414
178,1921,25.514584,-0.4184551239013672
179,1922,25.532167,-0.4008712768554687
180,1923,25.50425,-0.4287891387939453
181,1924,25.66375,-0.2692890167236328
182,1925,25.671833,-0.2612056732177734
183,1926,26.187834,0.2547950744628906
184,1927,25.838333,-0.094705581665039
185,1928,25.944666,0.011627197265625
186,1929,25.675,-0.2580394744873047
187,1930,25.8305,-0.1025390625
188,1931,26.295666,0.3626270294189453
189,1932,26.12175,0.1887111663818359
190,1933,25.794584,-0.1384544372558593
191,1934,25.678833,-0.2542057037353515
192,1935,25.9345,0.0014610290527343
193,1936,25.989916,0.0568771362304687
194,1937,26.131916,0.1988773345947265
195,1938,25.916666,-0.0163726806640625
196,1939,25.888166,-0.0448722839355468
197,1940,26.479834,0.5467948913574219
198,1941,26.415583,0.4825439453125
199,1942,26.361166,0.4281272888183594
200,1943,25.89575,-0.0372886657714843
201,1944,26.069584,0.136545181274414
202,1945,25.99575,0.0627117156982421
203,1946,25.916666,-0.0163726806640625
204,1947,26.089916,0.1568775177001953
205,1948,25.927917,-0.0051212310791015
206,1949,25.770334,-0.1627044677734375
207,1950,26.02375,0.0907115936279296
208,1951,26.22575,0.2927112579345703
209,1952,26.412,0.4789619445800781
210,1953,26.347084,0.4140453338623047
211,1954,25.96975,0.0367107391357421
212,1955,25.987333,0.0542945861816406
213,1956,25.8705,-0.0625381469726562
214,1957,26.303167,0.3701286315917969
215,1958,26.727167,0.79412841796875
216,1959,26.249,0.3159618377685547
217,1960,26.158333,0.2252941131591797
218,1961,26.180166,0.2471275329589843
219,1962,26.27575,0.3427104949951172
220,1963,26.281,0.34796142578125
221,1964,26.395666,0.4626274108886719
222,1965,26.267834,0.3347949981689453
223,1966,26.44675,0.5137119293212891
224,1967,26.013416,0.0803775787353515
225,1968,25.907583,-0.0254554748535156
226,1969,26.708666,0.7756271362304688
227,1970,26.261168,0.3281288146972656
228,1971,25.628666,-0.3043727874755859
229,1972,26.092167,0.159128189086914
230,1973,26.137833,0.2047939300537109
231,1974,25.840918,-0.0921211242675781
232,1975,25.876167,-0.0568714141845703
233,1976,26.004084,0.071044921875
234,1977,26.2935,0.3604621887207031
235,1978,26.306168,0.3731288909912109
236,1979,26.4025,0.469461441040039
237,1980,26.45575,0.5227108001708984
238,1981,26.2045,0.2714614868164062
239,1982,26.353083,0.4200439453125
240,1983,26.65375,0.7207107543945312
241,1984,25.88725,-0.0457878112792968
242,1985,25.973667,0.040628433227539
243,1986,26.291834,0.358795166015625
244,1987,26.912834,0.9797954559326172
245,1988,26.40925,0.4762115478515625
246,1989,26.113667,0.1806278228759765
247,1990,26.56575,0.6327114105224609
248,1991,26.44175,0.5087108612060547
249,1992,26.503584,0.5705451965332031
250,1993,26.310417,0.3773784637451172
251,1994,26.43025,0.4972114562988281
252,1995,26.888,0.9549617767333984
253,1996,26.487583,0.5545444488525391
254,1997,26.736166,0.8031272888183594
255,1998,27.1385,1.205461502075195
256,1999,26.42375,0.4907112121582031
257,2000,26.393583,0.4605445861816406
258,2001,26.577,0.6439609527587891
259,2002,26.608084,0.6750450134277344
260,2003,27.003666,1.070627212524414
261,2004,26.8715,0.9384613037109376
262,2005,27.068333,1.135293960571289
263,2006,26.821083,0.8880443572998047
264,2007,26.70875,0.7757110595703125
265,2008,26.619,0.6859607696533203
266,2009,27.101583,1.1685447692871094
267,2010,27.116083,1.18304443359375
268,2011,26.683416,0.7503776550292969
269,2012,26.800167,0.8671283721923828
270,2013,26.6875,0.7544612884521484
