,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.273455,-0.0249347686767578
82,1825,26.338,0.0396099090576171
83,1826,26.261667,-0.036722183227539
84,1827,26.732584,0.4341945648193359
85,1828,26.622667,0.3242778778076172
86,1829,25.916,-0.3823890686035156
87,1830,26.59525,0.2968597412109375
88,1831,25.614834,-0.6835556030273438
89,1832,25.364666,-0.9337234497070312
90,1833,,
91,1834,,
92,1835,25.471916,-0.8264732360839844
93,1836,,
94,1837,26.5735,0.2751102447509765
95,1838,25.548666,-0.7497234344482422
96,1839,25.766666,-0.5317230224609375
97,1840,25.771166,-0.5272235870361328
98,1841,25.474833,-0.8235569000244141
99,1842,25.878834,-0.4195556640625
100,1843,25.750668,-0.5477218627929688
101,1844,25.288666,-1.009723663330078
102,1845,25.380583,-0.9178066253662108
103,1846,26.163,-0.1353893280029297
104,1847,25.885834,-0.4125556945800781
105,1848,25.824333,-0.4740562438964844
106,1849,26.140167,-0.1582221984863281
107,1850,26.062084,-0.2363052368164062
108,1851,26.00475,-0.29364013671875
109,1852,25.626083,-0.6723060607910156
110,1853,25.969833,-0.3285560607910156
111,1854,25.923084,-0.37530517578125
112,1855,26.14475,-0.1536388397216797
113,1856,26.551332,0.2529430389404297
114,1857,25.43225,-0.8661403656005859
115,1858,25.465834,-0.8325557708740234
116,1859,25.662582,-0.6358070373535156
117,1860,25.683167,-0.6152229309082031
118,1861,25.988583,-0.3098068237304687
119,1862,25.928667,-0.3697223663330078
120,1863,25.998333,-0.3000564575195312
121,1864,25.718334,-0.5800552368164062
122,1865,26.069,-0.2293891906738281
123,1866,25.61175,-0.6866397857666016
124,1867,25.911083,-0.3873062133789062
125,1868,26.141333,-0.1570568084716797
126,1869,26.47725,0.1788597106933593
127,1870,25.91675,-0.3816394805908203
128,1871,26.023167,-0.2752227783203125
129,1872,26.150917,-0.1474723815917968
130,1873,25.721582,-0.5768070220947266
131,1874,25.88625,-0.412139892578125
132,1875,26.001917,-0.2964725494384765
133,1876,26.187416,-0.1109733581542968
134,1877,26.49525,0.1968612670898437
135,1878,26.815416,0.5170269012451172
136,1879,26.15875,-0.1396389007568359
137,1880,26.00225,-0.2961387634277344
138,1881,25.783,-0.5153884887695312
139,1882,25.66675,-0.6316394805908203
140,1883,26.006083,-0.292306900024414
141,1884,25.637417,-0.6609725952148438
142,1885,25.999,-0.2993888854980469
143,1886,25.665167,-0.6332225799560547
144,1887,25.592167,-0.7062225341796875
145,1888,25.955166,-0.3432235717773437
146,1889,26.098417,-0.1999721527099609
147,1890,25.789,-0.5093898773193359
148,1891,26.008083,-0.2903060913085937
149,1892,25.7455,-0.5528888702392578
150,1893,25.64175,-0.6566390991210938
151,1894,25.68425,-0.6141395568847656
152,1895,25.967583,-0.3308067321777344
153,1896,26.17975,-0.1186389923095703
154,1897,26.478666,0.180276870727539
155,1898,26.118668,-0.1797218322753906
156,1899,26.17425,-0.1241397857666015
157,1900,26.521166,0.2227764129638672
158,1901,26.187166,-0.1112232208251953
159,1902,26.065584,-0.2328052520751953
160,1903,26.253084,-0.0453052520751953
161,1904,25.829334,-0.46905517578125
162,1905,26.280582,-0.0178070068359375
163,1906,26.050417,-0.2479724884033203
164,1907,26.01975,-0.2786388397216797
165,1908,26.101583,-0.1968059539794922
166,1909,25.84525,-0.4531402587890625
167,1910,25.6595,-0.6388893127441406
168,1911,26.083334,-0.2150554656982422
169,1912,26.27625,-0.0221385955810546
170,1913,25.818417,-0.4799728393554687
171,1914,26.227167,-0.0712223052978515
172,1915,26.46775,0.1693611145019531
173,1916,25.771917,-0.5264720916748047
174,1917,25.529,-0.7693901062011719
175,1918,25.79075,-0.5076389312744141
176,1919,26.35475,0.0563602447509765
177,1920,26.282667,-0.0157222747802734
178,1921,26.013416,-0.28497314453125
179,1922,25.988167,-0.3102226257324219
180,1923,26.157583,-0.1408061981201172
181,1924,26.42275,0.1243610382080078
182,1925,26.174833,-0.1235561370849609
183,1926,26.652916,0.3545265197753906
184,1927,26.368834,0.070444107055664
185,1928,26.38525,0.0868606567382812
186,1929,26.24425,-0.0541400909423828
187,1930,26.384083,0.085693359375
188,1931,26.4565,0.1581096649169922
189,1932,26.36725,0.0688610076904296
190,1933,26.2385,-0.0598888397216796
191,1934,26.104084,-0.194305419921875
192,1935,26.07675,-0.2216396331787109
193,1936,26.491667,0.193277359008789
194,1937,26.495667,0.1972770690917968
195,1938,26.26175,-0.0366401672363281
196,1939,26.285334,-0.0130558013916015
197,1940,26.715834,0.4174442291259765
198,1941,26.87375,0.5753612518310547
199,1942,26.730167,0.4317779541015625
200,1943,26.342833,0.044443130493164
201,1944,26.2835,-0.0148887634277343
202,1945,26.152,-0.1463890075683593
203,1946,26.351917,0.05352783203125
204,1947,26.654,0.3556098937988281
205,1948,26.859083,0.5606937408447266
206,1949,26.341833,0.0434436798095703
207,1950,25.9605,-0.3378887176513672
208,1951,26.196,-0.1023902893066406
209,1952,26.539917,0.2415275573730468
210,1953,26.7205,0.4221115112304687
211,1954,26.380667,0.0822772979736328
212,1955,26.009583,-0.2888069152832031
213,1956,26.168917,-0.1294727325439453
214,1957,26.56375,0.265359878540039
215,1958,26.685,0.3866100311279297
216,1959,26.840666,0.5422763824462891
217,1960,26.781584,0.483194351196289
218,1961,26.530083,0.2316932678222656
219,1962,26.471333,0.172943115234375
220,1963,26.513584,0.2151947021484375
221,1964,26.5485,0.2501106262207031
222,1965,26.33525,0.0368614196777343
223,1966,26.51325,0.2148609161376953
224,1967,26.5675,0.2691097259521484
225,1968,26.5325,0.234109878540039
226,1969,26.79175,0.4933605194091797
227,1970,26.448334,0.1499443054199218
228,1971,26.213667,-0.0847225189208984
229,1972,26.443,0.1446113586425781
230,1973,26.58125,0.2828598022460937
231,1974,26.198166,-0.1002235412597656
232,1975,26.405,0.1066112518310546
233,1976,26.32225,0.0238609313964843
234,1977,26.758667,0.4602775573730469
235,1978,26.707333,0.4089431762695312
236,1979,26.5265,0.2281112670898437
237,1980,27.030834,0.7324447631835938
238,1981,26.755833,0.4574432373046875
239,1982,26.762667,0.4642772674560547
240,1983,27.052084,0.7536945343017578
241,1984,26.512167,0.2137775421142578
242,1985,26.51875,0.2203598022460937
243,1986,26.663416,0.3650264739990234
244,1987,26.952417,0.6540279388427734
245,1988,26.885416,0.5870265960693359
246,1989,26.656666,0.3582763671875
247,1990,26.942917,0.6445274353027344
248,1991,26.854,0.5556106567382812
249,1992,26.671833,0.373443603515625
250,1993,26.619583,0.3211936950683594
251,1994,27.10525,0.8068599700927734
252,1995,27.10425,0.8058605194091797
253,1996,26.656084,0.3576946258544922
254,1997,27.545834,1.2474441528320312
255,1998,27.395416,1.097026824951172
256,1999,26.850166,0.5517768859863281
257,2000,26.598583,0.3001937866210937
258,2001,27.01375,0.7153606414794922
259,2002,27.249666,0.9512767791748048
260,2003,27.334333,1.0359439849853516
261,2004,27.177668,0.8792781829833984
262,2005,27.180584,0.8821945190429688
263,2006,27.22225,0.9238605499267578
264,2007,27.28825,0.9898605346679688
265,2008,26.927166,0.6287765502929688
266,2009,27.145166,0.8467769622802734
267,2010,27.002333,0.7039432525634766
268,2011,26.943583,0.6451930999755859
269,2012,27.045084,0.7466945648193359
270,2013,27.031555,0.7331657409667969
