,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,,
148,1891,,
149,1892,,
150,1893,,
151,1894,,
152,1895,,
153,1896,,
154,1897,,
155,1898,,
156,1899,,
157,1900,,
158,1901,,
159,1902,,
160,1903,,
161,1904,,
162,1905,,
163,1906,,
164,1907,,
165,1908,,
166,1909,,
167,1910,,
168,1911,,
169,1912,,
170,1913,,
171,1914,,
172,1915,,
173,1916,,
174,1917,,
175,1918,,
176,1919,,
177,1920,,
178,1921,,
179,1922,,
180,1923,,
181,1924,,
182,1925,,
183,1926,,
184,1927,,
185,1928,,
186,1929,,
187,1930,,
188,1931,,
189,1932,,
190,1933,,
191,1934,,
192,1935,,
193,1936,,
194,1937,,
195,1938,,
196,1939,,
197,1940,,
198,1941,,
199,1942,,
200,1943,,
201,1944,,
202,1945,,
203,1946,,
204,1947,,
205,1948,1.0299,-1.5271388292312622
206,1949,1.3102,-1.2468388080596924
207,1950,1.5833637,-0.9736751317977904
208,1951,3.0080833,0.4510445594787597
209,1952,2.4945,-0.0625388622283935
210,1953,2.2360833,-0.3209555149078369
211,1954,2.4960833,-0.06095552444458
212,1955,2.65075,0.0937111377716064
213,1956,2.5296667,-0.027372121810913
214,1957,2.162,-0.3950388431549072
215,1958,2.4205,-0.1365387439727783
216,1959,2.2039165,-0.3531222343444824
217,1960,2.75875,0.2017111778259277
218,1961,2.5510833,-0.0059554576873779
219,1962,2.0661666,-0.4908721446990967
220,1963,1.9605833,-0.596455454826355
221,1964,1.8358333,-0.721205472946167
222,1965,2.0481668,-0.5088720321655273
223,1966,2.3725,-0.1845388412475586
224,1967,2.0420833,-0.5149555206298828
225,1968,2.7811666,0.2241277694702148
226,1969,2.226,-0.3310387134552002
227,1970,2.4708333,-0.0862054824829101
228,1971,2.6136668,0.0566279888153076
229,1972,2.3135,-0.2435388565063476
230,1973,2.661,0.1039612293243408
231,1974,2.60275,0.0457112789154052
232,1975,2.6739166,0.116877794265747
233,1976,2.3214166,-0.2356221675872802
234,1977,2.4686666,-0.0883722305297851
235,1978,2.68675,0.1297111511230468
236,1979,2.4604166,-0.0966222286224365
237,1980,2.7835,0.2264611721038818
238,1981,2.6320834,0.0750446319580078
239,1982,2.4455,-0.1115388870239257
240,1983,2.3915,-0.1655387878417968
241,1984,2.4281666,-0.1288721561431884
242,1985,2.326,-0.2310388088226318
243,1986,2.5803332,0.023294448852539
244,1987,2.7329166,0.1758778095245361
245,1988,2.519,-0.0380387306213378
246,1989,2.9166667,0.3596279621124267
247,1990,2.7554166,0.1983778476715088
248,1991,3.2314167,0.6743779182434082
249,1992,2.5665834,0.0095446109771728
250,1993,2.5933332,0.0362944602966308
251,1994,2.6221666,0.0651278495788574
252,1995,2.82475,0.2677111625671386
253,1996,2.7661667,0.2091279029846191
254,1997,2.9775834,0.4205446243286133
255,1998,3.0060833,0.4490444660186767
256,1999,2.6555834,0.0985445976257324
257,2000,2.885,0.3279612064361572
258,2001,2.8485,0.2914612293243408
259,2002,2.8509166,0.2938778400421142
260,2003,3.2508333,0.6937944889068604
261,2004,3.0179167,0.4608778953552246
262,2005,2.9121666,0.3551278114318847
263,2006,2.8084166,0.2513778209686279
264,2007,2.6049166,0.0478777885437011
265,2008,3.08025,0.5232112407684326
266,2009,2.6015832,0.0445444583892822
267,2010,3.1105833,0.5535445213317871
268,2011,2.7475834,0.1905446052551269
269,2012,3.0570834,0.500044584274292
270,2013,3.19375,0.6367111206054688
