,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,24.625334,-0.0704345703125
83,1826,24.735416,0.0396480560302734
84,1827,25.237417,0.5416488647460938
85,1828,24.563417,-0.1323509216308593
86,1829,24.186417,-0.5093517303466797
87,1830,24.726084,0.0303153991699218
88,1831,23.951166,-0.7446022033691406
89,1832,24.7435,0.0477313995361328
90,1833,,
91,1834,,
92,1835,23.4375,-1.2582683563232422
93,1836,,
94,1837,23.6635,-1.032268524169922
95,1838,23.623083,-1.0726852416992188
96,1839,24.009832,-0.6859359741210938
97,1840,24.094418,-0.6013507843017578
98,1841,23.959583,-0.7361850738525391
99,1842,24.251583,-0.4441852569580078
100,1843,24.335333,-0.3604354858398437
101,1844,23.720167,-0.9756011962890624
102,1845,23.7025,-0.9932689666748048
103,1846,24.610916,-0.0848522186279296
104,1847,24.275333,-0.4204349517822265
105,1848,24.278,-0.4177684783935547
106,1849,24.808834,0.1130657196044921
107,1850,24.557167,-0.1386013031005859
108,1851,24.320168,-0.3756008148193359
109,1852,24.273083,-0.4226856231689453
110,1853,23.984333,-0.7114353179931641
111,1854,23.922583,-0.7731857299804688
112,1855,24.065,-0.630767822265625
113,1856,24.29475,-0.4010181427001953
114,1857,24.041584,-0.6541843414306641
115,1858,24.325916,-0.369852066040039
116,1859,24.174417,-0.5213508605957031
117,1860,23.963917,-0.7318515777587891
118,1861,24.338667,-0.3571014404296875
119,1862,24.20375,-0.4920177459716797
120,1863,24.308332,-0.3874359130859375
121,1864,24.038416,-0.6573524475097656
122,1865,24.411583,-0.2841854095458984
123,1866,24.079584,-0.6161842346191406
124,1867,24.537834,-0.1579341888427734
125,1868,24.154417,-0.541351318359375
126,1869,25.251833,0.5560646057128906
127,1870,24.491417,-0.2043514251708984
128,1871,24.190666,-0.5051021575927734
129,1872,24.543333,-0.152435302734375
130,1873,24.14325,-0.5525188446044922
131,1874,24.446333,-0.2494354248046875
132,1875,24.28075,-0.415018081665039
133,1876,24.367,-0.3287677764892578
134,1877,24.69275,-0.0030174255371093
135,1878,25.274584,0.5788154602050781
136,1879,24.329082,-0.3666858673095703
137,1880,24.564167,-0.131601333618164
138,1881,24.575,-0.120767593383789
139,1882,24.488417,-0.2073516845703125
140,1883,24.360416,-0.3353519439697265
141,1884,24.07325,-0.6225185394287109
142,1885,24.008417,-0.6873512268066406
143,1886,24.203417,-0.4923515319824219
144,1887,23.971834,-0.7239341735839844
145,1888,23.962833,-0.7329349517822266
146,1889,24.430084,-0.2656841278076172
147,1890,23.952168,-0.7436008453369141
148,1891,24.64225,-0.0535182952880859
149,1892,24.037582,-0.6581859588623047
150,1893,24.247583,-0.4481849670410156
151,1894,24.365583,-0.3301849365234375
152,1895,24.494333,-0.2014350891113281
153,1896,24.782167,0.0863990783691406
154,1897,25.178,0.4822311401367187
155,1898,24.591417,-0.1043510437011718
156,1899,24.320833,-0.3749351501464844
157,1900,24.383583,-0.3121852874755859
158,1901,23.805584,-0.8901844024658203
159,1902,24.434334,-0.2614345550537109
160,1903,24.363583,-0.3321857452392578
161,1904,23.984167,-0.7116012573242188
162,1905,24.204,-0.4917678833007812
163,1906,24.366,-0.3297691345214844
164,1907,24.401083,-0.2946853637695312
165,1908,24.311916,-0.3838520050048828
166,1909,24.536083,-0.1596851348876953
167,1910,23.774834,-0.9209346771240234
168,1911,24.725082,0.0293140411376953
169,1912,24.771418,0.0756492614746093
170,1913,24.310583,-0.3851852416992187
171,1914,24.563334,-0.1324348449707031
172,1915,24.93725,0.2414817810058593
173,1916,24.372334,-0.323434829711914
174,1917,24.071833,-0.6239356994628906
175,1918,24.548416,-0.1473522186279297
176,1919,24.842667,0.1468982696533203
177,1920,24.617,-0.0787677764892578
178,1921,24.785917,0.09014892578125
179,1922,24.826916,0.1311473846435547
180,1923,24.738583,0.0428142547607421
181,1924,24.821583,0.1258144378662109
182,1925,24.687916,-0.007852554321289
183,1926,24.94275,0.2469825744628906
184,1927,24.726583,0.0308151245117187
185,1928,24.6835,-0.01226806640625
186,1929,24.67975,-0.0160179138183593
187,1930,25.0345,0.3387317657470703
188,1931,24.92925,0.2334823608398437
189,1932,24.915916,0.2201480865478515
190,1933,24.931583,0.2358150482177734
191,1934,24.974667,0.2788982391357422
192,1935,24.6825,-0.0132675170898437
193,1936,24.789667,0.0938987731933593
194,1937,24.736334,0.0405654907226562
195,1938,24.39675,-0.2990188598632812
196,1939,24.699667,0.0038986206054687
197,1940,24.718166,0.0223979949951171
198,1941,25.252167,0.5563983917236328
199,1942,24.90275,0.2069816589355468
200,1943,24.782,0.0862312316894531
201,1944,24.712418,0.0166492462158203
202,1945,24.747334,0.0515651702880859
203,1946,25.274,0.5782318115234375
204,1947,25.463167,0.7673988342285156
205,1948,25.145834,0.4500656127929687
206,1949,24.6725,-0.0232677459716796
207,1950,24.371166,-0.3246021270751953
208,1951,24.979834,0.2840652465820312
209,1952,24.935,0.2392311096191406
210,1953,25.276417,0.5806484222412109
211,1954,24.795084,0.0993156433105468
212,1955,24.858667,0.1628990173339843
213,1956,24.512417,-0.1833515167236328
214,1957,25.057167,0.361398696899414
215,1958,25.376083,0.6803150177001953
216,1959,25.142416,0.4466476440429687
217,1960,24.902,0.2062320709228515
218,1961,24.972084,0.276315689086914
219,1962,24.708,0.0122318267822265
220,1963,24.794916,0.0991477966308593
221,1964,24.98275,0.2869815826416015
222,1965,25.04075,0.3449821472167969
223,1966,24.790083,0.0943145751953125
224,1967,24.762667,0.0668983459472656
225,1968,24.5855,-0.1102676391601562
226,1969,25.186916,0.4911479949951172
227,1970,24.788416,0.0926475524902343
228,1971,24.752,0.0562324523925781
229,1972,25.198668,0.502899169921875
230,1973,25.11175,0.4159812927246094
231,1974,24.646,-0.0497684478759765
232,1975,24.870667,0.1748981475830078
233,1976,24.67425,-0.0215187072753906
234,1977,25.1945,0.4987316131591797
235,1978,25.126667,0.4308986663818359
236,1979,25.184668,0.4888992309570312
237,1980,25.16875,0.4729824066162109
238,1981,24.896334,0.2005653381347656
239,1982,25.177084,0.4813156127929687
240,1983,25.624666,0.9288978576660156
241,1984,24.8815,0.1857318878173828
242,1985,25.022167,0.3263988494873047
243,1986,24.9495,0.2537307739257812
244,1987,25.314,0.6182308197021484
245,1988,25.271166,0.5753974914550781
246,1989,24.916334,0.2205657958984375
247,1990,25.2095,0.5137310028076172
248,1991,25.3375,0.6417312622070312
249,1992,25.461584,0.7658157348632812
250,1993,25.292,0.5962314605712891
251,1994,25.675833,0.9800643920898438
252,1995,25.832167,1.1363983154296875
253,1996,25.179333,0.4835643768310547
254,1997,25.839666,1.1438980102539062
255,1998,26.09925,1.403482437133789
256,1999,25.218834,0.5230655670166016
257,2000,25.153667,0.4578990936279297
258,2001,25.15475,0.4589824676513672
259,2002,25.432583,0.7368144989013672
260,2003,25.54875,0.8529815673828125
261,2004,25.463917,0.7681484222412109
262,2005,25.626417,0.9306488037109376
263,2006,25.589916,0.8941478729248047
264,2007,25.383417,0.6876487731933594
265,2008,25.107834,0.4120655059814453
266,2009,25.518583,0.82281494140625
267,2010,25.245667,0.5498981475830078
268,2011,25.47425,0.7784824371337891
269,2012,25.260584,0.5648155212402344
270,2013,25.732334,1.0365657806396484
