,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,22.021418,-0.6404514312744141
98,1841,22.066166,-0.595703125
99,1842,22.231833,-0.4300365447998047
100,1843,22.3175,-0.344369888305664
101,1844,21.909166,-0.7527027130126953
102,1845,21.895166,-0.7667026519775391
103,1846,22.529333,-0.1325359344482422
104,1847,22.119,-0.5428695678710938
105,1848,21.81575,-0.8461189270019531
106,1849,22.102167,-0.5597019195556641
107,1850,22.25725,-0.4046192169189453
108,1851,22.372667,-0.2892017364501953
109,1852,22.332167,-0.3297023773193359
110,1853,22.825333,0.1634635925292968
111,1854,22.713,0.0511302947998046
112,1855,22.143,-0.5188694000244141
113,1856,21.63775,-1.024118423461914
114,1857,22.16875,-0.4931182861328125
115,1858,22.101667,-0.5602016448974609
116,1859,22.316166,-0.345703125
117,1860,22.356667,-0.3052024841308594
118,1861,22.076834,-0.5850353240966797
119,1862,21.45675,-1.205118179321289
120,1863,21.945917,-0.7159519195556641
121,1864,21.8085,-0.8533687591552734
122,1865,22.725166,0.0632972717285156
123,1866,22.313583,-0.3482856750488281
124,1867,22.6325,-0.0293693542480468
125,1868,22.870417,0.2085475921630859
126,1869,22.605083,-0.0567855834960937
127,1870,22.80825,0.1463813781738281
128,1871,22.55075,-0.1111183166503906
129,1872,22.732416,0.0705471038818359
130,1873,22.30375,-0.3581199645996094
131,1874,22.67275,0.0108814239501953
132,1875,22.52725,-0.1346187591552734
133,1876,21.963417,-0.6984519958496094
134,1877,22.6195,-0.0423698425292968
135,1878,22.671333,0.0094642639160156
136,1879,22.630583,-0.0312862396240234
137,1880,21.935167,-0.7267017364501953
138,1881,22.254417,-0.4074516296386719
139,1882,22.119667,-0.5422019958496094
140,1883,21.842167,-0.8197021484375
141,1884,21.462667,-1.199201583862305
142,1885,21.719917,-0.9419517517089844
143,1886,21.71025,-0.951618194580078
144,1887,22.0625,-0.5993690490722656
145,1888,22.606916,-0.0549526214599609
146,1889,22.441166,-0.220703125
147,1890,22.50325,-0.1586189270019531
148,1891,22.466833,-0.1950359344482422
149,1892,21.91975,-0.7421188354492188
150,1893,21.725334,-0.9365348815917968
151,1894,22.298416,-0.3634529113769531
152,1895,22.266834,-0.3950347900390625
153,1896,22.41775,-0.244119644165039
154,1897,22.500668,-0.1612014770507812
155,1898,22.562166,-0.0997028350830078
156,1899,22.267916,-0.3939533233642578
157,1900,22.285084,-0.3767852783203125
158,1901,22.369917,-0.2919521331787109
159,1902,23.016582,0.3547134399414062
160,1903,22.212334,-0.4495353698730469
161,1904,22.222166,-0.4397029876708984
162,1905,22.2245,-0.4373683929443359
163,1906,22.452417,-0.209451675415039
164,1907,22.466417,-0.1954517364501953
165,1908,22.35775,-0.3041191101074219
166,1909,22.742,0.0801315307617187
167,1910,22.427334,-0.2345352172851562
168,1911,22.460167,-0.2017021179199218
169,1912,22.43175,-0.2301197052001953
170,1913,22.345417,-0.3164520263671875
171,1914,23.081833,0.4199638366699219
172,1915,23.036833,0.3749637603759765
173,1916,22.3265,-0.3353691101074219
174,1917,21.914083,-0.7477855682373047
175,1918,22.1415,-0.5203685760498047
176,1919,22.654583,-0.0072860717773437
177,1920,22.4985,-0.1633682250976562
178,1921,22.640083,-0.0217857360839843
179,1922,22.7295,0.0676307678222656
180,1923,22.80925,0.1473808288574218
181,1924,22.6625,0.0006313323974609
182,1925,22.254084,-0.407785415649414
183,1926,22.5005,-0.1613693237304687
184,1927,22.38725,-0.2746181488037109
185,1928,23.004333,0.3424644470214844
186,1929,22.895334,0.2334651947021484
187,1930,22.612167,-0.0497016906738281
188,1931,22.635334,-0.0265350341796875
189,1932,22.3975,-0.2643699645996094
190,1933,22.674833,0.0129642486572265
191,1934,22.08475,-0.5771198272705078
192,1935,22.8105,0.148630142211914
193,1936,22.36825,-0.293619155883789
194,1937,23.089916,0.4280471801757812
195,1938,22.916334,0.254465103149414
196,1939,22.68375,0.021881103515625
197,1940,23.122833,0.4609642028808594
198,1941,23.26375,0.6018810272216797
199,1942,23.089417,0.4275474548339844
200,1943,23.1225,0.4606304168701172
201,1944,22.955334,0.2934646606445312
202,1945,22.549583,-0.1122856140136718
203,1946,23.584667,0.9227981567382812
204,1947,22.571333,-0.0905361175537109
205,1948,23.107,0.4451313018798828
206,1949,23.273083,0.6112136840820312
207,1950,23.049417,0.3875484466552734
208,1951,22.716417,0.0545482635498046
209,1952,23.3475,0.6856307983398438
210,1953,23.150833,0.4889640808105469
211,1954,23.076834,0.4149646759033203
212,1955,22.894667,0.232797622680664
213,1956,22.8025,0.1406307220458984
214,1957,22.70375,0.0418815612792968
215,1958,23.025084,0.3632144927978515
216,1959,23.214,0.5521316528320312
217,1960,23.203417,0.5415477752685547
218,1961,23.023834,0.3619651794433594
219,1962,22.779167,0.1172981262207031
220,1963,23.135,0.4731311798095703
221,1964,22.901,0.2391300201416015
222,1965,23.02375,0.3618812561035156
223,1966,23.550083,0.888214111328125
224,1967,22.653,-0.0088691711425781
225,1968,22.820084,0.1582145690917968
226,1969,22.609417,-0.0524520874023437
227,1970,22.712917,0.0510482788085937
228,1971,22.654583,-0.0072860717773437
229,1972,22.872168,0.2102985382080078
230,1973,23.361,0.6991310119628906
231,1974,22.77125,0.1093807220458984
232,1975,22.95725,0.2953815460205078
233,1976,22.521917,-0.1399517059326172
234,1977,23.316416,0.6545467376708984
235,1978,22.936916,0.2750473022460937
236,1979,23.073416,0.4115467071533203
237,1980,23.1415,0.4796314239501953
238,1981,23.16275,0.5008811950683594
239,1982,22.970167,0.308298110961914
240,1983,22.857084,0.1952152252197265
241,1984,22.443916,-0.2179527282714843
242,1985,22.705166,0.0432968139648437
243,1986,22.912,0.250131607055664
244,1987,23.584583,0.9227142333984376
245,1988,22.842916,0.1810474395751953
246,1989,23.07625,0.4143810272216797
247,1990,23.260584,0.5987148284912109
248,1991,23.33475,0.6728801727294922
249,1992,22.63225,-0.0296192169189453
250,1993,22.82825,0.1663818359375
251,1994,23.23875,0.5768814086914062
252,1995,22.548916,-0.1129531860351562
253,1996,22.866833,0.2049636840820312
254,1997,23.00175,0.3398818969726562
255,1998,23.737833,1.0759639739990234
256,1999,23.3985,0.7366313934326172
257,2000,23.2015,0.5396308898925781
258,2001,23.367916,0.7060470581054688
259,2002,23.598583,0.9367141723632812
260,2003,23.417,0.7551307678222656
261,2004,23.247417,0.5855484008789062
262,2005,23.056917,0.3950481414794922
263,2006,23.536,0.8741302490234375
264,2007,23.571667,0.9097976684570312
265,2008,22.901583,0.2397136688232422
266,2009,23.351166,0.6892967224121094
267,2010,23.143833,0.481964111328125
268,2011,22.768167,0.1062984466552734
269,2012,23.217,0.5551300048828125
270,2013,23.690374,1.0285053253173828
