,Year,Temp,Mean_deviation
0,1743,,
1,1744,2.04925,0.6390461921691895
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,1.9614545,0.5512508153915405
8,1751,2.022375,0.6121714115142822
9,1752,-1.6551666,-3.065370321273804
10,1753,1.3155,-0.0947036743164062
11,1754,1.5579166,0.1477129459381103
12,1755,1.20225,-0.2079536914825439
13,1756,1.7383333,0.3281296491622925
14,1757,1.7738333,0.3636295795440674
15,1758,0.15066667,-1.2595370262861252
16,1759,1.19025,-0.2199536561965942
17,1760,0.26025,-1.149953693151474
18,1761,1.7779167,0.3677129745483398
19,1762,1.2114167,-0.198786973953247
20,1763,0.70683336,-0.7033703327178955
21,1764,1.1425,-0.267703652381897
22,1765,0.81075,-0.5994536876678467
23,1766,1.6814166,0.2712129354476928
24,1767,1.2510834,-0.1591203212738037
25,1768,0.46708333,-0.9431203603744508
26,1769,1.1558334,-0.2543703317642212
27,1770,0.804,-0.6062036752700806
28,1771,1.1865,-0.2237037420272827
29,1772,1.03,-0.3802037239074707
30,1773,1.36825,-0.0419536828994751
31,1774,1.29225,-0.1179536581039428
32,1775,2.0658333,0.6556296348571777
33,1776,1.1118333,-0.298370361328125
34,1777,1.1184167,-0.2917870283126831
35,1778,1.4035833,-0.0066204071044921
36,1779,2.155,0.7447962760925293
37,1780,2.0065,0.5962963104248047
38,1781,1.688,0.2777962684631347
39,1782,0.4875,-0.9227036833763124
40,1783,0.94225,-0.4679536819458008
41,1784,0.5441667,-0.8660370111465454
42,1785,0.8998333,-0.5103703737258911
43,1786,0.97833335,-0.4318703413009643
44,1787,1.4215,0.011296272277832
45,1788,1.6435833,0.2333796024322509
46,1789,1.64425,0.2340463399887085
47,1790,1.5355834,0.1253796815872192
48,1791,1.5643333,0.1541296243667602
49,1792,1.5015,0.0912963151931762
50,1793,1.28625,-0.1239537000656127
51,1794,1.6983334,0.2881296873092651
52,1795,1.28275,-0.1274536848068237
53,1796,1.5493333,0.139129638671875
54,1797,1.4808333,0.070629596710205
55,1798,1.9821666,0.5719629526138306
56,1799,1.21375,-0.1964536905288696
57,1800,1.2285,-0.1817036867141723
58,1801,1.44,0.0297963619232177
59,1802,1.3676667,-0.042536973953247
60,1803,1.4523333,0.042129635810852
61,1804,1.5124167,0.1022130250930786
62,1805,1.3875834,-0.0226203203201293
63,1806,1.3100834,-0.1001203060150146
64,1807,0.78925,-0.6209536790847778
65,1808,1.0665,-0.3437037467956543
66,1809,0.3625,-1.0477036833763125
67,1810,0.18316667,-1.227037027478218
68,1811,0.61075,-0.7994536757469177
69,1812,0.079333335,-1.330870360136032
70,1813,1.1135833,-0.2966203689575195
71,1814,0.64383334,-0.7663703560829163
72,1815,0.87908334,-0.5311203598976135
73,1816,-0.09841666,-1.508620359003544
74,1817,0.34933335,-1.060870349407196
75,1818,1.2814167,-0.1287870407104492
76,1819,0.73191667,-0.6782870292663574
77,1820,0.75616664,-0.6540370583534241
78,1821,1.2021667,-0.2080370187759399
79,1822,1.2566667,-0.1535370349884033
80,1823,1.0365,-0.3737037181854248
81,1824,1.2524166,-0.1577870845794677
82,1825,1.385,-0.0252037048339843
83,1826,1.7114167,0.3012130260467529
84,1827,1.2933333,-0.1168704032897949
85,1828,2.53975,1.1295464038848877
86,1829,1.6254166,0.2152129411697387
87,1830,1.425,0.0147962570190429
88,1831,1.5650834,0.1548796892166137
89,1832,0.975,-0.4352036714553833
90,1833,1.0549166,-0.3552870750427246
91,1834,1.2519166,-0.1582870483398437
92,1835,0.7076667,-0.7025370001792908
93,1836,-0.25741667,-1.6676203608512878
94,1837,0.65991664,-0.7502870559692383
95,1838,0.48183334,-0.9283703565597534
96,1839,0.37691668,-1.0332870185375214
97,1840,1.2403333,-0.169870376586914
98,1841,0.5596667,-0.8505370020866394
99,1842,1.9279166,0.5177129507064819
100,1843,0.866,-0.5442036986351013
101,1844,0.9458333,-0.4643703699111938
102,1845,1.19675,-0.2134536504745483
103,1846,2.0571666,0.6469628810882568
104,1847,1.8286667,0.4184629917144775
105,1848,0.57625,-0.8339536786079407
106,1849,1.029,-0.3812036514282226
107,1850,1.0523334,-0.35787034034729
108,1851,1.6233333,0.2131296396255493
109,1852,1.7858334,0.3756296634674072
110,1853,1.14,-0.2702037096023559
111,1854,1.1313334,-0.2788703441619873
112,1855,0.5556667,-0.8545370101928711
113,1856,1.2154167,-0.1947870254516601
