,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,25.552166,-0.1344623565673828
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,24.785223,-0.9014053344726562
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,25.03825,-0.6483783721923828
108,1851,25.247833,-0.4387950897216797
109,1852,25.128916,-0.5577125549316406
110,1853,25.179222,-0.5074062347412109
111,1854,25.215454,-0.4711742401123047
112,1855,25.269083,-0.4175453186035156
113,1856,25.135416,-0.5512123107910156
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,25.261417,-0.425210952758789
124,1867,25.31775,-0.3688774108886719
125,1868,25.329334,-0.3572940826416015
126,1869,25.3385,-0.3481292724609375
127,1870,25.040167,-0.6464614868164062
128,1871,25.000584,-0.6860446929931641
129,1872,25.18825,-0.4983787536621094
130,1873,25.342667,-0.3439617156982422
131,1874,25.280666,-0.4059619903564453
132,1875,24.906416,-0.78021240234375
133,1876,25.049334,-0.6372947692871094
134,1877,25.483084,-0.2035446166992187
135,1878,25.8755,0.1888713836669922
136,1879,25.113832,-0.5727958679199219
137,1880,25.156666,-0.5299625396728516
138,1881,25.3845,-0.3021278381347656
139,1882,25.305084,-0.3815441131591797
140,1883,25.305166,-0.3814620971679687
141,1884,24.93025,-0.756378173828125
142,1885,25.214582,-0.4720458984375
143,1886,25.219917,-0.4667110443115234
144,1887,24.798666,-0.8879623413085938
145,1888,25.323,-0.3636283874511719
146,1889,25.621916,-0.0647125244140625
147,1890,25.033083,-0.6535453796386719
148,1891,25.182917,-0.5037117004394531
149,1892,25.223083,-0.4635448455810547
150,1893,25.06825,-0.618377685546875
151,1894,25.045084,-0.6415443420410156
152,1895,25.209667,-0.4769611358642578
153,1896,25.251667,-0.4349613189697265
154,1897,25.67775,-0.0088787078857421
155,1898,25.302834,-0.3837947845458984
156,1899,25.163584,-0.5230445861816406
157,1900,25.734583,0.0479545593261718
158,1901,25.392416,-0.2942123413085937
159,1902,25.205416,-0.4812126159667969
160,1903,25.423,-0.2636280059814453
161,1904,25.029333,-0.6572952270507812
162,1905,25.682333,-0.0042953491210937
163,1906,25.654,-0.0326290130615234
164,1907,25.247583,-0.4390449523925781
165,1908,25.34875,-0.3378791809082031
166,1909,25.438583,-0.2480449676513672
167,1910,25.40575,-0.2808780670166015
168,1911,25.359667,-0.3269615173339844
169,1912,25.499,-0.1876277923583984
170,1913,25.24325,-0.4433784484863281
171,1914,25.453083,-0.2335453033447265
172,1915,25.72325,0.03662109375
173,1916,25.37,-0.3166275024414062
174,1917,25.267416,-0.4192123413085937
175,1918,25.070333,-0.6162948608398438
176,1919,25.436666,-0.2499618530273437
177,1920,25.521833,-0.164794921875
178,1921,25.386667,-0.2999610900878906
179,1922,25.35,-0.3366279602050781
180,1923,25.311832,-0.374795913696289
181,1924,25.528667,-0.1579608917236328
182,1925,25.346416,-0.3402118682861328
183,1926,25.793917,0.1072883605957031
184,1927,25.632668,-0.0539608001708984
185,1928,25.70225,0.0156211853027343
186,1929,25.481667,-0.2049617767333984
187,1930,25.665083,-0.02154541015625
188,1931,25.936666,0.2500381469726562
189,1932,25.680584,-0.0060443878173828
190,1933,25.636667,-0.0499610900878906
191,1934,25.566833,-0.1197948455810546
192,1935,25.627916,-0.0587120056152343
193,1936,25.725082,0.0384540557861328
194,1937,25.784584,0.0979557037353515
195,1938,25.687,0.0003719329833984
196,1939,25.618,-0.0686283111572265
197,1940,25.65625,-0.0303783416748046
198,1941,26.021334,0.3347053527832031
199,1942,26.169916,0.4832878112792969
200,1943,25.5665,-0.1201286315917968
201,1944,25.680666,-0.0059623718261718
202,1945,25.705416,0.0187873840332031
203,1946,25.91375,0.227121353149414
204,1947,26.12325,0.4366207122802734
205,1948,25.909416,0.222787857055664
206,1949,25.757584,0.0709552764892578
207,1950,25.65425,-0.032379150390625
208,1951,26.08125,0.3946208953857422
209,1952,26.078333,0.3917045593261719
210,1953,26.028917,0.3422889709472656
211,1954,25.816,0.1293716430664062
212,1955,25.660667,-0.0259609222412109
213,1956,25.67225,-0.0143775939941406
214,1957,25.952333,0.2657051086425781
215,1958,26.16925,0.4826221466064453
216,1959,25.991,0.3043708801269531
217,1960,26.029167,0.342538833618164
218,1961,25.771667,0.0850391387939453
219,1962,25.789417,0.1027889251708984
220,1963,25.838583,0.1519546508789062
221,1964,25.8355,0.1488723754882812
222,1965,25.70175,0.0151214599609375
223,1966,25.943916,0.2572879791259765
224,1967,25.835083,0.1484546661376953
225,1968,25.951084,0.2644557952880859
226,1969,26.113083,0.4264545440673828
227,1970,26.060167,0.3735389709472656
228,1971,25.792917,0.1062889099121093
229,1972,26.061916,0.3752880096435547
230,1973,26.221834,0.5352058410644531
231,1974,25.897083,0.2104549407958984
232,1975,25.8985,0.2118721008300781
233,1976,25.780834,0.0942058563232421
234,1977,25.9025,0.2158718109130859
235,1978,25.985083,0.2984542846679687
236,1979,26.06,0.3733711242675781
237,1980,26.03025,0.3436222076416015
238,1981,26.030916,0.3442878723144531
239,1982,25.94175,0.2551212310791015
240,1983,26.238333,0.5517044067382812
241,1984,25.77325,0.0866222381591796
242,1985,25.994083,0.3074550628662109
243,1986,26.057167,0.3705387115478515
244,1987,26.368334,0.6817054748535156
245,1988,26.250668,0.5640392303466797
246,1989,26.054,0.3673725128173828
247,1990,26.237833,0.5512046813964844
248,1991,26.075167,0.3885383605957031
249,1992,26.170166,0.4835376739501953
250,1993,26.138834,0.4522056579589844
251,1994,26.08425,0.3976211547851562
252,1995,26.229666,0.5430374145507812
253,1996,26.215,0.5283718109130859
254,1997,26.371916,0.6852874755859375
255,1998,26.75475,1.0681209564208984
256,1999,26.1335,0.4468708038330078
257,2000,26.19025,0.5036220550537109
258,2001,26.32975,0.6431217193603516
259,2002,26.529,0.8423709869384766
260,2003,26.4455,0.7588710784912109
261,2004,26.434834,0.7482051849365234
262,2005,26.45375,0.7671222686767578
263,2006,26.38175,0.6951217651367188
264,2007,26.293083,0.6064548492431641
265,2008,26.06525,0.3786220550537109
266,2009,26.455,0.76837158203125
267,2010,26.537,0.850372314453125
268,2011,26.20225,0.5156211853027344
269,2012,26.322083,0.6354541778564453
270,2013,26.467,0.7803707122802734
