,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,17.730364,0.1177024841308593
95,1838,16.490334,-1.1223278045654297
96,1839,16.71175,-0.9009113311767578
97,1840,16.81025,-0.8024120330810547
98,1841,16.671583,-0.9410781860351562
99,1842,17.286,-0.3266620635986328
100,1843,17.237667,-0.3749942779541015
101,1844,16.83025,-0.7824115753173828
102,1845,16.91225,-0.7004108428955078
103,1846,17.554417,-0.0582447052001953
104,1847,17.154167,-0.4584941864013672
105,1848,16.862333,-0.7503280639648438
106,1849,17.17025,-0.4424114227294922
107,1850,16.77825,-0.83441162109375
108,1851,17.4675,-0.1451606750488281
109,1852,17.2405,-0.372161865234375
110,1853,17.264084,-0.3485774993896484
111,1854,16.981833,-0.630828857421875
112,1855,17.457167,-0.1554946899414062
113,1856,16.9745,-0.6381607055664062
114,1857,16.59475,-1.0179119110107422
115,1858,17.300833,-0.31182861328125
116,1859,17.461334,-0.1513271331787109
117,1860,17.261333,-0.351327896118164
118,1861,16.547417,-1.0652446746826172
119,1862,16.312166,-1.300495147705078
120,1863,16.814,-0.7986621856689453
121,1864,16.952833,-0.6598281860351562
122,1865,17.251333,-0.361328125
123,1866,16.976166,-0.6364955902099609
124,1867,17.372334,-0.2403278350830078
125,1868,17.331417,-0.2812442779541015
126,1869,17.547417,-0.0652446746826171
127,1870,17.458666,-0.1539955139160156
128,1871,17.248167,-0.3644943237304687
129,1872,17.514668,-0.0979938507080078
130,1873,17.6665,0.0538387298583984
131,1874,17.394167,-0.2184944152832031
132,1875,17.451834,-0.16082763671875
133,1876,17.322916,-0.2897453308105469
134,1877,17.663416,0.0507545471191406
135,1878,17.694084,0.0814228057861328
136,1879,17.665583,0.0529212951660156
137,1880,17.03675,-0.5759105682373047
138,1881,17.763416,0.1507549285888672
139,1882,16.971,-0.6416606903076172
140,1883,17.475082,-0.1375789642333984
141,1884,17.081167,-0.531494140625
142,1885,17.002333,-0.6103286743164062
143,1886,16.973833,-0.6388282775878906
144,1887,17.2525,-0.3601608276367187
145,1888,17.812084,0.1994228363037109
146,1889,17.490417,-0.1222438812255859
147,1890,17.295084,-0.3175773620605469
148,1891,17.179916,-0.4327449798583984
149,1892,17.628166,0.0155048370361328
150,1893,17.365334,-0.2473278045654297
151,1894,17.015583,-0.5970783233642578
152,1895,17.249332,-0.3633289337158203
153,1896,17.15125,-0.4614105224609375
154,1897,17.18225,-0.4304122924804687
155,1898,16.832333,-0.7803287506103516
156,1899,17.886583,0.2739219665527344
157,1900,17.121666,-0.4909954071044922
158,1901,17.893583,0.2809219360351562
159,1902,17.993334,0.3806724548339844
160,1903,16.85925,-0.7534122467041016
161,1904,17.2895,-0.3231620788574219
162,1905,17.09,-0.5226612091064453
163,1906,17.22625,-0.3864116668701172
164,1907,16.83725,-0.7754116058349609
165,1908,17.364,-0.2486610412597656
166,1909,17.760416,0.1477546691894531
167,1910,17.008,-0.6046619415283203
168,1911,16.203583,-1.409078598022461
169,1912,17.540167,-0.0724945068359375
170,1913,17.332916,-0.2797451019287109
171,1914,17.749584,0.1369228363037109
172,1915,18.186083,0.5734214782714844
173,1916,16.990334,-0.6223278045654297
174,1917,17.691833,0.079172134399414
175,1918,16.99425,-0.6184120178222656
176,1919,17.735167,0.1225051879882812
177,1920,16.474667,-1.1379947662353516
178,1921,17.261417,-0.3512439727783203
179,1922,17.992584,0.379922866821289
180,1923,17.156,-0.4566612243652344
181,1924,17.702583,0.0899219512939453
182,1925,17.61475,0.0020885467529296
183,1926,17.597416,-0.0152454376220703
184,1927,17.584167,-0.0284938812255859
185,1928,17.18875,-0.4239120483398437
186,1929,17.178667,-0.4339942932128906
187,1930,17.18225,-0.4304122924804687
188,1931,17.136084,-0.4765777587890625
189,1932,17.073917,-0.5387439727783203
190,1933,17.220833,-0.3918285369873047
191,1934,16.91275,-0.6999111175537109
192,1935,17.59225,-0.0204105377197265
193,1936,17.517584,-0.0950775146484375
194,1937,17.501333,-0.111328125
195,1938,17.711916,0.0992546081542968
196,1939,17.647667,0.0350055694580078
197,1940,18.205917,0.5932559967041016
198,1941,18.412416,0.7997550964355469
199,1942,18.025667,0.4130058288574219
200,1943,17.262333,-0.3503284454345703
201,1944,17.963917,0.3512554168701172
202,1945,17.291584,-0.3210773468017578
203,1946,17.604666,-0.00799560546875
204,1947,18.31175,0.6990890502929688
205,1948,17.552668,-0.0599937438964843
206,1949,16.7755,-0.8371620178222656
207,1950,16.908833,-0.7038288116455078
208,1951,17.576166,-0.0364952087402343
209,1952,17.55225,-0.0604114532470703
210,1953,17.729834,0.1171722412109375
211,1954,17.665583,0.0529212951660156
212,1955,18.2235,0.6108379364013672
213,1956,17.567583,-0.0450782775878906
214,1957,16.864166,-0.7484951019287109
215,1958,18.20525,0.5925884246826172
216,1959,17.493084,-0.119577407836914
217,1960,17.89375,0.2810878753662109
218,1961,17.739334,0.1266727447509765
219,1962,17.798,0.1853389739990234
220,1963,18.258917,0.6462554931640625
221,1964,16.906334,-0.7063274383544922
222,1965,17.752583,0.1399211883544922
223,1966,18.403166,0.7905044555664062
224,1967,17.280083,-0.3325786590576172
225,1968,17.54825,-0.0644111633300781
226,1969,17.522917,-0.0897445678710937
227,1970,18.452,0.8393383026123047
228,1971,17.901417,0.2887554168701172
229,1972,16.423834,-1.1888275146484375
230,1973,17.786583,0.1739215850830078
231,1974,16.98925,-0.6234111785888672
232,1975,17.441833,-0.1708278656005859
233,1976,17.352917,-0.259744644165039
234,1977,18.282917,0.6702556610107422
235,1978,18.15125,0.5385894775390625
236,1979,18.208666,0.5960044860839844
237,1980,18.328833,0.7161712646484375
238,1981,18.41825,0.8055877685546875
239,1982,17.32675,-0.2859115600585937
240,1983,17.959917,0.3472557067871094
241,1984,17.627916,0.0152549743652343
242,1985,18.111334,0.4986724853515625
243,1986,17.700666,0.0880050659179687
244,1987,18.39625,0.7835884094238281
245,1988,18.512167,0.899505615234375
246,1989,17.993084,0.3804225921630859
247,1990,18.426416,0.8137550354003906
248,1991,18.02925,0.4165878295898437
249,1992,16.94975,-0.6629104614257812
250,1993,17.741083,0.1284217834472656
251,1994,18.386,0.7733383178710938
252,1995,18.407917,0.7952556610107422
253,1996,18.206417,0.5937557220458984
254,1997,18.30325,0.6905879974365234
255,1998,19.169916,1.5572547912597656
256,1999,19.157917,1.5452556610107422
257,2000,18.892084,1.2794227600097656
258,2001,19.473833,1.8611717224121092
259,2002,19.142416,1.529754638671875
260,2003,18.915167,1.3025054931640625
261,2004,19.149918,1.5372562408447266
262,2005,18.806667,1.1940059661865234
263,2006,19.211916,1.5992546081542969
264,2007,18.740417,1.127756118774414
265,2008,18.904917,1.292255401611328
266,2009,19.1095,1.4968395233154297
267,2010,20.090166,2.4775047302246094
268,2011,18.915417,1.302755355834961
269,2012,18.959667,1.347005844116211
270,2013,20.541,2.9283390045166016
