,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,19.325624,-2.442819595336914
77,1820,20.802572,-0.965871810913086
78,1821,21.981667,0.2132225036621093
79,1822,20.048182,-1.7202625274658203
80,1823,18.142555,-3.62588882446289
81,1824,22.129,0.3605556488037109
82,1825,21.5125,-0.2559432983398437
83,1826,21.42675,-0.3416938781738281
84,1827,22.297333,0.5288887023925781
85,1828,21.38775,-0.3806934356689453
86,1829,21.436,-0.3324432373046875
87,1830,21.757833,-0.0106105804443359
88,1831,20.934584,-0.8338603973388672
89,1832,20.44775,-1.3206939697265625
90,1833,21.293,-0.4754447937011719
91,1834,21.11225,-0.6561946868896484
92,1835,20.686083,-1.0823612213134766
93,1836,21.116083,-0.6523609161376953
94,1837,20.925583,-0.8428611755371094
95,1838,20.651,-1.1174449920654297
96,1839,20.875,-0.8934440612792969
97,1840,20.934668,-0.8337764739990234
98,1841,21.076334,-0.6921100616455078
99,1842,21.4935,-0.2749443054199219
100,1843,21.353834,-0.4146099090576172
101,1844,21.095917,-0.6725273132324219
102,1845,21.22075,-0.5476932525634766
103,1846,21.847834,0.0793895721435546
104,1847,21.501083,-0.2673606872558594
105,1848,21.30675,-0.4616947174072265
106,1849,21.5165,-0.2519435882568359
107,1850,20.919,-0.8494434356689453
108,1851,21.892334,0.1238899230957031
109,1852,21.512333,-0.2561111450195312
110,1853,21.866583,0.0981388092041015
111,1854,21.120583,-0.6478614807128906
112,1855,21.676584,-0.0918598175048828
113,1856,21.123167,-0.6452770233154297
114,1857,20.705667,-1.0627765655517578
115,1858,21.567417,-0.2010269165039062
116,1859,21.636,-0.1324443817138672
117,1860,21.79075,0.0223064422607421
118,1861,20.520666,-1.2477779388427734
119,1862,20.397917,-1.370527267456055
120,1863,20.81775,-0.950693130493164
121,1864,21.449667,-0.3187770843505859
122,1865,21.774666,0.0062217712402343
123,1866,21.43575,-0.3326950073242187
124,1867,21.58775,-0.180694580078125
125,1868,21.53,-0.238443374633789
126,1869,21.888416,0.1199722290039062
127,1870,21.7385,-0.0299434661865234
128,1871,21.355417,-0.4130268096923828
129,1872,21.840918,0.0724735260009765
130,1873,22.073833,0.305389404296875
131,1874,21.520416,-0.2480278015136718
132,1875,21.102167,-0.6662769317626953
133,1876,21.752167,-0.0162773132324218
134,1877,22.19325,0.4248065948486328
135,1878,22.100166,0.3317222595214844
136,1879,22.244667,0.4762229919433594
137,1880,20.920918,-0.8475265502929688
138,1881,21.83725,0.0688056945800781
139,1882,21.089916,-0.67852783203125
140,1883,21.7925,0.0240554809570312
141,1884,21.21125,-0.5571937561035156
142,1885,21.556917,-0.211526870727539
143,1886,21.266,-0.5024433135986328
144,1887,21.637667,-0.130777359008789
145,1888,22.02925,0.2608051300048828
146,1889,22.02075,0.2523059844970703
147,1890,21.400084,-0.3683605194091797
148,1891,21.724083,-0.0443611145019531
149,1892,21.953333,0.1848888397216797
150,1893,21.5245,-0.2439441680908203
151,1894,20.87475,-0.8936939239501953
152,1895,21.250917,-0.5175266265869141
153,1896,20.976833,-0.7916107177734375
154,1897,21.08175,-0.6866931915283203
155,1898,21.116167,-0.6522769927978516
156,1899,21.850082,0.0816383361816406
157,1900,21.705166,-0.0632781982421875
158,1901,22.739666,0.971221923828125
159,1902,22.210833,0.4423885345458984
160,1903,21.2825,-0.4859447479248047
161,1904,21.41425,-0.3541946411132812
162,1905,21.247917,-0.5205268859863281
163,1906,21.356833,-0.4116115570068359
164,1907,20.748833,-1.019611358642578
165,1908,21.36925,-0.3991947174072265
166,1909,22.220917,0.4524726867675781
167,1910,21.35125,-0.4171943664550781
168,1911,20.295666,-1.4727783203125
169,1912,21.829334,0.0608901977539062
170,1913,21.151583,-0.6168613433837891
171,1914,21.32975,-0.4386940002441406
172,1915,22.05575,0.2873058319091797
173,1916,21.862083,0.0936393737792968
174,1917,22.044,0.2755565643310547
175,1918,21.405834,-0.36260986328125
176,1919,22.01475,0.2463054656982422
177,1920,20.769917,-0.9985275268554688
178,1921,21.275583,-0.4928607940673828
179,1922,22.101418,0.3329734802246094
180,1923,21.812166,0.0437221527099609
181,1924,22.0515,0.2830562591552734
182,1925,21.575666,-0.1927776336669922
183,1926,21.723667,-0.0447769165039062
184,1927,21.886917,0.1184730529785156
185,1928,21.7915,0.0230560302734375
186,1929,21.95075,0.1823062896728515
187,1930,22.258333,0.4898891448974609
188,1931,21.815166,0.046722412109375
189,1932,21.55175,-0.2166938781738281
190,1933,21.07575,-0.6926937103271484
191,1934,21.497583,-0.2708606719970703
192,1935,22.458666,0.6902217864990234
193,1936,21.907,0.1385555267333984
194,1937,22.281834,0.5133895874023438
195,1938,21.715416,-0.0530281066894531
196,1939,21.780167,0.0117225646972656
197,1940,22.332083,0.5636386871337891
198,1941,22.0975,0.3290557861328125
199,1942,22.117083,0.3486385345458984
200,1943,21.593584,-0.1748600006103515
201,1944,22.063,0.2945556640625
202,1945,21.324833,-0.4436111450195312
203,1946,21.724916,-0.043527603149414
204,1947,22.80675,1.0383052825927734
205,1948,21.32625,-0.4421939849853515
206,1949,21.055,-0.7134437561035156
207,1950,21.31175,-0.4566936492919922
208,1951,22.277666,0.5092220306396484
209,1952,22.30075,0.5323066711425781
210,1953,21.429333,-0.339111328125
211,1954,22.28275,0.5143051147460938
212,1955,22.50075,0.7323055267333984
213,1956,21.47975,-0.2886943817138672
214,1957,21.555084,-0.2133598327636718
215,1958,22.276333,0.5078887939453125
216,1959,21.290167,-0.4782772064208984
217,1960,22.7275,0.9590568542480468
218,1961,21.939333,0.1708889007568359
219,1962,23.15225,1.383806228637695
220,1963,22.331,0.5625553131103516
221,1964,21.37325,-0.3951950073242187
222,1965,22.181583,0.4131393432617187
223,1966,23.078167,1.309722900390625
224,1967,21.077583,-0.6908607482910156
225,1968,22.015583,0.2471389770507812
226,1969,22.39125,0.6228065490722656
227,1970,22.602667,0.8342227935791016
228,1971,21.819916,0.0514717102050781
229,1972,21.177166,-0.591278076171875
230,1973,22.040083,0.2716388702392578
231,1974,21.65375,-0.114694595336914
232,1975,21.813417,0.0449733734130859
233,1976,21.57025,-0.1981945037841797
234,1977,22.218416,0.4499721527099609
235,1978,22.40675,0.6383056640625
236,1979,23.285667,1.5172233581542969
237,1980,22.377583,0.6091384887695312
238,1981,22.419,0.6505565643310547
239,1982,21.185167,-0.5832767486572266
240,1983,21.534834,-0.2336101531982422
241,1984,21.842,0.0735549926757812
242,1985,22.203,0.4345550537109375
243,1986,22.324333,0.5558891296386719
244,1987,22.607666,0.8392219543457031
245,1988,22.058584,0.290140151977539
246,1989,22.338417,0.5699729919433594
247,1990,22.5415,0.7730560302734375
248,1991,22.280333,0.5118885040283203
249,1992,20.685833,-1.082611083984375
250,1993,21.903084,0.1346397399902343
251,1994,22.642416,0.8739719390869141
252,1995,22.431,0.6625556945800781
253,1996,23.01375,1.2453060150146484
254,1997,21.921167,0.1527233123779297
255,1998,23.455416,1.686971664428711
256,1999,23.493334,1.7248897552490234
257,2000,22.988832,1.220388412475586
258,2001,23.517084,1.748640060424805
259,2002,22.895584,1.1271400451660156
260,2003,22.959417,1.1909732818603516
261,2004,22.778917,1.0104732513427734
262,2005,22.696083,0.9276390075683594
263,2006,22.904333,1.1358890533447266
264,2007,23.015,1.2465553283691406
265,2008,23.118166,1.349721908569336
266,2009,22.998083,1.2296390533447266
267,2010,24.650333,2.8818893432617188
268,2011,22.59325,0.8248062133789062
269,2012,23.428917,1.6604728698730469
270,2013,24.2405,2.472055435180664
