,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,18.257584,-1.3859920501708984
67,1810,18.289833,-1.353742599487305
68,1811,18.3435,-1.3000755310058594
69,1812,18.3095,-1.334075927734375
70,1813,18.901083,-0.74249267578125
71,1814,18.908667,-0.7349090576171875
72,1815,19.406727,-0.2368488311767578
73,1816,,
74,1817,20.719126,1.0755500793457031
75,1818,,
76,1819,18.710917,-0.932659149169922
77,1820,18.909584,-0.7339916229248047
78,1821,19.036917,-0.606658935546875
79,1822,18.96475,-0.6788253784179688
80,1823,19.16625,-0.477325439453125
81,1824,19.94325,0.2996749877929687
82,1825,19.37925,-0.2643260955810547
83,1826,19.307417,-0.3361587524414062
84,1827,20.1055,0.461923599243164
85,1828,19.3495,-0.2940750122070312
86,1829,19.312916,-0.3306598663330078
87,1830,19.627916,-0.0156593322753906
88,1831,18.90025,-0.7433261871337891
89,1832,18.428917,-1.2146587371826172
90,1833,19.193916,-0.4496593475341797
91,1834,19.06675,-0.5768260955810547
92,1835,18.579834,-1.063741683959961
93,1836,19.014416,-0.6291599273681641
94,1837,18.714167,-0.9294090270996094
95,1838,18.549,-1.0945758819580078
96,1839,18.787416,-0.8561592102050781
97,1840,18.867,-0.7765750885009766
98,1841,19.25725,-0.3863258361816406
99,1842,19.302,-0.3415756225585937
100,1843,19.2165,-0.4270763397216797
101,1844,19.04375,-0.5998249053955078
102,1845,19.255417,-0.3881587982177734
103,1846,19.929167,0.2855911254882812
104,1847,19.477167,-0.1664085388183593
105,1848,19.326084,-0.3174915313720703
106,1849,19.356583,-0.2869930267333984
107,1850,18.7935,-0.8500747680664062
108,1851,19.662582,0.0190067291259765
109,1852,19.449917,-0.1936588287353515
110,1853,19.964083,0.3205070495605469
111,1854,19.077,-0.5665760040283203
112,1855,19.465166,-0.1784095764160156
113,1856,18.9335,-0.7100753784179688
114,1857,18.627583,-1.0159931182861328
115,1858,19.32375,-0.3198261260986328
116,1859,19.440332,-0.2032432556152343
117,1860,19.82025,0.1766738891601562
118,1861,18.340666,-1.3029098510742188
119,1862,18.28425,-1.3593254089355469
120,1863,18.802834,-0.8407421112060547
121,1864,19.610083,-0.0334930419921875
122,1865,19.965,0.3214244842529297
123,1866,19.714834,0.071258544921875
124,1867,19.796,0.1524238586425781
125,1868,19.336166,-0.3074092864990234
126,1869,19.91175,0.2681751251220703
127,1870,19.625917,-0.0176582336425781
128,1871,18.843666,-0.7999095916748047
129,1872,19.57875,-0.0648250579833984
130,1873,19.914417,0.2708415985107422
131,1874,19.194416,-0.4491596221923828
132,1875,18.142834,-1.500741958618164
133,1876,19.598417,-0.0451583862304687
134,1877,20.102167,0.4585914611816406
135,1878,20.024416,0.3808403015136719
136,1879,20.223,0.5794239044189453
137,1880,19.26225,-0.3813247680664062
138,1881,19.831167,0.187591552734375
139,1882,18.976833,-0.6667423248291016
140,1883,19.330334,-0.313241958618164
141,1884,18.882584,-0.7609920501708984
142,1885,19.635916,-0.007659912109375
143,1886,18.977,-0.6665763854980469
144,1887,19.608833,-0.0347423553466796
145,1888,19.604084,-0.0394916534423828
146,1889,19.729334,0.0857582092285156
147,1890,19.616667,-0.0269088745117187
148,1891,19.609417,-0.034158706665039
149,1892,19.85575,0.2121734619140625
150,1893,19.097166,-0.5464096069335938
151,1894,18.821,-0.8225765228271484
152,1895,19.193333,-0.4502429962158203
153,1896,19.520584,-0.1229915618896484
154,1897,18.906,-0.7375755310058594
155,1898,19.392416,-0.25115966796875
156,1899,19.513916,-0.1296596527099609
157,1900,19.860332,0.2167568206787109
158,1901,20.343916,0.7003402709960938
159,1902,19.916,0.2724246978759765
160,1903,19.119333,-0.5242424011230469
161,1904,19.124332,-0.5192432403564453
162,1905,19.233084,-0.410491943359375
163,1906,19.510416,-0.1331596374511718
164,1907,18.812416,-0.8311595916748047
165,1908,18.93425,-0.7093257904052734
166,1909,19.983667,0.3400917053222656
167,1910,19.06175,-0.5818252563476562
168,1911,18.85225,-0.7913265228271484
169,1912,19.353333,-0.2902431488037109
170,1913,18.844418,-0.7991580963134766
171,1914,19.1405,-0.5030765533447266
172,1915,19.757833,0.1142578125
173,1916,19.912167,0.2685909271240234
174,1917,19.61625,-0.0273265838623046
175,1918,19.430084,-0.2134914398193359
176,1919,19.700834,0.0572586059570312
177,1920,19.01925,-0.6243247985839844
178,1921,18.977917,-0.6656589508056641
179,1922,19.903334,0.2597579956054687
180,1923,19.957834,0.3142585754394531
181,1924,19.87025,0.2266750335693359
182,1925,19.741583,0.0980072021484375
183,1926,19.690834,0.0472583770751953
184,1927,20.011667,0.3680915832519531
185,1928,20.184834,0.5412578582763672
186,1929,19.682,0.0384235382080078
187,1930,20.21,0.5664234161376953
188,1931,19.934584,0.2910079956054687
189,1932,19.793917,0.1503410339355468
190,1933,19.403667,-0.239908218383789
191,1934,19.923916,0.2803401947021484
192,1935,20.328083,0.6845073699951172
193,1936,20.318083,0.6745071411132812
194,1937,20.382584,0.7390079498291016
195,1938,19.494083,-0.1494922637939453
196,1939,20.187334,0.5437583923339844
197,1940,20.015083,0.3715076446533203
198,1941,20.186,0.5424251556396484
199,1942,19.90525,0.2616748809814453
200,1943,19.485666,-0.1579093933105468
201,1944,19.7555,0.1119251251220703
202,1945,19.24925,-0.3943252563476562
203,1946,19.978666,0.3350906372070312
204,1947,20.60625,0.9626750946044922
205,1948,19.201084,-0.4424915313720703
206,1949,18.877083,-0.7664928436279297
207,1950,19.70975,0.0661735534667968
208,1951,20.277166,0.6335906982421875
209,1952,20.390667,0.7470912933349609
210,1953,19.451416,-0.1921596527099609
211,1954,20.083084,0.4395084381103515
212,1955,20.56425,0.9206752777099608
213,1956,19.778334,0.1347579956054687
214,1957,19.809,0.1654243469238281
215,1958,20.235167,0.5915908813476562
216,1959,19.20525,-0.4383258819580078
217,1960,20.723167,1.0795917510986328
218,1961,19.616833,-0.026742935180664
219,1962,20.791082,1.1475067138671875
220,1963,20.604666,0.961090087890625
221,1964,19.325083,-0.3184928894042969
222,1965,19.935333,0.291757583618164
223,1966,20.509083,0.8655071258544922
224,1967,19.080917,-0.5626583099365234
225,1968,19.983418,0.3398418426513672
226,1969,20.335583,0.6920070648193359
227,1970,20.068666,0.4250907897949219
228,1971,19.649334,0.0057582855224609
229,1972,19.529667,-0.1139087677001953
230,1973,19.7835,0.1399250030517578
231,1974,19.693333,0.0497570037841796
232,1975,19.666334,0.0227584838867187
233,1976,19.608583,-0.0349922180175781
234,1977,19.935667,0.2920913696289062
235,1978,20.19225,0.5486736297607422
236,1979,20.65775,1.0141735076904297
237,1980,20.04075,0.3971748352050781
238,1981,20.019417,0.3758411407470703
239,1982,19.31825,-0.3253250122070312
240,1983,19.200583,-0.4429931640625
241,1984,19.730417,0.0868415832519531
242,1985,20.216167,0.5725917816162109
243,1986,19.998167,0.3545913696289062
244,1987,19.951834,0.308258056640625
245,1988,20.06025,0.4166736602783203
246,1989,19.902,0.2584247589111328
247,1990,20.129833,0.4862575531005859
248,1991,20.021917,0.3783416748046875
249,1992,19.028667,-0.6149082183837891
250,1993,19.975416,0.3318405151367187
251,1994,20.500334,0.8567581176757812
252,1995,20.043333,0.3997573852539062
253,1996,20.528084,0.8845081329345703
254,1997,19.823166,0.1795902252197265
255,1998,20.966417,1.3228416442871094
256,1999,20.892166,1.2485904693603516
257,2000,20.230417,0.5868415832519531
258,2001,20.92975,1.286174774169922
259,2002,20.728333,1.084756851196289
260,2003,20.614,0.9704246520996094
261,2004,20.4905,0.846923828125
262,2005,20.43775,0.7941741943359375
263,2006,20.409166,0.7655906677246094
264,2007,20.701584,1.0580081939697266
265,2008,20.930084,1.286508560180664
266,2009,20.831417,1.1878414154052734
267,2010,22.311167,2.667591094970703
268,2011,20.33125,0.6876735687255859
269,2012,21.006083,1.362506866455078
270,2013,21.222376,1.5788002014160156
