,Year,Temp,Mean_deviation
0,1743,,
1,1744,14.006,1.2623844146728516
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,13.270909,0.5272941589355469
8,1751,13.6155,0.8718852996826172
9,1752,8.750167,-3.993448257446289
10,1753,12.737416,-0.0061988830566406
11,1754,12.56325,-0.1803655624389648
12,1755,12.329833,-0.4137821197509765
13,1756,12.84875,0.1051349639892578
14,1757,12.532583,-0.2110319137573242
15,1758,11.792167,-0.9514484405517578
16,1759,12.898167,0.1545515060424804
17,1760,12.732417,-0.0111980438232421
18,1761,12.972167,0.2285518646240234
19,1762,12.742583,-0.0010318756103515
20,1763,12.311916,-0.4316987991333008
21,1764,12.93075,0.1871347427368164
22,1765,12.768583,0.024968147277832
23,1766,12.612083,-0.1315317153930664
24,1767,12.146833,-0.5967817306518555
25,1768,11.8105,-0.933115005493164
26,1769,12.566083,-0.1775321960449218
27,1770,12.517083,-0.226531982421875
28,1771,12.6796665,-0.0639486312866211
29,1772,14.04825,1.3046350479125977
30,1773,12.642417,-0.1011981964111328
31,1774,12.722917,-0.0206985473632812
32,1775,13.148583,0.40496826171875
33,1776,12.413917,-0.3296985626220703
34,1777,12.286,-0.4576148986816406
35,1778,13.160334,0.4167184829711914
36,1779,13.351666,0.6080513000488281
37,1780,13.098666,0.355051040649414
38,1781,13.2735,0.5298852920532227
39,1782,12.200334,-0.5432815551757812
40,1783,12.965083,0.2214679718017578
41,1784,12.345667,-0.3979482650756836
42,1785,12.118417,-0.6251983642578125
43,1786,12.291,-0.4526147842407226
44,1787,12.922667,0.179051399230957
45,1788,13.156667,0.4130516052246094
46,1789,12.358167,-0.3854484558105469
47,1790,12.992833,0.2492179870605468
48,1791,13.170167,0.4265518188476562
49,1792,12.759167,0.0155515670776367
50,1793,12.66375,-0.0798654556274414
51,1794,13.174,0.4303846359252929
52,1795,12.545584,-0.1980314254760742
53,1796,12.802,0.058384895324707
54,1797,13.20425,0.4606351852416992
55,1798,12.928667,0.1850519180297851
56,1799,12.027333,-0.7162818908691406
57,1800,13.164917,0.4213018417358398
58,1801,13.356167,0.6125516891479492
59,1802,13.4865,0.742884635925293
60,1803,12.54225,-0.2013654708862304
61,1804,13.028,0.2843847274780273
62,1805,11.691916,-1.0516986846923828
63,1806,12.941,0.1973848342895507
64,1807,13.015667,0.2720518112182617
65,1808,11.5373335,-1.206281661987305
66,1809,12.235084,-0.5085315704345703
67,1810,12.544917,-0.1986980438232422
68,1811,13.234667,0.4910516738891601
69,1812,11.624,-1.1196155548095703
70,1813,12.113833,-0.6297817230224609
71,1814,11.51475,-1.228865623474121
72,1815,12.118333,-0.6252822875976562
73,1816,11.301833,-1.441781997680664
74,1817,12.310833,-0.4327821731567383
75,1818,12.66575,-0.0778656005859375
76,1819,12.709084,-0.0345315933227539
77,1820,12.554,-0.189615249633789
78,1821,12.437166,-0.3064489364624023
79,1822,13.564167,0.820551872253418
80,1823,12.267667,-0.4759483337402344
81,1824,12.791583,0.0479679107666015
82,1825,12.778833,0.0352182388305664
83,1826,12.570833,-0.1727819442749023
84,1827,12.561417,-0.1821985244750976
85,1828,13.050583,0.3069677352905273
86,1829,11.6918335,-1.0517816543579102
87,1830,12.49475,-0.2488651275634765
88,1831,12.719334,-0.0242815017700195
89,1832,12.235583,-0.5080318450927734
90,1833,12.3495,-0.3941154479980469
91,1834,13.141583,0.3979682922363281
92,1835,11.831833,-0.9117822647094728
93,1836,12.162167,-0.5814485549926758
94,1837,11.6171665,-1.126448631286621
95,1838,11.87325,-0.8703651428222656
96,1839,12.62225,-0.1213655471801757
97,1840,12.201667,-0.5419483184814453
98,1841,13.185083,0.4414682388305664
99,1842,12.201333,-0.5422821044921875
100,1843,12.449,-0.2946147918701172
101,1844,12.398084,-0.3455314636230469
102,1845,12.363833,-0.3797817230224609
103,1846,13.492833,0.7492179870605469
104,1847,12.241333,-0.5022821426391602
105,1848,12.567083,-0.1765317916870117
106,1849,12.5373335,-0.2062816619873047
107,1850,11.792334,-0.9512815475463868
108,1851,11.9626665,-0.7809486389160156
109,1852,12.784166,0.0405511856079101
110,1853,12.277083,-0.466531753540039
111,1854,12.08675,-0.656865119934082
112,1855,12.057667,-0.685948371887207
113,1856,12.391167,-0.3524484634399414
114,1857,12.27275,-0.470865249633789
115,1858,11.832916,-0.9106988906860352
116,1859,12.774083,0.0304679870605468
117,1860,11.935583,-0.8080320358276367
118,1861,12.6501665,-0.0934486389160156
119,1862,13.117583,0.3739681243896484
120,1863,13.248417,0.5048017501831055
121,1864,11.984667,-0.7589483261108398
122,1865,12.79425,0.0506343841552734
123,1866,12.857667,0.1140518188476562
124,1867,12.8625,0.1188850402832031
125,1868,12.9035,0.1598844528198242
126,1869,12.523,-0.2206153869628906
127,1870,12.09575,-0.6478652954101562
128,1871,11.875417,-0.8681983947753906
129,1872,13.166,0.4223852157592773
130,1873,12.863167,0.1195516586303711
131,1874,12.201667,-0.5419483184814453
