,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.142181,0.0449199676513671
82,1825,26.0845,-0.0127620697021484
83,1826,26.151333,0.0540714263916015
84,1827,26.66575,0.5684890747070312
85,1828,26.384666,0.2874050140380859
86,1829,25.6735,-0.4237613677978515
87,1830,26.365917,0.268655776977539
88,1831,25.437666,-0.6595954895019531
89,1832,25.395666,-0.7015953063964844
90,1833,,
91,1834,,
92,1835,25.232416,-0.8648452758789062
93,1836,25.56125,-0.5360107421875
94,1837,25.484917,-0.6123447418212891
95,1838,25.275333,-0.8219280242919922
96,1839,25.5625,-0.5347614288330078
97,1840,25.589167,-0.5080947875976562
98,1841,25.296917,-0.8003444671630859
99,1842,25.700583,-0.3966789245605469
100,1843,25.564083,-0.5331783294677734
101,1844,25.102333,-0.9949283599853516
102,1845,25.12225,-0.9750118255615234
103,1846,25.937084,-0.1601772308349609
104,1847,25.697666,-0.3995952606201172
105,1848,25.694916,-0.4023456573486328
106,1849,26.143417,0.0461559295654296
107,1850,25.982416,-0.1148452758789062
108,1851,25.768333,-0.328927993774414
109,1852,25.455084,-0.6421775817871094
110,1853,25.695,-0.402261734008789
111,1854,25.637333,-0.4599285125732422
112,1855,25.839916,-0.2573451995849609
113,1856,26.314417,0.2171554565429687
114,1857,25.1625,-0.9347610473632812
115,1858,25.304167,-0.7930946350097656
116,1859,25.494833,-0.6024284362792969
117,1860,25.5495,-0.5477619171142578
118,1861,25.842417,-0.2548446655273437
119,1862,25.808916,-0.2883453369140625
120,1863,25.799667,-0.2975940704345703
121,1864,25.388,-0.7092609405517578
122,1865,25.8525,-0.244760513305664
123,1866,25.244667,-0.8525943756103516
124,1867,25.639334,-0.4579277038574219
125,1868,26.0415,-0.0557613372802734
126,1869,26.617416,0.5201549530029297
127,1870,25.727417,-0.3698444366455078
128,1871,25.68,-0.4172611236572265
129,1872,26.060667,-0.0365943908691406
130,1873,25.4005,-0.6967620849609375
131,1874,25.725334,-0.371927261352539
132,1875,25.962084,-0.1351776123046875
133,1876,26.087833,-0.0094280242919921
134,1877,26.244333,0.1470718383789062
135,1878,26.789333,0.6920719146728516
136,1879,26.007084,-0.0901775360107421
137,1880,25.89725,-0.20001220703125
138,1881,25.525917,-0.5713443756103516
139,1882,25.46675,-0.6305122375488281
140,1883,26.017834,-0.0794277191162109
141,1884,25.424917,-0.6723442077636719
142,1885,25.6655,-0.4317607879638672
143,1886,25.55025,-0.5470123291015625
144,1887,25.418083,-0.6791782379150391
145,1888,25.727167,-0.3700942993164062
146,1889,25.977,-0.1202621459960937
147,1890,25.535084,-0.5621776580810547
148,1891,26.06525,-0.0320110321044921
149,1892,25.6065,-0.4907608032226562
150,1893,25.45975,-0.63751220703125
151,1894,25.42375,-0.6735115051269531
152,1895,25.586584,-0.5106773376464844
153,1896,25.7775,-0.3197612762451172
154,1897,26.249083,0.1518211364746093
155,1898,25.88875,-0.2085113525390625
156,1899,25.913918,-0.1833438873291015
157,1900,26.199917,0.1026554107666015
158,1901,25.602417,-0.4948444366455078
159,1902,25.858917,-0.2383441925048828
160,1903,26.089083,-0.0081787109375
161,1904,25.732584,-0.3646774291992187
162,1905,26.03225,-0.065011978149414
163,1906,25.86275,-0.2345123291015625
164,1907,25.89675,-0.2005119323730468
165,1908,25.94375,-0.1535110473632812
166,1909,25.647583,-0.4496784210205078
167,1910,25.38725,-0.7100105285644531
168,1911,26.07,-0.027261734008789
169,1912,26.11175,0.0144882202148437
170,1913,25.7275,-0.369760513305664
171,1914,26.020916,-0.0763454437255859
172,1915,26.204666,0.1074047088623046
173,1916,25.78125,-0.3160114288330078
174,1917,25.477833,-0.6194286346435547
175,1918,25.729334,-0.3679275512695312
176,1919,26.17125,0.0739879608154296
177,1920,26.055666,-0.041595458984375
178,1921,26.014,-0.083261489868164
179,1922,26.032833,-0.0644283294677734
180,1923,26.140333,0.0430717468261718
181,1924,26.32375,0.2264881134033203
182,1925,26.05525,-0.0420112609863281
183,1926,26.382917,0.2856559753417969
184,1927,26.269333,0.1720714569091797
185,1928,26.227833,0.1305713653564453
186,1929,26.147167,0.049905776977539
187,1930,26.31075,0.2134876251220703
188,1931,26.343082,0.2458209991455078
189,1932,26.25975,0.1624889373779297
190,1933,25.952084,-0.1451778411865234
191,1934,25.9045,-0.1927623748779297
192,1935,25.794834,-0.3024272918701172
193,1936,26.179417,0.0821552276611328
194,1937,26.21375,0.1164894104003906
195,1938,25.991167,-0.1060943603515625
196,1939,26.05875,-0.0385112762451171
197,1940,26.47475,0.3774890899658203
198,1941,26.646917,0.5496559143066406
199,1942,26.579584,0.4823226928710937
200,1943,26.25225,0.1549892425537109
201,1944,26.158833,0.0615711212158203
202,1945,26.066166,-0.0310955047607421
203,1946,26.259583,0.1623210906982422
204,1947,26.405834,0.308572769165039
205,1948,26.470833,0.3735713958740234
206,1949,26.0375,-0.0597610473632812
207,1950,25.723,-0.3742618560791015
208,1951,26.142084,0.0448226928710937
209,1952,26.360834,0.2635726928710937
210,1953,26.516666,0.4194049835205078
211,1954,26.143333,0.0460720062255859
212,1955,26.042583,-0.0546779632568359
213,1956,26.034666,-0.0625953674316406
214,1957,26.246334,0.1490726470947265
215,1958,26.50225,0.4049892425537109
216,1959,26.332417,0.2351551055908203
217,1960,26.463917,0.3666553497314453
218,1961,26.484333,0.3870716094970703
219,1962,26.117416,0.0201549530029296
220,1963,26.117834,0.0205726623535156
221,1964,26.405916,0.30865478515625
222,1965,26.266666,0.1694049835205078
223,1966,26.1825,0.0852394104003906
224,1967,26.186417,0.0891551971435546
225,1968,26.1945,0.097238540649414
226,1969,26.542583,0.445322036743164
227,1970,26.150667,0.05340576171875
228,1971,26.099083,0.0018215179443359
229,1972,26.406334,0.3090724945068359
230,1973,26.51025,0.4129886627197265
231,1974,26.03375,-0.0635108947753906
232,1975,26.26475,0.1674880981445312
233,1976,26.297083,0.1998214721679687
234,1977,26.558,0.4607391357421875
235,1978,26.393917,0.2966556549072265
236,1979,26.340334,0.243072509765625
237,1980,26.662834,0.5655727386474609
238,1981,26.379583,0.2823219299316406
239,1982,26.660334,0.5630722045898438
240,1983,26.846416,0.7491550445556641
241,1984,26.355333,0.2580718994140625
242,1985,26.237833,0.1405715942382812
243,1986,26.320917,0.2236557006835937
244,1987,26.862833,0.7655715942382812
245,1988,26.736,0.6387386322021484
246,1989,26.438417,0.341156005859375
247,1990,26.74025,0.6429882049560547
248,1991,26.687834,0.5905723571777344
249,1992,26.720417,0.6231555938720703
250,1993,26.523,0.4257392883300781
251,1994,26.911,0.8137378692626953
252,1995,26.893917,0.7966556549072266
253,1996,26.474833,0.3775711059570312
254,1997,27.199167,1.1019058227539062
255,1998,27.235584,1.138322830200195
256,1999,26.535667,0.4384059906005859
257,2000,26.469418,0.3721561431884765
258,2001,26.703083,0.6058216094970703
259,2002,27.00075,0.9034881591796876
260,2003,27.065834,0.9685726165771484
261,2004,26.903833,0.8065719604492188
262,2005,26.835,0.7377376556396484
263,2006,27.034166,0.9369049072265624
264,2007,27.013916,0.9166545867919922
265,2008,26.6215,0.5242385864257812
266,2009,26.860167,0.7629051208496094
267,2010,26.52125,0.4239883422851562
268,2011,26.640583,0.5433216094970703
269,2012,26.885084,0.7878227233886719
270,2013,27.125334,1.0280723571777344
