,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,11.0195,-0.9343585968017578
99,1842,11.44575,-0.5081081390380859
100,1843,11.62725,-0.326608657836914
101,1844,11.2161665,-0.7376918792724609
102,1845,11.3805,-0.5733585357666016
103,1846,11.824333,-0.1295251846313476
104,1847,11.659667,-0.2941913604736328
105,1848,11.600417,-0.3534412384033203
106,1849,11.605,-0.3488588333129883
107,1850,11.116,-0.8378582000732422
108,1851,11.117583,-0.8362751007080078
109,1852,11.117833,-0.8360252380371094
110,1853,11.257667,-0.6961917877197266
111,1854,11.692166,-0.2616920471191406
112,1855,12.040667,0.0868082046508789
113,1856,11.493083,-0.4607753753662109
114,1857,11.400333,-0.5535249710083008
115,1858,11.6865835,-0.2672748565673828
116,1859,11.55625,-0.3976087570190429
117,1860,11.096084,-0.8577747344970703
118,1861,11.179334,-0.7745246887207031
119,1862,11.17575,-0.7781085968017578
120,1863,11.808416,-0.1454420089721679
121,1864,11.44275,-0.5111083984375
122,1865,11.724,-0.2298583984375
123,1866,11.225166,-0.7286920547485352
124,1867,11.719334,-0.2345247268676757
125,1868,11.644,-0.3098583221435547
126,1869,11.522333,-0.4315252304077148
127,1870,11.574833,-0.3790254592895508
128,1871,11.529583,-0.4242753982543945
129,1872,11.460834,-0.4930248260498047
130,1873,10.987333,-0.9665250778198242
131,1874,11.7465,-0.2073583602905273
132,1875,11.6865835,-0.2672748565673828
133,1876,11.95225,-0.0016088485717773
134,1877,12.22975,0.2758913040161133
135,1878,11.66275,-0.2911081314086914
136,1879,12.07825,0.1243915557861328
137,1880,11.860583,-0.0932750701904296
138,1881,11.585417,-0.3684415817260742
139,1882,11.74025,-0.2136087417602539
140,1883,11.40825,-0.5456085205078125
141,1884,10.535334,-1.4185247421264648
142,1885,11.009167,-0.9446916580200196
143,1886,11.922,-0.0318584442138671
144,1887,11.677834,-0.2760248184204101
145,1888,11.62275,-0.3311080932617187
146,1889,11.066,-0.8878583908081055
147,1890,12.84225,0.8883914947509766
148,1891,11.825167,-0.1286916732788086
149,1892,11.536333,-0.4175252914428711
150,1893,11.207666,-0.7461919784545898
151,1894,12.44825,0.4943914413452148
152,1895,11.57325,-0.3806085586547851
153,1896,11.6814165,-0.2724418640136719
154,1897,11.216,-0.737858772277832
155,1898,11.900666,-0.053192138671875
156,1899,11.828,-0.1258583068847656
157,1900,11.473666,-0.4801921844482422
158,1901,11.680166,-0.2736921310424804
159,1902,11.52375,-0.4301080703735351
160,1903,11.843333,-0.1105251312255859
161,1904,11.770166,-0.1836919784545898
162,1905,11.597417,-0.3564414978027344
163,1906,11.183917,-0.7699413299560547
164,1907,11.403167,-0.5506916046142578
165,1908,11.096,-0.8578586578369141
166,1909,11.38875,-0.5651082992553711
167,1910,11.378917,-0.5749416351318359
168,1911,11.980083,0.0262250900268554
169,1912,11.45325,-0.5006084442138672
170,1913,10.986834,-0.9670248031616212
171,1914,12.487166,0.5333080291748047
172,1915,12.061084,0.1072254180908203
173,1916,12.545333,0.5914745330810547
174,1917,11.412917,-0.5409412384033203
175,1918,11.609167,-0.3446912765502929
176,1919,11.951333,-0.0025253295898437
177,1920,12.2135,0.2596416473388672
178,1921,11.57175,-0.3821086883544922
179,1922,12.078417,0.1245584487915039
180,1923,11.9085,-0.045358657836914
181,1924,11.642417,-0.311441421508789
182,1925,11.758583,-0.1952753067016601
183,1926,11.302417,-0.6514415740966797
184,1927,11.7355,-0.218358039855957
185,1928,12.057917,0.1040582656860351
186,1929,11.774917,-0.1789417266845703
187,1930,12.29275,0.3388919830322265
188,1931,11.489083,-0.4647750854492187
189,1932,11.98275,0.0288915634155273
190,1933,11.953167,-0.0006914138793945
191,1934,11.49875,-0.455108642578125
192,1935,11.893084,-0.060774803161621
193,1936,11.5475,-0.4063587188720703
194,1937,12.211166,0.2573080062866211
195,1938,12.081166,0.1273078918457031
196,1939,12.084084,0.1302251815795898
197,1940,11.98725,0.0333919525146484
198,1941,11.9185,-0.0353584289550781
199,1942,12.002167,0.0483083724975585
200,1943,11.994833,0.0409746170043945
201,1944,11.692166,-0.2616920471191406
202,1945,11.138833,-0.8150253295898438
203,1946,12.360666,0.4068078994750976
204,1947,11.333583,-0.6202754974365234
205,1948,12.795917,0.8420581817626953
206,1949,12.102583,0.1487245559692382
207,1950,12.5895,0.6356420516967773
208,1951,12.146667,0.1928081512451172
209,1952,11.939667,-0.0141916275024414
210,1953,11.964666,0.010807991027832
211,1954,12.224,0.2701416015625
212,1955,12.729,0.775141716003418
213,1956,12.019417,0.0655584335327148
214,1957,12.055333,0.1014747619628906
215,1958,12.57,0.6161413192749023
216,1959,12.958167,1.0043087005615234
217,1960,12.5998335,0.6459751129150391
218,1961,13.0455,1.0916414260864258
219,1962,12.4661665,0.5123081207275391
220,1963,12.29325,0.3393917083740234
221,1964,12.34975,0.3958911895751953
222,1965,11.687917,-0.2659416198730469
223,1966,12.134417,0.1805582046508789
224,1967,12.266334,0.3124752044677734
225,1968,12.190416,0.2365579605102539
226,1969,11.849,-0.1048583984375
227,1970,11.929,-0.0248584747314453
228,1971,11.983417,0.0295581817626953
229,1972,12.592167,0.6383085250854492
230,1973,12.41475,0.4608917236328125
231,1974,11.7905,-0.1633586883544922
232,1975,12.337,0.3831415176391601
233,1976,11.7475,-0.2063579559326172
234,1977,12.19825,0.2443914413452148
235,1978,12.505333,0.5514745712280273
236,1979,12.842584,0.8887252807617188
237,1980,11.795083,-0.1587753295898437
238,1981,11.629416,-0.324441909790039
239,1982,12.336333,0.3824748992919922
240,1983,12.121917,0.1680583953857422
241,1984,11.659917,-0.2939414978027344
242,1985,12.281333,0.3274745941162109
243,1986,11.691417,-0.2624416351318359
244,1987,12.543834,0.5899753570556641
245,1988,11.967667,0.013808250427246
246,1989,12.91175,0.9578914642333984
247,1990,13.590584,1.6367254257202148
248,1991,12.783167,0.8293085098266602
249,1992,12.48425,0.5303916931152344
250,1993,12.055166,0.1013078689575195
251,1994,13.22975,1.2758913040161133
252,1995,12.475417,0.5215587615966797
253,1996,12.082833,0.1289749145507812
254,1997,12.752417,0.798558235168457
255,1998,13.24475,1.2908916473388672
256,1999,13.080083,1.1262245178222656
257,2000,12.833834,0.8799753189086914
258,2001,12.45,0.4961414337158203
259,2002,12.837334,0.8834753036499023
260,2003,12.507,0.5531415939331055
261,2004,13.435667,1.4818086624145508
262,2005,12.555917,0.6020584106445312
263,2006,12.757083,0.8032245635986328
264,2007,13.192166,1.2383079528808594
265,2008,12.874917,0.9210586547851562
266,2009,12.933833,0.9799747467041016
267,2010,13.215584,1.2617254257202148
268,2011,12.73775,0.7838916778564453
269,2012,12.565666,0.6118078231811523
270,2013,12.96475,1.0108919143676758
