,Year,Temp,Mean_deviation
0,1743,,
1,1744,11.612875,0.68115234375
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,11.381818,0.4500951766967773
8,1751,11.052625,0.1209020614624023
9,1752,9.055166,-1.876556396484375
10,1753,10.926,-0.0057229995727539
11,1754,10.781584,-0.1501388549804687
12,1755,10.472667,-0.4590559005737304
13,1756,10.831667,-0.1000556945800781
14,1757,10.70175,-0.2299728393554687
15,1758,10.068334,-0.8633890151977539
16,1759,11.100417,0.1686944961547851
17,1760,10.718333,-0.2133893966674804
18,1761,11.068084,0.1363611221313476
19,1762,10.6265,-0.3052225112915039
20,1763,10.271833,-0.6598892211914062
21,1764,10.708667,-0.2230558395385742
22,1765,10.606584,-0.325139045715332
23,1766,10.546166,-0.3855562210083008
24,1767,10.66425,-0.2674722671508789
25,1768,10.57775,-0.3539724349975586
26,1769,10.576417,-0.3553056716918945
27,1770,10.471167,-0.4605560302734375
28,1771,10.588083,-0.3436393737792969
29,1772,11.177,0.2452774047851562
30,1773,10.630333,-0.3013896942138672
31,1774,10.84525,-0.0864725112915039
32,1775,11.423083,0.4913606643676758
33,1776,10.774834,-0.1568889617919922
34,1777,10.77025,-0.1614723205566406
35,1778,11.237667,0.3059444427490234
36,1779,11.822917,0.8911943435668945
37,1780,11.338583,0.4068603515625
38,1781,11.780916,0.8491935729980469
39,1782,9.993417,-0.9383058547973632
40,1783,11.2875,0.3557777404785156
41,1784,10.102917,-0.8288059234619141
42,1785,10.18875,-0.7429723739624023
43,1786,10.240666,-0.6910562515258789
44,1787,11.016,0.0842771530151367
45,1788,11.119917,0.1881942749023437
46,1789,10.43875,-0.4929723739624023
47,1790,11.146833,0.2151107788085937
48,1791,11.085417,0.1536941528320312
49,1792,11.09625,0.1645269393920898
50,1793,11.123917,0.1921939849853515
51,1794,11.396417,0.4646940231323242
52,1795,10.862583,-0.0691394805908203
53,1796,10.837,-0.0947227478027343
54,1797,10.851916,-0.0798063278198242
55,1798,11.128083,0.1963605880737304
56,1799,9.76425,-1.1674728393554688
57,1800,11.031834,0.1001110076904296
58,1801,11.17025,0.2385272979736328
59,1802,11.043583,0.1118602752685546
60,1803,10.65675,-0.274972915649414
61,1804,11.211,0.2792778015136719
62,1805,10.232417,-0.699305534362793
63,1806,11.44725,0.5155277252197266
64,1807,10.535916,-0.3958063125610351
65,1808,10.168583,-0.7631397247314453
66,1809,10.341333,-0.5903892517089844
67,1810,10.306666,-0.625056266784668
68,1811,11.224916,0.2931938171386719
69,1812,9.99075,-0.9409723281860352
70,1813,10.363,-0.5687227249145508
71,1814,9.5895,-1.3422222137451172
72,1815,10.42325,-0.5084724426269531
73,1816,9.407333,-1.5243892669677734
74,1817,10.472667,-0.4590559005737304
75,1818,11.275666,0.3439435958862304
76,1819,10.911166,-0.0205564498901367
77,1820,10.203917,-0.7278060913085938
78,1821,11.198417,0.2666940689086914
79,1822,11.697833,0.7661104202270508
80,1823,10.391,-0.5407228469848633
81,1824,11.005417,0.0736942291259765
82,1825,11.32575,0.3940277099609375
83,1826,11.2085,0.2767772674560547
84,1827,10.789583,-0.1421394348144531
85,1828,11.560333,0.6286106109619141
86,1829,9.59575,-1.335972785949707
