,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,17.9335,-1.4287052154541016
67,1810,17.947,-1.415205001831055
68,1811,18.0075,-1.354705810546875
69,1812,18.0105,-1.351705551147461
70,1813,18.640167,-0.7220382690429688
71,1814,18.652916,-0.70928955078125
72,1815,19.312454,-0.0497512817382812
73,1816,,
74,1817,20.725374,1.363168716430664
75,1818,,
76,1819,17.062,-2.30020523071289
77,1820,18.571857,-0.7903480529785156
78,1821,18.776167,-0.5860385894775391
79,1822,18.661,-0.7012062072753906
80,1823,18.882334,-0.4798717498779297
81,1824,19.672167,0.3099613189697265
82,1825,19.112,-0.2502059936523437
83,1826,19.0425,-0.3197059631347656
84,1827,19.843166,0.4809608459472656
85,1828,19.06125,-0.3009548187255859
86,1829,19.043917,-0.3182888031005859
87,1830,19.351583,-0.0106220245361328
88,1831,18.60375,-0.7584552764892578
89,1832,18.137417,-1.2247886657714844
90,1833,18.912416,-0.4497890472412109
91,1834,18.783833,-0.5783729553222656
92,1835,18.301666,-1.0605392456054688
93,1836,18.73525,-0.6269550323486328
94,1837,18.465084,-0.8971214294433594
95,1838,18.267,-1.095205307006836
96,1839,18.499916,-0.8622894287109375
97,1840,18.576834,-0.7853717803955078
98,1841,18.91825,-0.4439563751220703
99,1842,19.050917,-0.311288833618164
100,1843,18.938917,-0.423288345336914
101,1844,18.7415,-0.6207046508789062
102,1845,18.929167,-0.4330387115478515
103,1846,19.612,0.2497940063476562
104,1847,19.1785,-0.1837062835693359
105,1848,19.021418,-0.3407878875732422
106,1849,19.086082,-0.276123046875
107,1850,18.508167,-0.8540382385253906
108,1851,19.4035,0.0412940979003906
109,1852,19.147417,-0.2147884368896484
110,1853,19.653166,0.2909603118896484
111,1854,18.792418,-0.5697879791259766
112,1855,19.20675,-0.1554546356201172
113,1856,18.64875,-0.7134552001953125
114,1857,18.331583,-1.030622482299805
115,1858,19.102333,-0.2598724365234375
116,1859,19.18225,-0.1799564361572265
117,1860,19.542166,0.1799602508544922
118,1861,18.074333,-1.287872314453125
119,1862,17.99025,-1.3719558715820312
120,1863,18.5135,-0.8487052917480469
121,1864,19.267834,-0.0943717956542968
122,1865,19.641417,0.2792110443115234
123,1866,19.37775,0.0155448913574218
124,1867,19.448917,0.0867118835449218
125,1868,19.1095,-0.2527046203613281
126,1869,19.614084,0.2518787384033203
127,1870,19.31625,-0.0459556579589843
128,1871,18.591833,-0.7703723907470703
129,1872,19.3145,-0.0477046966552734
130,1873,19.63325,0.2710437774658203
131,1874,18.972584,-0.3896217346191406
132,1875,18.00625,-1.3559551239013672
133,1876,19.321333,-0.040872573852539
134,1877,19.837418,0.4752120971679687
135,1878,19.751917,0.3897113800048828
136,1879,19.881,0.5187950134277344
137,1880,18.903584,-0.4586219787597656
138,1881,19.521584,0.1593780517578125
139,1882,18.773666,-0.5885391235351562
140,1883,19.151,-0.2112064361572265
141,1884,18.70025,-0.6619548797607422
142,1885,19.336666,-0.0255393981933593
143,1886,18.741833,-0.6203727722167969
144,1887,19.27175,-0.0904560089111328
145,1888,19.31275,-0.0494556427001953
146,1889,19.488417,0.1262111663818359
147,1890,19.280083,-0.082122802734375
148,1891,19.335083,-0.0271224975585937
149,1892,19.540083,0.1778774261474609
150,1893,18.902,-0.460205078125
151,1894,18.507,-0.8552055358886719
152,1895,18.855667,-0.5065383911132812
153,1896,19.101583,-0.2606220245361328
154,1897,18.632917,-0.7292881011962891
155,1898,19.089167,-0.2730388641357422
156,1899,19.265917,-0.0962886810302734
157,1900,19.5585,0.1962947845458984
158,1901,20.113583,0.7513771057128906
159,1902,19.60925,0.2470436096191406
160,1903,18.895082,-0.4671230316162109
161,1904,18.888334,-0.4738712310791015
162,1905,18.935583,-0.4266223907470703
163,1906,19.241167,-0.1210384368896484
164,1907,18.52275,-0.8394546508789062
165,1908,18.747084,-0.6151218414306641
166,1909,19.75375,0.3915443420410156
167,1910,18.834333,-0.5278720855712891
168,1911,18.511917,-0.8502883911132812
169,1912,19.107166,-0.2550392150878906
170,1913,18.57275,-0.7894554138183594
171,1914,18.832,-0.5302047729492188
172,1915,19.480583,0.118377685546875
173,1916,19.6015,0.2392940521240234
174,1917,19.3745,0.0122947692871093
175,1918,19.085333,-0.2768726348876953
176,1919,19.463917,0.1017112731933593
177,1920,18.668583,-0.6936225891113281
178,1921,18.751167,-0.6110382080078125
179,1922,19.621916,0.2597103118896484
180,1923,19.648582,0.286376953125
181,1924,19.58075,0.2185440063476562
182,1925,19.405834,0.0436286926269531
183,1926,19.352167,-0.0100383758544921
184,1927,19.675833,0.3136272430419922
185,1928,19.863916,0.5017108917236328
186,1929,19.478582,0.1163768768310546
187,1930,19.970333,0.6081275939941406
188,1931,19.6335,0.2712936401367187
189,1932,19.447416,0.0852108001708984
190,1933,19.029167,-0.333038330078125
191,1934,19.536417,0.1742115020751953
192,1935,20.077667,0.7154617309570312
193,1936,19.961166,0.5989608764648438
194,1937,20.13275,0.7705440521240234
195,1938,19.27425,-0.0879554748535156
196,1939,19.773083,0.4108772277832031
197,1940,19.739334,0.3771286010742187
198,1941,19.8275,0.4652938842773437
199,1942,19.61275,0.2505435943603515
200,1943,19.165333,-0.1968727111816406
201,1944,19.545666,0.1834602355957031
202,1945,18.997417,-0.3647880554199219
203,1946,19.612667,0.2504615783691406
204,1947,20.37175,1.0095443725585938
205,1948,18.903667,-0.4585380554199219
206,1949,18.582582,-0.7796230316162109
207,1950,19.401167,0.0389614105224609
208,1951,20.028667,0.6664619445800781
209,1952,20.145,0.7827949523925781
210,1953,19.160583,-0.2016220092773437
211,1954,19.8945,0.5322952270507812
212,1955,20.327583,0.9653778076171876
213,1956,19.413834,0.0516281127929687
214,1957,19.48675,0.1245441436767578
215,1958,19.906416,0.5442104339599609
216,1959,18.861084,-0.5011215209960938
217,1960,20.470583,1.108377456665039
218,1961,19.335083,-0.0271224975585937
219,1962,20.7025,1.3402938842773438
220,1963,20.344667,0.9824619293212892
221,1964,19.022333,-0.3398723602294922
222,1965,19.752,0.3897953033447265
223,1966,20.32075,0.9585437774658204
224,1967,18.6445,-0.7177047729492188
225,1968,19.691166,0.3289604187011719
226,1969,20.136417,0.7742118835449219
227,1970,19.844334,0.4821281433105469
228,1971,19.331667,-0.0305385589599609
229,1972,19.116,-0.2462062835693359
230,1973,19.49775,0.1355438232421875
231,1974,19.3785,0.0162944793701171
232,1975,19.271584,-0.0906219482421875
233,1976,19.229834,-0.1323719024658203
234,1977,19.71125,0.3490447998046875
235,1978,19.996834,0.6346282958984375
236,1979,20.50825,1.1460437774658203
237,1980,19.845,0.4827938079833984
238,1981,19.769917,0.4077110290527344
239,1982,18.850916,-0.5112895965576172
240,1983,18.918,-0.4442062377929687
241,1984,19.357416,-0.0047893524169921
242,1985,19.916,0.5537948608398438
243,1986,19.74175,0.3795452117919922
244,1987,19.896584,0.5343780517578125
245,1988,19.811,0.4487953186035156
246,1989,19.753666,0.3914604187011719
247,1990,19.921583,0.5593776702880859
248,1991,19.79175,0.429544448852539
249,1992,18.604918,-0.7572879791259766
250,1993,19.679916,0.3177108764648437
251,1994,20.265583,0.9033775329589844
252,1995,19.847918,0.4857120513916015
253,1996,20.422,1.059795379638672
254,1997,19.484583,0.1223773956298828
255,1998,20.773582,1.411376953125
256,1999,20.621166,1.2589607238769531
257,2000,20.04525,0.68304443359375
258,2001,20.730833,1.3686275482177734
259,2002,20.322834,0.9606285095214844
260,2003,20.331417,0.9692115783691406
261,2004,20.25525,0.8930454254150391
262,2005,20.137417,0.7752113342285156
263,2006,20.173334,0.8111286163330078
264,2007,20.43975,1.077545166015625
265,2008,20.57275,1.2105445861816406
266,2009,20.4985,1.1362953186035156
267,2010,22.228,2.865795135498047
268,2011,20.1145,0.7522945404052734
269,2012,20.82025,1.4580440521240234
270,2013,21.319124,1.956918716430664
