,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,3.74725,-1.4761300086975098
70,1813,3.5045455,-1.718834638595581
71,1814,4.4861817,-0.7371983528137207
72,1815,,
73,1816,8.631444,3.4080638885498047
74,1817,3.60575,-1.6176300048828125
75,1818,5.6264544,0.4030742645263672
76,1819,3.8105834,-1.4127967357635498
77,1820,4.3451667,-0.8782134056091309
78,1821,4.9425,-0.2808799743652344
79,1822,4.958,-0.2653799057006836
80,1823,4.4884167,-0.7349634170532227
81,1824,5.494167,0.2707867622375488
82,1825,5.19875,-0.024630069732666
83,1826,5.1613336,-0.0620465278625488
84,1827,5.7421665,0.5187864303588867
85,1828,4.54675,-0.6766300201416016
86,1829,4.621917,-0.6014633178710938
87,1830,5.4841666,0.2607865333557129
88,1831,4.2601666,-0.9632134437561036
89,1832,4.1148334,-1.1085467338562012
90,1833,4.720083,-0.5032968521118164
91,1834,4.7720833,-0.4512968063354492
92,1835,4.0735,-1.1498799324035645
93,1836,4.72175,-0.5016303062438965
94,1837,4.1239166,-1.0994634628295898
95,1838,3.82675,-1.396630048751831
96,1839,3.8645,-1.3588800430297852
97,1840,4.24775,-0.9756302833557128
98,1841,3.9608333,-1.2625467777252195
99,1842,5.08325,-0.1401300430297851
100,1843,5.9360833,0.7127032279968262
101,1844,4.36525,-0.8581299781799316
102,1845,4.58875,-0.6346302032470703
103,1846,5.1305,-0.0928802490234375
104,1847,4.7541666,-0.4692134857177734
105,1848,4.2411666,-0.9822134971618652
106,1849,4.9635835,-0.2597966194152832
107,1850,4.478,-0.7453799247741699
108,1851,4.9765,-0.2468800544738769
109,1852,4.749417,-0.4739632606506347
110,1853,4.36625,-0.8571300506591797
111,1854,5.3599167,0.1365365982055664
112,1855,5.5781665,0.3547863960266113
113,1856,5.214083,-0.0092968940734863
114,1857,4.122667,-1.1007132530212402
115,1858,4.8699164,-0.3534636497497558
116,1859,5.818,0.5946197509765625
117,1860,3.7080834,-1.5152966976165771
118,1861,4.4453335,-0.7780466079711914
119,1862,3.6841667,-1.5392134189605713
120,1863,5.69525,0.471869945526123
121,1864,4.4663334,-0.7570466995239258
122,1865,4.584833,-0.6385469436645508
123,1866,5.0218334,-0.2015466690063476
124,1867,5.9828334,0.759453296661377
125,1868,4.6624165,-0.5609636306762695
126,1869,5.0475,-0.175879955291748
127,1870,4.8795834,-0.3437967300415039
128,1871,4.717583,-0.5057969093322754
129,1872,4.829167,-0.3942131996154785
130,1873,5.288417,0.0650367736816406
131,1874,5.68375,0.4603700637817383
132,1875,4.62275,-0.6006302833557129
133,1876,4.577833,-0.6455469131469727
134,1877,4.90375,-0.3196301460266113
135,1878,5.837917,0.6145367622375488
136,1879,5.6731668,0.4497866630554199
137,1880,5.0710835,-0.1522965431213379
138,1881,5.121333,-0.1020469665527343
139,1882,4.60075,-0.6226301193237305
140,1883,4.5555835,-0.6677966117858887
141,1884,4.367,-0.8563799858093262
142,1885,4.6500835,-0.5732965469360352
143,1886,3.7858334,-1.437546730041504
144,1887,5.405083,0.1817030906677246
145,1888,6.2569165,1.033536434173584
146,1889,4.0199165,-1.2034635543823242
147,1890,4.5579166,-0.6654634475708008
148,1891,4.1783333,-1.0450468063354492
149,1892,4.6216664,-0.6017136573791504
150,1893,5.4348335,0.2114534378051757
151,1894,4.246333,-0.9770469665527344
152,1895,4.892833,-0.3305468559265136
153,1896,4.41575,-0.8076300621032715
154,1897,4.325917,-0.897463321685791
155,1898,3.62375,-1.5996301174163818
156,1899,5.9231668,0.6997866630554199
157,1900,4.4765,-0.746880054473877
158,1901,5.188667,-0.0347132682800293
159,1902,5.3255835,0.102203369140625
160,1903,4.30125,-0.9221301078796388
161,1904,4.95775,-0.2656302452087402
162,1905,4.5016665,-0.7217135429382324
163,1906,5.18225,-0.0411300659179687
164,1907,4.19875,-1.024630069732666
165,1908,3.9476666,-1.2757134437561035
166,1909,5.4443336,0.2209534645080566
167,1910,4.9301667,-0.2932133674621582
168,1911,4.711167,-0.5122132301330566
169,1912,4.93475,-0.2886300086975097
170,1913,5.5234165,0.3000364303588867
171,1914,5.7749166,0.5515365600585938
172,1915,6.3141665,1.0907864570617676
173,1916,4.7956667,-0.427713394165039
174,1917,5.50125,0.277869701385498
175,1918,4.4891667,-0.7342133522033691
176,1919,4.6240835,-0.5992965698242188
177,1920,4.0828333,-1.140546798706055
178,1921,5.21,-0.0133800506591796
179,1922,5.99075,0.7673697471618652
180,1923,5.67125,0.4478697776794433
181,1924,5.191583,-0.0317969322204589
182,1925,6.3410835,1.1177034378051758
183,1926,5.306667,0.0832867622375488
184,1927,5.04925,-0.1741299629211425
185,1928,4.157833,-1.065546989440918
186,1929,3.9200833,-1.3032968044281006
187,1930,4.8125,-0.4108800888061523
188,1931,4.3923335,-0.8310465812683105
189,1932,5.6109166,0.3875365257263183
190,1933,4.6195,-0.6038799285888672
191,1934,3.8223333,-1.4010467529296875
192,1935,4.9630833,-0.2602968215942383
193,1936,5.225167,0.0017867088317871
194,1937,4.6224165,-0.6009635925292969
195,1938,5.446,0.2226200103759765
196,1939,5.6155,0.3921198844909668
197,1940,6.10775,0.8843698501586914
198,1941,5.4675,0.2441201210021972
199,1942,4.9740834,-0.2492966651916504
200,1943,4.6944165,-0.528963565826416
201,1944,6.0646667,0.8412866592407227
202,1945,4.392,-0.8313798904418945
203,1946,5.17275,-0.0506300926208496
204,1947,5.4764166,0.2530364990234375
205,1948,6.0895,0.8661198616027832
206,1949,4.57825,-0.6451301574707031
207,1950,4.2674165,-0.9559636116027832
208,1951,5.3195834,0.096203327178955
209,1952,4.88525,-0.3381299972534179
210,1953,5.5525,0.3291196823120117
211,1954,3.9738333,-1.249546766281128
212,1955,6.0565834,0.8332033157348633
213,1956,4.84325,-0.3801302909851074
214,1957,5.38175,0.1583700180053711
215,1958,5.339083,0.1157031059265136
216,1959,4.494583,-0.7287969589233398
217,1960,4.3188334,-0.9045467376708984
218,1961,6.3575835,1.1342034339904783
219,1962,6.5295835,1.3062033653259275
220,1963,6.677417,1.4540367126464844
221,1964,4.974583,-0.2487969398498535
222,1965,6.2361665,1.0127863883972168
223,1966,5.78025,0.5568699836730957
224,1967,5.9235835,0.7002034187316895
225,1968,5.392,0.1686201095581054
226,1969,3.72375,-1.4996299743652344
227,1970,5.547,0.3236198425292969
228,1971,6.3251667,1.1017866134643557
229,1972,4.3566666,-0.8667135238647461
230,1973,6.0860834,0.8627033233642578
231,1974,5.25625,0.032869815826416
232,1975,6.527583,1.3042030334472656
233,1976,4.4471664,-0.7762136459350586
234,1977,6.0776668,0.8542866706848145
235,1978,6.040167,0.8167867660522461
236,1979,6.119583,0.8962030410766602
237,1980,5.70675,0.4833698272705078
238,1981,6.71525,1.4918699264526367
239,1982,6.257583,1.034203052520752
240,1983,7.6600833,2.4367032051086426
241,1984,4.8523335,-0.3710465431213379
242,1985,5.49775,0.2743697166442871
243,1986,5.68725,0.4638700485229492
244,1987,5.5260835,0.3027033805847168
245,1988,6.3776665,1.1542863845825195
246,1989,6.517,1.2936201095581057
247,1990,6.55575,1.3323698043823242
248,1991,6.471,1.2476201057434082
249,1992,5.8096666,0.5862865447998047
250,1993,4.70225,-0.5211300849914551
251,1994,5.5365,0.313119888305664
252,1995,7.3353333,2.1119532585144043
253,1996,5.1008334,-0.1225466728210449
254,1997,7.0653334,1.8419532775878904
255,1998,6.2489166,1.0255365371704102
256,1999,6.9755,1.752120018005371
257,2000,6.7614164,1.5380363464355469
258,2001,6.813083,1.58970308303833
259,2002,7.3015833,2.0782032012939453
260,2003,6.131417,0.9080367088317872
261,2004,7.393,2.1696200370788574
262,2005,6.998833,1.7754530906677246
263,2006,6.8698335,1.6464533805847168
264,2007,7.1551666,1.9317865371704104
265,2008,7.028917,1.80553674697876
266,2009,6.3820834,1.158703327178955
267,2010,6.71,1.4866199493408203
268,2011,5.69625,0.472869873046875
269,2012,6.0754166,0.8520364761352539
270,2013,8.93725,3.713870048522949
