,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,23.366545,-0.7342567443847656
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,23.7431,-0.3577022552490234
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,23.449833,-0.6509685516357422
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,23.1005,-1.0003013610839844
133,1876,23.413,-0.6878013610839844
134,1877,24.001917,-0.0988845825195312
135,1878,24.135416,0.0346145629882812
136,1879,,
137,1880,23.69891,-0.4018917083740234
138,1881,23.886272,-0.2145290374755859
139,1882,23.6275,-0.4733009338378906
140,1883,23.489666,-0.6111354827880859
141,1884,23.319416,-0.7813854217529297
142,1885,23.537167,-0.5636348724365234
143,1886,23.5705,-0.5303020477294922
144,1887,23.364916,-0.7358856201171875
145,1888,23.49825,-0.6025524139404297
146,1889,23.855083,-0.2457180023193359
147,1890,23.55125,-0.5495510101318359
148,1891,23.524834,-0.5759677886962891
149,1892,23.73525,-0.3655509948730469
150,1893,23.6155,-0.4853019714355469
151,1894,23.827917,-0.2728843688964844
152,1895,23.844917,-0.2558841705322265
153,1896,23.885416,-0.2153854370117187
154,1897,23.992666,-0.1081352233886718
155,1898,24.350416,0.2496147155761718
156,1899,23.908167,-0.1926345825195312
157,1900,24.129833,0.029031753540039
158,1901,24.294,0.1931991577148437
159,1902,24.088333,-0.0124683380126953
160,1903,24.03425,-0.0665512084960937
161,1904,23.633083,-0.4677181243896484
162,1905,23.725916,-0.3748855590820312
163,1906,23.382166,-0.7186355590820312
164,1907,23.467583,-0.6332187652587891
165,1908,23.876833,-0.223968505859375
166,1909,23.566668,-0.5341339111328125
167,1910,23.796083,-0.304718017578125
168,1911,23.82875,-0.2720508575439453
169,1912,23.72875,-0.3720512390136719
170,1913,23.883,-0.2178020477294922
171,1914,24.295918,0.1951160430908203
172,1915,24.265167,0.1643657684326172
173,1916,23.7555,-0.3453006744384765
174,1917,23.501833,-0.598968505859375
175,1918,23.772083,-0.3287181854248047
176,1919,24.088083,-0.0127182006835937
177,1920,23.544333,-0.5564689636230469
178,1921,23.718082,-0.3827190399169922
179,1922,23.558584,-0.5422172546386719
180,1923,23.53625,-0.5645523071289062
181,1924,23.819334,-0.2814674377441406
182,1925,23.819,-0.2818012237548828
183,1926,23.926666,-0.1741352081298828
184,1927,23.905333,-0.1954689025878906
185,1928,23.982416,-0.1183853149414062
186,1929,24.1035,0.0026988983154296
187,1930,24.034166,-0.0666351318359375
188,1931,24.45775,0.3569488525390625
189,1932,23.98925,-0.111551284790039
190,1933,24.232166,0.1313648223876953
191,1934,24.207834,0.1070327758789062
192,1935,24.150583,0.0497817993164062
193,1936,24.003334,-0.0974674224853515
194,1937,23.979834,-0.1209678649902343
195,1938,23.900167,-0.2006340026855468
196,1939,24.158167,0.0573654174804687
197,1940,24.331,0.2301979064941406
198,1941,24.44625,0.3454494476318359
199,1942,24.0715,-0.0293006896972656
200,1943,24.130417,0.0296154022216796
201,1944,24.165833,0.0650310516357421
202,1945,24.255167,0.1543655395507812
203,1946,24.139917,0.0391159057617187
204,1947,23.96925,-0.1315517425537109
205,1948,24.070168,-0.0306339263916015
206,1949,24.37375,0.27294921875
207,1950,23.945417,-0.1553840637207031
208,1951,23.989666,-0.1111354827880859
209,1952,24.389668,0.2888660430908203
210,1953,24.366,0.26519775390625
211,1954,24.10775,0.0069484710693359
212,1955,24.128834,0.0280323028564453
213,1956,23.7835,-0.317300796508789
214,1957,24.047417,-0.053384780883789
215,1958,24.345417,0.2446155548095703
216,1959,24.297417,0.1966152191162109
217,1960,24.09575,-0.0050506591796875
218,1961,24.219584,0.1187820434570312
219,1962,24.002083,-0.0987186431884765
220,1963,23.945084,-0.1557178497314453
221,1964,23.764833,-0.335968017578125
222,1965,23.97725,-0.1235523223876953
223,1966,24.2165,0.1156978607177734
224,1967,24.136417,0.0356159210205078
225,1968,23.579666,-0.5211353302001953
226,1969,24.278667,0.177865982055664
227,1970,24.23025,0.1294479370117187
228,1971,23.8565,-0.2443008422851562
229,1972,24.397167,0.296365737915039
230,1973,24.483418,0.3826160430908203
231,1974,24.028667,-0.0721340179443359
232,1975,24.149416,0.048614501953125
233,1976,24.313334,0.2125320434570312
234,1977,24.330416,0.2296142578125
235,1978,24.075834,-0.0249671936035156
236,1979,24.241167,0.1403656005859375
237,1980,24.722416,0.6216144561767578
238,1981,24.320917,0.2201156616210937
239,1982,24.359417,0.258615493774414
240,1983,24.776,0.6751976013183594
241,1984,24.292084,0.1912822723388672
242,1985,24.169584,0.0687828063964843
243,1986,24.419584,0.3187828063964844
244,1987,25.01575,0.9149494171142578
245,1988,24.66025,0.5594482421875
246,1989,24.021667,-0.0791339874267578
247,1990,24.132416,0.0316143035888671
248,1991,24.371584,0.270782470703125
249,1992,24.408916,0.308115005493164
250,1993,24.281584,0.1807823181152343
251,1994,24.524918,0.4241161346435547
252,1995,24.475334,0.3745326995849609
253,1996,24.453,0.3521976470947265
254,1997,24.56475,0.4639492034912109
255,1998,24.591,0.4901981353759765
256,1999,24.570583,0.4697818756103515
257,2000,24.716667,0.6158657073974609
258,2001,24.458334,0.3575325012207031
259,2002,24.66175,0.5609493255615234
260,2003,24.858334,0.7575321197509766
261,2004,24.867083,0.7662811279296875
262,2005,25.133667,1.0328655242919922
263,2006,24.820084,0.7192821502685547
264,2007,24.78875,0.6879482269287109
265,2008,24.64975,0.5489482879638672
266,2009,25.228083,1.1272811889648438
267,2010,24.96125,0.8604488372802734
268,2011,24.96575,0.8649482727050781
269,2012,24.925417,0.824615478515625
270,2013,24.93525,0.8344478607177734
