,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,26.189,-0.5496501922607422
141,1884,25.8675,-0.8711490631103516
142,1885,25.984333,-0.7543163299560547
143,1886,26.017666,-0.7209835052490234
144,1887,25.95475,-0.7838993072509766
145,1888,26.146917,-0.5917320251464844
146,1889,26.283363,-0.4552860260009765
147,1890,25.982416,-0.7562332153320312
148,1891,26.484333,-0.2543163299560547
149,1892,25.914583,-0.824066162109375
150,1893,25.610083,-1.1285667419433594
151,1894,25.921083,-0.81756591796875
152,1895,26.2805,-0.4581489562988281
153,1896,26.706083,-0.0325660705566406
154,1897,26.552,-0.1866493225097656
155,1898,26.274918,-0.4637317657470703
156,1899,26.379917,-0.3587322235107422
157,1900,26.558416,-0.1802330017089843
158,1901,26.458084,-0.2805652618408203
159,1902,26.35175,-0.3868999481201172
160,1903,26.1725,-0.5661487579345703
161,1904,26.1515,-0.5871486663818359
162,1905,26.459,-0.2796497344970703
163,1906,26.506416,-0.2322330474853515
164,1907,26.255167,-0.4834823608398437
165,1908,26.21325,-0.5254001617431641
166,1909,26.13925,-0.5993995666503906
167,1910,25.897583,-0.8410663604736328
168,1911,26.33,-0.4086494445800781
169,1912,26.474,-0.2646484375
170,1913,26.389584,-0.3490657806396484
171,1914,26.662916,-0.0757331848144531
172,1915,26.694584,-0.0440654754638671
173,1916,26.055084,-0.6835651397705078
174,1917,25.6825,-1.0561485290527344
175,1918,26.31325,-0.4253997802734375
176,1919,26.481,-0.2576484680175781
177,1920,26.212584,-0.5260658264160156
178,1921,26.554832,-0.183816909790039
179,1922,26.2355,-0.5031490325927734
180,1923,26.682833,-0.055816650390625
181,1924,26.589333,-0.1493167877197265
182,1925,26.643583,-0.0950660705566406
183,1926,26.749416,0.0107669830322265
184,1927,26.609667,-0.1289825439453125
185,1928,26.632668,-0.1059818267822265
186,1929,26.450666,-0.2879829406738281
187,1930,26.958584,0.2199344635009765
188,1931,26.726084,-0.0125656127929687
189,1932,26.5105,-0.2281494140625
190,1933,26.164,-0.5746498107910156
191,1934,26.551916,-0.1867332458496093
192,1935,26.678333,-0.0603160858154296
193,1936,26.640417,-0.0982322692871093
194,1937,26.928667,0.1900177001953125
195,1938,26.696583,-0.0420665740966796
196,1939,26.723833,-0.0148162841796875
197,1940,27.31275,0.5741004943847656
198,1941,27.435083,0.6964340209960938
199,1942,25.884167,-0.8544826507568359
200,1943,26.859667,0.1210174560546875
201,1944,27.05425,0.3156013488769531
202,1945,27.00325,0.2646007537841797
203,1946,27.033667,0.2950172424316406
204,1947,26.76975,0.0311012268066406
205,1948,26.948334,0.2096843719482422
206,1949,26.453417,-0.2852325439453125
207,1950,26.316166,-0.4224834442138672
208,1951,27.313334,0.5746841430664062
209,1952,27.08175,0.3431015014648437
210,1953,26.750334,0.0116844177246093
211,1954,26.406416,-0.3322334289550781
212,1955,26.22425,-0.5143985748291016
213,1956,26.211666,-0.5269832611083984
214,1957,26.964,0.225351333618164
215,1958,27.104334,0.3656845092773437
216,1959,26.981833,0.2431831359863281
217,1960,26.73475,-0.0038986206054687
218,1961,26.785667,0.0470180511474609
219,1962,26.658083,-0.08056640625
220,1963,27.058834,0.3201847076416015
221,1964,26.427668,-0.3109817504882812
222,1965,26.685917,-0.0527324676513671
223,1966,27.05575,0.3171005249023437
224,1967,26.90925,0.1706008911132812
225,1968,26.856333,0.1176834106445312
226,1969,27.221333,0.4826831817626953
227,1970,26.750334,0.0116844177246093
228,1971,26.181667,-0.5569820404052734
229,1972,26.85375,0.1151008605957031
230,1973,26.622168,-0.1164817810058593
231,1974,26.608166,-0.1304836273193359
232,1975,26.39425,-0.3443984985351562
233,1976,26.55225,-0.1863994598388672
234,1977,27.341333,0.6026840209960938
235,1978,26.971666,0.2330169677734375
236,1979,27.061,0.3223514556884765
237,1980,27.257,0.5183506011962891
238,1981,26.935833,0.197183609008789
239,1982,27.289917,0.5512676239013672
240,1983,27.2045,0.465850830078125
241,1984,26.82675,0.0881004333496093
242,1985,26.807667,0.0690174102783203
243,1986,27.17175,0.4330997467041015
244,1987,27.596333,0.8576831817626953
245,1988,26.931084,0.1924343109130859
246,1989,26.684416,-0.0542335510253906
247,1990,27.075666,0.3370170593261719
248,1991,27.363083,0.6244335174560547
249,1992,27.287333,0.5486831665039062
250,1993,27.138584,0.3999347686767578
251,1994,27.247084,0.5084342956542969
252,1995,27.465918,0.7272682189941406
253,1996,27.3535,0.6148509979248047
254,1997,27.496334,0.7576847076416016
255,1998,27.466,0.7273502349853516
256,1999,26.935417,0.1967678070068359
257,2000,27.07925,0.3406009674072265
258,2001,27.39225,0.6536006927490234
259,2002,27.657917,0.9192676544189452
260,2003,27.767084,1.0284347534179688
261,2004,27.683666,0.945016860961914
262,2005,27.814083,1.0754337310791016
263,2006,27.756,1.017351150512695
264,2007,27.295416,0.5567665100097656
265,2008,26.961,0.22235107421875
266,2009,27.666166,0.9275169372558594
267,2010,27.531666,0.7930164337158203
268,2011,27.160667,0.4220180511474609
269,2012,27.3385,0.5998497009277344
270,2013,27.551374,0.8127250671386719
