,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,24.264917,-0.8372383117675781
98,1841,21.378834,-3.723321914672852
99,1842,,
100,1843,24.487818,-0.6143379211425781
101,1844,24.358418,-0.7437381744384766
102,1845,24.430084,-0.6720714569091797
103,1846,25.863,0.7608451843261719
104,1847,24.736084,-0.3660717010498047
105,1848,24.405666,-0.6964893341064453
106,1849,24.699667,-0.4024887084960937
107,1850,24.1925,-0.9096565246582032
108,1851,25.021917,-0.0802383422851562
109,1852,24.7025,-0.3996562957763672
110,1853,24.884916,-0.2172393798828125
111,1854,24.45375,-0.6484050750732422
112,1855,24.828583,-0.2735729217529297
113,1856,24.359083,-0.743072509765625
114,1857,24.001667,-1.1004886627197266
115,1858,24.91,-0.1921558380126953
116,1859,24.88875,-0.2134056091308593
117,1860,24.891916,-0.2102394104003906
118,1861,23.856167,-1.245988845825195
119,1862,23.578083,-1.5240726470947266
120,1863,24.0425,-1.0596561431884766
121,1864,24.760916,-0.3412399291992187
122,1865,24.990583,-0.111572265625
123,1866,24.577917,-0.5242385864257812
124,1867,24.8985,-0.2036552429199218
125,1868,24.807417,-0.29473876953125
126,1869,25.141417,0.0392608642578125
127,1870,24.965834,-0.136322021484375
128,1871,24.67425,-0.4279060363769531
129,1872,24.842,-0.2601566314697265
130,1873,25.157917,0.0557613372802734
131,1874,24.842083,-0.2600727081298828
132,1875,24.48625,-0.61590576171875
133,1876,24.81825,-0.283905029296875
134,1877,25.356333,0.2541770935058594
135,1878,25.2695,0.1673450469970703
136,1879,25.331083,0.2289276123046875
137,1880,24.381666,-0.720489501953125
138,1881,25.395916,0.2937602996826172
139,1882,24.373583,-0.7285728454589844
140,1883,25.1385,0.0363445281982421
141,1884,24.576166,-0.5259895324707031
142,1885,24.732334,-0.369821548461914
143,1886,24.757334,-0.3448219299316406
144,1887,24.7745,-0.3276557922363281
145,1888,25.151,0.0488433837890625
146,1889,25.324667,0.2225112915039062
147,1890,24.757084,-0.345071792602539
148,1891,25.112833,0.0106773376464843
149,1892,25.251333,0.1491775512695312
150,1893,24.93425,-0.1679058074951172
151,1894,24.39625,-0.7059059143066406
152,1895,24.638666,-0.4634895324707031
153,1896,24.4845,-0.6176548004150391
154,1897,24.545918,-0.5562381744384766
155,1898,24.4095,-0.6926555633544922
156,1899,25.069334,-0.0328216552734375
157,1900,25.097,-0.0051555633544921
158,1901,25.791166,0.6890106201171875
159,1902,25.47475,0.3725948333740234
160,1903,24.331667,-0.7704887390136719
161,1904,24.8465,-0.255655288696289
162,1905,24.495832,-0.6063232421875
163,1906,24.43625,-0.6659049987792969
164,1907,23.915083,-1.18707275390625
165,1908,24.766834,-0.3353214263916015
166,1909,25.35975,0.2575950622558594
167,1910,24.457333,-0.6448230743408203
168,1911,23.695833,-1.4063224792480469
169,1912,25.10675,0.0045948028564453
170,1913,24.669083,-0.4330730438232422
171,1914,24.7995,-0.3026561737060547
172,1915,25.372,0.2698440551757812
173,1916,24.67925,-0.4229049682617187
174,1917,25.169083,0.0669269561767578
175,1918,24.50475,-0.5974063873291016
176,1919,25.20925,0.1070938110351562
177,1920,24.437,-0.6651554107666016
178,1921,24.74175,-0.3604049682617187
179,1922,25.269917,0.1677608489990234
180,1923,24.7825,-0.3196563720703125
181,1924,25.482334,0.3801784515380859
182,1925,24.842,-0.2601566314697265
183,1926,24.927166,-0.1749897003173828
184,1927,25.055334,-0.0468215942382812
185,1928,25.024166,-0.0779895782470703
186,1929,25.085333,-0.0168228149414062
187,1930,25.267666,0.1655101776123047
188,1931,25.05275,-0.0494060516357421
189,1932,24.7135,-0.3886566162109375
190,1933,24.45,-0.6521549224853516
191,1934,24.583666,-0.5184898376464844
192,1935,25.484583,0.3824272155761719
193,1936,24.864166,-0.2379894256591797
194,1937,25.086834,-0.0153217315673828
195,1938,25.003834,-0.0983219146728515
196,1939,24.958416,-0.1437397003173828
197,1940,25.497,0.3948440551757812
198,1941,25.244,0.1418437957763672
199,1942,25.529667,0.4275112152099609
200,1943,24.83575,-0.2664051055908203
201,1944,25.25925,0.1570949554443359
202,1945,24.771334,-0.3308219909667969
203,1946,25.125416,0.0232601165771484
204,1947,26.016417,0.9142608642578124
205,1948,24.5085,-0.5936565399169922
206,1949,24.63525,-0.4669055938720703
207,1950,24.617834,-0.4843215942382812
208,1951,25.565916,0.4637603759765625
209,1952,25.492916,0.3907604217529297
210,1953,24.896418,-0.2057380676269531
211,1954,25.460833,0.3586769104003906
212,1955,25.442333,0.3401775360107422
213,1956,24.725916,-0.3762397766113281
214,1957,24.712418,-0.3897380828857422
215,1958,25.3785,0.2763442993164062
216,1959,24.554832,-0.5473232269287109
217,1960,25.69675,0.5945949554443359
218,1961,24.9805,-0.1216564178466796
219,1962,26.154083,1.0519275665283203
220,1963,25.459833,0.3576774597167969
221,1964,24.548,-0.5541553497314453
222,1965,25.540916,0.438760757446289
223,1966,26.150583,1.0484275817871094
224,1967,24.446333,-0.65582275390625
225,1968,25.329834,0.2276782989501953
226,1969,25.682417,0.58026123046875
227,1970,25.65725,0.5550937652587891
228,1971,25.0655,-0.0366554260253906
229,1972,24.3685,-0.7336559295654297
230,1973,25.406416,0.30426025390625
231,1974,24.99725,-0.1049060821533203
232,1975,25.008917,-0.0932388305664062
233,1976,24.964666,-0.1374893188476562
234,1977,25.572,0.4698448181152344
235,1978,25.472918,0.3707618713378906
236,1979,26.17125,1.0690937042236328
237,1980,25.670834,0.5686779022216797
238,1981,25.69275,0.5905952453613281
239,1982,24.723,-0.3791561126708984
240,1983,24.795834,-0.3063220977783203
241,1984,25.123333,0.0211772918701171
242,1985,25.358084,0.2559280395507812
243,1986,25.4425,0.3403434753417969
244,1987,26.020082,0.917926788330078
245,1988,25.596333,0.4941768646240234
246,1989,25.300167,0.1980113983154297
247,1990,25.758583,0.6564273834228516
248,1991,25.348583,0.2464275360107422
249,1992,24.300333,-0.8018226623535156
250,1993,25.361834,0.2596778869628906
251,1994,25.842333,0.7401771545410156
252,1995,25.49175,0.3895950317382812
253,1996,26.327917,1.2257614135742188
254,1997,25.315834,0.2136783599853515
255,1998,26.67075,1.568593978881836
256,1999,26.836834,1.7346782684326172
257,2000,26.376083,1.2739276885986328
258,2001,26.65475,1.552595138549805
259,2002,26.38675,1.2845935821533203
260,2003,26.496584,1.394428253173828
261,2004,26.155416,1.0532608032226562
262,2005,25.987917,0.8857612609863281
263,2006,26.314667,1.2125110626220703
264,2007,26.330917,1.2287616729736328
265,2008,26.266582,1.1644268035888672
266,2009,26.453167,1.3510112762451172
267,2010,27.638666,2.536510467529297
268,2011,26.0875,0.9853439331054688
269,2012,26.675583,1.5734272003173828
270,2013,27.273375,2.1712188720703125
