,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,2.3540833,-0.8719875812530518
90,1833,2.8009167,-0.4251542091369629
91,1834,2.8871667,-0.3389041423797607
92,1835,2.055,-1.1710708141326904
93,1836,2.5581667,-0.6679041385650635
94,1837,2.2524166,-0.9736542701721193
95,1838,1.9035,-1.3225709199905396
96,1839,1.8408333,-1.3852375745773315
97,1840,2.5046666,-0.7214043140411377
98,1841,2.003,-1.2230708599090576
99,1842,3.0621667,-0.1639041900634765
100,1843,3.4461668,0.2200958728790283
101,1844,2.3564167,-0.8696541786193848
102,1845,2.5979166,-0.6281542778015137
103,1846,3.26275,0.0366790294647216
104,1847,2.73425,-0.4918208122253418
105,1848,2.1450834,-1.0809874534606934
106,1849,2.70725,-0.5188207626342773
107,1850,2.52175,-0.7043209075927734
108,1851,2.66825,-0.5578207969665527
109,1852,2.7264166,-0.4996542930603027
110,1853,2.3689167,-0.857154130935669
111,1854,3.1278334,-0.0982375144958496
112,1855,3.3941667,0.1680958271026611
113,1856,3.0035,-0.2225708961486816
114,1857,2.2968333,-0.9292376041412354
115,1858,3.0251667,-0.2009041309356689
116,1859,3.4858334,0.2597625255584717
117,1860,2.0403333,-1.1857376098632812
118,1861,2.60875,-0.6173207759857178
119,1862,2.0049167,-1.2211542129516602
120,1863,3.3351667,0.109095811843872
121,1864,2.3633332,-0.8627376556396484
122,1865,2.6425,-0.5835709571838379
123,1866,2.8156667,-0.4104042053222656
124,1867,3.7629166,0.5368456840515137
125,1868,2.7686667,-0.4574041366577148
126,1869,2.7533333,-0.4727375507354736
127,1870,2.9855,-0.2405707836151123
128,1871,2.8564167,-0.3696541786193847
129,1872,2.9346666,-0.2914042472839355
130,1873,3.37575,0.1496791839599609
131,1874,3.4253333,0.1992623805999755
132,1875,3.2391667,0.0130958557128906
133,1876,2.5786667,-0.6474041938781738
134,1877,2.71925,-0.5068209171295166
135,1878,3.08425,-0.1418209075927734
136,1879,3.7091668,0.4830958843231201
137,1880,3.6429167,0.4168457984924316
138,1881,3.3184166,0.0923457145690918
139,1882,2.25325,-0.9728209972381592
140,1883,2.3819168,-0.8441541194915771
141,1884,2.4793334,-0.7467374801635742
142,1885,2.70475,-0.5213208198547363
143,1886,1.6468333,-1.5792375802993774
144,1887,2.8540833,-0.3719875812530517
145,1888,4.4100833,1.1840124130249023
146,1889,2.7889166,-0.4371542930603027
147,1890,2.4153333,-0.8107376098632812
148,1891,2.0540833,-1.171987533569336
149,1892,2.8055,-0.4205708503723144
150,1893,3.3756666,0.1495957374572754
151,1894,2.6499166,-0.5761542320251465
152,1895,2.938,-0.2880709171295166
153,1896,3.2644167,0.0383458137512207
154,1897,2.5469167,-0.6791541576385498
155,1898,1.7708334,-1.4552375078201294
156,1899,3.9925833,0.766512393951416
157,1900,2.762,-0.4640707969665527
158,1901,2.8009167,-0.4251542091369629
159,1902,3.2293334,0.0032625198364257
160,1903,1.4500834,-1.7759875059127808
161,1904,2.8491666,-0.3769042491912842
162,1905,1.933,-1.293070912361145
163,1906,2.8615,-0.3645708560943603
164,1907,2.1846666,-1.0414042472839355
165,1908,2.6750834,-0.5509874820709229
166,1909,3.6316667,0.4055957794189453
167,1910,2.9001667,-0.3259041309356689
168,1911,3.2474167,0.0213458538055419
169,1912,3.7763333,0.550262451171875
170,1913,2.9716666,-0.2544043064117431
171,1914,3.8185,0.5924291610717773
172,1915,4.3984165,1.1723456382751465
173,1916,3.0456667,-0.1804041862487793
174,1917,3.7661667,0.5400958061218262
175,1918,2.8356667,-0.3904042243957519
176,1919,2.7240834,-0.5019874572753906
177,1920,1.6058333,-1.6202375888824463
178,1921,2.46225,-0.7638208866119385
179,1922,3.8620834,0.6360125541687012
180,1923,2.8993332,-0.326737642288208
181,1924,3.2159166,-0.0101542472839355
182,1925,3.6925,0.4664292335510254
183,1926,3.4585834,0.2325124740600586
184,1927,3.4481666,0.2220957279205322
185,1928,2.5195832,-0.7064876556396484
186,1929,2.0331666,-1.1929042339324951
187,1930,2.3323333,-0.8937375545501709
188,1931,2.3451667,-0.8809041976928711
189,1932,2.96875,-0.2573208808898926
190,1933,3.1281667,-0.0979042053222656
191,1934,1.80775,-1.418320894241333
192,1935,2.2725832,-0.9534876346588136
193,1936,2.89225,-0.3338208198547363
194,1937,2.3073332,-0.9187376499176024
195,1938,3.59825,0.3721790313720703
196,1939,3.8314166,0.6053457260131836
197,1940,4.5181665,1.29209566116333
198,1941,4.8929167,1.6668457984924316
199,1942,3.5784166,0.3523457050323486
200,1943,3.1011667,-0.1249041557312011
201,1944,3.5468333,0.3207623958587646
202,1945,2.78575,-0.4403209686279297
203,1946,3.61575,0.3896791934967041
204,1947,4.0863333,0.860262393951416
205,1948,3.4313333,0.2052624225616455
206,1949,2.57125,-0.6548209190368652
207,1950,2.625,-0.6010708808898926
208,1951,2.8084166,-0.417654275894165
209,1952,3.08175,-0.1443209648132324
210,1953,3.4,0.173929214477539
211,1954,2.2725832,-0.9534876346588136
212,1955,3.85225,0.6261792182922363
213,1956,3.7835834,0.5575125217437744
214,1957,2.6498334,-0.5762374401092529
215,1958,3.7093334,0.4832625389099121
216,1959,3.2821667,0.0560958385467529
217,1960,3.01125,-0.2148208618164062
218,1961,3.9339166,0.7078456878662109
219,1962,3.5964167,0.3703458309173584
220,1963,4.4354167,1.209345817565918
221,1964,2.7025833,-0.5234875679016113
222,1965,4.096,0.869929313659668
223,1966,3.7445,0.5184290409088135
224,1967,3.1799166,-0.0461542606353759
225,1968,3.5055833,0.2795124053955078
226,1969,2.3744166,-0.8516542911529541
227,1970,3.7745833,0.5485124588012695
228,1971,4.17675,0.9506793022155762
229,1972,2.3725834,-0.853487491607666
230,1973,4.0828333,0.8567624092102051
231,1974,2.8895,-0.3365709781646728
232,1975,3.4741666,0.2480957508087158
233,1976,3.0085833,-0.2174875736236572
234,1977,3.94,0.7139291763305664
235,1978,3.8703334,0.6442625522613525
236,1979,3.8079166,0.581845760345459
237,1980,4.5078335,1.2817625999450684
238,1981,4.1405,0.9144291877746582
239,1982,3.7505834,0.524512529373169
240,1983,4.4415,1.2154293060302734
241,1984,2.94,-0.2860708236694336
242,1985,3.8298333,0.6037623882293701
243,1986,3.8058333,0.5797624588012695
244,1987,4.0045834,0.7785124778747559
245,1988,4.333,1.1069293022155762
246,1989,3.3475833,0.1215124130249023
247,1990,4.492417,1.2663459777832031
248,1991,3.7833333,0.5572624206542969
249,1992,3.72075,0.4946792125701904
250,1993,3.1161666,-0.1099042892456054
251,1994,3.75275,0.5266790390014648
252,1995,4.0501666,0.8240957260131836
253,1996,3.4145834,0.1885125637054443
254,1997,4.8739166,1.64784574508667
255,1998,4.3931665,1.16709566116333
256,1999,4.600333,1.3742623329162598
257,2000,4.73075,1.5046792030334473
258,2001,4.781,1.554929256439209
259,2002,4.709,1.482929229736328
260,2003,4.042333,0.8162622451782227
261,2004,5.02925,1.8031792640686035
262,2005,4.518083,1.2920122146606443
263,2006,4.917333,1.6912622451782229
264,2007,5.05325,1.827178955078125
265,2008,4.5775833,1.351512432098389
266,2009,4.349167,1.123095989227295
267,2010,4.59575,1.369678974151611
268,2011,4.2015834,0.9755125045776368
269,2012,3.5769167,0.3508458137512207
270,2013,6.263125,3.0370540618896484
