,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,22.8897,-0.6937904357910156
74,1817,22.223167,-1.3603229522705078
75,1818,22.9375,-0.6459903717041016
76,1819,22.278584,-1.3049068450927734
77,1820,23.055092,-0.5283985137939453
78,1821,23.217083,-0.3664073944091797
79,1822,23.35425,-0.2292404174804687
80,1823,23.302546,-0.28094482421875
81,1824,,
82,1825,23.533,-0.0504894256591796
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,23.2385,-0.3449897766113281
91,1834,23.219584,-0.3639068603515625
92,1835,22.265333,-1.318157196044922
93,1836,22.663546,-0.9199447631835938
94,1837,22.9905,-0.5929908752441406
95,1838,24.634285,1.0507946014404297
96,1839,23.821112,0.2376213073730468
97,1840,23.132334,-0.4511566162109375
98,1841,23.608084,0.0245933532714843
99,1842,23.254168,-0.3293228149414062
100,1843,23.3315,-0.2519912719726562
101,1844,22.81225,-0.771240234375
102,1845,22.66475,-0.9187412261962892
103,1846,23.189,-0.3944911956787109
104,1847,22.750668,-0.8328227996826172
105,1848,22.833,-0.7504901885986328
106,1849,22.997084,-0.5864067077636719
107,1850,23.1465,-0.436990737915039
108,1851,23.286917,-0.2965736389160156
109,1852,23.1255,-0.4579906463623047
110,1853,23.451,-0.1324901580810547
111,1854,23.444666,-0.138824462890625
112,1855,23.20125,-0.3822402954101562
113,1856,22.83525,-0.7482395172119141
114,1857,23.4398,-0.1436901092529297
115,1858,23.239084,-0.3444061279296875
116,1859,23.293833,-0.2896575927734375
117,1860,23.134083,-0.4494075775146484
118,1861,23.007,-0.5764904022216797
119,1862,,
120,1863,23.007084,-0.5764064788818359
121,1864,22.878,-0.7054901123046875
122,1865,23.389668,-0.1938228607177734
123,1866,23.3445,-0.2389907836914062
124,1867,23.382084,-0.2014064788818359
125,1868,23.481833,-0.1016578674316406
126,1869,23.04825,-0.5352401733398438
127,1870,23.166166,-0.4173240661621094
128,1871,23.256416,-0.3270740509033203
129,1872,23.421833,-0.1616573333740234
130,1873,23.368416,-0.2150745391845703
131,1874,23.42425,-0.15924072265625
132,1875,23.036167,-0.5473232269287109
133,1876,22.9105,-0.6729907989501953
134,1877,23.449083,-0.1344070434570312
135,1878,23.895416,0.3119258880615234
136,1879,23.509417,-0.0740737915039062
137,1880,23.133333,-0.4501571655273437
138,1881,23.333584,-0.2499065399169922
139,1882,23.269,-0.3144912719726562
140,1883,22.992584,-0.5909061431884766
141,1884,22.734333,-0.8491573333740234
142,1885,23.134832,-0.4486579895019531
143,1886,23.126417,-0.4570732116699219
144,1887,23.039083,-0.5444068908691406
145,1888,23.494417,-0.0890731811523437
146,1889,23.5935,0.010009765625
147,1890,23.405333,-0.1781578063964843
148,1891,23.490417,-0.0930728912353515
149,1892,22.856833,-0.7266578674316406
150,1893,22.761333,-0.8221569061279297
151,1894,23.13825,-0.4452400207519531
152,1895,23.411917,-0.1715736389160156
153,1896,23.4195,-0.1639900207519531
154,1897,23.720917,0.1374263763427734
155,1898,23.456,-0.1274909973144531
156,1899,23.136833,-0.4466571807861328
157,1900,23.509167,-0.0743236541748046
158,1901,23.472166,-0.1113243103027343
159,1902,23.898167,0.314676284790039
160,1903,23.292334,-0.2911567687988281
161,1904,23.246916,-0.3365745544433594
162,1905,23.524584,-0.0589065551757812
163,1906,23.704166,0.120676040649414
164,1907,23.116167,-0.4673233032226562
165,1908,23.211584,-0.3719062805175781
166,1909,23.596333,0.0128421783447265
167,1910,23.441584,-0.14190673828125
168,1911,23.769833,0.1863422393798828
169,1912,23.4045,-0.1789913177490234
170,1913,23.102917,-0.4805736541748047
171,1914,23.894167,0.3106765747070312
172,1915,23.84625,0.2627601623535156
173,1916,23.15175,-0.4317398071289062
174,1917,22.91825,-0.6652412414550781
175,1918,23.194834,-0.3886566162109375
176,1919,23.887833,0.3043422698974609
177,1920,23.674917,0.0914268493652343
178,1921,23.4505,-0.1329898834228515
179,1922,23.7175,0.1340103149414062
180,1923,23.797083,0.213592529296875
181,1924,23.74125,0.1577587127685547
182,1925,23.227667,-0.3558235168457031
183,1926,23.666916,0.0834255218505859
184,1927,23.55675,-0.0267410278320312
185,1928,23.563833,-0.0196571350097656
186,1929,23.49825,-0.0852413177490234
187,1930,23.398666,-0.184823989868164
188,1931,24.106333,0.5228424072265625
189,1932,23.302584,-0.2809066772460937
190,1933,23.505,-0.0784912109375
191,1934,23.15175,-0.4317398071289062
192,1935,24.2075,0.6240100860595703
193,1936,23.426666,-0.1568241119384765
194,1937,24.105167,0.5216770172119141
195,1938,23.690584,0.1070938110351562
196,1939,23.71275,0.1292591094970703
197,1940,23.771584,0.1880931854248047
198,1941,24.410166,0.8266754150390625
199,1942,24.037,0.4535102844238281
200,1943,23.541334,-0.0421562194824218
201,1944,24.08675,0.5032596588134766
202,1945,23.607416,0.02392578125
203,1946,24.500334,0.9168434143066406
204,1947,24.047916,0.464426040649414
205,1948,23.786333,0.2028427124023437
206,1949,23.89375,0.3102588653564453
207,1950,23.7715,0.1880092620849609
208,1951,23.725166,0.1416759490966797
209,1952,23.987667,0.4041767120361328
210,1953,24.147083,0.5635929107666016
211,1954,24.027,0.4435100555419922
212,1955,23.531416,-0.0520744323730468
213,1956,23.668583,0.085092544555664
214,1957,24.12525,0.5417594909667969
215,1958,23.95425,0.3707599639892578
216,1959,24.148167,0.5646762847900391
217,1960,24.113417,0.5299263000488281
218,1961,24.031334,0.4478435516357422
219,1962,23.6085,0.0250091552734375
220,1963,23.66325,0.0797595977783203
221,1964,23.822666,0.239175796508789
222,1965,24.028418,0.4449272155761719
223,1966,24.535833,0.9523429870605468
224,1967,23.532,-0.0514907836914062
225,1968,23.84725,0.2637596130371094
226,1969,24.1255,0.5420093536376953
227,1970,23.988583,0.4050922393798828
228,1971,23.201,-0.3824901580810547
229,1972,23.910418,0.3269271850585937
230,1973,24.07425,0.4907588958740234
231,1974,23.564917,-0.0185737609863281
232,1975,23.8125,0.2290096282958984
233,1976,23.52325,-0.0602397918701171
234,1977,23.806417,0.2229270935058593
235,1978,23.8565,0.27301025390625
236,1979,24.257,0.6735095977783203
237,1980,24.282583,0.6990928649902344
238,1981,24.024334,0.4408435821533203
239,1982,23.86975,0.2862586975097656
240,1983,23.858418,0.2749271392822265
241,1984,23.73575,0.1522598266601562
242,1985,23.8195,0.2360095977783203
243,1986,23.744667,0.1611766815185547
244,1987,24.35125,0.7677593231201172
245,1988,23.993,0.4095096588134765
246,1989,23.81875,0.235260009765625
247,1990,24.057333,0.4738426208496094
248,1991,24.259583,0.6760921478271484
249,1992,23.711834,0.1283435821533203
250,1993,23.770334,0.1868438720703125
251,1994,24.060917,0.477426528930664
252,1995,23.945833,0.3623428344726562
253,1996,23.7015,0.1180095672607421
254,1997,24.117916,0.5344257354736328
255,1998,24.868834,1.2853431701660156
256,1999,23.937084,0.3535938262939453
257,2000,23.835167,0.2516765594482422
258,2001,24.155083,0.5715923309326172
259,2002,24.220417,0.6369266510009766
260,2003,24.331917,0.7484264373779297
261,2004,23.86375,0.2802600860595703
262,2005,24.31775,0.7342605590820312
263,2006,24.4055,0.8220100402832031
264,2007,24.21075,0.6272602081298828
265,2008,23.631584,0.0480937957763671
266,2009,24.3655,0.7820091247558594
267,2010,24.934166,1.3506755828857422
268,2011,23.610666,0.0271759033203125
269,2012,24.907667,1.324176788330078
270,2013,25.38525,1.8017597198486328
