,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,16.312584,-1.3262195587158203
67,1810,16.370167,-1.268636703491211
68,1811,16.397167,-1.2416362762451172
69,1812,16.341,-1.2978038787841797
70,1813,16.8795,-0.7593040466308594
71,1814,16.968916,-0.6698875427246094
72,1815,16.67625,-0.9625530242919922
73,1816,16.247168,-1.3916358947753906
74,1817,16.435833,-1.2029705047607422
75,1818,17.272167,-0.3666362762451172
76,1819,16.795,-0.8438034057617188
77,1820,16.946333,-0.6924705505371094
78,1821,17.038334,-0.6004695892333984
79,1822,16.885166,-0.7536373138427734
80,1823,17.253916,-0.3848876953125
81,1824,18.064833,0.4260292053222656
82,1825,17.336666,-0.3021373748779297
83,1826,17.2575,-0.3813037872314453
84,1827,18.169333,0.5305290222167969
85,1828,17.3315,-0.3073043823242187
86,1829,17.307083,-0.3317203521728515
87,1830,17.618084,-0.0207195281982421
88,1831,16.93275,-0.7060527801513672
89,1832,16.2865,-1.3523025512695312
90,1833,17.18825,-0.4505538940429687
91,1834,17.042418,-0.5963859558105469
92,1835,16.607,-1.0318031311035156
93,1836,17.041916,-0.5968875885009766
94,1837,16.72475,-0.914052963256836
95,1838,16.51475,-1.124053955078125
96,1839,16.79125,-0.8475532531738281
97,1840,16.81025,-0.8285541534423828
98,1841,17.318,-0.3208026885986328
99,1842,17.273582,-0.3652210235595703
100,1843,17.232084,-0.4067192077636719
101,1844,17.055916,-0.5828876495361328
102,1845,17.295334,-0.3434696197509765
103,1846,17.93925,0.3004474639892578
104,1847,17.499666,-0.1391372680664062
105,1848,17.41775,-0.2210540771484375
106,1849,17.411083,-0.2277202606201172
107,1850,16.835583,-0.8032207489013672
108,1851,17.777082,0.1382789611816406
109,1852,17.498333,-0.1404705047607422
110,1853,18.051584,0.41278076171875
111,1854,17.04775,-0.5910530090332031
112,1855,17.516333,-0.1224708557128906
113,1856,17.009666,-0.6291370391845703
114,1857,16.639917,-0.9988861083984376
115,1858,17.290333,-0.3484706878662109
116,1859,17.476418,-0.1623859405517578
117,1860,17.878,0.23919677734375
118,1861,16.348333,-1.2904701232910156
119,1862,16.3265,-1.3123035430908203
120,1863,16.857584,-0.781219482421875
121,1864,17.516834,-0.1219692230224609
122,1865,17.86,0.2211971282958984
123,1866,17.700834,0.0620307922363281
124,1867,17.657833,0.0190296173095703
125,1868,17.2545,-0.3843040466308594
126,1869,17.878084,0.2392807006835937
127,1870,17.632416,-0.006387710571289
128,1871,16.976334,-0.6624698638916016
129,1872,17.735,0.0961971282958984
130,1873,18.02175,0.3829460144042969
131,1874,17.217,-0.4218044281005859
132,1875,16.38525,-1.2535533905029297
133,1876,17.7605,0.1216964721679687
134,1877,18.10275,0.4639472961425781
135,1878,18.034334,0.3955307006835937
136,1879,18.307333,0.6685295104980469
137,1880,16.955084,-0.6837196350097656
138,1881,17.594084,-0.0447196960449218
139,1882,16.9015,-0.7373027801513672
140,1883,17.45125,-0.1875534057617187
141,1884,16.962833,-0.6759700775146484
142,1885,17.844166,0.205362319946289
143,1886,17.245333,-0.3934707641601562
144,1887,17.780416,0.1416130065917968
145,1888,17.638334,-0.0004692077636718
146,1889,17.853333,0.2145290374755859
147,1890,17.627916,-0.0108871459960937
148,1891,17.588417,-0.0503864288330078
149,1892,17.84125,0.2024459838867187
150,1893,17.221,-0.4178028106689453
151,1894,16.864334,-0.7744693756103516
152,1895,17.2815,-0.3573036193847656
153,1896,17.316,-0.3228034973144531
154,1897,16.814083,-0.8247203826904297
155,1898,17.317917,-0.3208866119384765
156,1899,17.515417,-0.1233863830566406
157,1900,17.877167,0.2383632659912109
158,1901,18.388083,0.7492790222167969
159,1902,17.93225,0.2934455871582031
160,1903,17.245333,-0.3934707641601562
161,1904,17.206333,-0.4324703216552734
162,1905,17.170666,-0.4681377410888672
163,1906,17.393417,-0.2453861236572265
164,1907,16.784,-0.8548030853271484
165,1908,16.9475,-0.6913032531738281
166,1909,17.973167,0.3343639373779297
167,1910,17.121334,-0.5174694061279297
168,1911,16.59975,-1.039052963256836
169,1912,17.387083,-0.2517204284667969
170,1913,16.9185,-0.7203025817871094
171,1914,17.065666,-0.5731372833251953
172,1915,17.75175,0.1129474639892578
173,1916,18.03,0.3911972045898437
174,1917,17.896166,0.2573623657226562
175,1918,17.42175,-0.2170543670654297
176,1919,17.776083,0.1372795104980468
177,1920,16.829666,-0.8091373443603516
178,1921,17.0085,-0.6303043365478516
179,1922,17.9305,0.291696548461914
180,1923,18.019,0.3801956176757812
181,1924,17.832,0.1931972503662109
182,1925,17.743166,0.1043624877929687
183,1926,17.84175,0.2029457092285156
184,1927,18.084167,0.4453639984130859
185,1928,18.174583,0.5357799530029297
186,1929,17.713,0.0741958618164062
187,1930,18.3045,0.6656970977783203
188,1931,17.949333,0.3105297088623047
189,1932,17.800417,0.1616134643554687
190,1933,17.239166,-0.399637222290039
191,1934,17.920834,0.2820301055908203
192,1935,18.380833,0.7420291900634766
193,1936,18.141083,0.5022792816162109
194,1937,18.416334,0.7775306701660156
195,1938,17.572083,-0.066720962524414
196,1939,18.167667,0.5288639068603516
197,1940,18.054167,0.4153633117675781
198,1941,18.272667,0.6338634490966797
199,1942,17.89075,0.2519474029541015
200,1943,17.542418,-0.0963859558105468
201,1944,17.786667,0.1478633880615234
202,1945,17.44625,-0.1925525665283203
203,1946,18.02675,0.3879470825195312
204,1947,18.761917,1.1231136322021484
205,1948,17.294083,-0.3447208404541015
206,1949,17.01975,-0.6190528869628906
207,1950,17.69525,0.0564460754394531
208,1951,18.16625,0.5274467468261719
209,1952,18.30325,0.6644458770751953
210,1953,17.18175,-0.4570541381835937
211,1954,18.148333,0.5095291137695312
212,1955,18.70925,1.0704460144042969
213,1956,17.690834,0.0520305633544921
214,1957,17.87325,0.234445571899414
215,1958,18.2485,0.6096973419189453
216,1959,17.253,-0.38580322265625
217,1960,18.837334,1.198530197143555
218,1961,17.76325,0.1244468688964843
219,1962,18.86275,1.2239456176757812
220,1963,18.511917,0.8731136322021484
221,1964,17.334167,-0.304636001586914
222,1965,17.900667,0.2618637084960937
223,1966,18.645166,1.0063629150390625
224,1967,17.020334,-0.61846923828125
225,1968,18.078583,0.4397792816162109
226,1969,18.273,0.6341972351074219
227,1970,18.262583,0.623779296875
228,1971,17.71375,0.0749473571777343
229,1972,17.343834,-0.2949695587158203
230,1973,17.79525,0.1564464569091797
231,1974,17.779417,0.1406135559082031
232,1975,17.690416,0.0516128540039062
233,1976,17.479,-0.1598033905029297
234,1977,17.937,0.298196792602539
235,1978,18.253834,0.6150302886962891
236,1979,18.608917,0.9701137542724608
237,1980,17.884583,0.2457790374755859
238,1981,18.14775,0.5089473724365234
239,1982,17.32475,-0.3140525817871094
240,1983,17.316084,-0.3227195739746094
241,1984,17.773333,0.1345291137695312
242,1985,18.255333,0.6165294647216797
243,1986,18.111917,0.473114013671875
244,1987,17.912,0.2731971740722656
245,1988,17.97025,0.3314456939697265
246,1989,18.106583,0.4677791595458984
247,1990,18.184584,0.5457801818847656
248,1991,18.114834,0.4760303497314453
249,1992,16.92125,-0.7175540924072266
250,1993,17.92625,0.2874469757080078
251,1994,18.66425,1.0254459381103516
252,1995,18.104834,0.4660301208496094
253,1996,18.500166,0.8613624572753906
254,1997,17.731583,0.0927791595458984
255,1998,19.001667,1.362863540649414
256,1999,18.9815,1.3426971435546875
257,2000,18.377333,0.7385292053222656
258,2001,19.06275,1.4239463806152344
259,2002,18.677084,1.0382804870605469
260,2003,18.554,0.9151973724365234
261,2004,18.47425,0.8354473114013672
262,2005,18.39275,0.7539463043212891
263,2006,18.314333,0.6755294799804688
264,2007,18.755167,1.116363525390625
265,2008,18.957167,1.3183631896972656
266,2009,18.85225,1.2134456634521484
267,2010,20.268833,2.6300296783447266
268,2011,18.261667,0.62286376953125
269,2012,18.989084,1.35028076171875
270,2013,19.17825,1.539445877075195
