,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,12.905167,-0.8193693161010742
115,1858,13.197,-0.5275363922119141
116,1859,13.248,-0.4765357971191406
117,1860,13.5633,-0.1612358093261718
118,1861,13.261,-0.463536262512207
119,1862,12.850833,-0.8737030029296875
120,1863,13.21525,-0.5092859268188477
121,1864,13.258917,-0.4656190872192383
122,1865,13.614166,-0.1103696823120117
123,1866,13.505584,-0.2189521789550781
124,1867,13.57475,-0.1497859954833984
125,1868,13.217584,-0.5069522857666016
126,1869,13.586667,-0.1378688812255859
127,1870,13.250167,-0.4743690490722656
128,1871,13.383083,-0.3414525985717773
129,1872,13.3645,-0.3600358963012695
130,1873,12.768625,-0.9559106826782228
131,1874,13.3465,-0.3780355453491211
132,1875,13.107333,-0.6172027587890625
133,1876,13.097333,-0.6272029876708984
134,1877,13.565416,-0.1591196060180664
135,1878,13.42175,-0.3027858734130859
136,1879,12.988334,-0.7362022399902344
137,1880,13.654364,-0.0701723098754882
138,1881,13.360917,-0.3636188507080078
139,1882,13.117416,-0.6071195602416992
140,1883,13.397,-0.3275356292724609
141,1884,13.072416,-0.6521196365356445
142,1885,13.50575,-0.2187862396240234
143,1886,13.589334,-0.135202407836914
144,1887,13.089167,-0.6353693008422852
145,1888,13.517667,-0.2068691253662109
146,1889,13.853084,0.1285476684570312
147,1890,13.310583,-0.4139528274536133
148,1891,13.41175,-0.3127861022949219
149,1892,13.356417,-0.3681192398071289
150,1893,13.081083,-0.6434526443481445
151,1894,13.245167,-0.4793691635131836
152,1895,13.271167,-0.453369140625
153,1896,13.998417,0.2738809585571289
154,1897,13.461333,-0.2632026672363281
155,1898,12.96875,-0.7557859420776367
156,1899,13.34325,-0.3812856674194336
157,1900,13.843333,0.1187973022460937
158,1901,13.323584,-0.4009523391723633
159,1902,13.11925,-0.60528564453125
160,1903,13.306,-0.4185361862182617
161,1904,13.1885,-0.5360355377197266
162,1905,13.28175,-0.4427862167358398
163,1906,13.027833,-0.6967029571533203
164,1907,13.014667,-0.709869384765625
165,1908,13.366417,-0.3581190109252929
166,1909,13.419084,-0.3054523468017578
167,1910,12.899167,-0.8253688812255859
168,1911,13.185416,-0.5391197204589844
169,1912,13.72125,-0.0032863616943359
170,1913,13.730917,0.0063810348510742
171,1914,13.932917,0.2083806991577148
172,1915,13.418333,-0.3062028884887695
173,1916,13.415167,-0.3093690872192383
174,1917,12.918167,-0.8063688278198242
175,1918,13.25675,-0.4677858352661133
176,1919,13.762167,0.0376310348510742
177,1920,13.651667,-0.0728693008422851
178,1921,13.125083,-0.5994529724121094
179,1922,13.893333,0.168797492980957
180,1923,13.9435835,0.2190475463867187
181,1924,13.020333,-0.7042026519775391
182,1925,13.447833,-0.276702880859375
183,1926,13.807333,0.0827970504760742
184,1927,13.942166,0.217630386352539
185,1928,13.66125,-0.0632858276367187
186,1929,13.821417,0.0968809127807617
187,1930,13.392083,-0.3324527740478515
188,1931,13.727417,0.0028810501098632
189,1932,14.09525,0.3707141876220703
190,1933,13.927167,0.2026309967041015
191,1934,13.767583,0.0430469512939453
192,1935,13.096666,-0.6278696060180664
193,1936,13.478583,-0.2459526062011718
194,1937,13.926583,0.2020473480224609
195,1938,13.991,0.2664642333984375
196,1939,13.462833,-0.2617025375366211
197,1940,14.1305,0.4059638977050781
198,1941,14.305166,0.5806303024291992
199,1942,13.872666,0.1481304168701172
200,1943,13.082167,-0.642369270324707
201,1944,13.9705,0.2459640502929687
202,1945,14.042167,0.3176307678222656
203,1946,14.08525,0.3607139587402344
204,1947,13.988667,0.2641305923461914
205,1948,13.808583,0.0840473175048828
206,1949,14.153167,0.4286308288574219
207,1950,14.00125,0.2767143249511719
208,1951,13.421833,-0.3027029037475586
209,1952,13.997916,0.2733802795410156
210,1953,13.677834,-0.0467023849487304
211,1954,13.463834,-0.2607021331787109
212,1955,12.982083,-0.7424526214599609
213,1956,13.581583,-0.1429529190063476
214,1957,13.86875,0.1442136764526367
215,1958,14.091583,0.3670473098754883
216,1959,13.746417,0.021881103515625
217,1960,13.8995,0.1749639511108398
218,1961,14.09325,0.3687143325805664
219,1962,14.274417,0.5498809814453125
220,1963,13.829917,0.1053810119628906
221,1964,13.765333,0.0407972335815429
222,1965,13.951417,0.2268810272216797
223,1966,14.2835,0.5589637756347656
224,1967,13.755584,0.0310478210449218
225,1968,13.540584,-0.1839523315429687
226,1969,14.3405,0.6159639358520508
227,1970,14.286667,0.5621309280395508
228,1971,13.7995,0.0749645233154296
229,1972,13.912416,0.1878805160522461
230,1973,13.8485,0.1239643096923828
231,1974,13.662833,-0.0617027282714843
232,1975,13.56025,-0.164285659790039
233,1976,13.428,-0.2965354919433594
234,1977,14.278584,0.5540475845336914
235,1978,13.877084,0.1525478363037109
236,1979,14.246417,0.521881103515625
237,1980,14.109083,0.3845472335815429
238,1981,13.501,-0.2235355377197265
239,1982,14.327,0.6024637222290039
240,1983,14.842167,1.117630958557129
241,1984,14.320833,0.5962972640991211
242,1985,14.63675,0.9122142791748048
243,1986,14.449083,0.7245473861694336
244,1987,14.527333,0.8027973175048828
245,1988,13.981916,0.2573804855346679
246,1989,13.832833,0.1082973480224609
247,1990,14.14725,0.4227142333984375
248,1991,14.353,0.6284637451171875
249,1992,14.890083,1.1655473709106443
250,1993,14.63275,0.9082136154174804
251,1994,13.90275,0.1782140731811523
252,1995,14.246,0.5214643478393555
253,1996,13.655666,-0.0688695907592773
254,1997,13.95325,0.2287139892578125
255,1998,14.542334,0.8177976608276367
256,1999,14.982166,1.2576303482055664
257,2000,14.053917,0.329380989074707
258,2001,14.333417,0.6088809967041016
259,2002,14.387333,0.6627969741821289
260,2003,14.684834,0.9602975845336914
261,2004,14.562917,0.8383808135986328
262,2005,14.5765,0.851963996887207
263,2006,13.9035,0.1789636611938476
264,2007,14.525333,0.8007974624633789
265,2008,14.42775,0.7032136917114258
266,2009,14.257167,0.5326309204101562
267,2010,14.906834,1.182297706604004
268,2011,14.0269165,0.3023805618286133
269,2012,14.3865,0.6619644165039062
270,2013,13.773625,0.0490894317626953
