,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,24.825,-0.5554599761962891
107,1850,24.819166,-0.5612945556640625
108,1851,24.874834,-0.5056266784667969
109,1852,,
110,1853,,
111,1854,,
112,1855,25.1666,-0.2138614654541015
113,1856,24.81525,-0.5652103424072266
114,1857,24.583334,-0.7971267700195312
115,1858,24.711082,-0.6693782806396484
116,1859,25.21725,-0.1632099151611328
117,1860,24.76025,-0.6202106475830078
118,1861,24.748083,-0.6323776245117188
119,1862,24.443167,-0.9372940063476562
120,1863,24.771833,-0.6086273193359375
121,1864,24.879168,-0.5012931823730469
122,1865,25.019917,-0.360544204711914
123,1866,,
124,1867,,
125,1868,24.824545,-0.5559158325195312
126,1869,25.0063,-0.3741607666015625
127,1870,24.964,-0.4164600372314453
128,1871,,
129,1872,,
130,1873,24.967445,-0.4130153656005859
131,1874,24.797083,-0.5833778381347656
132,1875,24.306417,-1.0740432739257812
133,1876,24.272333,-1.1081275939941406
134,1877,24.972,-0.4084606170654297
135,1878,25.119417,-0.2610435485839844
136,1879,24.71525,-0.6652107238769531
137,1880,25.36425,-0.0162105560302734
138,1881,25.367167,-0.0132942199707031
139,1882,25.017834,-0.3626270294189453
140,1883,25.571,0.1905384063720703
141,1884,25.87525,0.4947891235351562
142,1885,24.6473,-0.7331600189208984
143,1886,24.680166,-0.7002944946289062
144,1887,24.401667,-0.9787940979003906
145,1888,24.448917,-0.9315433502197266
146,1889,24.079,-1.3014602661132812
147,1890,24.3825,-0.9979610443115234
148,1891,24.658583,-0.7218780517578125
149,1892,24.795166,-0.5852947235107422
150,1893,24.683584,-0.6968765258789062
151,1894,24.5335,-0.8469600677490234
152,1895,24.656834,-0.7236270904541016
153,1896,25.04875,-0.3317108154296875
154,1897,25.130083,-0.2503776550292969
155,1898,24.845583,-0.5348777770996094
156,1899,25.531666,0.1512050628662109
157,1900,25.333084,-0.0473766326904296
158,1901,25.284082,-0.0963783264160156
159,1902,25.026417,-0.354043960571289
160,1903,24.992834,-0.3876266479492187
161,1904,24.632166,-0.7482948303222656
162,1905,25.128,-0.2524604797363281
163,1906,25.275917,-0.1045436859130859
164,1907,24.923166,-0.4572944641113281
165,1908,24.94875,-0.431711196899414
166,1909,24.8,-0.5804615020751953
167,1910,25.255167,-0.1252937316894531
168,1911,24.839834,-0.5406265258789062
169,1912,25.568832,0.1883716583251953
170,1913,25.58325,0.202789306640625
171,1914,25.455084,0.0746231079101562
172,1915,25.550667,0.170206069946289
173,1916,25.296167,-0.0842933654785156
174,1917,25.278833,-0.1016273498535156
175,1918,25.096167,-0.2842941284179687
176,1919,25.283667,-0.0967941284179687
177,1920,25.41575,0.0352897644042968
178,1921,25.375084,-0.0053768157958984
179,1922,25.271084,-0.1093769073486328
180,1923,25.090834,-0.2896270751953125
181,1924,25.075916,-0.304544448852539
182,1925,25.13875,-0.2417106628417968
183,1926,25.656416,0.2759552001953125
184,1927,25.51875,0.1382884979248047
185,1928,25.304167,-0.0762939453125
186,1929,25.50525,0.1247901916503906
187,1930,25.49525,0.1147899627685546
188,1931,25.461834,0.0813732147216796
189,1932,25.072834,-0.307626724243164
190,1933,25.452168,0.0717067718505859
191,1934,25.491583,0.1111221313476562
192,1935,25.298334,-0.0821266174316406
193,1936,25.39025,0.0097885131835937
194,1937,25.675667,0.295206069946289
195,1938,25.554,0.1735401153564453
196,1939,25.315083,-0.065378189086914
197,1940,25.909834,0.5293731689453125
198,1941,25.903418,0.5229568481445312
199,1942,25.449917,0.0694561004638671
200,1943,25.234333,-0.146127700805664
201,1944,25.58575,0.2052898406982422
202,1945,25.655582,0.2751216888427734
203,1946,25.52925,0.1487884521484375
204,1947,25.6815,0.3010387420654297
205,1948,25.329334,-0.051126480102539
206,1949,25.478666,0.09820556640625
207,1950,25.319166,-0.0612945556640625
208,1951,25.452667,0.0722064971923828
209,1952,25.506166,0.1257057189941406
210,1953,25.561167,0.1807060241699218
211,1954,25.220833,-0.1596279144287109
212,1955,25.301167,-0.079294204711914
213,1956,25.170084,-0.2103767395019531
214,1957,25.479584,0.0991230010986328
215,1958,25.568666,0.1882057189941406
216,1959,25.585083,0.2046222686767578
217,1960,25.6165,0.2360401153564453
218,1961,25.529167,0.1487064361572265
219,1962,25.439,0.0585384368896484
220,1963,25.729,0.3485393524169922
221,1964,25.413918,0.033456802368164
222,1965,25.2985,-0.0819606781005859
223,1966,25.584167,0.2037067413330078
224,1967,25.2965,-0.0839614868164062
225,1968,25.524918,0.1444568634033203
226,1969,25.725834,0.3453731536865234
227,1970,25.780834,0.4003734588623047
228,1971,25.277334,-0.1031265258789062
229,1972,25.575583,0.1951217651367187
230,1973,25.960333,0.5798721313476562
231,1974,25.491667,0.1112060546875
232,1975,25.332417,-0.048044204711914
233,1976,25.160917,-0.21954345703125
234,1977,25.72425,0.343790054321289
235,1978,25.62525,0.2447891235351562
236,1979,25.898083,0.5176219940185547
237,1980,25.795,0.4145393371582031
238,1981,25.770082,0.3896217346191406
239,1982,25.542334,0.1618728637695312
240,1983,25.911167,0.5307064056396484
241,1984,25.782583,0.4021224975585937
242,1985,25.615334,0.234872817993164
243,1986,25.480333,0.0998725891113281
244,1987,26.327833,0.9473724365234376
245,1988,25.954,0.5735397338867188
246,1989,25.839083,0.4586219787597656
247,1990,25.881584,0.5011234283447266
248,1991,25.844917,0.464456558227539
249,1992,25.655916,0.2754554748535156
250,1993,25.832582,0.4521217346191406
251,1994,25.720917,0.3404560089111328
252,1995,25.94875,0.5682888031005859
253,1996,25.99625,0.6157894134521484
254,1997,25.990667,0.6102066040039062
255,1998,26.46,1.079538345336914
256,1999,25.889668,0.5092067718505859
257,2000,25.85975,0.4792900085449219
258,2001,26.1535,0.7730388641357422
259,2002,26.236084,0.8556232452392578
260,2003,26.386917,1.0064563751220703
261,2004,26.2835,0.9030399322509766
262,2005,26.290916,0.9104557037353516
263,2006,26.183167,0.8027057647705078
264,2007,26.289833,0.909372329711914
265,2008,26.297417,0.9169559478759766
266,2009,26.494,1.1135387420654297
267,2010,26.53275,1.1522884368896484
268,2011,26.240667,0.8602066040039062
269,2012,25.995583,0.6151218414306641
270,2013,26.314,0.9335384368896484
