,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,24.82475,2.5493640899658203
49,1792,22.120333,-0.1550540924072265
50,1793,21.830084,-0.4453029632568359
51,1794,22.121084,-0.1543025970458984
52,1795,22.23909,-0.0362968444824218
53,1796,22.339582,0.0641956329345703
54,1797,22.174,-0.1013870239257812
55,1798,22.526083,0.2506961822509765
56,1799,22.744917,0.4695301055908203
57,1800,22.516417,0.2410297393798828
58,1801,22.681168,0.4057807922363281
59,1802,22.769833,0.49444580078125
60,1803,22.973545,0.6981582641601562
61,1804,22.764166,0.488779067993164
62,1805,22.371584,0.0961971282958984
63,1806,22.143,-0.1323871612548828
64,1807,22.205084,-0.0703029632568359
65,1808,21.511583,-0.7638034820556641
66,1809,20.937084,-1.3383026123046875
67,1810,21.016417,-1.2589702606201172
68,1811,21.207916,-1.0674705505371094
69,1812,20.95575,-1.3196372985839844
70,1813,21.523834,-0.7515525817871094
71,1814,21.241417,-1.0339698791503906
72,1815,21.368416,-0.9069709777832032
73,1816,20.850166,-1.4252204895019531
74,1817,21.109417,-1.1659698486328125
75,1818,21.925167,-0.3502197265625
76,1819,21.411667,-0.8637199401855469
77,1820,21.7785,-0.49688720703125
78,1821,21.646,-0.6293869018554688
79,1822,22.095333,-0.1800537109375
80,1823,21.61525,-0.6601371765136719
81,1824,22.169167,-0.1062202453613281
82,1825,21.984833,-0.2905540466308594
83,1826,21.957333,-0.31805419921875
84,1827,22.355917,0.0805301666259765
85,1828,22.154583,-0.1208038330078125
86,1829,21.984583,-0.2908039093017578
87,1830,22.328833,0.053445816040039
88,1831,21.695917,-0.5794696807861328
89,1832,21.673916,-0.601470947265625
90,1833,21.88025,-0.3951358795166015
91,1834,21.782667,-0.4927196502685547
92,1835,21.189333,-1.0860538482666016
93,1836,21.528667,-0.7467193603515625
94,1837,21.209167,-1.0662193298339844
95,1838,21.6045,-0.6708869934082031
96,1839,21.63225,-0.6431369781494141
97,1840,21.93675,-0.3386363983154297
98,1841,21.9415,-0.3338871002197265
99,1842,22.043,-0.2323875427246093
100,1843,21.998333,-0.2770538330078125
101,1844,21.869583,-0.4058036804199219
102,1845,21.927917,-0.3474693298339844
103,1846,22.600166,0.3247795104980469
104,1847,21.994667,-0.2807197570800781
105,1848,21.769917,-0.5054702758789062
106,1849,21.921,-0.3543872833251953
107,1850,21.53875,-0.7366371154785156
108,1851,21.762,-0.5133876800537109
109,1852,22.06275,-0.2126369476318359
110,1853,22.323584,0.048196792602539
111,1854,21.728333,-0.5470542907714844
112,1855,22.173834,-0.1015529632568359
113,1856,21.6405,-0.6348876953125
114,1857,21.52025,-0.7551364898681641
115,1858,21.93525,-0.3401374816894531
116,1859,21.965084,-0.310302734375
117,1860,22.148417,-0.1269702911376953
118,1861,21.72575,-0.5496368408203125
119,1862,21.943417,-0.33197021484375
120,1863,22.05325,-0.222137451171875
121,1864,22.154,-0.1213874816894531
122,1865,22.187916,-0.0874710083007812
123,1866,22.319584,0.0441970825195312
124,1867,22.456583,0.1811962127685547
125,1868,21.789,-0.4863872528076172
126,1869,22.15025,-0.1251373291015625
127,1870,22.22275,-0.0526371002197265
128,1871,22.062084,-0.2133026123046875
129,1872,22.198416,-0.0769710540771484
130,1873,22.12175,-0.1536369323730468
131,1874,21.8605,-0.414886474609375
132,1875,21.5615,-0.7138862609863281
133,1876,22.065666,-0.2097206115722656
134,1877,22.128334,-0.1470527648925781
135,1878,22.6385,0.3631134033203125
136,1879,22.157084,-0.1183032989501953
137,1880,22.198,-0.0773868560791015
138,1881,22.530416,0.2550296783447265
139,1882,21.64575,-0.6296367645263672
140,1883,21.604416,-0.6709709167480469
141,1884,21.226334,-1.049053192138672
142,1885,21.804832,-0.4705543518066406
143,1886,21.53625,-0.7391376495361328
144,1887,22.09325,-0.1821365356445312
145,1888,21.93025,-0.3451366424560547
146,1889,21.96125,-0.3141365051269531
147,1890,21.710417,-0.5649700164794922
148,1891,21.83225,-0.4431362152099609
149,1892,22.24425,-0.031137466430664
150,1893,21.923916,-0.351470947265625
151,1894,22.112417,-0.1629695892333984
152,1895,22.356417,0.0810298919677734
153,1896,22.00825,-0.2671375274658203
154,1897,22.029667,-0.2457199096679687
155,1898,22.204584,-0.0708026885986328
156,1899,22.126,-0.1493873596191406
157,1900,22.170834,-0.10455322265625
158,1901,22.34525,0.0698623657226562
159,1902,22.120333,-0.1550540924072265
160,1903,21.76325,-0.5121364593505859
161,1904,21.853167,-0.422220230102539
162,1905,21.97075,-0.304636001586914
163,1906,22.12875,-0.146636962890625
164,1907,21.5465,-0.7288875579833984
165,1908,21.77975,-0.495635986328125
166,1909,22.153917,-0.121469497680664
167,1910,21.665333,-0.6100540161132812
168,1911,21.88925,-0.3861370086669922
169,1912,21.766666,-0.5087203979492188
170,1913,22.178417,-0.0969696044921875
171,1914,22.39625,0.1208629608154296
172,1915,22.48425,0.2088623046875
173,1916,22.528334,0.2529468536376953
174,1917,21.94075,-0.3346366882324219
175,1918,22.21925,-0.0561370849609375
176,1919,22.35525,0.0798625946044921
177,1920,22.029667,-0.2457199096679687
178,1921,22.140583,-0.1348037719726562
179,1922,22.216333,-0.0590534210205078
180,1923,21.981167,-0.294219970703125
181,1924,22.609917,0.3345298767089844
182,1925,22.5155,0.2401123046875
183,1926,22.548166,0.2727794647216797
184,1927,22.723167,0.4477806091308594
185,1928,22.772083,0.4966964721679687
186,1929,21.87325,-0.4021377563476562
187,1930,22.706083,0.4306964874267578
188,1931,23.08375,0.8083629608154297
189,1932,22.865084,0.5896968841552734
190,1933,22.613167,0.3377799987792969
191,1934,22.624416,0.349029541015625
192,1935,22.35825,0.0828628540039062
193,1936,22.557917,0.2825298309326172
194,1937,22.7765,0.5011138916015625
195,1938,22.077667,-0.1977195739746093
196,1939,22.826834,0.5514469146728516
197,1940,22.394,0.1186122894287109
198,1941,22.813583,0.5381965637207031
199,1942,22.783916,0.5085296630859375
200,1943,22.515333,0.2399463653564453
201,1944,22.349,0.0736141204833984
202,1945,22.180416,-0.094970703125
203,1946,22.827917,0.5525302886962891
204,1947,23.067833,0.7924461364746094
205,1948,22.045166,-0.2302207946777343
206,1949,21.778584,-0.4968032836914062
207,1950,21.88125,-0.3941364288330078
208,1951,22.695084,0.4196968078613281
209,1952,22.721083,0.4456958770751953
210,1953,22.291584,0.0161972045898437
211,1954,22.057667,-0.2177200317382812
212,1955,23.30975,1.03436279296875
213,1956,22.088583,-0.1868038177490234
214,1957,22.403418,0.128030776977539
215,1958,22.793667,0.518280029296875
216,1959,22.129417,-0.1459693908691406
217,1960,23.134666,0.8592796325683594
218,1961,21.817917,-0.4574699401855469
219,1962,22.628584,0.3531970977783203
220,1963,23.027416,0.7520294189453125
221,1964,22.251167,-0.0242195129394531
222,1965,22.115417,-0.1599693298339843
223,1966,22.513083,0.2376956939697265
224,1967,22.051,-0.2243862152099609
225,1968,22.465166,0.1897792816162109
226,1969,23.13475,0.8593635559082031
227,1970,22.253916,-0.0214710235595703
228,1971,22.208416,-0.0669708251953125
229,1972,22.650917,0.3755302429199219
230,1973,22.145584,-0.1298027038574218
231,1974,22.135416,-0.1399707794189453
232,1975,22.1535,-0.12188720703125
233,1976,22.315,0.0396137237548828
234,1977,22.516916,0.2415294647216797
235,1978,22.411333,0.1359462738037109
236,1979,22.78475,0.5093631744384766
237,1980,22.369667,0.0942802429199218
238,1981,22.609583,0.3341960906982422
239,1982,22.40975,0.1343631744384765
240,1983,22.202168,-0.0732192993164062
241,1984,22.50225,0.2268638610839843
242,1985,22.684166,0.4087791442871094
243,1986,22.542334,0.266946792602539
244,1987,22.804916,0.5295295715332031
245,1988,23.114584,0.8391971588134766
246,1989,22.655582,0.3801956176757812
247,1990,23.101,0.8256130218505859
248,1991,22.618166,0.3427791595458984
249,1992,22.397833,0.122446060180664
250,1993,23.00275,0.7273635864257812
251,1994,22.816084,0.5406970977783203
252,1995,22.9495,0.6741123199462891
253,1996,23.12325,0.8478622436523438
254,1997,23.0465,0.7711124420166016
255,1998,23.276333,1.000946044921875
256,1999,23.693583,1.418195724487305
257,2000,22.835083,0.5596961975097656
258,2001,23.413166,1.1377792358398438
259,2002,23.409416,1.1340293884277344
260,2003,23.369,1.0936126708984375
261,2004,23.278418,1.003030776977539
262,2005,23.256666,0.9812793731689452
263,2006,23.315083,1.0396957397460938
264,2007,23.325834,1.0504474639892578
265,2008,23.474333,1.1989459991455078
266,2009,23.379833,1.1044464111328125
267,2010,24.515917,2.240530014038086
268,2011,22.988333,0.7129459381103516
269,2012,23.270666,0.9952793121337892
270,2013,24.314,2.038612365722656
