,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,21.78525,-0.6351451873779297
98,1841,21.8605,-0.5598945617675781
99,1842,21.99575,-0.4246444702148437
100,1843,22.081417,-0.3389778137207031
101,1844,21.666166,-0.7542285919189453
102,1845,21.640083,-0.7803115844726562
103,1846,22.274416,-0.1459789276123047
104,1847,21.8565,-0.5638942718505859
105,1848,21.57775,-0.8426456451416016
106,1849,21.855333,-0.5650615692138672
107,1850,22.008,-0.4123954772949219
108,1851,22.130667,-0.2897281646728515
109,1852,22.081167,-0.3392276763916015
110,1853,22.577333,0.1569385528564453
111,1854,22.464167,0.043771743774414
112,1855,21.89275,-0.5276451110839844
113,1856,21.385584,-1.034811019897461
114,1857,21.902584,-0.5178108215332031
115,1858,21.865667,-0.5547275543212891
116,1859,22.075,-0.3453941345214844
117,1860,22.120583,-0.2998123168945312
118,1861,21.831083,-0.5893115997314453
119,1862,21.231417,-1.1889781951904297
120,1863,21.710667,-0.7097282409667969
121,1864,21.57625,-0.8441448211669922
122,1865,22.479584,0.0591888427734375
123,1866,22.07275,-0.3476448059082031
124,1867,22.379417,-0.0409774780273437
125,1868,22.634916,0.2145214080810547
126,1869,22.3385,-0.0818958282470703
127,1870,22.551167,0.1307716369628906
128,1871,22.282,-0.1383953094482422
129,1872,22.478416,0.0580215454101562
130,1873,22.059416,-0.3609790802001953
131,1874,22.435667,0.0152721405029296
132,1875,22.29325,-0.127145767211914
133,1876,21.723,-0.6973953247070312
134,1877,22.379667,-0.0407276153564453
135,1878,22.448166,0.02777099609375
136,1879,22.398417,-0.0219783782958984
137,1880,21.698,-0.7223949432373047
138,1881,22.020666,-0.399728775024414
139,1882,21.88475,-0.53564453125
140,1883,21.581833,-0.83856201171875
141,1884,21.22125,-1.1991443634033203
142,1885,21.484167,-0.936227798461914
143,1886,21.493917,-0.9264774322509766
144,1887,21.81275,-0.6076450347900391
145,1888,22.3515,-0.0688953399658203
146,1889,22.2295,-0.1908950805664062
147,1890,22.26225,-0.1581439971923828
148,1891,22.249666,-0.1707286834716797
149,1892,21.641167,-0.7792282104492188
150,1893,21.456833,-0.96356201171875
151,1894,22.03025,-0.3901443481445312
152,1895,22.049667,-0.3707275390625
153,1896,22.158167,-0.2622280120849609
154,1897,22.245167,-0.1752281188964843
155,1898,22.331167,-0.0892276763916015
156,1899,22.0405,-0.3798942565917969
157,1900,22.037916,-0.3824787139892578
158,1901,22.148834,-0.2715606689453125
159,1902,22.81725,0.3968544006347656
160,1903,21.963917,-0.4564781188964844
161,1904,22.0005,-0.4198951721191406
162,1905,21.994333,-0.4260616302490234
163,1906,22.238333,-0.1820621490478515
164,1907,22.238417,-0.1819782257080078
165,1908,22.113583,-0.3068122863769531
166,1909,22.508583,0.0881881713867187
167,1910,22.19825,-0.2221450805664062
168,1911,22.258083,-0.1623115539550781
169,1912,22.198334,-0.2220611572265625
170,1913,22.103167,-0.3172283172607422
171,1914,22.86525,0.444854736328125
172,1915,22.7785,0.3581047058105469
173,1916,22.083584,-0.3368110656738281
174,1917,21.647417,-0.7729778289794922
175,1918,21.917667,-0.5027275085449219
176,1919,22.422167,0.0017719268798828
177,1920,22.273834,-0.1465606689453125
178,1921,22.4075,-0.0128955841064453
179,1922,22.488583,0.0681877136230468
180,1923,22.612333,0.1919384002685547
181,1924,22.448084,0.027688980102539
182,1925,22.014334,-0.4060611724853515
183,1926,22.240168,-0.1802272796630859
184,1927,22.154417,-0.2659778594970703
185,1928,22.807667,0.3872718811035156
186,1929,22.757584,0.337188720703125
187,1930,22.364834,-0.0555610656738281
188,1931,22.371916,-0.0484790802001953
189,1932,22.122583,-0.2978115081787109
190,1933,22.4295,0.0091056823730468
191,1934,21.781334,-0.6390609741210938
192,1935,22.596834,0.1764392852783203
193,1936,22.128334,-0.2920608520507812
194,1937,22.849833,0.4294376373291015
195,1938,22.629833,0.2094383239746093
196,1939,22.488333,0.0679378509521484
197,1940,22.9995,0.5791053771972656
198,1941,23.039833,0.6194381713867188
199,1942,22.891083,0.4706878662109375
200,1943,22.947332,0.5269374847412109
201,1944,22.758333,0.3379383087158203
202,1945,22.32425,-0.0961456298828125
203,1946,23.35525,0.9348545074462892
204,1947,22.300083,-0.1203117370605468
205,1948,22.84575,0.4253559112548828
206,1949,23.075834,0.6554393768310547
207,1950,22.8175,0.397104263305664
208,1951,22.423584,0.0031890869140625
209,1952,23.1,0.6796054840087891
210,1953,22.864166,0.4437713623046875
211,1954,22.811,0.3906059265136719
212,1955,22.6755,0.255105972290039
213,1956,22.5745,0.1541042327880859
214,1957,22.445,0.0246047973632812
215,1958,22.786,0.3656044006347656
216,1959,22.969,0.5486049652099609
217,1960,22.9585,0.5381050109863281
218,1961,22.8055,0.3851051330566406
219,1962,22.54975,0.1293544769287109
220,1963,22.899834,0.4794387817382812
221,1964,22.598167,0.1777725219726562
222,1965,22.781,0.360605239868164
223,1966,23.321667,0.9012718200683594
224,1967,22.34425,-0.0761451721191406
225,1968,22.605667,0.185272216796875
226,1969,22.349583,-0.0708122253417968
227,1970,22.461416,0.0410213470458984
228,1971,22.421333,0.0009384155273437
229,1972,22.610416,0.1900215148925781
230,1973,23.152666,0.7322711944580078
231,1974,22.506166,0.0857715606689453
232,1975,22.677334,0.2569389343261719
233,1976,22.25225,-0.1681442260742187
234,1977,23.095667,0.6752719879150391
235,1978,22.69925,0.2788543701171875
236,1979,22.846916,0.4265213012695312
237,1980,22.939083,0.5186882019042969
238,1981,22.976917,0.5565223693847656
239,1982,22.729416,0.30902099609375
240,1983,22.558584,0.1381893157958984
241,1984,22.149918,-0.270477294921875
242,1985,22.425083,0.0046882629394531
243,1986,22.708084,0.287689208984375
244,1987,23.388,0.9676055908203124
245,1988,22.604,0.1836051940917968
246,1989,22.82875,0.408355712890625
247,1990,23.046667,0.6262722015380859
248,1991,23.140333,0.7199382781982422
249,1992,22.366333,-0.0540618896484375
250,1993,22.574583,0.1541881561279297
251,1994,22.970083,0.5496883392333984
252,1995,22.269417,-0.1509780883789062
253,1996,22.576416,0.1560211181640625
254,1997,22.767666,0.3472709655761719
255,1998,23.458334,1.0379390716552734
256,1999,23.137833,0.717437744140625
257,2000,22.937166,0.5167713165283203
258,2001,23.09875,0.6783542633056641
259,2002,23.29975,0.8793544769287109
260,2003,23.17375,0.7533550262451172
261,2004,22.9935,0.5731048583984375
262,2005,22.805666,0.3852710723876953
263,2006,23.302084,0.8816890716552734
264,2007,23.336334,0.9159393310546876
265,2008,22.589167,0.168771743774414
266,2009,23.073084,0.6526889801025391
267,2010,22.895082,0.4746875762939453
268,2011,22.49075,0.0703544616699218
269,2012,22.978834,0.5584392547607422
270,2013,23.473,1.0526046752929688
