,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,22.650091,-0.0863704681396484
45,1788,21.614124,-1.1223373413085938
46,1789,22.390455,-0.3460063934326172
47,1790,22.341333,-0.3951282501220703
48,1791,22.775917,0.0394554138183593
49,1792,22.212555,-0.5239067077636719
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,22.179714,-0.5567474365234375
61,1804,22.7778,0.0413379669189453
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,21.815636,-0.9208259582519532
108,1851,,
109,1852,,
110,1853,22.167418,-0.5690441131591797
111,1854,22.299084,-0.4373779296875
112,1855,22.144917,-0.5915451049804688
113,1856,21.983418,-0.7530441284179688
114,1857,21.829416,-0.9070453643798828
115,1858,22.234667,-0.5017948150634766
116,1859,22.37375,-0.362710952758789
117,1860,22.210817,-0.5256443023681641
118,1861,22.258583,-0.4778785705566406
119,1862,,
120,1863,,
121,1864,22.121084,-0.6153774261474609
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,21.261875,-1.4745864868164062
133,1876,22.1215,-0.6149616241455078
134,1877,22.64425,-0.0922107696533203
135,1878,22.86925,0.1327877044677734
136,1879,,
137,1880,22.102818,-0.6336441040039062
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,22.634916,-0.1015453338623046
147,1890,21.940454,-0.7960071563720703
148,1891,21.998167,-0.7382946014404297
149,1892,22.305416,-0.4310455322265625
150,1893,21.9165,-0.8199615478515625
151,1894,22.369833,-0.3666286468505859
152,1895,22.453,-0.2834625244140625
153,1896,22.5175,-0.2189617156982422
154,1897,22.67075,-0.0657119750976562
155,1898,22.60675,-0.1297111511230468
156,1899,22.266666,-0.4697952270507812
157,1900,22.915583,0.1791210174560547
158,1901,22.688917,-0.0475444793701171
159,1902,22.801666,0.0652046203613281
160,1903,22.573917,-0.1625442504882812
161,1904,22.07825,-0.6582107543945312
162,1905,22.649166,-0.0872955322265625
163,1906,22.47625,-0.2602119445800781
164,1907,22.28825,-0.448211669921875
165,1908,22.682583,-0.0538787841796875
166,1909,22.603582,-0.1328792572021484
167,1910,22.155083,-0.5813789367675781
168,1911,22.173416,-0.5630455017089844
169,1912,22.812416,0.0759544372558593
170,1913,22.525833,-0.2106285095214843
171,1914,22.729084,-0.0073776245117187
172,1915,22.720167,-0.0162944793701171
173,1916,22.354084,-0.3823776245117187
174,1917,22.180834,-0.5556278228759766
175,1918,22.297083,-0.4393787384033203
176,1919,22.62925,-0.1072120666503906
177,1920,22.29725,-0.4392108917236328
178,1921,22.325,-0.4114608764648437
179,1922,22.283417,-0.4530448913574219
180,1923,22.676584,-0.0598773956298828
181,1924,22.37825,-0.3582115173339844
182,1925,22.703583,-0.0328788757324218
183,1926,23.061083,0.3246212005615234
184,1927,22.42275,-0.3137111663818359
185,1928,22.68375,-0.0527114868164062
186,1929,22.61375,-0.122711181640625
187,1930,22.257668,-0.4787940979003906
188,1931,22.93075,0.1942882537841797
189,1932,22.597,-0.1394615173339843
190,1933,22.610834,-0.1256275177001953
191,1934,22.64675,-0.0897121429443359
192,1935,22.496834,-0.2396278381347656
193,1936,22.876,0.1395378112792968
194,1937,22.868416,0.1319541931152343
195,1938,22.730667,-0.0057945251464843
196,1939,22.780582,0.0441207885742187
197,1940,22.993334,0.2568721771240234
198,1941,23.034334,0.2978725433349609
199,1942,22.684668,-0.0517940521240234
200,1943,22.368834,-0.3676280975341797
201,1944,22.752083,0.0156211853027343
202,1945,22.725834,-0.0106277465820312
203,1946,22.79175,0.0552883148193359
204,1947,22.740667,0.0042057037353515
205,1948,22.915583,0.1791210174560547
206,1949,22.988583,0.2521209716796875
207,1950,22.506666,-0.2297954559326172
208,1951,22.67275,-0.0637111663818359
209,1952,22.823917,0.0874557495117187
210,1953,22.816668,0.0802059173583984
211,1954,22.92075,0.1842880249023437
212,1955,22.698668,-0.0377941131591796
213,1956,22.612417,-0.1240444183349609
214,1957,22.837,0.1005382537841796
215,1958,22.90575,0.1692886352539062
216,1959,22.765417,0.0289554595947265
217,1960,22.689333,-0.047128677368164
218,1961,23.433666,0.69720458984375
219,1962,22.82525,0.0887889862060546
220,1963,22.545334,-0.1911277770996093
221,1964,22.488333,-0.2481288909912109
222,1965,22.343416,-0.393045425415039
223,1966,22.918917,0.1824550628662109
224,1967,23.152916,0.4164543151855469
225,1968,22.4855,-0.2509613037109375
226,1969,23.400417,0.6639556884765625
227,1970,23.126,0.3895378112792969
228,1971,22.58325,-0.1532115936279297
229,1972,22.83475,0.0982875823974609
230,1973,22.919916,0.1834545135498047
231,1974,22.568666,-0.167795181274414
232,1975,22.57775,-0.1587123870849609
233,1976,22.862417,0.125955581665039
234,1977,23.185667,0.4492053985595703
235,1978,23.1715,0.435037612915039
236,1979,22.990084,0.2536220550537109
237,1980,23.018667,0.282205581665039
238,1981,22.933916,0.1974544525146484
239,1982,23.001083,0.2646217346191406
240,1983,23.262333,0.5258712768554688
241,1984,22.674583,-0.0618782043457031
242,1985,22.879833,0.14337158203125
243,1986,22.786083,0.04962158203125
244,1987,23.367083,0.6306209564208984
245,1988,23.254917,0.5184555053710938
246,1989,22.933083,0.1966209411621093
247,1990,23.124166,0.387704849243164
248,1991,23.327,0.5905380249023438
249,1992,23.341333,0.6048717498779297
250,1993,23.455833,0.7193717956542969
251,1994,23.444584,0.7081222534179688
252,1995,23.47975,0.7432880401611328
253,1996,23.262917,0.5264549255371094
254,1997,23.452917,0.7164554595947266
255,1998,23.753416,1.0169544219970703
256,1999,23.41925,0.6827888488769531
257,2000,23.320333,0.5838718414306641
258,2001,23.586916,0.8504543304443359
259,2002,23.6175,0.8810386657714844
260,2003,23.49525,0.7587890625
261,2004,23.453,0.7165374755859375
262,2005,23.621834,0.8853721618652344
263,2006,23.661167,0.9247055053710938
264,2007,23.64975,0.913288116455078
265,2008,23.33225,0.5957889556884766
266,2009,23.618668,0.8822059631347656
267,2010,23.846167,1.1097049713134766
268,2011,23.776833,1.0403709411621094
269,2012,23.325333,0.5888710021972656
270,2013,22.9595,0.2230377197265625
