,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,20.49909,-0.9303989410400392
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,21.461,0.0315113067626953
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,20.782667,-0.6468219757080078
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,20.394625,-1.0348644256591797
133,1876,20.742083,-0.6874065399169922
134,1877,21.314667,-0.1148223876953125
135,1878,21.435583,0.0060939788818359
136,1879,,
137,1880,20.759546,-0.6699428558349609
138,1881,22.127,0.6975116729736328
139,1882,,
140,1883,20.545,-0.8844890594482422
141,1884,20.777166,-0.6523227691650391
142,1885,20.77125,-0.6582393646240234
143,1886,20.830833,-0.5986557006835938
144,1887,20.666416,-0.7630729675292969
145,1888,20.93225,-0.4972400665283203
146,1889,21.316166,-0.1133232116699218
147,1890,20.630083,-0.7994060516357422
148,1891,20.741167,-0.6883220672607422
149,1892,21.194166,-0.2353229522705078
150,1893,20.686583,-0.7429065704345703
151,1894,21.098667,-0.3308219909667969
152,1895,21.215084,-0.2144050598144531
153,1896,21.334167,-0.0953216552734375
154,1897,21.37675,-0.0527381896972656
155,1898,21.23,-0.1994895935058593
156,1899,20.973167,-0.4563217163085937
157,1900,21.607334,0.1778450012207031
158,1901,21.136333,-0.2931556701660156
159,1902,21.504667,0.0751781463623046
160,1903,21.435167,0.0056781768798828
161,1904,20.418583,-1.010906219482422
162,1905,21.27925,-0.1502399444580078
163,1906,21.03325,-0.3962383270263672
164,1907,20.597,-0.832489013671875
165,1908,21.44275,0.0132617950439453
166,1909,21.317333,-0.1121559143066406
167,1910,20.711584,-0.7179050445556641
168,1911,20.772,-0.6574897766113281
169,1912,21.546583,0.1170940399169921
170,1913,21.213833,-0.2156562805175781
171,1914,21.5365,0.1070117950439453
172,1915,21.569166,0.1396770477294922
173,1916,21.224583,-0.2049064636230468
174,1917,21.2185,-0.2109889984130859
175,1918,21.0355,-0.3939895629882812
176,1919,21.430834,0.0013446807861328
177,1920,21.316917,-0.1125717163085937
178,1921,21.169834,-0.2596549987792969
179,1922,21.737417,0.3079280853271484
180,1923,21.61925,0.1897602081298828
181,1924,21.52725,0.0977611541748046
182,1925,21.148666,-0.28082275390625
183,1926,21.364666,-0.0648231506347656
184,1927,20.956333,-0.4731559753417969
185,1928,21.224417,-0.2050724029541015
186,1929,21.33275,-0.0967388153076171
187,1930,20.992083,-0.4374065399169922
188,1931,21.529667,0.1001777648925781
189,1932,21.266834,-0.1626548767089843
190,1933,21.198833,-0.2306556701660156
191,1934,21.355583,-0.0739059448242187
192,1935,21.047333,-0.3821563720703125
193,1936,20.960417,-0.4690723419189453
194,1937,21.279417,-0.1500720977783203
195,1938,21.461584,0.0320949554443359
196,1939,21.090666,-0.3388233184814453
197,1940,21.349916,-0.0795726776123046
198,1941,21.801834,0.372344970703125
199,1942,21.636168,0.2066783905029297
200,1943,21.315416,-0.1140727996826171
201,1944,21.480083,0.0505943298339843
202,1945,21.081583,-0.3479061126708984
203,1946,21.217916,-0.2115726470947265
204,1947,21.31,-0.1194896697998046
205,1948,21.523333,0.0938434600830078
206,1949,21.829082,0.3995933532714844
207,1950,21.011084,-0.418405532836914
208,1951,21.4455,0.0160102844238281
209,1952,21.3635,-0.065988540649414
210,1953,21.476084,0.0465946197509765
211,1954,21.575834,0.1463451385498047
212,1955,21.419083,-0.010406494140625
213,1956,21.03025,-0.3992385864257812
214,1957,21.708416,0.2789268493652344
215,1958,21.742083,0.3125934600830078
216,1959,21.694834,0.2653446197509765
217,1960,21.422,-0.0074882507324218
218,1961,21.617584,0.1880950927734375
219,1962,21.422583,-0.006906509399414
220,1963,21.11225,-0.317239761352539
221,1964,21.245667,-0.1838226318359375
222,1965,20.982916,-0.446573257446289
223,1966,21.691584,0.262094497680664
224,1967,21.544333,0.1148433685302734
225,1968,21.240334,-0.1891555786132812
226,1969,21.777666,0.3481769561767578
227,1970,21.63125,0.201761245727539
228,1971,21.26125,-0.1682395935058593
229,1972,21.480333,0.0508441925048828
230,1973,21.52775,0.0982608795166015
231,1974,21.060417,-0.3690719604492187
232,1975,21.297916,-0.1315727233886718
233,1976,21.340834,-0.0886554718017578
234,1977,21.837584,0.4080944061279297
235,1978,21.593334,0.1638450622558593
236,1979,21.571917,0.1424274444580078
237,1980,21.634666,0.2051773071289062
238,1981,21.29175,-0.1377391815185547
239,1982,21.5385,0.1090106964111328
240,1983,22.459583,1.0300941467285156
241,1984,21.621834,0.1923446655273437
242,1985,21.30775,-0.1217384338378906
243,1986,21.514668,0.0851783752441406
244,1987,22.328333,0.8988437652587891
245,1988,21.973417,0.5439281463623047
246,1989,21.536833,0.1073436737060546
247,1990,22.28025,0.8507614135742188
248,1991,21.8895,0.4600105285644531
249,1992,22.390333,0.9608440399169922
250,1993,21.940166,0.5106773376464844
251,1994,21.980167,0.5506782531738281
252,1995,22.301666,0.8721771240234375
253,1996,21.963333,0.533843994140625
254,1997,22.03475,0.6052608489990234
255,1998,22.377916,0.9484272003173828
256,1999,21.68925,0.2597618103027344
257,2000,21.714417,0.2849273681640625
258,2001,21.99875,0.5692615509033203
259,2002,22.224,0.7945117950439453
260,2003,22.2335,0.8040103912353516
261,2004,21.865917,0.4364280700683594
262,2005,22.811167,1.3816776275634766
263,2006,22.102167,0.6726779937744141
264,2007,22.098333,0.6688442230224609
265,2008,21.8225,0.3930110931396484
266,2009,22.014833,0.5853443145751953
267,2010,22.600666,1.1711769104003906
268,2011,22.31325,0.8837604522705078
269,2012,21.887417,0.4579277038574219
270,2013,21.269375,-0.1601142883300781
