,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,25.712917,-0.0925369262695312
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,25.041334,-0.7641201019287109
97,1840,25.171583,-0.6338710784912109
98,1841,25.275917,-0.5295372009277344
99,1842,25.418667,-0.3867874145507812
100,1843,25.500917,-0.3045368194580078
101,1844,25.012333,-0.793121337890625
102,1845,24.910364,-0.8950901031494141
103,1846,25.738083,-0.0673713684082031
104,1847,25.165333,-0.6401214599609375
105,1848,,
106,1849,,
107,1850,25.236084,-0.5693702697753906
108,1851,25.404833,-0.4006214141845703
109,1852,25.286417,-0.5190372467041016
110,1853,25.468111,-0.3373432159423828
111,1854,25.359455,-0.4459991455078125
112,1855,25.393583,-0.4118709564208984
113,1856,25.288834,-0.5166206359863281
114,1857,,
115,1858,25.41725,-0.3882045745849609
116,1859,25.514,-0.2914543151855469
117,1860,25.244917,-0.5605373382568359
118,1861,25.174833,-0.6306209564208984
119,1862,,
120,1863,25.372583,-0.432870864868164
121,1864,25.2025,-0.6029548645019531
122,1865,25.468666,-0.3367881774902344
123,1866,25.432417,-0.3730373382568359
124,1867,25.442667,-0.3627872467041015
125,1868,25.536167,-0.269287109375
126,1869,25.385084,-0.4203701019287109
127,1870,25.078083,-0.7273712158203125
128,1871,25.0495,-0.7559547424316406
129,1872,25.416082,-0.3893718719482422
130,1873,25.573334,-0.2321205139160156
131,1874,25.494,-0.3114547729492187
132,1875,24.998167,-0.8072872161865234
133,1876,25.096834,-0.7086200714111328
134,1877,25.663084,-0.1423702239990234
135,1878,25.958584,0.1531295776367187
136,1879,25.221834,-0.5836200714111328
137,1880,25.335917,-0.4695377349853515
138,1881,25.464834,-0.3406200408935547
139,1882,25.51775,-0.2877044677734375
140,1883,25.401333,-0.4041213989257812
141,1884,25.087084,-0.7183704376220703
142,1885,25.509417,-0.2960376739501953
143,1886,25.29775,-0.5077037811279297
144,1887,24.8685,-0.9369544982910156
145,1888,25.582666,-0.222787857055664
146,1889,25.705416,-0.1000385284423828
147,1890,25.124332,-0.681121826171875
148,1891,25.395584,-0.4098701477050781
149,1892,25.141417,-0.6640377044677734
150,1893,25.04875,-0.7567043304443359
151,1894,25.22475,-0.5807037353515625
152,1895,25.409416,-0.3960380554199219
153,1896,25.674,-0.1314544677734375
154,1897,25.832,0.0265464782714843
155,1898,25.4525,-0.3529548645019531
156,1899,25.309416,-0.4960384368896484
157,1900,25.785,-0.0204544067382812
158,1901,25.480583,-0.3248710632324219
159,1902,25.408583,-0.3968715667724609
160,1903,25.544416,-0.2610378265380859
161,1904,25.199,-0.6064548492431641
162,1905,25.888584,0.0831298828125
163,1906,25.724333,-0.0811214447021484
164,1907,25.536833,-0.2686214447021484
165,1908,25.521334,-0.2841205596923828
166,1909,25.532917,-0.2725372314453125
167,1910,25.434084,-0.3713703155517578
168,1911,25.578667,-0.2267875671386718
169,1912,25.7325,-0.0729541778564453
170,1913,25.411417,-0.3940372467041015
171,1914,25.87525,0.0697956085205078
172,1915,25.857916,0.0524616241455078
173,1916,25.253084,-0.5523700714111328
174,1917,25.1955,-0.609954833984375
175,1918,25.265167,-0.5402870178222656
176,1919,25.781166,-0.0242881774902343
177,1920,25.654167,-0.1512870788574218
178,1921,25.517166,-0.2882881164550781
179,1922,25.56225,-0.243204116821289
180,1923,25.553,-0.2524547576904297
181,1924,25.642416,-0.1630382537841797
182,1925,25.432417,-0.3730373382568359
183,1926,25.883167,0.0777130126953125
184,1927,25.784834,-0.0206203460693359
185,1928,25.763,-0.0424537658691406
186,1929,25.765417,-0.0400371551513671
187,1930,26.026833,0.2213783264160156
188,1931,26.139668,0.3342132568359375
189,1932,25.74975,-0.055704116821289
190,1933,25.760834,-0.0446205139160156
191,1934,25.562834,-0.2426204681396484
192,1935,25.7965,-0.0089550018310546
193,1936,25.831833,0.0263786315917968
194,1937,26.037,0.231546401977539
195,1938,25.869917,0.064462661743164
196,1939,25.834583,0.0291290283203125
197,1940,26.055916,0.2504615783691406
198,1941,26.539083,0.7336292266845703
199,1942,26.1895,0.3840465545654297
200,1943,25.699917,-0.1055374145507812
201,1944,25.832,0.0265464782714843
202,1945,25.905416,0.0999622344970703
203,1946,26.235083,0.4296283721923828
204,1947,26.26925,0.4637966156005859
205,1948,26.028584,0.2231292724609375
206,1949,25.980417,0.1749629974365234
207,1950,25.91025,0.1047954559326171
208,1951,26.189917,0.3844623565673828
209,1952,26.170666,0.3652114868164062
210,1953,26.189917,0.3844623565673828
211,1954,25.9915,0.1860466003417968
212,1955,25.87175,0.0662956237792968
213,1956,25.796083,-0.0093708038330078
214,1957,26.15825,0.3527965545654297
215,1958,26.366917,0.56146240234375
216,1959,26.1275,0.3220462799072265
217,1960,26.262417,0.4569625854492187
218,1961,26.044916,0.2394618988037109
219,1962,25.949583,0.1441287994384765
220,1963,26.022083,0.2166290283203125
221,1964,26.03625,0.2307949066162109
222,1965,25.918583,0.113128662109375
223,1966,26.174833,0.3693790435791015
224,1967,25.931833,0.1263790130615234
225,1968,26.08475,0.2792949676513672
226,1969,26.317583,0.5121288299560547
227,1970,26.193417,0.3879623413085937
228,1971,25.8485,0.0430450439453125
229,1972,26.320583,0.5151290893554688
230,1973,26.353834,0.5483798980712891
231,1974,25.98325,0.17779541015625
232,1975,25.989416,0.1839618682861328
233,1976,25.854084,0.0486297607421875
234,1977,26.092083,0.2866287231445312
235,1978,26.192833,0.3873786926269531
236,1979,26.2565,0.4510459899902344
237,1980,26.210417,0.4049625396728515
238,1981,26.20625,0.4007949829101562
239,1982,26.180084,0.3746299743652344
240,1983,26.534,0.728546142578125
241,1984,25.9035,0.0980453491210937
242,1985,26.1245,0.3190460205078125
243,1986,26.186832,0.381378173828125
244,1987,26.515333,0.7098789215087891
245,1988,26.3575,0.5520458221435547
246,1989,26.106083,0.300628662109375
247,1990,26.418917,0.6134624481201172
248,1991,26.332083,0.5266284942626953
249,1992,26.286583,0.4811286926269531
250,1993,26.215,0.4095458984375
251,1994,26.277166,0.4717121124267578
252,1995,26.3345,0.5290451049804688
253,1996,26.238916,0.4334621429443359
254,1997,26.556417,0.7509632110595703
255,1998,27.055,1.2495460510253906
256,1999,26.248917,0.4434623718261719
257,2000,26.371416,0.5659618377685547
258,2001,26.500084,0.6946296691894531
259,2002,26.7455,0.9400463104248048
260,2003,26.57675,0.7712955474853516
261,2004,26.576,0.7705459594726562
262,2005,26.649584,0.8441295623779297
263,2006,26.577667,0.7722129821777344
264,2007,26.496334,0.6908798217773438
265,2008,26.254084,0.4486293792724609
266,2009,26.642,0.8365459442138672
267,2010,26.806667,1.0012130737304688
268,2011,26.440584,0.6351299285888672
269,2012,26.62275,0.8172950744628906
270,2013,26.9735,1.1680450439453125
