,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,27.916,-0.5318260192871094
107,1850,27.957167,-0.4906597137451172
108,1851,28.201584,-0.2462425231933593
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,27.82125,-0.6265754699707031
114,1857,27.928272,-0.5195541381835938
115,1858,27.96175,-0.4860763549804687
116,1859,28.187916,-0.2599105834960937
117,1860,27.957417,-0.4904098510742187
118,1861,27.842333,-0.6054935455322266
119,1862,27.619833,-0.8279933929443359
120,1863,27.66075,-0.7870769500732422
121,1864,28.132,-0.315826416015625
122,1865,28.096416,-0.351409912109375
123,1866,,
124,1867,,
125,1868,27.356728,-1.0910987854003906
126,1869,28.1401,-0.3077259063720703
127,1870,28.270273,-0.1775531768798828
128,1871,,
129,1872,,
130,1873,29.3575,0.9096736907958984
131,1874,27.98825,-0.4595756530761719
132,1875,27.634832,-0.8129940032958984
133,1876,27.89475,-0.5530757904052734
134,1877,28.243917,-0.2039089202880859
135,1878,28.648834,0.2010078430175781
136,1879,27.91775,-0.5300769805908203
137,1880,27.882334,-0.5654926300048828
138,1881,28.684668,0.2368412017822265
139,1882,28.01525,-0.4325771331787109
140,1883,28.287666,-0.1601600646972656
141,1884,27.825167,-0.6226596832275391
142,1885,27.542667,-0.9051589965820312
143,1886,27.6245,-0.8233261108398438
144,1887,27.741583,-0.7062435150146484
145,1888,27.73275,-0.7150764465332031
146,1889,27.479166,-0.9686603546142578
147,1890,27.218584,-1.2292423248291016
148,1891,27.606083,-0.8417434692382812
149,1892,27.993084,-0.454742431640625
150,1893,28.141666,-0.3061599731445312
151,1894,27.697584,-0.7502422332763672
152,1895,28.330084,-0.1177425384521484
153,1896,27.812834,-0.6349925994873047
154,1897,28.406334,-0.0414924621582031
155,1898,28.03025,-0.4175758361816406
156,1899,28.487167,0.0393409729003906
157,1900,28.256,-0.1918258666992187
158,1901,28.143333,-0.3044929504394531
159,1902,28.432917,-0.0149097442626953
160,1903,27.869417,-0.5784091949462891
161,1904,27.536083,-0.9117431640625
162,1905,27.952417,-0.4954090118408203
163,1906,27.98325,-0.4645767211914062
164,1907,27.422167,-1.0256595611572266
165,1908,28.00325,-0.4445762634277344
166,1909,27.854084,-0.5937423706054688
167,1910,28.439917,-0.0079097747802734
168,1911,27.79825,-0.6495761871337891
169,1912,28.570333,0.122507095336914
170,1913,28.754917,0.3070907592773437
171,1914,28.607166,0.1593399047851562
172,1915,28.493917,0.046091079711914
173,1916,27.9525,-0.4953269958496094
174,1917,28.093834,-0.3539924621582031
175,1918,27.920584,-0.5272426605224609
176,1919,28.486166,0.038339614868164
177,1920,28.30925,-0.1385765075683593
178,1921,28.233917,-0.2139091491699218
179,1922,28.49725,0.0494232177734375
180,1923,28.33625,-0.1115760803222656
181,1924,28.752,0.3041744232177734
182,1925,28.728582,0.2807559967041015
183,1926,28.821333,0.3735065460205078
184,1927,28.314,-0.1338272094726562
185,1928,28.253584,-0.1942424774169922
186,1929,28.369,-0.078826904296875
187,1930,28.709333,0.2615070343017578
188,1931,29.240667,0.7928409576416016
189,1932,28.892334,0.4445075988769531
190,1933,28.275333,-0.1724929809570312
191,1934,27.971582,-0.4762439727783203
192,1935,28.337584,-0.1102428436279296
193,1936,28.239584,-0.2082424163818359
194,1937,28.953,0.5051727294921875
195,1938,28.517584,0.0697574615478515
196,1939,28.34025,-0.1075763702392578
197,1940,28.711082,0.2632560729980469
198,1941,29.11475,0.6669235229492188
199,1942,28.804417,0.3565902709960937
200,1943,28.076,-0.371826171875
201,1944,28.65,0.2021732330322265
202,1945,28.504084,0.0562572479248046
203,1946,28.375084,-0.0727424621582031
204,1947,28.844334,0.3965072631835937
205,1948,28.3455,-0.102325439453125
206,1949,28.739834,0.2920074462890625
207,1950,27.8955,-0.5523262023925781
208,1951,28.683332,0.2355060577392578
209,1952,28.136,-0.3118267059326172
210,1953,28.339417,-0.1084098815917968
211,1954,28.035084,-0.4127426147460937
212,1955,28.628916,0.1810894012451172
213,1956,28.365417,-0.0824089050292968
214,1957,28.15125,-0.2965755462646484
215,1958,28.786333,0.3385066986083984
216,1959,28.662666,0.2148399353027343
217,1960,28.47375,0.0259227752685546
218,1961,28.32925,-0.1185760498046875
219,1962,28.40425,-0.0435771942138671
220,1963,28.689083,0.2412567138671875
221,1964,28.441668,-0.0061588287353515
222,1965,28.189083,-0.2587432861328125
223,1966,28.754333,0.3065071105957031
224,1967,28.202833,-0.2449932098388672
225,1968,28.539917,0.0920906066894531
226,1969,29.155916,0.7080898284912109
227,1970,28.893333,0.4455070495605469
228,1971,28.506416,0.0585899353027343
229,1972,28.557667,0.1098403930664062
230,1973,28.801916,0.3540897369384765
231,1974,28.08525,-0.3625755310058594
232,1975,28.170334,-0.2774925231933594
233,1976,27.869,-0.578826904296875
234,1977,28.81975,0.3719234466552734
235,1978,28.874166,0.426340103149414
236,1979,28.962418,0.5145912170410156
237,1980,29.141417,0.6935901641845703
238,1981,28.912083,0.4642562866210937
239,1982,28.439667,-0.0081596374511718
240,1983,29.276667,0.8288402557373047
241,1984,28.857666,0.4098396301269531
242,1985,28.793583,0.3457565307617187
243,1986,28.519,0.0711727142333984
244,1987,29.637833,1.1900062561035156
245,1988,28.780666,0.3328399658203125
246,1989,28.773167,0.3253402709960937
247,1990,29.321083,0.8732566833496094
248,1991,28.855833,0.4080066680908203
249,1992,28.566166,0.1183395385742187
250,1993,28.9665,0.5186729431152344
251,1994,28.37625,-0.0715770721435546
252,1995,28.904,0.4561729431152344
253,1996,29.252583,0.8047561645507812
254,1997,29.133917,0.6860904693603516
255,1998,29.493084,1.045257568359375
256,1999,28.792583,0.344757080078125
257,2000,29.150333,0.7025070190429688
258,2001,29.310833,0.863006591796875
259,2002,29.4265,0.9786739349365234
260,2003,29.429,0.9811744689941406
261,2004,29.426,0.9781742095947266
262,2005,29.52625,1.0784244537353516
263,2006,29.037916,0.5900897979736328
264,2007,29.202168,0.7543411254882812
265,2008,28.949917,0.5020904541015625
266,2009,29.440916,0.9930896759033204
267,2010,30.127083,1.6792564392089844
268,2011,29.436666,0.988840103149414
269,2012,28.601833,0.1540069580078125
270,2013,29.942,1.4941730499267578
