,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,27.094584,-0.5325431823730469
107,1850,27.266834,-0.3602924346923828
108,1851,27.54425,-0.0828762054443359
109,1852,,
110,1853,,
111,1854,27.736,0.1088733673095703
112,1855,27.201666,-0.4254608154296875
113,1856,27.04325,-0.5838775634765625
114,1857,26.714417,-0.912710189819336
115,1858,27.105083,-0.5220432281494141
116,1859,27.441668,-0.1854591369628906
117,1860,27.181583,-0.4455432891845703
118,1861,27.194166,-0.4329605102539062
119,1862,26.870832,-0.7562942504882812
120,1863,26.73475,-0.8923759460449219
121,1864,27.40875,-0.2183761596679687
122,1865,27.3625,-0.264627456665039
123,1866,27.221666,-0.4054603576660156
124,1867,27.793333,0.1662063598632812
125,1868,27.0795,-0.5476264953613281
126,1869,27.437584,-0.1895427703857422
127,1870,27.514584,-0.1125431060791015
128,1871,27.263666,-0.3634605407714844
129,1872,27.193083,-0.4340438842773437
130,1873,27.172,-0.4551258087158203
131,1874,27.047167,-0.5799598693847656
132,1875,26.912582,-0.7145442962646484
133,1876,27.344084,-0.2830429077148437
134,1877,27.442833,-0.1842937469482422
135,1878,27.824417,0.1972904205322265
136,1879,27.102833,-0.5242938995361328
137,1880,26.84275,-0.7843761444091797
138,1881,27.886417,0.2592906951904297
139,1882,27.35775,-0.2693767547607422
140,1883,27.397583,-0.2295436859130859
141,1884,26.968166,-0.6589603424072266
142,1885,26.731083,-0.8960437774658203
143,1886,26.87325,-0.7538776397705078
144,1887,27.239916,-0.3872108459472656
145,1888,27.113583,-0.5135440826416016
146,1889,26.710083,-0.917043685913086
147,1890,26.620333,-1.006793975830078
148,1891,27.066,-0.561126708984375
149,1892,27.4655,-0.1616268157958984
150,1893,27.7445,0.1173725128173828
151,1894,26.985584,-0.6415424346923828
152,1895,27.620583,-0.0065441131591796
153,1896,27.223417,-0.4037094116210937
154,1897,27.7545,0.1273727416992187
155,1898,27.31525,-0.3118762969970703
156,1899,27.92825,0.3011226654052734
157,1900,27.442917,-0.1842098236083984
158,1901,27.523916,-0.10321044921875
159,1902,27.694,0.066873550415039
160,1903,27.2315,-0.3956260681152344
161,1904,26.892084,-0.7350425720214844
162,1905,27.291916,-0.3352108001708984
163,1906,27.231417,-0.3957099914550781
164,1907,26.515583,-1.1115436553955078
165,1908,27.259583,-0.3675441741943359
166,1909,27.159,-0.4681262969970703
167,1910,27.533667,-0.0934600830078125
168,1911,27.087084,-0.5400428771972656
169,1912,27.512417,-0.1147098541259765
170,1913,27.7225,0.0953731536865234
171,1914,27.648417,0.0212898254394531
172,1915,27.723667,0.0965404510498046
173,1916,27.296417,-0.3307094573974609
174,1917,27.109583,-0.5175437927246094
175,1918,27.0865,-0.5406265258789062
176,1919,27.599,-0.0281257629394531
177,1920,27.386583,-0.2405433654785156
178,1921,27.366083,-0.2610435485839844
179,1922,27.57675,-0.0503768920898437
180,1923,27.797083,0.1699562072753906
181,1924,27.783916,0.1567897796630859
182,1925,27.593082,-0.0340442657470703
183,1926,28.250668,0.6235408782958984
184,1927,27.782417,0.1552906036376953
185,1928,27.36275,-0.2643775939941406
186,1929,27.4745,-0.1526260375976562
187,1930,27.499,-0.1281261444091797
188,1931,27.93275,0.3056240081787109
189,1932,27.651,0.0238723754882812
190,1933,27.077667,-0.5494594573974609
191,1934,27.143,-0.4841270446777344
192,1935,27.399166,-0.2279605865478515
193,1936,27.430584,-0.196542739868164
194,1937,28.207417,0.5802898406982422
195,1938,27.711416,0.08428955078125
196,1939,27.469334,-0.1577930450439453
197,1940,27.7165,0.0893726348876953
198,1941,27.967833,0.3407058715820312
199,1942,27.727333,0.1002063751220703
200,1943,27.288084,-0.3390426635742187
201,1944,27.697916,0.0707893371582031
202,1945,28.102917,0.4757900238037109
203,1946,27.327833,-0.2992935180664062
204,1947,27.841167,0.2140407562255859
205,1948,27.47925,-0.1478767395019531
206,1949,27.607666,-0.0194606781005859
207,1950,27.30975,-0.3173770904541015
208,1951,27.3685,-0.2586269378662109
209,1952,27.22175,-0.4053764343261719
210,1953,27.632416,0.005289077758789
211,1954,27.109417,-0.5177097320556641
212,1955,28.123417,0.4962902069091797
213,1956,27.266167,-0.3609600067138672
214,1957,27.156834,-0.4702930450439453
215,1958,28.01275,0.3856239318847656
216,1959,27.6365,0.0093727111816406
217,1960,27.6765,0.0493736267089843
218,1961,27.939917,0.3127899169921875
219,1962,27.806417,0.179290771484375
220,1963,27.756332,0.1292057037353515
221,1964,27.862167,0.2350406646728515
222,1965,27.298666,-0.328460693359375
223,1966,27.9855,0.3583736419677734
224,1967,27.27525,-0.351877212524414
225,1968,27.58,-0.0471267700195312
226,1969,28.13325,0.5061225891113281
227,1970,28.368166,0.7410392761230469
228,1971,27.253416,-0.3737106323242187
229,1972,27.196917,-0.4302101135253906
230,1973,27.76175,0.134622573852539
231,1974,27.066668,-0.5604591369628906
232,1975,27.29925,-0.3278770446777344
233,1976,26.69725,-0.9298763275146484
234,1977,28.116583,0.4894561767578125
235,1978,28.000668,0.3735408782958984
236,1979,28.366333,0.7392063140869141
237,1980,28.23,0.6028728485107422
238,1981,28.334333,0.7072067260742188
239,1982,27.582666,-0.0444602966308593
240,1983,28.839417,1.212289810180664
241,1984,27.771833,0.1447067260742187
242,1985,27.880917,0.2537899017333984
243,1986,27.500084,-0.1270427703857422
244,1987,29.096,1.4688739776611328
245,1988,27.954,0.326873779296875
246,1989,28.216,0.5888729095458984
247,1990,28.536417,0.9092903137207032
248,1991,28.033833,0.4067058563232422
249,1992,27.955,0.3278732299804687
250,1993,27.858418,0.2312908172607422
251,1994,27.910917,0.2837905883789062
252,1995,28.26,0.63287353515625
253,1996,28.5385,0.9113731384277344
254,1997,28.6,0.9728736877441406
255,1998,28.969917,1.342790603637695
256,1999,27.872917,0.2457904815673828
257,2000,28.355583,0.7284564971923828
258,2001,28.878416,1.2512893676757812
259,2002,28.65025,1.023122787475586
260,2003,28.558834,0.9317073822021484
261,2004,28.62825,1.0011234283447266
262,2005,28.75225,1.1251239776611328
263,2006,28.4505,0.8233737945556641
264,2007,28.451916,0.8247890472412109
265,2008,28.395,0.7678737640380859
266,2009,28.431334,0.8042068481445312
267,2010,29.372917,1.7457904815673828
268,2011,28.632917,1.0057907104492188
269,2012,28.026833,0.3997058868408203
270,2013,29.11,1.4828739166259766
