,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,23.3,-0.2170619964599609
45,1788,21.890375,-1.6266860961914062
46,1789,22.963182,-0.5538787841796875
47,1790,23.063417,-0.453643798828125
48,1791,23.575583,0.0585212707519531
49,1792,23.669333,0.1522712707519531
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,22.449286,-1.0677757263183594
61,1804,23.8841,0.3670387268066406
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,22.94225,-0.5748119354248047
111,1854,22.9735,-0.5435619354248047
112,1855,22.624416,-0.8926448822021484
113,1856,22.629,-0.8880615234375
114,1857,22.50575,-1.011310577392578
115,1858,22.969917,-0.5471439361572266
116,1859,23.10775,-0.409311294555664
117,1860,23.240273,-0.2767887115478515
118,1861,23.269417,-0.2476444244384765
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,23.197416,-0.3196449279785156
147,1890,22.631273,-0.8857879638671875
148,1891,22.778667,-0.7383937835693359
149,1892,22.82675,-0.6903114318847656
150,1893,22.788666,-0.7283954620361328
151,1894,23.115667,-0.4013938903808594
152,1895,23.085417,-0.4316444396972656
153,1896,23.145916,-0.3711452484130859
154,1897,23.359417,-0.1576442718505859
155,1898,23.235,-0.2820606231689453
156,1899,23.132584,-0.3844776153564453
157,1900,23.464167,-0.0528945922851562
158,1901,23.520166,0.0031051635742187
159,1902,23.310833,-0.2062282562255859
160,1903,23.053667,-0.4633941650390625
161,1904,22.8665,-0.6505603790283203
162,1905,23.290083,-0.2269783020019531
163,1906,23.307083,-0.2099781036376953
164,1907,22.968334,-0.5487270355224609
165,1908,23.138584,-0.3784770965576172
166,1909,22.991583,-0.5254783630371094
167,1910,23.12825,-0.3888111114501953
168,1911,23.09525,-0.4218120574951172
169,1912,23.360167,-0.1568946838378906
170,1913,23.08825,-0.428812026977539
171,1914,23.5805,0.0634384155273437
172,1915,23.596582,0.0795211791992187
173,1916,23.346333,-0.1707286834716797
174,1917,22.896166,-0.6208953857421875
175,1918,22.880833,-0.6362285614013672
176,1919,23.618166,0.101104736328125
177,1920,23.012083,-0.5049781799316406
178,1921,23.080084,-0.4369773864746094
179,1922,23.059416,-0.4576454162597656
180,1923,23.36,-0.1570606231689453
181,1924,23.169167,-0.3478946685791015
182,1925,23.414083,-0.1029777526855468
183,1926,23.691,0.1739387512207031
184,1927,23.171833,-0.3452281951904297
185,1928,23.3675,-0.1495609283447265
186,1929,23.22675,-0.2903118133544922
187,1930,23.287167,-0.2298946380615234
188,1931,23.668583,0.1515216827392578
189,1932,23.305416,-0.2116451263427734
190,1933,23.411083,-0.1059780120849609
191,1934,23.192917,-0.3241443634033203
192,1935,23.497,-0.0200614929199218
193,1936,23.560333,0.0432720184326171
194,1937,23.59125,0.074188232421875
195,1938,23.448833,-0.0682277679443359
196,1939,23.645416,0.1283550262451172
197,1940,23.7305,0.2134380340576172
198,1941,23.820084,0.3030223846435547
199,1942,23.507584,-0.0094776153564453
200,1943,23.04975,-0.4673118591308594
201,1944,23.685417,0.1683559417724609
202,1945,23.609833,0.0927715301513671
203,1946,23.713667,0.1966056823730468
204,1947,23.52625,0.0091896057128906
205,1948,23.69125,0.1741886138916015
206,1949,23.564583,0.0475215911865234
207,1950,23.366417,-0.150644302368164
208,1951,23.542917,0.0258560180664062
209,1952,23.549917,0.0328559875488281
210,1953,23.741,0.22393798828125
211,1954,23.7925,0.2754383087158203
212,1955,23.50525,-0.011810302734375
213,1956,23.37175,-0.1453113555908203
214,1957,23.590584,0.0735225677490234
215,1958,23.63075,0.1136894226074218
216,1959,23.41175,-0.1053104400634765
217,1960,23.452833,-0.0642280578613281
218,1961,24.150667,0.63360595703125
219,1962,23.300417,-0.216644287109375
220,1963,23.146,-0.3710613250732422
221,1964,23.125,-0.3920612335205078
222,1965,23.265083,-0.2519779205322265
223,1966,23.63025,0.113189697265625
224,1967,23.7195,0.2024383544921875
225,1968,23.197666,-0.3193950653076172
226,1969,24.105167,0.5881061553955078
227,1970,23.751167,0.2341060638427734
228,1971,23.30125,-0.2158107757568359
229,1972,23.82175,0.3046894073486328
230,1973,23.72775,0.2106895446777343
231,1974,23.091417,-0.4256439208984375
232,1975,23.57025,0.0531883239746093
233,1976,23.841333,0.3242721557617187
234,1977,24.15075,0.6336879730224609
235,1978,23.989084,0.4720230102539062
236,1979,23.936583,0.4195213317871094
237,1980,23.864916,0.3478546142578125
238,1981,23.817083,0.3000221252441406
239,1982,23.751333,0.2342720031738281
240,1983,23.7095,0.1924381256103515
241,1984,23.578083,0.0610218048095703
242,1985,23.649416,0.132354736328125
243,1986,23.688,0.170938491821289
244,1987,24.315083,0.7980213165283203
245,1988,24.135584,0.6185226440429688
246,1989,23.760084,0.2430229187011718
247,1990,23.840666,0.3236045837402344
248,1991,24.138,0.6209392547607422
249,1992,23.809084,0.292022705078125
250,1993,23.911083,0.394021987915039
251,1994,24.165833,0.6487712860107422
252,1995,24.023417,0.5063552856445312
253,1996,23.891167,0.3741054534912109
254,1997,24.097416,0.5803546905517578
255,1998,24.405916,0.88885498046875
256,1999,24.1075,0.5904388427734375
257,2000,24.002583,0.4855213165283203
258,2001,24.4905,0.9734382629394532
259,2002,24.39575,0.8786888122558594
260,2003,24.517084,1.0000228881835938
261,2004,24.254583,0.7375221252441406
262,2005,24.155916,0.63885498046875
263,2006,24.31975,0.8026885986328125
264,2007,24.284334,0.76727294921875
265,2008,24.189,0.6719379425048828
266,2009,24.584833,1.0677719116210938
267,2010,24.669083,1.152021408081055
268,2011,24.522333,1.0052719116210938
269,2012,24.374,0.8569393157958984
270,2013,24.312374,0.7953128814697266
