,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,26.026,-0.3104171752929687
45,1788,25.731375,-0.60504150390625
46,1789,26.083364,-0.2530517578125
47,1790,25.929083,-0.4073333740234375
48,1791,26.348667,0.0122509002685546
49,1792,26.132778,-0.2036380767822265
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,26.120285,-0.2161312103271484
61,1804,26.617,0.2805843353271484
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,25.546818,-0.7895984649658203
108,1851,,
109,1852,,
110,1853,25.744833,-0.591583251953125
111,1854,25.896166,-0.4402503967285156
112,1855,25.78025,-0.5561656951904297
113,1856,25.586334,-0.7500820159912109
114,1857,25.425833,-0.91058349609375
115,1858,25.821083,-0.5153331756591797
116,1859,25.957333,-0.3790836334228515
117,1860,25.89,-0.4464168548583984
118,1861,25.784584,-0.5518321990966797
119,1862,,
120,1863,,
121,1864,25.700834,-0.6355819702148438
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,25.41475,-0.9216670989990234
133,1876,25.679832,-0.6565837860107422
134,1877,26.244,-0.092416763305664
135,1878,26.412,0.0755844116210937
136,1879,,
137,1880,25.883364,-0.4530525207519531
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,26.112667,-0.2237491607666015
147,1890,25.297274,-1.039142608642578
148,1891,25.567,-0.7694168090820312
149,1892,25.947416,-0.3889999389648437
150,1893,25.575666,-0.7607498168945312
151,1894,26.038416,-0.2980003356933594
152,1895,26.099916,-0.2364997863769531
153,1896,26.174166,-0.1622505187988281
154,1897,26.398834,0.062417984008789
155,1898,26.399334,0.0629177093505859
156,1899,25.88325,-0.4531669616699219
157,1900,26.49725,0.1608333587646484
158,1901,26.105917,-0.230499267578125
159,1902,26.409334,0.0729179382324218
160,1903,26.29375,-0.0426654815673828
161,1904,25.46175,-0.8746662139892578
162,1905,26.294333,-0.042083740234375
163,1906,25.982666,-0.3537502288818359
164,1907,25.882084,-0.4543323516845703
165,1908,26.32025,-0.0161666870117187
166,1909,26.134666,-0.2017498016357422
167,1910,25.754168,-0.5822486877441406
168,1911,25.694666,-0.6417503356933594
169,1912,26.271084,-0.0653324127197265
170,1913,26.06725,-0.2691669464111328
171,1914,26.291,-0.0454158782958984
172,1915,26.309084,-0.0273323059082031
173,1916,26.035583,-0.3008327484130859
174,1917,25.949167,-0.3872489929199219
175,1918,25.95625,-0.380167007446289
176,1919,26.358334,0.0219173431396484
177,1920,25.866333,-0.4700832366943359
178,1921,25.928,-0.408416748046875
179,1922,25.97875,-0.357666015625
180,1923,26.221916,-0.1145000457763671
181,1924,26.067917,-0.2684993743896484
182,1925,26.218,-0.1184158325195312
183,1926,26.52825,0.19183349609375
184,1927,25.954584,-0.3818321228027344
185,1928,26.297916,-0.0384998321533203
186,1929,26.243416,-0.0930004119873046
187,1930,25.890667,-0.445749282836914
188,1931,26.453083,0.1166667938232421
189,1932,26.248083,-0.0883331298828125
190,1933,26.09,-0.2464160919189453
191,1934,26.203167,-0.133249282836914
192,1935,26.159916,-0.1765003204345703
193,1936,26.3305,-0.0059165954589843
194,1937,26.194166,-0.1422500610351562
195,1938,26.311832,-0.0245838165283203
196,1939,26.295334,-0.0410823822021484
197,1940,26.647583,0.311166763305664
198,1941,26.643333,0.3069171905517578
199,1942,26.352083,0.0156669616699218
200,1943,25.784834,-0.5515823364257812
201,1944,26.28525,-0.0511665344238281
202,1945,26.269333,-0.0670833587646484
203,1946,26.361416,0.0249996185302734
204,1947,26.343334,0.0069179534912109
205,1948,26.53975,0.2033329010009765
206,1949,26.455667,0.1192512512207031
207,1950,26.26275,-0.0736656188964843
208,1951,26.329916,-0.006500244140625
209,1952,26.60925,0.2728328704833984
210,1953,26.511084,0.1746673583984375
211,1954,26.576334,0.2399177551269531
212,1955,26.27725,-0.0591659545898437
213,1956,26.10375,-0.232666015625
214,1957,26.396584,0.0601673126220703
215,1958,26.640833,0.3044166564941406
216,1959,26.273916,-0.0625
217,1960,26.418667,0.0822505950927734
218,1961,26.910583,0.5741672515869141
219,1962,26.429,0.0925846099853515
220,1963,26.152416,-0.184000015258789
221,1964,26.16875,-0.1676654815673828
222,1965,25.966667,-0.3697490692138672
223,1966,26.64375,0.3073329925537109
224,1967,26.600916,0.2644996643066406
225,1968,26.067333,-0.269083023071289
226,1969,26.830166,0.4937496185302734
227,1970,26.646,0.3095836639404297
228,1971,25.985584,-0.3508319854736328
229,1972,26.450083,0.1136665344238281
230,1973,26.53325,0.1968345642089843
231,1974,26.053333,-0.2830829620361328
232,1975,26.27625,-0.0601654052734375
233,1976,26.3615,0.0250835418701171
234,1977,26.847666,0.5112495422363281
235,1978,26.562916,0.2264995574951172
236,1979,26.600416,0.2639999389648437
237,1980,26.600416,0.2639999389648437
238,1981,26.553,0.216583251953125
239,1982,26.815416,0.4790000915527344
240,1983,26.705166,0.3687496185302734
241,1984,26.162083,-0.1743335723876953
242,1985,26.413666,0.077249526977539
243,1986,26.610666,0.2742500305175781
244,1987,26.966917,0.6305007934570312
245,1988,26.931833,0.5954170227050781
246,1989,26.391083,0.054666519165039
247,1990,26.775333,0.4389171600341797
248,1991,26.799417,0.4630012512207031
249,1992,26.85475,0.5183334350585938
250,1993,26.8835,0.5470829010009766
251,1994,27.091833,0.7554168701171875
252,1995,26.99675,0.6603336334228516
253,1996,26.58575,0.2493343353271484
254,1997,26.994333,0.6579170227050781
255,1998,27.354834,1.0184173583984375
256,1999,26.938667,0.6022510528564453
257,2000,26.609333,0.2729167938232422
258,2001,27.028084,0.6916675567626953
259,2002,27.373917,1.0375003814697266
260,2003,27.142,0.8055839538574219
261,2004,27.0085,0.6720829010009766
262,2005,27.266,0.929584503173828
263,2006,27.15125,0.8148345947265625
264,2007,27.256584,0.9201679229736328
265,2008,26.914667,0.5782508850097656
266,2009,27.238,0.9015846252441406
267,2010,27.451416,1.114999771118164
268,2011,27.188583,0.8521671295166016
269,2012,26.97,0.6335830688476562
270,2013,27.13175,0.7953338623046875
