,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,18.99325,-1.5766143798828125
93,1836,19.587166,-0.9826984405517578
94,1837,19.671083,-0.8987808227539062
95,1838,19.337,-1.2328643798828125
96,1839,19.785833,-0.7840309143066406
97,1840,19.882917,-0.6869468688964844
98,1841,19.904667,-0.6651973724365234
99,1842,20.201084,-0.3687801361083984
100,1843,20.273333,-0.2965316772460937
101,1844,19.839834,-0.7300300598144531
102,1845,19.777416,-0.7924480438232422
103,1846,20.541834,-0.0280303955078125
104,1847,19.9515,-0.6183643341064453
105,1848,19.956917,-0.6129474639892578
106,1849,20.522667,-0.0471973419189453
107,1850,20.3065,-0.2633647918701172
108,1851,20.241917,-0.3279476165771484
109,1852,20.232084,-0.3377799987792969
110,1853,20.051584,-0.518280029296875
111,1854,20.06,-0.5098648071289062
112,1855,20.001,-0.5688648223876953
113,1856,19.825916,-0.7439479827880859
114,1857,20.13675,-0.433115005493164
115,1858,20.361334,-0.2085304260253906
116,1859,20.476833,-0.0930309295654296
117,1860,20.1125,-0.4573650360107422
118,1861,20.723083,0.1532192230224609
119,1862,20.545416,-0.0244483947753906
120,1863,20.443666,-0.1261978149414062
121,1864,20.303,-0.2668647766113281
122,1865,20.456833,-0.1130313873291015
123,1866,20.5665,-0.0033645629882812
124,1867,21.294,0.7241363525390625
125,1868,20.470583,-0.0992813110351562
126,1869,20.55725,-0.0126152038574218
127,1870,20.438084,-0.1317806243896484
128,1871,20.5135,-0.0563640594482421
129,1872,20.273083,-0.2967815399169922
130,1873,20.323917,-0.2459468841552734
131,1874,20.437084,-0.1327800750732422
132,1875,20.2955,-0.2743644714355469
133,1876,20.23475,-0.335113525390625
134,1877,20.498417,-0.0714473724365234
135,1878,20.635666,0.0658016204833984
136,1879,20.613333,0.0434684753417968
137,1880,20.063417,-0.5064468383789062
138,1881,20.330584,-0.2392807006835937
139,1882,20.17025,-0.3996143341064453
140,1883,20.118084,-0.4517803192138672
141,1884,20.125834,-0.44403076171875
142,1885,20.31025,-0.2596149444580078
143,1886,20.150583,-0.419281005859375
144,1887,19.91875,-0.6511135101318359
145,1888,20.04475,-0.5251140594482422
146,1889,20.282084,-0.28778076171875
147,1890,20.23825,-0.331613540649414
148,1891,19.98225,-0.5876140594482422
149,1892,20.194584,-0.3752803802490234
150,1893,20.146833,-0.4230308532714844
151,1894,20.244333,-0.325531005859375
152,1895,20.182833,-0.3870315551757812
153,1896,20.773916,0.2040519714355468
154,1897,20.502916,-0.0669479370117187
155,1898,20.060667,-0.5091972351074219
156,1899,20.09725,-0.4726142883300781
157,1900,20.521584,-0.0482807159423828
158,1901,20.28525,-0.2846145629882812
159,1902,20.581583,0.01171875
160,1903,19.973667,-0.5961971282958984
161,1904,20.090584,-0.4792804718017578
162,1905,20.235332,-0.3345317840576172
163,1906,20.234917,-0.3349475860595703
164,1907,20.555916,-0.0139484405517578
165,1908,20.54575,-0.0241146087646484
166,1909,20.57075,0.000885009765625
167,1910,20.42975,-0.1401138305664062
168,1911,20.621416,0.0515518188476562
169,1912,19.987,-0.5828647613525391
170,1913,19.898333,-0.6715316772460938
171,1914,20.21175,-0.3581142425537109
172,1915,20.3585,-0.21136474609375
173,1916,20.55175,-0.0181140899658203
174,1917,20.441166,-0.1286983489990234
175,1918,20.469667,-0.1001968383789062
176,1919,20.319416,-0.2504482269287109
177,1920,20.420334,-0.1495304107666015
178,1921,20.847666,0.277801513671875
179,1922,20.773,0.2031364440917968
180,1923,20.513083,-0.0567817687988281
181,1924,20.498333,-0.0715312957763671
182,1925,20.599833,0.02996826171875
183,1926,20.6,0.0301361083984375
184,1927,20.927166,0.3573017120361328
185,1928,20.770082,0.2002182006835937
186,1929,20.589333,0.0194683074951171
187,1930,20.613583,0.0437183380126953
188,1931,20.471,-0.0988636016845703
189,1932,20.583918,0.0140533447265625
190,1933,20.912666,0.3428020477294922
191,1934,20.876333,0.3064689636230469
192,1935,20.555666,-0.0141983032226562
193,1936,20.69625,0.1263866424560547
194,1937,20.914417,0.344552993774414
195,1938,20.741583,0.1717185974121093
196,1939,20.6385,0.0686359405517578
197,1940,20.755167,0.185302734375
198,1941,20.76225,0.1923866271972656
199,1942,20.743584,0.1737194061279297
200,1943,20.750334,0.1804695129394531
201,1944,20.495832,-0.0740318298339843
202,1945,21.120916,0.5510520935058594
203,1946,21.12375,0.5538864135742188
204,1947,20.742,0.1721363067626953
205,1948,21.052166,0.4823017120361328
206,1949,20.916082,0.3462181091308594
207,1950,21.25675,0.6868858337402344
208,1951,21.117584,0.5477199554443359
209,1952,20.887333,0.3174686431884765
210,1953,21.0715,0.5016365051269531
211,1954,21.0985,0.5286350250244141
212,1955,20.633583,0.0637187957763671
213,1956,20.72375,0.1538848876953125
214,1957,21.10475,0.5348854064941406
215,1958,20.745083,0.1752185821533203
216,1959,20.75125,0.1813850402832031
217,1960,20.746584,0.1767196655273437
218,1961,20.723917,0.154052734375
219,1962,20.993334,0.4234695434570312
220,1963,20.879417,0.3095531463623047
221,1964,20.586334,0.0164699554443359
222,1965,20.7345,0.1646366119384765
223,1966,20.389668,-0.1801967620849609
224,1967,20.683332,0.1134681701660156
225,1968,20.316084,-0.2537803649902344
226,1969,20.958834,0.3889694213867187
227,1970,20.490084,-0.0797805786132812
228,1971,20.640333,0.0704689025878906
229,1972,20.975,0.4051361083984375
230,1973,20.496166,-0.0736980438232421
231,1974,20.6315,0.0616359710693359
232,1975,20.449333,-0.1205310821533203
233,1976,20.145666,-0.4241981506347656
234,1977,20.84125,0.2713851928710937
235,1978,20.7555,0.1856365203857422
236,1979,20.569,-0.000864028930664
237,1980,21.035667,0.4658031463623047
238,1981,20.75375,0.1838855743408203
239,1982,21.051083,0.4812183380126953
240,1983,20.675417,0.1055526733398437
241,1984,20.5115,-0.0583648681640625
242,1985,20.603916,0.0340518951416015
243,1986,20.850666,0.280801773071289
244,1987,20.455166,-0.1146984100341796
245,1988,20.736084,0.1662197113037109
246,1989,20.965166,0.3953018188476562
247,1990,20.960833,0.3909683227539062
248,1991,20.839666,0.2698020935058594
249,1992,20.650333,0.0804691314697265
250,1993,20.938833,0.3689689636230469
251,1994,21.32575,0.7558860778808594
252,1995,21.370667,0.8008022308349609
253,1996,21.132166,0.5623016357421875
254,1997,20.898582,0.3287181854248047
255,1998,21.53175,0.9618854522705078
256,1999,21.1285,0.5586357116699219
257,2000,21.232084,0.6622200012207031
258,2001,21.133,0.5631351470947266
259,2002,21.225,0.6551361083984375
260,2003,21.329416,0.759552001953125
261,2004,20.924833,0.3549690246582031
262,2005,21.4135,0.8436355590820312
263,2006,21.418083,0.8482189178466797
264,2007,21.079334,0.5094699859619141
265,2008,21.08525,0.5153865814208984
266,2009,21.546083,0.9762191772460938
267,2010,20.852917,0.2830524444580078
268,2011,21.599333,1.0294685363769531
269,2012,21.652416,1.0825519561767578
270,2013,22.219223,1.6493587493896484
