,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,-0.9953333,-0.1848092675209045
79,1822,-1.1266667,-0.3161426186561584
80,1823,-1.7843333,-0.97380930185318
81,1824,-0.53466666,0.2758573889732361
82,1825,-0.95566666,-0.1451426148414611
83,1826,-1.043,-0.2324759364128112
84,1827,-0.337,0.4735240340232849
85,1828,-1.31825,-0.5077258944511414
86,1829,-1.42725,-0.6167259812355042
87,1830,-0.85175,-0.0412259697914123
88,1831,-2.4815834,-1.6710593104362488
89,1832,-2.1187272,-1.3082031607627869
90,1833,-1.9034166,-1.092892587184906
91,1834,-1.10375,-0.2932259440422058
92,1835,-1.6384166,-0.8278926014900208
93,1836,-1.3611667,-0.5506426692008972
94,1837,-1.6630833,-0.8525592684745789
95,1838,-1.5713333,-0.7608092427253723
96,1839,-2.2779167,-1.46739262342453
97,1840,-1.639,-0.8284760117530823
98,1841,-2.77,-1.9594759345054624
99,1842,-0.7366667,0.0738573670387268
100,1843,-0.63858336,0.1719406843185424
101,1844,-0.9349167,-0.1243926286697387
102,1845,-1.2893333,-0.4788092970848083
103,1846,-0.70533335,0.1051906943321228
104,1847,-1.0465,-0.2359759211540222
105,1848,-1.2245,-0.4139758944511413
106,1849,-1.1250833,-0.3145592808723449
107,1850,-1.914,-1.1034759879112244
108,1851,-2.3293333,-1.5188092589378357
109,1852,-1.8909167,-1.0803926587104795
110,1853,-2.2845,-1.4739758372306824
111,1854,-0.92941666,-0.1188926100730896
112,1855,-0.6193333,0.1911907196044922
113,1856,-1.0936667,-0.283142626285553
114,1857,-1.59125,-0.78072589635849
115,1858,-0.6433333,0.1671907305717468
116,1859,-0.55883336,0.2516906857490539
117,1860,-2.4750834,-1.6645593047142029
118,1861,-1.70575,-0.8952259421348572
119,1862,-2.3484166,-1.537892520427704
120,1863,-0.39275,0.4177740514278412
121,1864,-1.9776666,-1.1671425700187683
122,1865,-1.3185834,-0.5080593228340149
123,1866,-0.63516665,0.1753574013710022
124,1867,-0.049416665,0.7611073814332485
125,1868,-0.90525,-0.0947259664535522
126,1869,-0.964,-0.1534759402275085
127,1870,-2.0765,-1.2659758925437927
128,1871,-1.2095,-0.3989759087562561
129,1872,-1.9920833,-1.1815592646598816
130,1873,-0.37425,0.4362740516662597
131,1874,0.025083333,0.8356073796749115
132,1875,-0.51608336,0.2944406867027282
133,1876,-1.0544167,-0.2438926100730896
134,1877,-1.273,-0.4624759554862976
135,1878,-0.95666665,-0.1461426019668579
136,1879,-1.0990833,-0.2885592579841614
137,1880,-0.96375,-0.1532259583473205
138,1881,-1.3234167,-0.5128926634788513
139,1882,-0.9126667,-0.1021426320075988
140,1883,-1.35875,-0.5482259392738342
141,1884,-1.3411666,-0.530642569065094
142,1885,-1.0988333,-0.2883092761039734
143,1886,-0.97083336,-0.1603093147277832
144,1887,-1.0149167,-0.2043926119804382
145,1888,-1.3855,-0.5749759078025818
146,1889,-1.7046666,-0.8941425681114197
147,1890,-1.2354167,-0.4248926043510437
148,1891,-0.99175,-0.1812259554862976
149,1892,-1.95725,-1.1467259526252749
150,1893,-0.73766667,0.07285737991333
151,1894,-0.47466666,0.3358573913574219
152,1895,-1.4939166,-0.6833925843238831
153,1896,-0.89433336,-0.0838093161582946
154,1897,-1.59475,-0.7842260003089905
155,1898,-1.0525833,-0.2420592904090881
156,1899,-0.63558334,0.1749407052993774
157,1900,-1.1693333,-0.3588092923164367
158,1901,-0.80583334,0.0046907067298889
159,1902,-0.5620833,0.2484407424926757
160,1903,-1.4483334,-0.6378093361854553
161,1904,-1.1800833,-0.3695592284202575
162,1905,-1.6095,-0.7989760041236877
163,1906,-1.36475,-0.5542259812355042
164,1907,-1.14725,-0.3367260098457336
165,1908,-1.2664167,-0.4558926224708557
166,1909,-1.4894167,-0.6788926720619202
167,1910,-1.8313333,-1.0208092331886292
168,1911,-0.78475,0.02577406167984
169,1912,-2.023,-1.2124759554862976
170,1913,-0.8843333,-0.073809266090393
171,1914,-0.39291668,0.4176073670387268
172,1915,-1.4378333,-0.627309262752533
173,1916,-1.5869167,-0.7763926386833191
174,1917,-1.14975,-0.3392259478569031
175,1918,-0.9069167,-0.0963926315307617
176,1919,-1.0161667,-0.2056426405906677
177,1920,-0.71541667,0.0951073765754699
178,1921,-0.6555,0.1550240516662597
179,1922,-1.1816666,-0.371142566204071
180,1923,-1.2605,-0.4499759078025818
181,1924,-0.85125,-0.0407259464263916
182,1925,-0.48641667,0.3241073787212372
183,1926,-0.35783333,0.4526907205581665
184,1927,-0.82916665,-0.0186426043510437
185,1928,-1.0210834,-0.2105593085289001
186,1929,-1.3500834,-0.5395593047142029
187,1930,-1.1018333,-0.2913092970848083
188,1931,-1.6819167,-0.8713926672935486
189,1932,-0.056166667,0.7543573789298534
190,1933,-1.316,-0.5054759383201599
191,1934,-1.3131666,-0.5026425719261169
192,1935,-1.11725,-0.3067259192466736
193,1936,-1.852,-1.0414759516716003
194,1937,-1.5054166,-0.6948925852775574
195,1938,-0.68675,0.1237740516662597
196,1939,-0.36666667,0.4438573718070984
197,1940,-0.49458334,0.3159407079219818
198,1941,-0.25991666,0.5506073832511902
199,1942,-0.4785,0.3320240378379822
200,1943,-0.489,0.321524053812027
201,1944,-1.3531667,-0.5426426529884338
202,1945,-0.82608336,-0.0155593156814575
203,1946,-0.31016666,0.5003573894500732
204,1947,-1.9658333,-1.15530925989151
205,1948,-0.29983333,0.5106907188892365
206,1949,-0.57133335,0.2391906976699829
207,1950,-0.82491666,-0.014392614364624
208,1951,-0.70016664,0.1103574037551879
209,1952,-1.3803333,-0.5698092579841614
210,1953,-0.647,0.1635240316390991
211,1954,-1.6718333,-0.8613092303276062
212,1955,-0.6155,0.1950240731239318
213,1956,-1.73875,-0.9282259345054626
214,1957,-1.3845,-0.5739759802818298
215,1958,-0.13233334,0.6781907081604004
216,1959,-0.75233334,0.0581907033920288
217,1960,-0.79658335,0.013940691947937
218,1961,-0.33716667,0.4733573794364929
219,1962,-0.26266667,0.5478573739528656
220,1963,0.44741666,1.257940709590912
221,1964,-0.7845,0.026024043560028
222,1965,0.12891667,0.9394407123327256
223,1966,-0.566,0.2445240616798401
224,1967,-0.9076667,-0.0971426367759704
225,1968,-0.983,-0.1724759340286255
226,1969,-1.5954167,-0.7848926186561584
227,1970,-1.1128334,-0.3023093342781067
228,1971,-0.6264167,0.1841073632240295
229,1972,-0.23433334,0.576190710067749
230,1973,0.14433333,0.9548573791980745
231,1974,-0.9841667,-0.1736426353454589
232,1975,-0.047083333,0.7634407132863998
233,1976,-0.9320833,-0.1215592622756958
234,1977,-0.3445,0.4660240411758423
235,1978,0.12433334,0.9348573833703996
236,1979,0.2745,1.0850240588188171
237,1980,-0.48266667,0.3278573751449585
238,1981,-0.6005833,0.2099407315254211
239,1982,0.45441666,1.264940708875656
240,1983,-0.12758334,0.6829407066106796
241,1984,-1.4175,-0.6069759726524353
242,1985,-0.9774167,-0.1668926477432251
243,1986,-0.2105,0.6000240445137024
244,1987,-0.30508333,0.5054407119750977
245,1988,-0.16333333,0.6471907198429108
246,1989,0.67391664,1.4844406843185425
247,1990,0.66225,1.4727740287780762
248,1991,0.12483333,0.9353573769330978
249,1992,0.26166666,1.0721907019615171
250,1993,-0.21258333,0.5979407131671906
251,1994,0.6935,1.5040240287780762
252,1995,0.7485,1.5590240359306335
253,1996,-0.082666665,0.727857381105423
254,1997,1.2595,2.070024073123932
255,1998,1.5969167,2.407440721988678
256,1999,1.0991666,1.9096906781196596
257,2000,0.175,0.9855240434408188
258,2001,0.7503333,1.560857355594635
259,2002,1.0959166,1.9064406752586365
260,2003,0.046416666,0.8569407127797604
261,2004,1.0906667,1.90119069814682
262,2005,-0.13983333,0.6706907153129578
263,2006,0.9519167,1.7624407410621643
264,2007,2.0755832,2.8861072659492493
265,2008,1.1155833,1.9261073470115664
266,2009,0.5645,1.3750240206718445
267,2010,-0.31866667,0.4918573796749115
268,2011,-0.092,0.7185240462422371
269,2012,-0.59625,0.2142740488052368
270,2013,2.80775,3.6182740330696106
