,Year,Temp,Mean_deviation
0,1743,,
1,1744,11.816375,1.5930862426757812
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,10.801272,0.5779838562011719
8,1751,11.312875,1.0895862579345703
9,1752,5.4711666,-4.752121925354004
10,1753,10.1555,-0.0677881240844726
11,1754,10.107917,-0.1153717041015625
12,1755,9.890083,-0.3332052230834961
13,1756,10.616083,0.3927946090698242
14,1757,10.306666,0.0833778381347656
15,1758,9.09675,-1.1265382766723633
16,1759,10.141084,-0.0822048187255859
17,1760,9.853084,-0.3702049255371094
18,1761,10.49475,0.2714614868164062
19,1762,10.277667,0.0543785095214843
20,1763,9.6536665,-0.5696220397949219
21,1764,10.470834,0.2475452423095703
22,1765,10.322083,0.098794937133789
23,1766,10.171416,-0.0518722534179687
24,1767,9.708583,-0.5147056579589844
25,1768,8.954583,-1.2687053680419922
26,1769,9.987333,-0.2359552383422851
27,1770,9.978833,-0.244455337524414
28,1771,9.8885,-0.3347883224487304
29,1772,11.345,1.1217117309570312
30,1773,10.329,0.1057119369506836
31,1774,10.4415,0.2182111740112304
32,1775,10.826417,0.6031284332275391
33,1776,9.776,-0.4472885131835937
34,1777,9.820666,-0.4026222229003906
35,1778,10.8255,0.6022109985351562
36,1779,10.865833,0.6425447463989258
37,1780,10.4088335,0.1855449676513672
38,1781,10.682667,0.4593782424926758
39,1782,9.773583,-0.4497051239013672
40,1783,10.357,0.1337118148803711
41,1784,9.880917,-0.3423719406127929
42,1785,9.319583,-0.903705596923828
43,1786,9.65275,-0.5705385208129883
44,1787,10.367666,0.1443777084350586
45,1788,10.371083,0.1477947235107422
46,1789,10.201917,-0.021371841430664
47,1790,10.439917,0.2166280746459961
48,1791,10.83475,0.6114616394042969
49,1792,10.184,-0.0392885208129882
50,1793,9.979834,-0.2434549331665039
51,1794,10.741417,0.5181283950805664
52,1795,10.174334,-0.048954963684082
53,1796,10.369583,0.1462945938110351
54,1797,11.108417,0.8851280212402344
55,1798,10.582583,0.3592948913574219
56,1799,9.663917,-0.5593719482421875
57,1800,10.57525,0.3519611358642578
58,1801,11.08075,0.8574619293212891
59,1802,11.156167,0.9328784942626952
60,1803,9.904834,-0.3184547424316406
61,1804,10.28275,0.0594615936279296
62,1805,9.226167,-0.997121810913086
63,1806,10.596167,0.3728780746459961
