,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.102728,-0.2803249359130859
82,1825,26.5055,0.1224479675292968
83,1826,26.1396,-0.2434520721435547
84,1827,26.33091,-0.0521430969238281
85,1828,26.300817,-0.0822353363037109
86,1829,25.9434,-0.4396533966064453
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.818556,-0.5644969940185547
103,1846,26.3225,-0.0605525970458984
104,1847,25.826834,-0.5562191009521484
105,1848,25.765917,-0.6171360015869141
106,1849,25.8275,-0.5555534362792969
107,1850,25.878334,-0.5047187805175781
108,1851,25.997334,-0.3857192993164062
109,1852,25.800833,-0.5822200775146484
110,1853,26.02425,-0.3588027954101562
111,1854,25.926083,-0.45697021484375
112,1855,26.04725,-0.3358020782470703
113,1856,26.100916,-0.2821369171142578
114,1857,25.607916,-0.7751369476318359
115,1858,25.65325,-0.7298030853271484
116,1859,25.734417,-0.6486358642578125
117,1860,25.832083,-0.5509700775146484
118,1861,25.949167,-0.4338855743408203
119,1862,25.7805,-0.6025524139404297
120,1863,25.8855,-0.4975528717041015
121,1864,25.90475,-0.478302001953125
122,1865,26.130833,-0.2522201538085937
123,1866,26.001667,-0.3813858032226562
124,1867,26.040333,-0.3427200317382812
125,1868,26.261833,-0.1212196350097656
126,1869,26.23925,-0.1438026428222656
127,1870,25.901917,-0.4811363220214844
128,1871,26.25025,-0.1328029632568359
129,1872,26.322332,-0.0607204437255859
130,1873,26.071,-0.3120536804199219
131,1874,25.945084,-0.4379692077636719
132,1875,25.894333,-0.4887199401855469
133,1876,26.145584,-0.2374687194824218
134,1877,26.499166,0.1161136627197265
135,1878,26.568832,0.1857795715332031
136,1879,26.020584,-0.3624687194824219
137,1880,25.736084,-0.6469688415527344
138,1881,25.97325,-0.4098033905029297
139,1882,25.805584,-0.5774688720703125
140,1883,25.684166,-0.6988868713378906
141,1884,25.603333,-0.7797203063964844
142,1885,26.202417,-0.1806354522705078
143,1886,25.768833,-0.6142196655273438
144,1887,25.67275,-0.7103023529052734
145,1888,26.02925,-0.3538036346435547
146,1889,26.30425,-0.0788021087646484
147,1890,25.624834,-0.7582187652587891
148,1891,26.184668,-0.1983852386474609
149,1892,26.119917,-0.2631359100341797
150,1893,25.898417,-0.4846363067626953
151,1894,25.813917,-0.5691356658935547
152,1895,26.027334,-0.3557186126708984
153,1896,26.07775,-0.3053035736083984
154,1897,26.250334,-0.1327190399169922
155,1898,26.189917,-0.1931362152099609
156,1899,26.031666,-0.3513870239257812
157,1900,26.173916,-0.209136962890625
158,1901,26.393667,0.0106143951416015
159,1902,26.317417,-0.0656356811523437
160,1903,26.261583,-0.121469497680664
161,1904,25.901333,-0.481719970703125
162,1905,26.240334,-0.1427192687988281
163,1906,26.14025,-0.2428035736083984
164,1907,25.93825,-0.444803237915039
165,1908,26.022417,-0.360635757446289
166,1909,25.901083,-0.4819698333740234
167,1910,25.8735,-0.509552001953125
168,1911,26.07575,-0.3073024749755859
169,1912,26.17625,-0.2068023681640625
170,1913,25.7025,-0.6805534362792969
171,1914,26.177917,-0.2051353454589843
172,1915,26.432667,0.0496139526367187
173,1916,25.99475,-0.3883037567138672
174,1917,25.779,-0.6040534973144531
175,1918,26.0415,-0.341552734375
176,1919,26.345583,-0.0374698638916015
177,1920,26.05275,-0.3303031921386719
178,1921,26.21725,-0.165802001953125
179,1922,26.139166,-0.2438869476318359
180,1923,26.109667,-0.273386001586914
181,1924,26.294416,-0.0886363983154296
182,1925,26.115168,-0.2678852081298828
183,1926,26.53325,0.1501979827880859
184,1927,26.321833,-0.0612201690673828
185,1928,26.446167,0.0631141662597656
186,1929,26.091417,-0.291635513305664
187,1930,26.524334,0.1412811279296875
188,1931,26.802,0.4189472198486328
189,1932,26.503916,0.1208629608154296
190,1933,26.14775,-0.2353019714355468
191,1934,26.129084,-0.2539691925048828
192,1935,26.281334,-0.1017189025878906
193,1936,26.283333,-0.0997200012207031
194,1937,26.545416,0.162363052368164
195,1938,26.123583,-0.259469985961914
196,1939,26.391167,0.0081138610839843
197,1940,26.694916,0.3118629455566406
198,1941,26.863417,0.4803638458251953
199,1942,26.78025,0.3971977233886719
200,1943,26.29225,-0.0908031463623046
201,1944,26.370832,-0.0122203826904296
202,1945,26.096333,-0.2867202758789062
203,1946,26.366667,-0.0163860321044921
204,1947,26.735416,0.3523635864257812
205,1948,26.531334,0.1482810974121093
206,1949,26.174417,-0.2086353302001953
207,1950,25.984583,-0.3984699249267578
208,1951,26.4875,0.1044464111328125
209,1952,26.66575,0.2826976776123047
210,1953,26.808416,0.425363540649414
211,1954,26.398834,0.0157814025878906
212,1955,26.560333,0.1772804260253906
213,1956,26.363417,-0.0196361541748046
214,1957,26.611666,0.2286128997802734
215,1958,27.046,0.6629467010498047
216,1959,26.842583,0.4595298767089844
217,1960,26.906166,0.5231132507324219
218,1961,26.666,0.2829475402832031
219,1962,26.701416,0.3183631896972656
220,1963,26.84075,0.4576969146728515
221,1964,26.65375,0.2706966400146484
222,1965,26.378416,-0.0046367645263671
223,1966,26.559334,0.1762809753417968
224,1967,26.297667,-0.0853862762451171
225,1968,26.356083,-0.0269699096679687
226,1969,26.829,0.4459476470947265
227,1970,26.682333,0.2992801666259765
228,1971,26.339916,-0.0431365966796875
229,1972,26.5115,0.1284465789794922
230,1973,26.828833,0.445779800415039
231,1974,26.29175,-0.0913028717041015
232,1975,26.286333,-0.096719741821289
233,1976,26.20825,-0.1748027801513672
234,1977,26.789833,0.4067802429199219
235,1978,26.80475,0.4216976165771484
236,1979,26.607666,0.2246131896972656
237,1980,27.075417,0.6923637390136719
238,1981,27.01725,0.6341972351074219
239,1982,26.633167,0.2501144409179687
240,1983,27.020666,0.6376132965087891
241,1984,26.54275,0.1596965789794922
242,1985,26.547167,0.1641139984130859
243,1986,26.653833,0.2707805633544922
244,1987,27.169916,0.7868633270263672
245,1988,26.894167,0.5111141204833984
246,1989,26.635666,0.2526130676269531
247,1990,26.882334,0.4992809295654297
248,1991,26.83175,0.4486980438232422
249,1992,26.84525,0.4621963500976562
250,1993,26.89025,0.5071964263916016
251,1994,26.875416,0.4923629760742187
252,1995,27.326334,0.9432811737060548
253,1996,26.905666,0.522613525390625
254,1997,27.255833,0.8727798461914062
255,1998,27.557417,1.1743640899658203
256,1999,27.064333,0.6812801361083984
257,2000,26.841084,0.4580307006835937
258,2001,27.204666,0.8216133117675781
259,2002,27.30575,0.9226970672607422
260,2003,27.461666,1.07861328125
261,2004,27.093,0.7099475860595703
262,2005,27.55525,1.172197341918945
263,2006,27.412416,1.0293636322021484
264,2007,27.452917,1.069864273071289
265,2008,26.909834,0.5267810821533203
266,2009,27.21675,0.8336963653564453
267,2010,27.696583,1.3135299682617188
268,2011,27.2225,0.839447021484375
269,2012,27.3685,0.9854469299316406
270,2013,27.21325,0.8301963806152344
