,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,18.48325,0.8484573364257812
45,1788,,
46,1789,17.656818,0.0220260620117187
47,1790,17.563084,-0.0717086791992187
48,1791,17.733334,0.098541259765625
49,1792,17.625084,-0.0097084045410156
50,1793,17.590666,-0.0441265106201171
51,1794,17.401667,-0.2331256866455078
52,1795,17.817364,0.1825714111328125
53,1796,17.581417,-0.053375244140625
54,1797,17.421333,-0.2134590148925781
55,1798,17.82025,0.1854572296142578
56,1799,17.653667,0.0188751220703125
57,1800,18.0715,0.4367084503173828
58,1801,17.904083,0.2692909240722656
59,1802,18.111584,0.4767913818359375
60,1803,18.20409,0.5692977905273438
61,1804,18.213917,0.5791244506835938
62,1805,17.681084,0.0462913513183593
63,1806,17.593,-0.0417919158935546
64,1807,17.358166,-0.2766265869140625
65,1808,16.76825,-0.8665428161621094
66,1809,16.469334,-1.1654586791992188
67,1810,16.202583,-1.432209014892578
68,1811,16.371834,-1.262958526611328
69,1812,16.447416,-1.1873760223388672
70,1813,16.843334,-0.7914581298828125
71,1814,16.61975,-1.0150432586669922
72,1815,16.781166,-0.8536262512207031
73,1816,16.434416,-1.2003765106201172
74,1817,17.38525,-0.249542236328125
75,1818,17.648916,0.0141239166259765
76,1819,16.9545,-0.6802921295166016
77,1820,16.896418,-0.7383747100830078
78,1821,17.628166,-0.0066261291503906
79,1822,17.3945,-0.2402915954589843
80,1823,17.298666,-0.3361263275146484
81,1824,17.72225,0.0874576568603515
82,1825,17.546083,-0.0887088775634765
83,1826,17.455334,-0.1794586181640625
84,1827,17.500584,-0.1342086791992187
85,1828,17.460167,-0.1746253967285156
86,1829,17.268917,-0.365875244140625
87,1830,17.64675,0.0119571685791015
88,1831,17.521833,-0.1129589080810546
89,1832,17.0505,-0.5842914581298828
90,1833,17.213417,-0.4213752746582031
91,1834,17.879667,0.2448749542236328
92,1835,16.940834,-0.6939582824707031
93,1836,17.219,-0.4157924652099609
94,1837,17.240583,-0.3942089080810547
95,1838,17.371834,-0.2629585266113281
96,1839,17.117167,-0.5176258087158203
97,1840,17.335667,-0.2991256713867187
98,1841,17.200167,-0.4346256256103515
99,1842,17.470917,-0.1638755798339843
100,1843,17.551916,-0.0828762054443359
101,1844,17.17975,-0.4550418853759765
102,1845,17.028166,-0.6066265106201172
103,1846,17.780666,0.1458740234375
104,1847,17.444416,-0.1903762817382812
105,1848,16.97025,-0.6645431518554688
106,1849,17.353834,-0.2809581756591797
107,1850,17.57925,-0.0555419921875
108,1851,17.789917,0.1551246643066406
109,1852,17.60925,-0.025543212890625
110,1853,17.246916,-0.3878765106201172
111,1854,17.1885,-0.4462928771972656
112,1855,17.063667,-0.5711250305175781
113,1856,17.297333,-0.3374595642089844
114,1857,17.011168,-0.6236248016357422
115,1858,17.764084,0.1292915344238281
116,1859,17.394917,-0.2398757934570312
117,1860,17.305834,-0.328958511352539
118,1861,17.533083,-0.1017093658447265
119,1862,17.347834,-0.2869586944580078
120,1863,17.044834,-0.5899581909179688
121,1864,17.739084,0.1042919158935546
122,1865,17.570667,-0.0641250610351562
123,1866,17.501917,-0.1328754425048828
124,1867,18.030083,0.3952903747558594
125,1868,17.35775,-0.2770423889160156
126,1869,17.446667,-0.1881256103515625
127,1870,17.701,0.0662078857421875
128,1871,17.381916,-0.2528762817382812
129,1872,17.3945,-0.2402915954589843
130,1873,17.40575,-0.2290420532226562
131,1874,17.43925,-0.1955413818359375
132,1875,17.39475,-0.2400417327880859
133,1876,17.613083,-0.0217094421386718
134,1877,17.70025,0.0654582977294921
135,1878,17.974916,0.3401241302490234
136,1879,17.135166,-0.4996261596679687
137,1880,17.087166,-0.5476264953613281
138,1881,18.09825,0.4634571075439453
139,1882,17.320333,-0.3144588470458984
140,1883,17.14275,-0.4920425415039062
141,1884,17.075916,-0.5588760375976562
142,1885,16.857,-0.7777919769287109
143,1886,17.085583,-0.5492095947265625
144,1887,17.47775,-0.1570415496826172
145,1888,17.151833,-0.4829597473144531
146,1889,16.823166,-0.8116264343261719
147,1890,16.805584,-0.8292083740234375
148,1891,17.077,-0.5577926635742188
149,1892,17.399416,-0.2353763580322265
150,1893,17.94175,0.3069572448730469
151,1894,17.183167,-0.4516258239746094
152,1895,18.131166,0.4963741302490234
153,1896,16.960083,-0.6747093200683594
154,1897,17.956833,0.3220405578613281
155,1898,17.444334,-0.1904582977294922
156,1899,18.371584,0.7367916107177734
157,1900,17.567417,-0.0673751831054687
158,1901,17.471916,-0.1628761291503906
159,1902,17.510834,-0.1239585876464843
160,1903,17.230333,-0.404458999633789
161,1904,17.480167,-0.1546249389648437
162,1905,17.353666,-0.2811260223388672
163,1906,17.26075,-0.3740425109863281
164,1907,16.942333,-0.6924591064453125
165,1908,17.501583,-0.133209228515625
166,1909,17.2065,-0.428293228149414
167,1910,17.3105,-0.3242931365966797
168,1911,17.197666,-0.4371261596679687
169,1912,17.358334,-0.276458740234375
170,1913,17.61725,-0.0175418853759765
171,1914,17.307167,-0.3276252746582031
172,1915,17.507334,-0.1274585723876953
173,1916,17.27775,-0.3570423126220703
174,1917,16.95875,-0.6760425567626953
175,1918,17.045084,-0.5897083282470703
176,1919,17.372917,-0.2618751525878906
177,1920,17.813334,0.1785411834716797
178,1921,17.468584,-0.166208267211914
179,1922,17.476084,-0.1587085723876953
180,1923,17.2975,-0.3372917175292969
181,1924,17.807083,0.1722908020019531
182,1925,17.114166,-0.5206260681152344
183,1926,18.307,0.6722068786621094
184,1927,17.8305,0.1957073211669922
185,1928,17.643333,0.0085411071777343
186,1929,17.75175,0.1169586181640625
187,1930,17.913416,0.2786235809326172
188,1931,17.668833,0.0340404510498046
189,1932,17.22825,-0.4065418243408203
190,1933,17.564417,-0.0703754425048828
191,1934,17.1125,-0.5222930908203125
192,1935,17.47075,-0.164041519165039
193,1936,17.467916,-0.1668758392333984
194,1937,18.2965,0.6617069244384766
195,1938,17.724833,0.0900402069091796
196,1939,17.35275,-0.2820415496826172
197,1940,17.908583,0.2737903594970703
198,1941,17.902916,0.2681236267089844
199,1942,17.917418,0.2826251983642578
200,1943,17.658167,0.0233745574951171
201,1944,17.62125,-0.0135421752929687
202,1945,18.527166,0.8923740386962891
203,1946,17.55525,-0.0795421600341796
204,1947,18.226166,0.5913734436035156
205,1948,18.174667,0.5398750305175781
206,1949,18.150333,0.5155410766601562
207,1950,17.952917,0.318124771118164
208,1951,17.593916,-0.0408763885498046
209,1952,17.89275,0.2579574584960937
210,1953,17.82225,0.1874580383300781
211,1954,17.418583,-0.2162094116210937
212,1955,18.7615,1.1267070770263672
213,1956,16.933666,-0.7011260986328125
214,1957,17.385084,-0.2497081756591797
215,1958,18.01,0.3752079010009765
216,1959,17.6655,0.0307083129882812
217,1960,17.85625,0.2214584350585937
218,1961,18.608667,0.9738750457763672
219,1962,18.0075,0.3727073669433594
220,1963,17.779,0.1442070007324218
221,1964,17.9755,0.340707778930664
222,1965,17.626833,-0.0079593658447265
223,1966,17.951084,0.3162918090820312
224,1967,17.543583,-0.0912094116210937
225,1968,17.71825,0.0834579467773437
226,1969,17.621834,-0.0129585266113281
227,1970,17.9635,0.3287067413330078
228,1971,16.9075,-0.7272930145263672
229,1972,16.594917,-1.039875030517578
230,1973,17.5375,-0.0972919464111328
231,1974,17.249584,-0.3852081298828125
232,1975,17.412416,-0.2223758697509765
233,1976,17.034834,-0.5999584197998047
234,1977,17.73275,0.0979576110839843
235,1978,17.95275,0.3179569244384765
236,1979,17.860332,0.2255401611328125
237,1980,18.05675,0.4219570159912109
238,1981,18.312166,0.6773738861083984
239,1982,17.701916,0.0671234130859375
240,1983,18.555084,0.9202919006347656
241,1984,17.714,0.0792083740234375
242,1985,18.309334,0.6745414733886719
243,1986,17.792667,0.1578750610351562
244,1987,18.814667,1.1798744201660156
245,1988,18.212,0.5772075653076172
246,1989,18.530333,0.8955402374267578
247,1990,18.697666,1.0628738403320312
248,1991,17.61725,-0.0175418853759765
249,1992,17.68575,0.0509567260742187
250,1993,17.502666,-0.1321258544921875
251,1994,18.460417,0.8256244659423828
252,1995,18.788834,1.1540412902832031
253,1996,18.248333,0.6135406494140625
254,1997,18.79925,1.1644573211669922
255,1998,18.712667,1.0778751373291016
256,1999,18.368334,0.7335414886474609
257,2000,18.565083,0.9302902221679688
258,2001,19.233917,1.5991249084472656
259,2002,18.712584,1.0777912139892578
260,2003,18.856,1.221208572387695
261,2004,18.486,0.8512077331542969
262,2005,18.58075,0.9459571838378906
263,2006,18.793167,1.1583747863769531
264,2007,18.419666,0.7848739624023438
265,2008,18.382166,0.7473735809326172
266,2009,19.01075,1.375957489013672
267,2010,19.435,1.8002071380615234
268,2011,18.878834,1.2440414428710938
269,2012,18.66875,1.0339584350585938
270,2013,19.30525,1.6704578399658203
