,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,22.635637,-0.956207275390625
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,23.6618,0.069955825805664
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,22.972918,-0.618927001953125
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,22.279625,-1.3122196197509766
133,1876,22.92425,-0.6675949096679688
134,1877,23.47375,-0.1180953979492187
135,1878,23.579834,-0.0120105743408203
136,1879,,
137,1880,22.888454,-0.7033901214599609
138,1881,23.473091,-0.118753433227539
139,1882,22.96275,-0.6290950775146484
140,1883,23.021584,-0.5702610015869141
141,1884,22.753416,-0.8384284973144531
142,1885,22.953833,-0.6380119323730469
143,1886,23.039,-0.5528450012207031
144,1887,22.831667,-0.7601776123046875
145,1888,23.16325,-0.4285945892333984
146,1889,23.551666,-0.0401782989501953
147,1890,22.871584,-0.7202606201171875
148,1891,22.967417,-0.6244277954101562
149,1892,23.396667,-0.1951770782470703
150,1893,22.8755,-0.7163448333740234
151,1894,23.179,-0.4128437042236328
152,1895,23.364166,-0.2276782989501953
153,1896,23.545,-0.046844482421875
154,1897,23.513334,-0.0785102844238281
155,1898,23.259583,-0.3322620391845703
156,1899,23.101084,-0.4907608032226562
157,1900,23.76425,0.1724052429199218
158,1901,23.199917,-0.3919277191162109
159,1902,23.526583,-0.0652618408203125
160,1903,23.536917,-0.0549278259277343
161,1904,22.627167,-0.9646778106689452
162,1905,23.43025,-0.1615943908691406
163,1906,23.15975,-0.4320945739746094
164,1907,22.807083,-0.7847614288330078
165,1908,23.599916,0.0080718994140625
166,1909,23.6445,0.0526561737060546
167,1910,22.807083,-0.7847614288330078
168,1911,22.959167,-0.6326770782470703
169,1912,23.722584,0.1307392120361328
170,1913,23.523666,-0.0681781768798828
171,1914,23.651,0.0591545104980468
172,1915,23.614584,0.0227394104003906
173,1916,23.43,-0.161844253540039
174,1917,23.311083,-0.28076171875
175,1918,23.160917,-0.4309272766113281
176,1919,23.455667,-0.1361770629882812
177,1920,23.417,-0.174844741821289
178,1921,23.275583,-0.3162612915039062
179,1922,23.846582,0.2547378540039062
180,1923,23.742584,0.1507396697998047
181,1924,23.339167,-0.2526779174804687
182,1925,23.339666,-0.2521781921386719
183,1926,23.566334,-0.0255107879638671
184,1927,23.176416,-0.4154281616210937
185,1928,23.52125,-0.0705947875976562
186,1929,23.556833,-0.0350112915039062
187,1930,23.12925,-0.462594985961914
188,1931,23.731167,0.139322280883789
189,1932,23.482334,-0.1095104217529296
190,1933,23.33175,-0.2600936889648437
191,1934,23.552834,-0.039011001586914
192,1935,22.987667,-0.6041774749755859
193,1936,23.212166,-0.379678726196289
194,1937,23.478666,-0.1131782531738281
195,1938,23.586166,-0.0056781768798828
196,1939,23.212667,-0.3791770935058594
197,1940,23.70375,0.1119060516357421
198,1941,24.092583,0.5007381439208984
199,1942,23.8165,0.2246551513671875
200,1943,23.432833,-0.1590118408203125
201,1944,23.673334,0.0814895629882812
202,1945,23.18975,-0.4020938873291015
203,1946,23.477917,-0.1139278411865234
204,1947,23.675333,0.0834884643554687
205,1948,23.700417,0.1085720062255859
206,1949,23.798334,0.2064895629882812
207,1950,23.407417,-0.184427261352539
208,1951,23.542084,-0.0497608184814453
209,1952,23.73225,0.1404056549072265
210,1953,23.56975,-0.0220947265625
211,1954,23.740417,0.1485729217529297
212,1955,23.472834,-0.1190109252929687
213,1956,23.383167,-0.2086772918701172
214,1957,23.9725,0.380655288696289
215,1958,23.832417,0.2405719757080078
216,1959,23.76675,0.174905776977539
217,1960,23.54325,-0.0485954284667968
218,1961,23.930084,0.3382396697998047
219,1962,23.7815,0.1896553039550781
220,1963,23.280916,-0.3109283447265625
221,1964,23.436916,-0.1549282073974609
222,1965,23.2025,-0.3893451690673828
223,1966,23.884832,0.2929878234863281
224,1967,23.782,0.190155029296875
225,1968,23.4185,-0.1733436584472656
226,1969,24.0045,0.4126548767089844
227,1970,23.95625,0.3644046783447265
228,1971,23.550667,-0.041177749633789
229,1972,23.56875,-0.0230941772460937
230,1973,23.740833,0.1489887237548828
231,1974,23.3455,-0.2463436126708984
232,1975,23.422667,-0.1691780090332031
233,1976,23.494083,-0.0977611541748046
234,1977,23.997168,0.4053230285644531
235,1978,23.7745,0.1826553344726562
236,1979,23.745167,0.1533222198486328
237,1980,23.751917,0.1600723266601562
238,1981,23.42625,-0.1655941009521484
239,1982,23.762667,0.1708221435546875
240,1983,24.563833,0.9719886779785156
241,1984,23.85825,0.2664051055908203
242,1985,23.677584,0.0857391357421875
243,1986,23.776833,0.1849880218505859
244,1987,24.488333,0.8964881896972656
245,1988,24.08525,0.4934062957763672
246,1989,23.79625,0.2044048309326172
247,1990,24.200666,0.6088218688964844
248,1991,24.13275,0.5409049987792969
249,1992,24.743,1.1511554718017578
250,1993,24.2475,0.6556549072265625
251,1994,24.04225,0.4504051208496094
252,1995,24.4765,0.8846549987792969
253,1996,24.090166,0.498321533203125
254,1997,24.15225,0.5604057312011719
255,1998,24.623417,1.031572341918945
256,1999,24.0815,0.489654541015625
257,2000,23.92025,0.3284053802490234
258,2001,24.250917,0.6590728759765625
259,2002,24.428167,0.8363227844238281
260,2003,24.42325,0.8314056396484375
261,2004,24.072584,0.4807395935058594
262,2005,24.83375,1.2419052124023438
263,2006,24.303417,0.7115726470947266
264,2007,24.224417,0.6325721740722656
265,2008,24.0305,0.4386558532714844
266,2009,24.081333,0.4894886016845703
267,2010,24.60575,1.0139045715332031
268,2011,24.302166,0.7103214263916016
269,2012,24.009583,0.4177379608154297
270,2013,23.488,-0.1038436889648437
