,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,19.664,-0.8197307586669922
115,1858,19.968,-0.5157299041748047
116,1859,20.0465,-0.4372310638427734
117,1860,20.2116,-0.2721309661865234
118,1861,19.976583,-0.5071468353271484
119,1862,19.5915,-0.8922309875488281
120,1863,20.00075,-0.482980728149414
121,1864,19.99425,-0.489480972290039
122,1865,20.313417,-0.1703128814697265
123,1866,20.24125,-0.2424812316894531
124,1867,20.337667,-0.1460628509521484
125,1868,20.005,-0.4787311553955078
126,1869,20.34075,-0.1429805755615234
127,1870,20.023834,-0.4598960876464844
128,1871,20.115,-0.3687305450439453
129,1872,20.11225,-0.3714809417724609
130,1873,19.480125,-1.0036048889160156
131,1874,20.140167,-0.3435630798339844
132,1875,19.858334,-0.625396728515625
133,1876,19.8655,-0.6182308197021484
134,1877,20.343834,-0.1398963928222656
135,1878,20.2665,-0.2172298431396484
136,1879,19.668,-0.8157310485839844
137,1880,19.556,-0.9277305603027344
138,1881,19.8695,-0.6142311096191406
139,1882,20.026083,-0.4576473236083984
140,1883,19.972666,-0.5110645294189453
141,1884,19.7505,-0.7332305908203125
142,1885,20.271584,-0.2121467590332031
143,1886,20.33275,-0.150979995727539
144,1887,20.029833,-0.453897476196289
145,1888,19.66975,-0.8139801025390625
146,1889,20.428,-0.0557308197021484
147,1890,19.611334,-0.8723964691162109
148,1891,20.1545,-0.3292312622070312
149,1892,19.51625,-0.9674797058105468
150,1893,20.20875,-0.2749805450439453
151,1894,20.080416,-0.4033145904541015
152,1895,20.095917,-0.3878135681152344
153,1896,20.458166,-0.0255641937255859
154,1897,20.228416,-0.2553138732910156
155,1898,19.7155,-0.7682304382324219
156,1899,20.19175,-0.2919807434082031
157,1900,20.608,0.1242694854736328
158,1901,20.357834,-0.1258964538574218
159,1902,20.108166,-0.3755645751953125
160,1903,19.911917,-0.5718135833740234
161,1904,19.634583,-0.8491477966308594
162,1905,19.986584,-0.4971466064453125
163,1906,19.822916,-0.6608142852783203
164,1907,19.659082,-0.8246479034423828
165,1908,19.949917,-0.5338134765625
166,1909,20.220083,-0.2636470794677734
167,1910,20.306667,-0.17706298828125
168,1911,20.065166,-0.4185638427734375
169,1912,20.101166,-0.3825645446777344
170,1913,20.568083,0.0843524932861328
171,1914,20.564167,0.0804367065429687
172,1915,20.379333,-0.1043968200683593
173,1916,20.536917,0.0531864166259765
174,1917,20.163918,-0.3198127746582031
175,1918,19.831833,-0.6518974304199219
176,1919,20.324917,-0.1588134765625
177,1920,20.559334,0.0756034851074218
178,1921,20.53875,0.0550193786621093
179,1922,21.03425,0.5505199432373047
180,1923,20.504667,0.0209369659423828
181,1924,20.464333,-0.0193977355957031
182,1925,20.101334,-0.3823966979980469
183,1926,20.806667,0.32293701171875
184,1927,21.074833,0.5911026000976562
185,1928,20.551332,0.0676021575927734
186,1929,20.791666,0.3079357147216797
187,1930,20.392916,-0.0908145904541015
188,1931,20.692,0.2082691192626953
189,1932,20.375416,-0.1083145141601562
190,1933,20.923834,0.440103530883789
191,1934,20.30075,-0.1829795837402343
192,1935,20.089167,-0.3945636749267578
193,1936,20.221916,-0.2618141174316406
194,1937,20.331667,-0.1520633697509765
195,1938,20.219833,-0.2638969421386719
196,1939,20.00925,-0.4744796752929687
197,1940,20.573668,0.0899372100830078
198,1941,21.275667,0.7919368743896484
199,1942,20.659082,0.1753520965576172
200,1943,20.411083,-0.0726470947265625
201,1944,20.80675,0.3230190277099609
202,1945,20.702667,0.2189369201660156
203,1946,20.90625,0.4225196838378906
204,1947,20.740084,0.2563533782958984
205,1948,20.467583,-0.0161476135253906
206,1949,20.836334,0.3526039123535156
207,1950,20.434,-0.0497303009033203
208,1951,20.619583,0.1358528137207031
209,1952,20.987167,0.5034370422363281
210,1953,20.37,-0.1137294769287109
211,1954,20.184166,-0.2995643615722656
212,1955,20.05675,-0.426980972290039
213,1956,20.22,-0.2637310028076172
214,1957,20.592333,0.1086025238037109
215,1958,20.58375,0.1000194549560546
216,1959,20.691668,0.2079372406005859
217,1960,20.735666,0.2519359588623047
218,1961,20.792418,0.3086872100830078
219,1962,20.748833,0.2651023864746094
220,1963,20.563084,0.0793533325195312
221,1964,20.496916,0.0131855010986328
222,1965,20.568,0.0842704772949218
223,1966,20.794584,0.3108539581298828
224,1967,20.373917,-0.1098136901855468
225,1968,20.421167,-0.0625629425048828
226,1969,20.837084,0.3533535003662109
227,1970,21.006166,0.5224361419677734
228,1971,20.568167,0.0844364166259765
229,1972,20.844084,0.3603534698486328
230,1973,21.014416,0.5306854248046875
231,1974,19.93,-0.5537300109863281
232,1975,20.4755,-0.0082302093505859
233,1976,19.949333,-0.5343971252441406
234,1977,20.517084,0.0333538055419921
235,1978,20.413,-0.0707302093505859
236,1979,20.88475,0.4010200500488281
237,1980,20.660917,0.1771869659423828
238,1981,20.674,0.1902694702148437
239,1982,20.857834,0.3741035461425781
240,1983,21.213083,0.7293529510498047
241,1984,21.24875,0.7650203704833984
242,1985,20.794167,0.3104362487792969
243,1986,20.996,0.5122699737548828
244,1987,21.485416,1.0016860961914062
245,1988,21.0565,0.5727691650390625
246,1989,20.721083,0.2373523712158203
247,1990,21.336834,0.8531036376953125
248,1991,20.78075,0.2970199584960937
249,1992,21.336834,0.8531036376953125
250,1993,21.248333,0.7646026611328125
251,1994,20.951084,0.4673538208007812
252,1995,21.60025,1.1165199279785156
253,1996,20.828667,0.3449363708496094
254,1997,20.818167,0.3344364166259765
255,1998,21.676666,1.1929359436035156
256,1999,21.465918,0.982187271118164
257,2000,21.017666,0.533935546875
258,2001,21.237167,0.7534370422363281
259,2002,21.547583,1.063852310180664
260,2003,22.040833,1.5571022033691406
261,2004,21.643833,1.1601028442382812
262,2005,21.473917,0.9901866912841796
263,2006,20.381834,-0.1018962860107421
264,2007,21.180584,0.6968536376953125
265,2008,21.021084,0.537353515625
266,2009,20.97625,0.4925193786621094
267,2010,21.39225,0.9085197448730468
268,2011,20.350416,-0.1333141326904297
269,2012,20.795,0.3112697601318359
270,2013,21.265875,0.7821445465087891
