,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,14.66125,-0.1498527526855468
54,1797,16.0544,1.2432966232299805
55,1798,14.4036,-0.4075031280517578
56,1799,14.913917,0.102813720703125
57,1800,14.8345,0.0233974456787109
58,1801,14.3319,-0.4792032241821289
59,1802,15.252084,0.4409809112548828
60,1803,15.002334,0.1912307739257812
61,1804,15.299334,0.4882307052612304
62,1805,14.927834,0.1167306900024414
63,1806,14.8480835,0.0369806289672851
64,1807,14.7999,-0.0112028121948242
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,14.187834,-0.6232690811157227
71,1814,13.634091,-1.177011489868164
72,1815,13.713166,-1.0979366302490234
73,1816,13.38875,-1.4223527908325195
74,1817,13.4885,-1.3226032257080078
75,1818,13.8335,-0.9776029586791992
76,1819,13.421583,-1.3895196914672852
77,1820,13.687667,-1.1234359741210938
78,1821,14.4965,-0.3146028518676758
79,1822,14.65075,-0.1603527069091797
80,1823,14.289667,-0.5214357376098633
81,1824,14.920417,0.10931396484375
82,1825,14.742583,-0.0685195922851562
83,1826,14.741083,-0.0700197219848632
84,1827,14.991333,0.1802301406860351
85,1828,14.524583,-0.2865200042724609
86,1829,14.33175,-0.4793529510498047
87,1830,14.702833,-0.1082696914672851
88,1831,14.041833,-0.7692699432373047
89,1832,14.2828,-0.5283031463623047
90,1833,14.49075,-0.320352554321289
91,1834,14.381166,-0.429936408996582
92,1835,13.4070835,-1.4040193557739258
93,1836,14.240583,-0.5705194473266602
94,1837,14.09525,-0.7158527374267578
95,1838,14.034833,-0.7762699127197266
96,1839,14.075583,-0.7355194091796875
97,1840,14.428583,-0.3825197219848633
98,1841,14.280084,-0.5310192108154297
99,1842,14.39275,-0.4183530807495117
100,1843,14.422167,-0.3889360427856445
101,1844,13.973666,-0.8374366760253906
102,1845,14.202583,-0.6085195541381836
103,1846,14.62575,-0.1853532791137695
104,1847,14.207833,-0.6032695770263672
105,1848,13.975417,-0.8356857299804688
106,1849,14.047334,-0.7637691497802734
107,1850,14.5035,-0.3076028823852539
108,1851,14.416417,-0.3946857452392578
109,1852,14.195583,-0.6155195236206055
110,1853,14.577,-0.2341032028198242
111,1854,14.670167,-0.1409358978271484
112,1855,14.884363,0.0732603073120117
113,1856,13.775727,-1.0353755950927734
114,1857,13.9305,-0.8806028366088867
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,16.726444,1.9153413772583008
123,1866,14.65775,-0.1533527374267578
124,1867,14.77525,-0.0358524322509765
125,1868,14.422584,-0.388519287109375
126,1869,15.4572,0.6460971832275391
127,1870,14.49075,-0.320352554321289
128,1871,14.592167,-0.2189359664916992
129,1872,14.619416,-0.1916866302490234
130,1873,14.6975,-0.1136026382446289
131,1874,14.5535,-0.2576026916503906
132,1875,14.70225,-0.1088533401489257
133,1876,14.657583,-0.1535196304321289
134,1877,14.629,-0.182103157043457
135,1878,14.797667,-0.0134363174438476
136,1879,14.8724165,0.0613136291503906
137,1880,14.820833,0.0097303390502929
138,1881,14.6295,-0.1816024780273437
139,1882,14.576167,-0.2349357604980468
140,1883,14.308,-0.5031032562255859
141,1884,14.294416,-0.5166864395141602
142,1885,14.270833,-0.5402698516845703
143,1886,14.55125,-0.2598524093627929
144,1887,14.268,-0.5431032180786133
145,1888,14.548,-0.2631025314331054
146,1889,15.073167,0.262063980102539
147,1890,14.544416,-0.2666864395141601
148,1891,14.362,-0.4491024017333984
149,1892,14.943,0.13189697265625
150,1893,13.763416,-1.0476865768432615
151,1894,14.654,-0.1571025848388672
152,1895,14.558416,-0.2526865005493164
153,1896,15.278833,0.4677305221557617
154,1897,15.11,0.2988967895507812
155,1898,15.017333,0.2062301635742187
156,1899,14.849916,0.0388135910034179
157,1900,15.02575,0.2146472930908203
158,1901,15.017917,0.2068138122558593
159,1902,15.01,0.1988973617553711
160,1903,14.839,0.0278968811035156
161,1904,14.757584,-0.0535192489624023
162,1905,13.845417,-0.9656858444213868
163,1906,14.851417,0.040313720703125
164,1907,14.6405,-0.170602798461914
165,1908,15.1595,0.3483972549438476
166,1909,14.913333,0.1022300720214843
167,1910,14.642167,-0.1689357757568359
168,1911,14.634167,-0.1769361495971679
169,1912,14.589583,-0.2215194702148437
170,1913,14.257667,-0.553436279296875
171,1914,14.600417,-0.2106857299804687
172,1915,15.17475,0.3636474609375
173,1916,14.924334,0.1132307052612304
174,1917,14.108,-0.7031030654907227
175,1918,14.494833,-0.3162698745727539
176,1919,14.581333,-0.2297697067260742
177,1920,14.764916,-0.0461864471435546
178,1921,15.016334,0.205230712890625
179,1922,14.866167,0.0550642013549804
180,1923,14.8828335,0.0717306137084961
181,1924,15.113833,0.3027305603027344
182,1925,14.37525,-0.4358530044555664
183,1926,14.661667,-0.1494359970092773
184,1927,14.655916,-0.155186653137207
185,1928,15.232833,0.4217300415039062
186,1929,14.847333,0.0362300872802734
187,1930,14.7845,-0.0266027450561523
188,1931,15.26975,0.4586467742919922
189,1932,15.174084,0.362980842590332
190,1933,14.499,-0.312103271484375
191,1934,14.777833,-0.0332698822021484
192,1935,14.677834,-0.1332693099975586
193,1936,14.387667,-0.423436164855957
194,1937,14.462833,-0.3482694625854492
195,1938,14.7575,-0.053603172302246
196,1939,14.933583,0.1224803924560546
197,1940,14.8168335,0.0057306289672851
198,1941,15.6285,0.8173971176147461
199,1942,15.260917,0.4498138427734375
200,1943,15.01125,0.2001466751098632
201,1944,14.654667,-0.1564359664916992
202,1945,14.579583,-0.2315196990966797
203,1946,15.02575,0.2146472930908203
204,1947,15.4165,0.6053972244262695
205,1948,14.946667,0.135563850402832
206,1949,14.845333,0.0342302322387695
207,1950,14.65125,-0.1598529815673828
208,1951,15.288083,0.4769802093505859
209,1952,15.285666,0.4745635986328125
210,1953,15.5415,0.7303972244262695
211,1954,15.188,0.376896858215332
212,1955,14.8385,0.0273971557617187
213,1956,15.01525,0.2041473388671875
214,1957,14.907,0.0958967208862304
215,1958,15.752167,0.9410638809204102
216,1959,15.3685,0.5573968887329102
217,1960,15.314584,0.5034809112548828
218,1961,14.808583,-0.0025196075439453
219,1962,14.75075,-0.0603532791137695
220,1963,14.905916,0.0948133468627929
221,1964,15.207167,0.3960638046264648
222,1965,14.737,-0.0741024017333984
223,1966,15.39075,0.5796470642089844
224,1967,14.769,-0.0421028137207031
225,1968,14.615084,-0.196019172668457
226,1969,15.3995,0.5883970260620117
227,1970,15.086583,0.2754802703857422
228,1971,14.408417,-0.4026861190795898
229,1972,15.076917,0.2658138275146484
230,1973,15.211583,0.4004802703857422
231,1974,15.229417,0.418313980102539
232,1975,14.9505,0.1393966674804687
233,1976,15.139916,0.3288135528564453
234,1977,15.13725,0.3261470794677734
235,1978,14.663917,-0.147186279296875
236,1979,15.38775,0.5766468048095703
237,1980,15.299334,0.4882307052612304
238,1981,14.907583,0.0964803695678711
239,1982,14.89375,0.0826473236083984
240,1983,14.480917,-0.3301858901977539
241,1984,15.277583,0.4664802551269531
242,1985,15.540667,0.7295637130737305
243,1986,14.932917,0.1218137741088867
244,1987,15.5705,0.7593975067138672
245,1988,15.552,0.7408971786499023
246,1989,15.03575,0.2246475219726562
247,1990,15.272333,0.4612302780151367
248,1991,15.135,0.3238973617553711
249,1992,15.075583,0.2644805908203125
250,1993,15.27625,0.4651470184326172
251,1994,15.45825,0.6471471786499023
252,1995,15.453333,0.6422300338745117
253,1996,15.459833,0.6487302780151367
254,1997,14.691916,-0.1191864013671875
255,1998,15.57775,0.7666473388671875
256,1999,15.944583,1.1334800720214844
257,2000,15.279333,0.4682302474975586
258,2001,15.59025,0.7791471481323242
259,2002,15.648666,0.8375635147094727
260,2003,15.47025,0.6591472625732422
261,2004,15.551833,0.7407302856445312
262,2005,15.616167,0.8050642013549805
263,2006,16.056,1.2448968887329102
264,2007,15.6570835,0.8459806442260742
265,2008,15.409083,0.5979804992675781
266,2009,16.077,1.2658967971801758
267,2010,16.114,1.3028974533081057
268,2011,15.280666,0.4695634841918945
269,2012,15.419833,0.6087303161621094
270,2013,15.95125,1.1401472091674805
