,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,22.007334,-0.6931018829345703
116,1859,22.128084,-0.5723514556884766
117,1860,22.163546,-0.5368900299072266
118,1861,22.34975,-0.3506851196289062
119,1862,22.066545,-0.6338901519775391
120,1863,22.17025,-0.5301856994628906
121,1864,22.21,-0.4904365539550781
122,1865,22.294083,-0.4063529968261719
123,1866,22.5895,-0.1109352111816406
124,1867,22.574583,-0.1258525848388672
125,1868,21.993,-0.7074356079101562
126,1869,22.210083,-0.4903526306152344
127,1870,22.372168,-0.3282680511474609
128,1871,22.537,-0.1634349822998047
129,1872,22.368416,-0.3320198059082031
130,1873,22.303667,-0.396768569946289
131,1874,22.416082,-0.2843532562255859
132,1875,22.359167,-0.3412685394287109
133,1876,22.415667,-0.284769058227539
134,1877,22.5595,-0.1409358978271484
135,1878,22.869083,0.1686477661132812
136,1879,22.192167,-0.5082683563232422
137,1880,22.077417,-0.6230182647705078
138,1881,22.352917,-0.3475189208984375
139,1882,22.198166,-0.5022697448730469
140,1883,21.845,-0.8554363250732422
141,1884,22.032917,-0.6675186157226562
142,1885,21.981167,-0.719268798828125
143,1886,22.23675,-0.4636859893798828
144,1887,21.985083,-0.7153530120849609
145,1888,22.0295,-0.6709365844726562
146,1889,22.429167,-0.2712688446044922
147,1890,22.101833,-0.598602294921875
148,1891,22.126167,-0.5742683410644531
149,1892,22.3555,-0.3449363708496094
150,1893,22.73,0.0295639038085937
151,1894,21.952417,-0.7480182647705078
152,1895,22.09425,-0.6061859130859375
153,1896,22.237667,-0.4627685546875
154,1897,22.65,-0.0504360198974609
155,1898,22.551332,-0.1491031646728515
156,1899,22.19475,-0.5056858062744141
157,1900,22.131666,-0.5687694549560547
158,1901,22.925167,0.2247314453125
159,1902,22.06975,-0.6306858062744141
160,1903,22.628666,-0.0717697143554687
161,1904,21.881416,-0.8190193176269531
162,1905,22.01225,-0.6881847381591797
163,1906,22.371084,-0.3293514251708984
164,1907,22.3795,-0.3209362030029297
165,1908,22.17825,-0.522186279296875
166,1909,22.3145,-0.385934829711914
167,1910,22.465834,-0.2346019744873047
168,1911,22.571417,-0.1290187835693359
169,1912,22.501167,-0.1992683410644531
170,1913,22.576916,-0.1235198974609375
171,1914,22.562916,-0.1375198364257812
172,1915,23.1545,0.4540634155273437
173,1916,22.83525,0.1348152160644531
174,1917,22.409082,-0.2913532257080078
175,1918,22.416834,-0.2836017608642578
176,1919,22.444166,-0.2562694549560547
177,1920,22.562166,-0.1382694244384765
178,1921,22.690666,-0.0097694396972656
179,1922,22.517916,-0.1825199127197265
180,1923,22.350082,-0.3503532409667969
181,1924,22.736084,0.0356483459472656
182,1925,22.277166,-0.4232692718505859
183,1926,22.424667,-0.2757682800292969
184,1927,22.531666,-0.1687698364257812
185,1928,22.61875,-0.0816860198974609
186,1929,22.634333,-0.0661029815673828
187,1930,22.4135,-0.286935806274414
188,1931,22.900583,0.2001476287841797
189,1932,22.682333,-0.0181026458740234
190,1933,22.63525,-0.065185546875
191,1934,22.339834,-0.3606014251708984
192,1935,22.562916,-0.1375198364257812
193,1936,22.71375,0.013315200805664
194,1937,22.71425,0.0138149261474609
195,1938,23.009083,0.3086471557617187
196,1939,22.606833,-0.0936031341552734
197,1940,22.556667,-0.143768310546875
198,1941,22.709417,0.008981704711914
199,1942,23.185833,0.4853973388671875
200,1943,22.783417,0.0829811096191406
201,1944,22.333918,-0.3665180206298828
202,1945,22.639917,-0.0605182647705078
203,1946,22.88575,0.1853141784667968
204,1947,22.985834,0.2853984832763672
205,1948,22.954334,0.2538986206054687
206,1949,22.931417,0.2309818267822265
207,1950,23.262583,0.5621471405029297
208,1951,22.578417,-0.122018814086914
209,1952,23.1685,0.4680652618408203
210,1953,22.910833,0.210397720336914
211,1954,22.854166,0.1537303924560547
212,1955,23.000334,0.2998981475830078
213,1956,22.863583,0.16314697265625
214,1957,22.55125,-0.1491851806640625
215,1958,23.045,0.3445644378662109
216,1959,22.677,-0.0234355926513671
217,1960,22.6065,-0.0939350128173828
218,1961,22.768833,0.0683975219726562
219,1962,22.882416,0.1819801330566406
220,1963,22.62925,-0.0711860656738281
221,1964,23.022083,0.3216476440429687
222,1965,22.11825,-0.5821857452392578
223,1966,22.195917,-0.5045185089111328
224,1967,22.929333,0.2288970947265625
225,1968,22.3945,-0.3059349060058594
226,1969,22.73625,0.0358142852783203
227,1970,23.190916,0.4904804229736328
228,1971,22.909834,0.2093982696533203
229,1972,22.6205,-0.079935073852539
230,1973,23.715416,1.0149803161621094
231,1974,22.9915,0.2910652160644531
232,1975,23.174166,0.4737300872802734
233,1976,22.976583,0.2761478424072265
234,1977,22.667833,-0.032602310180664
235,1978,22.914083,0.2136478424072265
236,1979,22.831833,0.1313972473144531
237,1980,22.92475,0.224313735961914
238,1981,23.048584,0.3481483459472656
239,1982,22.687166,-0.0132694244384765
240,1983,23.23625,0.5358142852783203
241,1984,23.131916,0.4314804077148437
242,1985,23.14225,0.4418144226074219
243,1986,22.939833,0.2393970489501953
244,1987,22.868334,0.1678981781005859
245,1988,23.7705,1.0700645446777344
246,1989,23.167917,0.4674816131591797
247,1990,23.412916,0.7124805450439453
248,1991,22.855417,0.1549816131591797
249,1992,22.950167,0.2497310638427734
250,1993,22.781,0.0805644989013671
251,1994,22.671667,-0.0287685394287109
252,1995,23.707417,1.0069808959960938
253,1996,23.6115,0.9110641479492188
254,1997,23.183332,0.4828968048095703
255,1998,24.298916,1.598480224609375
256,1999,23.549417,0.8489818572998047
257,2000,23.283083,0.5826473236083984
258,2001,23.49875,0.7983150482177734
259,2002,23.469084,0.7686481475830078
260,2003,23.26175,0.5613136291503906
261,2004,23.367666,0.6672306060791016
262,2005,23.3605,0.660064697265625
263,2006,23.194166,0.4937305450439453
264,2007,23.74325,1.0428142547607422
265,2008,23.663334,0.9628982543945312
266,2009,23.274166,0.57373046875
267,2010,23.8685,1.1680641174316406
268,2011,23.530582,0.8301467895507812
269,2012,23.213417,0.5129814147949219
270,2013,23.382376,0.6819400787353516
