,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,8.88425,-1.488473892211914
111,1854,9.728917,-0.6438064575195312
112,1855,9.852083,-0.5206403732299805
113,1856,9.501833,-0.8708906173706055
114,1857,9.320917,-1.0518064498901367
115,1858,9.33125,-1.041473388671875
116,1859,9.968083,-0.4046401977539062
117,1860,10.008166,-0.3645572662353515
118,1861,10.555833,0.1831092834472656
119,1862,10.0980835,-0.2746400833129883
120,1863,9.436084,-0.9366397857666016
121,1864,10.523167,0.1504430770874023
122,1865,10.334084,-0.038640022277832
123,1866,10.638166,0.2654428482055664
124,1867,10.51925,0.1465263366699218
125,1868,9.6695,-0.7032232284545898
126,1869,10.24225,-0.1304731369018554
127,1870,10.116667,-0.2560567855834961
128,1871,9.934834,-0.4378900527954101
129,1872,10.635834,0.2631101608276367
130,1873,10.259417,-0.1133069992065429
131,1874,9.93725,-0.4354734420776367
132,1875,10.170083,-0.2026405334472656
133,1876,10.64675,0.274026870727539
134,1877,10.040417,-0.3323068618774414
135,1878,9.990084,-0.3826398849487304
136,1879,10.038667,-0.3340568542480469
137,1880,10.730166,0.3574428558349609
138,1881,10.36775,-0.0049734115600585
139,1882,10.048333,-0.3243904113769531
140,1883,9.878417,-0.4943065643310547
141,1884,9.19825,-1.174473762512207
142,1885,9.73075,-0.6419734954833984
143,1886,9.836166,-0.5365571975708008
144,1887,10.120084,-0.2526397705078125
145,1888,9.419833,-0.952890396118164
146,1889,10.0985,-0.2742233276367187
147,1890,10.211667,-0.1610565185546875
148,1891,9.9453335,-0.4273900985717773
149,1892,10.325167,-0.0475568771362304
150,1893,10.4990835,0.1263599395751953
151,1894,10.26275,-0.1099739074707031
152,1895,9.847667,-0.5250568389892578
153,1896,9.86225,-0.5104732513427734
154,1897,9.98325,-0.3894739151000976
155,1898,9.755667,-0.6170568466186523
156,1899,9.729167,-0.6435565948486328
157,1900,9.970834,-0.4018898010253906
158,1901,9.703917,-0.6688070297241211
159,1902,9.182834,-1.189889907836914
160,1903,9.747916,-0.6248073577880859
161,1904,9.633333,-0.7393903732299805
162,1905,9.612833,-0.7598905563354492
163,1906,9.4635,-0.9092235565185548
164,1907,10.2685,-0.1042232513427734
165,1908,9.93325,-0.4394731521606445
166,1909,10.422667,0.0499429702758789
167,1910,10.549084,0.1763601303100586
168,1911,10.257083,-0.115640640258789
169,1912,9.689667,-0.6830568313598633
170,1913,10.021083,-0.3516407012939453
171,1914,10.083333,-0.2893905639648437
172,1915,10.3150835,-0.0576400756835937
173,1916,11.031,0.6582765579223633
174,1917,10.73775,0.3650264739990234
175,1918,10.097667,-0.2750568389892578
176,1919,9.87825,-0.4944734573364258
177,1920,10.024167,-0.3485565185546875
178,1921,10.262167,-0.1105566024780273
179,1922,10.366583,-0.0061407089233398
180,1923,10.121417,-0.2513065338134765
181,1924,11.0085,0.6357765197753906
182,1925,9.91725,-0.4554738998413086
183,1926,10.1195,-0.2532234191894531
184,1927,10.046416,-0.3263072967529297
185,1928,11.0085,0.6357765197753906
186,1929,10.270416,-0.1023073196411132
187,1930,9.664333,-0.7083902359008789
188,1931,9.846916,-0.5258073806762695
189,1932,10.011167,-0.3615570068359375
190,1933,10.437083,0.0643596649169921
191,1934,10.537,0.164276123046875
192,1935,10.805166,0.4324426651000976
193,1936,10.268167,-0.1045570373535156
194,1937,10.016334,-0.3563899993896484
195,1938,11.214084,0.8413600921630859
196,1939,10.220834,-0.1518898010253906
197,1940,10.15725,-0.2154731750488281
198,1941,10.126333,-0.2463903427124023
199,1942,10.487833,0.1151094436645507
200,1943,10.200916,-0.1718072891235351
201,1944,10.3446665,-0.0280570983886718
202,1945,10.059083,-0.3136405944824219
203,1946,10.2795,-0.0932235717773437
204,1947,10.4755,0.1027765274047851
205,1948,10.748917,0.3761930465698242
206,1949,10.464666,0.0919427871704101
207,1950,10.618,0.2452764511108398
208,1951,10.076333,-0.2963905334472656
209,1952,10.40575,0.0330266952514648
210,1953,10.385917,0.013193130493164
211,1954,10.77375,0.4010267257690429
212,1955,10.97025,0.5975265502929688
213,1956,11.18475,0.8120260238647461
214,1957,10.674417,0.3016929626464844
215,1958,10.686,0.3132762908935547
216,1959,10.4418335,0.0691099166870117
217,1960,10.5546665,0.1819429397583007
218,1961,10.535666,0.162942886352539
219,1962,11.149167,0.7764434814453125
220,1963,10.249833,-0.1228904724121093
221,1964,10.394167,0.0214433670043945
222,1965,10.144333,-0.2283906936645507
223,1966,10.394917,0.0221929550170898
224,1967,10.504416,0.131692886352539
225,1968,10.51125,0.1385259628295898
226,1969,10.449333,0.0766096115112304
227,1970,11.149417,0.7766933441162109
228,1971,11.25175,0.8790264129638672
229,1972,10.55625,0.1835260391235351
230,1973,10.935583,0.5628595352172852
231,1974,11.06375,0.6910266876220703
232,1975,10.96725,0.5945262908935547
233,1976,10.14175,-0.2309732437133789
234,1977,10.130417,-0.2423067092895507
235,1978,11.04275,0.6700267791748047
236,1979,10.848833,0.476109504699707
237,1980,10.599667,0.2269430160522461
238,1981,11.0525,0.6797761917114258
239,1982,10.365334,-0.007390022277832
240,1983,10.295,-0.0777235031127929
241,1984,10.963834,0.5911102294921875
242,1985,11.0305,0.6577768325805664
243,1986,10.94325,0.570526123046875
244,1987,11.034166,0.661442756652832
245,1988,11.093416,0.7206926345825195
246,1989,11.279834,0.9071102142333984
247,1990,11.269333,0.8966093063354492
248,1991,10.534333,0.1616096496582031
249,1992,9.936167,-0.4365568161010742
250,1993,10.23825,-0.1344738006591797
251,1994,10.54225,0.1695261001586914
252,1995,10.821083,0.4483594894409179
253,1996,10.7435,0.3707761764526367
254,1997,10.542,0.1692762374877929
255,1998,11.633,1.2602767944335938
256,1999,11.61225,1.2395267486572266
257,2000,11.115583,0.7428598403930664
258,2001,11.191083,0.818359375
259,2002,10.997583,0.6248598098754883
260,2003,10.93025,0.5575265884399414
261,2004,10.475417,0.1026935577392578
262,2005,11.375417,1.0026931762695312
263,2006,10.703834,0.3311100006103515
264,2007,11.085167,0.7124433517456055
265,2008,11.171667,0.7989435195922852
266,2009,10.653584,0.2808599472045898
267,2010,11.33575,0.9630260467529296
268,2011,11.16325,0.7905263900756836
269,2012,10.656917,0.2841930389404297
270,2013,11.0885,0.7157764434814453
