,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,25.884417,-0.0699691772460937
83,1826,26.1332,0.1788139343261718
84,1827,26.378092,0.4237060546875
85,1828,25.820726,-0.1336593627929687
86,1829,25.4031,-0.5512866973876953
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,24.900333,-1.0540523529052734
95,1838,24.880833,-1.0735530853271484
96,1839,25.249584,-0.7048015594482422
97,1840,25.309166,-0.6452198028564453
98,1841,25.165167,-0.7892189025878906
99,1842,25.47425,-0.4801349639892578
100,1843,25.56625,-0.3881359100341797
101,1844,24.96225,-0.992136001586914
102,1845,24.997417,-0.9569683074951172
103,1846,25.897583,-0.056802749633789
104,1847,25.515833,-0.4385528564453125
105,1848,25.407715,-0.5466709136962891
106,1849,25.979584,0.0251979827880859
107,1850,25.71025,-0.2441349029541015
108,1851,25.5725,-0.3818855285644531
109,1852,25.45875,-0.495635986328125
110,1853,25.29825,-0.6561355590820312
111,1854,25.253166,-0.7012195587158203
112,1855,25.406666,-0.5477199554443359
113,1856,25.648916,-0.3054695129394531
114,1857,25.27075,-0.6836357116699219
115,1858,25.526833,-0.4275531768798828
116,1859,25.365583,-0.5888023376464844
117,1860,25.201084,-0.7533016204833984
118,1861,25.54075,-0.41363525390625
119,1862,25.374083,-0.5803031921386719
120,1863,25.587667,-0.3667182922363281
121,1864,25.324583,-0.6298027038574219
122,1865,25.626667,-0.3277187347412109
123,1866,25.263083,-0.6913032531738281
124,1867,25.763916,-0.190469741821289
125,1868,25.482084,-0.4723014831542969
126,1869,26.50375,0.5493640899658203
127,1870,25.680916,-0.2734699249267578
128,1871,25.403418,-0.5509681701660156
129,1872,25.8235,-0.1308860778808593
130,1873,25.426666,-0.5277194976806641
131,1874,25.659334,-0.2950515747070312
132,1875,25.612,-0.342386245727539
133,1876,25.702,-0.2523860931396484
134,1877,25.952417,-0.0019683837890625
135,1878,26.535667,0.5812816619873047
136,1879,25.6445,-0.309885025024414
137,1880,25.783333,-0.1710529327392578
138,1881,25.76475,-0.18963623046875
139,1882,25.6335,-0.3208866119384765
140,1883,25.5925,-0.3618850708007812
141,1884,25.304167,-0.6502189636230469
142,1885,25.297916,-0.6564693450927734
143,1886,25.497417,-0.4569683074951172
144,1887,25.235332,-0.7190532684326172
145,1888,25.27875,-0.6756362915039062
146,1889,25.732584,-0.2218017578125
147,1890,25.155167,-0.7992191314697266
148,1891,25.894417,-0.0599689483642578
149,1892,25.310083,-0.6443023681640625
150,1893,25.439917,-0.5144691467285156
151,1894,25.531918,-0.4224681854248047
152,1895,25.694,-0.260385513305664
153,1896,25.951916,-0.0024700164794921
154,1897,26.356583,0.4021968841552734
155,1898,25.764416,-0.1899700164794922
156,1899,25.596167,-0.3582191467285156
157,1900,25.71875,-0.235635757446289
158,1901,25.143167,-0.81121826171875
159,1902,25.66825,-0.2861366271972656
160,1903,25.7025,-0.2518863677978515
161,1904,25.294416,-0.6599693298339844
162,1905,25.528334,-0.4260520935058594
163,1906,25.635166,-0.3192195892333984
164,1907,25.615168,-0.3392181396484375
165,1908,25.52175,-0.4326362609863281
166,1909,25.68225,-0.2721366882324219
167,1910,25.020834,-0.933551788330078
168,1911,25.953833,-0.0005531311035156
169,1912,26.077084,0.1226978302001953
170,1913,25.570417,-0.3839683532714844
171,1914,25.879667,-0.0747184753417968
172,1915,26.225584,0.2711982727050781
173,1916,25.649334,-0.3050518035888672
174,1917,25.2465,-0.7078857421875
175,1918,25.687,-0.2673854827880859
176,1919,26.066833,0.1124477386474609
177,1920,25.929832,-0.0245532989501953
178,1921,26.032167,0.0777816772460937
179,1922,26.0655,0.111114501953125
180,1923,25.957,0.0026149749755859
181,1924,26.011583,0.0571975708007812
182,1925,25.890583,-0.0638027191162109
183,1926,26.261583,0.3071975708007812
184,1927,25.983667,0.0292816162109375
185,1928,25.980167,0.0257816314697265
186,1929,25.960917,0.00653076171875
187,1930,26.302584,0.3481979370117187
188,1931,26.262833,0.3084468841552734
189,1932,26.106167,0.1517810821533203
190,1933,26.040333,0.085947036743164
191,1934,26.147417,0.1930313110351562
192,1935,25.842417,-0.111968994140625
193,1936,26.049667,0.0952816009521484
194,1937,25.966833,0.0124473571777343
195,1938,25.630167,-0.32421875
196,1939,25.94975,-0.0046348571777343
197,1940,26.152082,0.1976966857910156
198,1941,26.604,0.6496143341064453
199,1942,26.235666,0.281280517578125
200,1943,26.089333,0.1349468231201172
201,1944,25.866333,-0.088052749633789
202,1945,25.916334,-0.0380516052246093
203,1946,26.42525,0.4708633422851562
204,1947,26.56275,0.6083641052246094
205,1948,26.361834,0.4074478149414062
206,1949,25.784834,-0.1695518493652343
207,1950,25.688,-0.2663860321044922
208,1951,26.25,0.2956142425537109
209,1952,26.11825,0.1638641357421875
210,1953,26.362,0.4076137542724609
211,1954,26.1285,0.1741142272949218
212,1955,26.034166,0.0797805786132812
213,1956,25.836334,-0.118051528930664
214,1957,26.462418,0.5080318450927734
215,1958,26.629917,0.6755313873291016
216,1959,26.410833,0.4564476013183594
217,1960,26.227083,0.2726974487304687
218,1961,26.178333,0.223947525024414
219,1962,25.943916,-0.0104694366455078
220,1963,26.111584,0.1571979522705078
221,1964,26.14975,0.1953639984130859
222,1965,26.27875,0.3243637084960937
223,1966,26.19475,0.2403640747070312
224,1967,25.957916,0.0035305023193359
225,1968,25.77875,-0.1756362915039062
226,1969,26.364166,0.4097805023193359
227,1970,25.990917,0.0365314483642578
228,1971,25.902334,-0.0520515441894531
229,1972,26.449417,0.4950313568115234
230,1973,26.382416,0.4280300140380859
231,1974,25.916334,-0.0380516052246093
232,1975,25.998083,0.0436973571777343
233,1976,26.058167,0.1037807464599609
234,1977,26.537916,0.5835304260253906
235,1978,26.36275,0.4083633422851562
236,1979,26.348833,0.3944473266601562
237,1980,26.31,0.3556137084960937
238,1981,26.099167,0.1447811126708984
239,1982,26.38775,0.4333648681640625
240,1983,26.845917,0.8915309906005859
241,1984,26.141,0.186614990234375
242,1985,26.214834,0.2604484558105469
243,1986,26.244,0.2896137237548828
244,1987,26.946083,0.9916973114013672
245,1988,26.524584,0.5701980590820312
246,1989,26.15525,0.2008647918701172
247,1990,26.55475,0.6003646850585938
248,1991,26.61025,0.6558647155761719
249,1992,26.73125,0.7768650054931641
250,1993,26.61125,0.6568641662597656
251,1994,26.866917,0.9125308990478516
252,1995,26.92175,0.9673633575439452
253,1996,26.40975,0.4553642272949219
254,1997,27.026833,1.0724468231201172
255,1998,27.39625,1.441864013671875
256,1999,26.46,0.5056133270263672
257,2000,26.381332,0.4269466400146484
258,2001,26.41,0.4556140899658203
259,2002,26.664917,0.7105312347412109
260,2003,26.93225,0.977863311767578
261,2004,26.778584,0.8241977691650391
262,2005,26.8385,0.8841133117675781
263,2006,26.936083,0.9816970825195312
264,2007,26.823084,0.8686981201171875
265,2008,26.3885,0.4341144561767578
266,2009,26.781666,0.8272800445556641
267,2010,26.618917,0.6645317077636719
268,2011,26.614,0.6596145629882812
269,2012,26.531918,0.5775318145751953
270,2013,26.871555,0.9171695709228516
