,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,27.201857,-0.269357681274414
115,1858,27.134874,-0.3363399505615234
116,1859,27.7266,0.2553863525390625
117,1860,26.826181,-0.6450328826904297
118,1861,26.27,-1.201213836669922
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,28.403334,0.932119369506836
131,1874,26.514364,-0.9568500518798828
132,1875,26.76825,-0.7029647827148438
133,1876,26.86375,-0.6074638366699219
134,1877,27.236834,-0.2343807220458984
135,1878,27.705667,0.2344532012939453
136,1879,26.972918,-0.4982967376708984
137,1880,26.96525,-0.5059642791748047
138,1881,27.5345,0.0632858276367187
139,1882,26.765833,-0.7053813934326172
140,1883,26.963083,-0.5081310272216797
141,1884,26.464666,-1.006547927856445
142,1885,26.584084,-0.8871307373046875
143,1886,26.483334,-0.9878807067871094
144,1887,26.584417,-0.8867969512939453
145,1888,26.795834,-0.6753807067871094
146,1889,26.795918,-0.6752967834472656
147,1890,26.082666,-1.3885478973388672
148,1891,26.507584,-0.9636306762695312
149,1892,26.93375,-0.5374641418457031
150,1893,26.87825,-0.5929641723632812
151,1894,26.875917,-0.5952968597412109
152,1895,27.339834,-0.1313800811767578
153,1896,26.8205,-0.6507148742675781
154,1897,27.2625,-0.2087135314941406
155,1898,26.90625,-0.5649642944335938
156,1899,27.192667,-0.2785472869873047
157,1900,27.216333,-0.2548809051513672
158,1901,27.238333,-0.2328815460205078
159,1902,27.148582,-0.3226318359375
160,1903,26.699667,-0.7715473175048828
161,1904,26.483667,-0.9875469207763672
162,1905,26.6575,-0.8137149810791016
163,1906,26.975,-0.4962139129638672
164,1907,26.477667,-0.9935474395751952
165,1908,26.894083,-0.5771312713623047
166,1909,27.1095,-0.3617134094238281
167,1910,26.744083,-0.7271308898925781
168,1911,26.807917,-0.6632976531982422
169,1912,26.8935,-0.5777149200439453
170,1913,27.53175,0.0605354309082031
171,1914,28.084167,0.6129531860351562
172,1915,27.663918,0.1927032470703125
173,1916,27.047,-0.4242134094238281
174,1917,27.50975,0.0385360717773437
175,1918,27.308584,-0.1626300811767578
176,1919,27.623167,0.1519527435302734
177,1920,26.863583,-0.6076316833496094
178,1921,27.241667,-0.2295475006103515
179,1922,27.47475,0.0035362243652343
180,1923,27.117666,-0.3535480499267578
181,1924,27.740084,0.268869400024414
182,1925,27.572083,0.1008682250976562
183,1926,27.83325,0.3620357513427734
184,1927,27.555666,0.084451675415039
185,1928,27.783667,0.3124523162841797
186,1929,27.224833,-0.2463817596435547
187,1930,27.983334,0.5121192932128906
188,1931,28.727417,1.2562026977539062
189,1932,27.9155,0.4442863464355469
190,1933,27.893,0.4217853546142578
191,1934,27.40275,-0.0684642791748046
192,1935,27.514,0.04278564453125
193,1936,27.336916,-0.1342983245849609
194,1937,27.4735,0.0022850036621093
195,1938,27.5315,0.0602855682373046
196,1939,27.63525,0.1640357971191406
197,1940,27.849083,0.37786865234375
198,1941,28.548334,1.0771198272705078
199,1942,28.267834,0.7966194152832031
200,1943,27.432,-0.039215087890625
201,1944,27.410583,-0.0606307983398437
202,1945,27.1405,-0.3307151794433594
203,1946,27.464834,-0.0063800811767578
204,1947,27.823416,0.3522014617919922
205,1948,27.066084,-0.405130386352539
206,1949,27.46675,-0.004465103149414
207,1950,26.735332,-0.7358818054199219
208,1951,27.639084,0.1678695678710937
209,1952,27.337833,-0.1333808898925781
210,1953,27.338083,-0.1331310272216797
211,1954,27.3605,-0.1107139587402343
212,1955,27.399084,-0.0721302032470703
213,1956,27.309917,-0.1612968444824218
214,1957,27.409916,-0.0612983703613281
215,1958,27.749083,0.2778682708740234
216,1959,27.39625,-0.0749645233154296
217,1960,27.6115,0.1402854919433593
218,1961,26.541334,-0.929880142211914
219,1962,27.513834,0.0426197052001953
220,1963,27.955084,0.4838695526123047
221,1964,27.4075,-0.0637149810791015
222,1965,27.167334,-0.3038806915283203
223,1966,27.41125,-0.0599651336669921
224,1967,27.296167,-0.1750469207763672
225,1968,27.501083,0.0298690795898437
226,1969,28.49875,1.027536392211914
227,1970,27.444084,-0.027130126953125
228,1971,27.463333,-0.0078811645507812
229,1972,27.816917,0.345703125
230,1973,27.855917,0.3847026824951172
231,1974,27.111917,-0.3592967987060547
232,1975,27.195833,-0.2753810882568359
233,1976,27.622168,0.1509532928466797
234,1977,27.093834,-0.37738037109375
235,1978,27.686417,0.2152023315429687
236,1979,27.88625,0.4150352478027344
237,1980,27.805166,0.3339519500732422
238,1981,27.554333,0.0831184387207031
239,1982,27.588667,0.1174526214599609
240,1983,27.539333,0.0681190490722656
241,1984,27.927,0.4557857513427734
242,1985,27.660334,0.1891193389892578
243,1986,27.920666,0.4494514465332031
244,1987,28.231083,0.7598686218261719
245,1988,27.78675,0.3155364990234375
246,1989,27.166082,-0.3051319122314453
247,1990,28.048084,0.5768699645996094
248,1991,27.859167,0.3879528045654297
249,1992,27.185083,-0.2861309051513672
250,1993,27.753334,0.2821197509765625
251,1994,27.400583,-0.0706310272216796
252,1995,27.895416,0.4242019653320312
253,1996,28.128,0.6567859649658203
254,1997,28.131,0.6597862243652344
255,1998,28.327667,0.8564529418945312
256,1999,28.26875,0.7975349426269531
257,2000,27.975834,0.5046195983886719
258,2001,28.118,0.6467857360839844
259,2002,28.149666,0.6784515380859375
260,2003,28.30225,0.8310356140136719
261,2004,28.371584,0.9003696441650391
262,2005,28.636417,1.165203094482422
263,2006,28.291082,0.8198680877685547
264,2007,28.411917,0.9407024383544922
265,2008,27.901417,0.4302024841308594
266,2009,28.850416,1.379201889038086
267,2010,29.299917,1.8287029266357424
268,2011,28.487417,1.0162029266357422
269,2012,28.07275,0.6015357971191406
270,2013,29.231375,1.7601604461669922
