,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,25.596,-1.1450920104980469
115,1858,26.428625,-0.3124675750732422
116,1859,26.1444,-0.5966930389404297
117,1860,26.067364,-0.6737289428710938
118,1861,26.0331,-0.7079925537109375
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,26.679625,-0.0614681243896484
131,1874,26.286455,-0.4546375274658203
132,1875,26.0265,-0.7145919799804688
133,1876,26.188223,-0.5528697967529297
134,1877,26.55825,-0.1828422546386718
135,1878,26.6195,-0.1215934753417968
136,1879,25.979584,-0.7615089416503906
137,1880,26.179583,-0.5615100860595703
138,1881,26.545166,-0.1959266662597656
139,1882,26.152334,-0.5887584686279297
140,1883,26.466667,-0.2744255065917969
141,1884,26.6025,-0.1385917663574218
142,1885,,
143,1886,25.953917,-0.7871761322021484
144,1887,25.479834,-1.2612590789794922
145,1888,25.790167,-0.9509258270263672
146,1889,25.887167,-0.8539257049560547
147,1890,25.131166,-1.6099262237548828
148,1891,25.662333,-1.0787601470947266
149,1892,25.874,-0.8670921325683594
150,1893,25.85625,-0.8848419189453125
151,1894,26.01225,-0.7288417816162109
152,1895,26.24325,-0.497842788696289
153,1896,26.088167,-0.6529254913330078
154,1897,26.519,-0.2220935821533203
155,1898,26.053417,-0.6876754760742188
156,1899,26.440416,-0.3006763458251953
157,1900,26.535418,-0.2056751251220703
158,1901,26.547417,-0.1936759948730468
159,1902,26.214916,-0.5261764526367188
160,1903,26.05725,-0.6838436126708984
161,1904,25.631666,-1.109426498413086
162,1905,26.04,-0.7010917663574219
163,1906,26.270916,-0.4701766967773437
164,1907,25.935833,-0.8052597045898438
165,1908,26.204416,-0.5366764068603516
166,1909,26.309917,-0.4311752319335937
167,1910,26.176083,-0.5650100708007812
168,1911,26.07175,-0.669342041015625
169,1912,26.2385,-0.5025920867919922
170,1913,26.829416,0.0883235931396484
171,1914,27.163918,0.4228248596191406
172,1915,26.912916,0.171823501586914
173,1916,26.479,-0.2620925903320312
174,1917,27.1345,0.3934078216552734
175,1918,26.570084,-0.1710090637207031
176,1919,27.0625,0.3214073181152344
177,1920,26.347666,-0.3934268951416015
178,1921,26.777666,0.0365734100341796
179,1922,26.887583,0.1464900970458984
180,1923,26.696917,-0.0441761016845703
181,1924,26.995667,0.2545738220214844
182,1925,26.591917,-0.1491756439208984
183,1926,27.095417,0.3543243408203125
184,1927,26.949833,0.208740234375
185,1928,26.966167,0.2250747680664062
186,1929,26.6305,-0.1105918884277343
187,1930,27.0345,0.2934074401855469
188,1931,27.48675,0.7456569671630859
189,1932,26.867834,0.1267414093017578
190,1933,27.204,0.4629077911376953
191,1934,26.811583,0.0704898834228515
192,1935,27.042833,0.3017406463623047
193,1936,26.977917,0.2368240356445312
194,1937,26.98175,0.2406578063964843
195,1938,27.19625,0.4551582336425781
196,1939,26.728,-0.013092041015625
197,1940,27.07725,0.3361568450927734
198,1941,27.618668,0.8775749206542969
199,1942,27.424917,0.6838245391845703
200,1943,26.82825,0.087158203125
201,1944,27.03325,0.2921581268310547
202,1945,26.868834,0.1277408599853515
203,1946,26.831583,0.0904903411865234
204,1947,27.146166,0.4050731658935547
205,1948,26.618166,-0.1229267120361328
206,1949,27.0685,0.3274078369140625
207,1950,26.672,-0.069091796875
208,1951,26.7535,0.0124073028564453
209,1952,26.701334,-0.0397586822509765
210,1953,26.716583,-0.0245094299316406
211,1954,26.616667,-0.1244258880615234
212,1955,26.457083,-0.2840099334716797
213,1956,26.568333,-0.172760009765625
214,1957,26.645584,-0.0955085754394531
215,1958,26.980083,0.2389907836914062
216,1959,26.806084,0.0649909973144531
217,1960,26.817417,0.076324462890625
218,1961,26.3685,-0.3725929260253906
219,1962,26.688917,-0.0521755218505859
220,1963,27.077084,0.3359909057617187
221,1964,26.630667,-0.1104259490966796
222,1965,26.667,-0.0740928649902343
223,1966,26.778584,0.0374908447265625
224,1967,26.595167,-0.1459255218505859
225,1968,26.804,0.0629081726074218
226,1969,27.214666,0.4735736846923828
227,1970,26.9465,0.2054080963134765
228,1971,26.796167,0.0550746917724609
229,1972,26.88575,0.1446571350097656
230,1973,27.472,0.7309074401855469
231,1974,26.592667,-0.1484260559082031
232,1975,26.5085,-0.2325935363769531
233,1976,26.809917,0.0688247680664062
234,1977,26.886833,0.1457405090332031
235,1978,26.7825,0.0414066314697265
236,1979,27.093082,0.35198974609375
237,1980,27.063667,0.3225746154785156
238,1981,26.802917,0.0618247985839843
239,1982,26.869667,0.1285743713378906
240,1983,27.02775,0.2866573333740234
241,1984,27.079082,0.3379898071289062
242,1985,26.95925,0.2181568145751953
243,1986,27.06725,0.3261566162109375
244,1987,27.61325,0.8721580505371094
245,1988,27.037834,0.2967414855957031
246,1989,26.376167,-0.3649253845214844
247,1990,27.366167,0.6250743865966797
248,1991,27.043333,0.3022403717041015
249,1992,26.663666,-0.0774269104003906
250,1993,27.103333,0.3622398376464844
251,1994,26.818832,0.0777397155761718
252,1995,27.165167,0.4240741729736328
253,1996,27.194666,0.4535732269287109
254,1997,27.144917,0.4038238525390625
255,1998,27.611917,0.8708248138427734
256,1999,27.329166,0.58807373046875
257,2000,27.0335,0.2924079895019531
258,2001,27.094667,0.3535747528076172
259,2002,27.46425,0.7231578826904297
260,2003,27.429,0.6879081726074219
261,2004,27.5695,0.8284072875976562
262,2005,27.724583,0.983489990234375
263,2006,27.795084,1.0539913177490234
264,2007,27.690083,0.9489898681640624
265,2008,27.325666,0.5845737457275391
266,2009,27.902916,1.161823272705078
267,2010,28.00425,1.2631568908691406
268,2011,27.62225,0.8811569213867188
269,2012,27.407917,0.6668243408203125
270,2013,28.005875,1.2647819519042969
