,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,24.817833,-0.2651290893554687
125,1868,23.84,-1.242961883544922
126,1869,24.9847,-0.0982627868652343
127,1870,24.748,-0.3349628448486328
128,1871,24.702333,-0.3806285858154297
129,1872,25.051777,-0.0311851501464843
130,1873,24.596556,-0.4864063262939453
131,1874,23.964144,-1.118818283081055
132,1875,23.821625,-1.2613372802734375
133,1876,24.978,-0.1049613952636718
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,24.538666,-0.5442962646484375
141,1884,24.121084,-0.9618778228759766
142,1885,24.194365,-0.8885974884033203
143,1886,24.35275,-0.7302112579345703
144,1887,24.398582,-0.6843795776367188
145,1888,,
146,1889,,
147,1890,24.355667,-0.727294921875
148,1891,24.390417,-0.6925449371337891
149,1892,24.382917,-0.7000446319580078
150,1893,24.365,-0.7179622650146484
151,1894,24.63225,-0.4507122039794922
152,1895,24.5235,-0.5594615936279297
153,1896,24.66725,-0.4157123565673828
154,1897,24.877167,-0.2057952880859375
155,1898,24.828083,-0.2548789978027344
156,1899,24.931667,-0.1512947082519531
157,1900,24.772417,-0.3105449676513672
158,1901,24.539333,-0.5436286926269531
159,1902,24.55375,-0.5292129516601562
160,1903,24.826,-0.2569618225097656
161,1904,24.444916,-0.6380462646484375
162,1905,24.538084,-0.5448780059814453
163,1906,25.079666,-0.0032958984375
164,1907,24.485416,-0.5975456237792969
165,1908,24.615417,-0.4675445556640625
166,1909,24.555834,-0.5271282196044922
167,1910,24.703833,-0.379129409790039
168,1911,24.592667,-0.49029541015625
169,1912,24.775084,-0.3078784942626953
170,1913,24.50325,-0.5797119140625
171,1914,24.772333,-0.3106288909912109
172,1915,24.5795,-0.5034618377685547
173,1916,24.679916,-0.403045654296875
174,1917,24.448416,-0.6345462799072266
175,1918,24.747583,-0.3353786468505859
176,1919,24.847918,-0.2350444793701172
177,1920,24.758417,-0.3245449066162109
178,1921,24.834917,-0.2480449676513672
179,1922,25.03475,-0.0482120513916015
180,1923,24.269417,-0.8135452270507812
181,1924,24.921167,-0.1617946624755859
182,1925,24.498917,-0.58404541015625
183,1926,24.734583,-0.3483791351318359
184,1927,25.555834,0.4728717803955078
185,1928,25.263834,0.1808719635009765
186,1929,24.972584,-0.1103782653808593
187,1930,24.641666,-0.4412956237792969
188,1931,25.09625,0.0132884979248046
189,1932,25.475082,0.392120361328125
190,1933,25.335417,0.2524547576904297
191,1934,25.2485,0.1655387878417968
192,1935,25.564167,0.4812049865722656
193,1936,25.28725,0.2042884826660156
194,1937,25.269,0.1860370635986328
195,1938,25.72075,0.6377887725830078
196,1939,25.028418,-0.054544448852539
197,1940,24.97525,-0.1077117919921875
198,1941,25.246166,0.1632041931152343
199,1942,25.185,0.1020374298095703
200,1943,25.216917,0.1339550018310547
201,1944,24.820333,-0.2626285552978515
202,1945,25.032583,-0.0503787994384765
203,1946,25.286167,0.2032051086425781
204,1947,25.456583,0.3736209869384765
205,1948,25.087166,0.0042037963867187
206,1949,25.34025,0.2572879791259765
207,1950,25.27725,0.1942882537841797
208,1951,24.888334,-0.1946277618408203
209,1952,25.495916,0.4129543304443359
210,1953,25.182417,0.0994548797607421
211,1954,25.452333,0.3693714141845703
212,1955,25.463333,0.38037109375
213,1956,25.17325,0.0902881622314453
214,1957,25.1145,0.0315380096435546
215,1958,25.085917,0.0029544830322265
216,1959,25.286833,0.2038707733154297
217,1960,25.228333,0.1453704833984375
218,1961,25.385084,0.3021221160888672
219,1962,25.035334,-0.0476284027099609
220,1963,25.008,-0.0749626159667968
221,1964,25.344917,0.2619552612304687
222,1965,24.717667,-0.36529541015625
223,1966,25.13475,0.051788330078125
224,1967,25.159834,0.0768718719482421
225,1968,25.054583,-0.0283794403076171
226,1969,25.06775,-0.0152111053466796
227,1970,25.46675,0.3837871551513672
228,1971,25.102083,0.0191211700439453
229,1972,25.213,0.1300373077392578
230,1973,25.894583,0.8116207122802734
231,1974,25.508167,0.4252052307128906
232,1975,25.518,0.435037612915039
233,1976,25.062666,-0.0202960968017578
234,1977,25.258333,0.1753711700439453
235,1978,25.17725,0.0942878723144531
236,1979,25.29925,0.216287612915039
237,1980,25.37075,0.2877883911132812
238,1981,25.26825,0.1852874755859375
239,1982,25.160667,0.0777053833007812
240,1983,25.477583,0.3946208953857422
241,1984,25.501417,0.4184551239013672
242,1985,25.444166,0.3612041473388672
243,1986,25.287834,0.2048721313476562
244,1987,25.017916,-0.0650463104248046
245,1988,25.895416,0.8124542236328125
246,1989,25.484667,0.4017047882080078
247,1990,25.658417,0.5754547119140625
248,1991,25.588,0.5050373077392578
249,1992,25.494,0.4110374450683594
250,1993,25.224833,0.1418704986572265
251,1994,25.302334,0.2193717956542968
252,1995,25.712584,0.6296215057373047
253,1996,25.71325,0.6302871704101562
254,1997,25.247583,0.164621353149414
255,1998,25.804333,0.7213706970214844
256,1999,25.683167,0.6002044677734375
257,2000,25.80575,0.7227878570556641
258,2001,25.807083,0.72412109375
259,2002,25.987,0.9040374755859376
260,2003,25.687084,0.6041221618652344
261,2004,25.840584,0.7576217651367188
262,2005,25.6995,0.6165370941162109
263,2006,25.46475,0.3817882537841797
264,2007,25.98975,0.9067878723144532
265,2008,25.617416,0.534454345703125
266,2009,25.109,0.0260372161865234
267,2010,26.01175,0.9287872314453124
268,2011,25.982416,0.8994541168212891
269,2012,25.805584,0.7226219177246094
270,2013,26.0475,0.96453857421875
