,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,5.4715,-1.2801575660705566
97,1840,6.3145833,-0.4370741844177246
98,1841,5.4610834,-1.290574073791504
99,1842,6.18275,-0.5689072608947754
100,1843,6.4486666,-0.3029909133911133
101,1844,6.2279167,-0.5237407684326172
102,1845,6.2934165,-0.4582409858703613
103,1846,6.7050834,-0.0465741157531738
104,1847,6.59575,-0.1559076309204101
105,1848,6.51875,-0.2329072952270507
106,1849,6.5298333,-0.2218241691589355
107,1850,5.6165833,-1.1350741386413574
108,1851,5.2834167,-1.468240737915039
109,1852,5.47675,-1.2749075889587402
110,1853,5.752,-0.9996576309204102
111,1854,6.579,-0.1726574897766113
112,1855,6.9874167,0.2357592582702636
113,1856,6.362167,-0.3894906044006347
114,1857,6.23425,-0.5174074172973633
115,1858,6.6005,-0.1511573791503906
116,1859,6.3931665,-0.3584909439086914
117,1860,5.446833,-1.3048243522644043
118,1861,5.7489166,-1.0027408599853516
119,1862,5.88925,-0.8624076843261719
120,1863,6.7425,-0.009157657623291
121,1864,6.205917,-0.5457406044006348
122,1865,6.1945,-0.5571575164794922
123,1866,6.2293334,-0.5223240852355957
124,1867,6.555917,-0.1957406997680664
125,1868,6.544833,-0.2068243026733398
126,1869,6.7230835,-0.028573989868164
127,1870,6.2531667,-0.4984908103942871
128,1871,6.362,-0.3896574974060058
129,1872,6.1706667,-0.5809907913208008
130,1873,5.7495832,-1.0020742416381836
131,1874,6.6436667,-0.1079907417297363
132,1875,6.60725,-0.1444072723388672
133,1876,6.824333,0.0726757049560546
134,1877,6.664583,-0.0870742797851562
135,1878,6.35925,-0.3924074172973633
136,1879,6.633917,-0.1177406311035156
137,1880,6.48175,-0.2699074745178222
138,1881,6.293667,-0.4579906463623047
139,1882,6.6215835,-0.1300740242004394
140,1883,6.3120832,-0.4395742416381836
141,1884,5.3785,-1.3731575012207031
142,1885,6.0028334,-0.7488241195678711
143,1886,6.60075,-0.1509075164794922
144,1887,6.4058332,-0.3458242416381836
145,1888,6.2605,-0.4911575317382812
146,1889,5.86175,-0.8899073600769043
147,1890,7.5115833,0.7599258422851562
148,1891,6.5016665,-0.2499909400939941
149,1892,5.707,-1.0446577072143557
150,1893,5.663,-1.0886573791503906
151,1894,7.39225,0.6405925750732422
152,1895,5.817917,-0.9337406158447266
153,1896,6.2303333,-0.5213241577148438
154,1897,6.458083,-0.2935743331909179
155,1898,7.4565,0.7048425674438477
156,1899,7.3434167,0.591759204864502
157,1900,6.73625,-0.0154075622558593
158,1901,6.548917,-0.2027406692504882
159,1902,6.816,0.0643424987792968
160,1903,6.94775,0.1960926055908203
161,1904,6.4645,-0.2871575355529785
162,1905,6.85675,0.1050925254821777
163,1906,6.1978335,-0.5538239479064941
164,1907,6.6235833,-0.1280741691589355
165,1908,6.2595,-0.4921574592590332
166,1909,6.0841665,-0.6674909591674805
167,1910,5.834417,-0.9172406196594238
168,1911,6.261833,-0.4898242950439453
169,1912,5.9424167,-0.8092408180236816
170,1913,5.9234166,-0.8282408714294434
171,1914,7.3698335,0.6181759834289551
172,1915,6.006,-0.7456574440002441
173,1916,6.50775,-0.2439074516296386
174,1917,5.809583,-0.9420742988586426
175,1918,6.2749166,-0.4767408370971679
176,1919,6.6709166,-0.0807409286499023
177,1920,7.11975,0.3680925369262695
178,1921,6.64275,-0.1089076995849609
179,1922,6.45675,-0.2949075698852539
180,1923,6.291333,-0.4603242874145508
181,1924,6.49825,-0.2534074783325195
182,1925,6.5795,-0.1721572875976562
183,1926,6.4466667,-0.3049907684326172
184,1927,6.5294166,-0.222240924835205
185,1928,6.51525,-0.2364072799682617
186,1929,6.6300836,-0.1215739250183105
187,1930,7.1608334,0.4091758728027344
188,1931,6.1575,-0.5941576957702637
189,1932,6.9556665,0.2040090560913086
190,1933,6.4638333,-0.2878241539001465
191,1934,6.4066668,-0.3449907302856445
192,1935,7.2100835,0.4584259986877441
193,1936,5.9721665,-0.7794909477233887
194,1937,6.9449167,0.1932592391967773
195,1938,7.0183334,0.2666759490966797
196,1939,7.4573336,0.7056760787963867
197,1940,6.8885,0.1368427276611328
198,1941,6.6891665,-0.0624909400939941
199,1942,6.81975,0.0680923461914062
200,1943,7.3983335,0.6466760635375977
201,1944,6.75425,0.0025925636291503
202,1945,6.0079165,-0.7437410354614258
203,1946,7.194083,0.4424257278442383
204,1947,5.1225834,-1.6290740966796875
205,1948,7.32175,0.5700926780700684
206,1949,7.13725,0.3855924606323242
207,1950,7.2255,0.4738426208496094
208,1951,7.1303334,0.3786759376525879
209,1952,6.743583,-0.0080742835998535
210,1953,6.6989164,-0.0527410507202148
211,1954,6.808833,0.0571756362915039
212,1955,7.3325,0.5808424949645996
213,1956,5.7895,-0.9621572494506836
214,1957,6.2430835,-0.5085740089416504
215,1958,7.199167,0.4475092887878418
216,1959,7.663833,0.9121756553649902
217,1960,7.4878335,0.7361760139465332
218,1961,7.701,0.9493427276611328
219,1962,6.9904165,0.2387590408325195
220,1963,6.6965833,-0.0550742149353027
221,1964,7.06325,0.3115925788879394
222,1965,6.566167,-0.185490608215332
223,1966,6.7023335,-0.0493240356445312
224,1967,6.8471665,0.0955090522766113
225,1968,6.9913335,0.2396759986877441
226,1969,6.123083,-0.6285743713378906
227,1970,6.606917,-0.1447405815124511
228,1971,6.7030835,-0.0485739707946777
229,1972,6.962,0.2103424072265625
230,1973,7.2900834,0.5384259223937988
231,1974,6.4755,-0.2761573791503906
232,1975,7.71075,0.959092617034912
233,1976,6.6301665,-0.1214909553527832
234,1977,7.2461667,0.494509220123291
235,1978,7.4115834,0.6599259376525879
236,1979,7.6176667,0.8660092353820801
237,1980,6.3925,-0.3591575622558594
238,1981,6.603667,-0.1479907035827636
239,1982,7.59625,0.8445925712585449
240,1983,7.3875833,0.6359257698059082
241,1984,6.678167,-0.0734906196594238
242,1985,6.73775,-0.0139074325561523
243,1986,6.5818334,-0.1698241233825683
244,1987,7.1169167,0.3652591705322265
245,1988,7.3555,0.6038427352905273
246,1989,8.203834,1.4521760940551758
247,1990,8.179083,1.4274253845214844
248,1991,7.537,0.7853426933288574
249,1992,7.6023335,0.8506760597229004
250,1993,7.274083,0.522425651550293
251,1994,8.275416,1.523758888244629
252,1995,7.512417,0.7607593536376953
253,1996,7.2660832,0.5144257545471191
254,1997,7.870333,1.118675708770752
255,1998,8.751333,1.9996757507324217
256,1999,8.280666,1.529008865356445
257,2000,7.525,0.7733426094055176
258,2001,7.727083,0.9754257202148438
259,2002,7.92575,1.1740922927856443
260,2003,8.054334,1.3026762008666992
261,2004,8.444,1.692342758178711
262,2005,7.3085,0.5568423271179199
263,2006,7.9403334,1.188675880432129
264,2007,8.511167,1.7595090866088867
265,2008,8.299916,1.5482587814331057
266,2009,7.78975,1.0380926132202148
267,2010,7.3619165,0.6102590560913086
268,2011,7.373667,0.62200927734375
269,2012,7.113917,0.3622593879699707
270,2013,8.4915,1.739842414855957
