,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,,
148,1891,,
149,1892,,
150,1893,,
151,1894,,
152,1895,,
153,1896,,
154,1897,,
155,1898,,
156,1899,,
157,1900,,
158,1901,,
159,1902,,
160,1903,26.402,-0.5968246459960938
161,1904,26.194834,-0.8039913177490234
162,1905,26.42875,-0.5700759887695312
163,1906,26.617834,-0.380990982055664
164,1907,26.144083,-0.8547420501708984
165,1908,26.3455,-0.6533241271972656
166,1909,26.473333,-0.5254917144775391
167,1910,26.588167,-0.4106578826904297
168,1911,26.596167,-0.402658462524414
169,1912,26.530083,-0.4687423706054687
170,1913,26.751667,-0.2471580505371093
171,1914,26.68675,-0.3120746612548828
172,1915,26.777916,-0.2209091186523437
173,1916,26.688,-0.3108253479003906
174,1917,26.26275,-0.7360744476318359
175,1918,26.330334,-0.6684913635253906
176,1919,26.745583,-0.2532424926757812
177,1920,26.565916,-0.4329090118408203
178,1921,26.4725,-0.5263252258300781
179,1922,26.408916,-0.5899085998535156
180,1923,26.468916,-0.5299091339111328
181,1924,26.440584,-0.5582408905029297
182,1925,26.4745,-0.5243244171142578
183,1926,26.843082,-0.1557426452636718
184,1927,26.894417,-0.1044082641601562
185,1928,26.85225,-0.146575927734375
186,1929,26.515417,-0.483407974243164
187,1930,26.667084,-0.3317413330078125
188,1931,26.8975,-0.1013259887695312
189,1932,26.807083,-0.191741943359375
190,1933,26.822666,-0.1761589050292968
191,1934,26.820417,-0.1784076690673828
192,1935,26.7485,-0.2503242492675781
193,1936,26.903166,-0.0956592559814453
194,1937,26.93525,-0.0635757446289062
195,1938,26.939417,-0.0594081878662109
196,1939,26.906084,-0.0927410125732421
197,1940,26.8585,-0.1403255462646484
198,1941,27.09825,0.0994243621826171
199,1942,27.03675,0.0379257202148437
200,1943,26.69575,-0.3030757904052734
201,1944,26.856667,-0.1421585083007812
202,1945,26.950583,-0.0482425689697265
203,1946,26.903334,-0.0954914093017578
204,1947,27.17625,0.1774253845214843
205,1948,26.94825,-0.0505752563476562
206,1949,26.934,-0.0648250579833984
207,1950,26.87275,-0.1260757446289062
208,1951,27.226,0.2271747589111328
209,1952,27.05175,0.0529251098632812
210,1953,27.253334,0.2545089721679687
211,1954,27.274416,0.2755908966064453
212,1955,26.897167,-0.1016578674316406
213,1956,26.90425,-0.0945758819580078
214,1957,27.15975,0.1609249114990234
215,1958,27.112167,0.11334228515625
216,1959,27.329916,0.3310909271240234
217,1960,26.975834,-0.0229911804199218
218,1961,26.858166,-0.1406593322753906
219,1962,27.032333,0.03350830078125
220,1963,26.787,-0.2118244171142578
221,1964,26.787,-0.2118244171142578
222,1965,26.862917,-0.1359081268310547
223,1966,26.99225,-0.0065746307373046
224,1967,26.822,-0.1768245697021484
225,1968,26.702417,-0.2964076995849609
226,1969,26.957916,-0.0409088134765625
227,1970,26.992083,-0.0067424774169921
228,1971,26.9335,-0.0653247833251953
229,1972,26.762917,-0.2359085083007812
230,1973,27.2525,0.2536754608154297
231,1974,27.210917,0.2120914459228515
232,1975,27.086584,0.0877590179443359
233,1976,26.968416,-0.0304088592529296
234,1977,27.207167,0.2083415985107422
235,1978,27.07725,0.0784244537353515
236,1979,27.195333,0.1965084075927734
237,1980,27.302084,0.3032588958740234
238,1981,27.520082,0.5212574005126953
239,1982,27.05725,0.0584239959716796
240,1983,27.5605,0.5616741180419922
241,1984,27.778418,0.7795925140380859
242,1985,27.467833,0.4690074920654297
243,1986,27.320168,0.3213424682617187
244,1987,27.392084,0.393259048461914
245,1988,27.594,0.5951747894287109
246,1989,27.427084,0.4282588958740234
247,1990,27.273834,0.2750091552734375
248,1991,27.226334,0.227508544921875
249,1992,27.115417,0.1165924072265625
250,1993,27.24275,0.2439250946044922
251,1994,27.360083,0.3612575531005859
252,1995,27.22725,0.228424072265625
253,1996,27.383333,0.3845081329345703
254,1997,27.411583,0.4127578735351562
255,1998,27.659666,0.6608409881591797
256,1999,27.586334,0.5875091552734375
257,2000,27.481667,0.4828414916992187
258,2001,27.595,0.5961742401123047
259,2002,27.4055,0.4066753387451172
260,2003,27.265333,0.2665081024169922
261,2004,27.546417,0.5475921630859375
262,2005,27.465666,0.4668407440185547
263,2006,27.428833,0.4300079345703125
264,2007,27.402082,0.4032573699951172
265,2008,27.483917,0.4850921630859375
266,2009,27.38725,0.3884258270263672
267,2010,27.250416,0.2515907287597656
268,2011,27.248917,0.250091552734375
269,2012,27.391582,0.3927574157714844
270,2013,27.658875,0.6600494384765625
