,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,26.469637,-0.4490585327148437
101,1844,26.18,-0.7386951446533203
102,1845,,
103,1846,,
104,1847,,
105,1848,26.146917,-0.7717781066894531
106,1849,26.276917,-0.6417789459228516
107,1850,26.069166,-0.8495292663574219
108,1851,26.444166,-0.4745292663574219
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,26.272,-0.6466960906982422
133,1876,26.44025,-0.4784450531005859
134,1877,26.857916,-0.0607795715332031
135,1878,26.94525,0.0265541076660156
136,1879,26.276167,-0.6425285339355469
137,1880,26.494833,-0.4238624572753906
138,1881,26.924084,0.0053882598876953
139,1882,26.389084,-0.5296115875244141
140,1883,26.45175,-0.4669456481933594
141,1884,26.459917,-0.4587783813476562
142,1885,26.50575,-0.4129447937011719
143,1886,26.748417,-0.1702785491943359
144,1887,26.341417,-0.5772781372070312
145,1888,26.536333,-0.3823623657226562
146,1889,26.778418,-0.1402778625488281
147,1890,26.423,-0.4956951141357422
148,1891,26.794666,-0.1240291595458984
149,1892,26.742834,-0.1758613586425781
150,1893,26.655582,-0.2631130218505859
151,1894,26.545166,-0.3735294342041015
152,1895,26.330917,-0.5877780914306641
153,1896,26.607666,-0.3110294342041015
154,1897,26.64075,-0.2779445648193359
155,1898,26.333334,-0.5853614807128906
156,1899,26.727667,-0.1910285949707031
157,1900,26.74675,-0.171945571899414
158,1901,26.622667,-0.2960281372070312
159,1902,26.985666,0.0669708251953125
160,1903,26.28275,-0.6359462738037109
161,1904,26.793583,-0.1251125335693359
162,1905,26.800167,-0.1185283660888671
163,1906,26.644917,-0.2737789154052734
164,1907,26.506416,-0.4122791290283203
165,1908,26.423,-0.4956951141357422
166,1909,26.748083,-0.1706123352050781
167,1910,26.371584,-0.5471115112304688
168,1911,26.333,-0.5856952667236328
169,1912,26.75325,-0.165445327758789
170,1913,26.753584,-0.1651115417480468
171,1914,26.73025,-0.188446044921875
172,1915,27.07225,0.1535549163818359
173,1916,26.270082,-0.6486129760742188
174,1917,26.354084,-0.5646114349365234
175,1918,26.357166,-0.5615291595458984
176,1919,26.4905,-0.4281959533691406
177,1920,26.78,-0.1386947631835937
178,1921,26.5475,-0.371194839477539
179,1922,26.862417,-0.0562782287597656
180,1923,26.582083,-0.3366127014160156
181,1924,27.11525,0.1965541839599609
182,1925,26.616,-0.3026962280273437
183,1926,27.066833,0.1481380462646484
184,1927,26.61075,-0.3079452514648437
185,1928,26.709,-0.209695816040039
186,1929,27.040583,0.12188720703125
187,1930,26.7125,-0.2061958312988281
188,1931,26.957333,0.0386371612548828
189,1932,26.734667,-0.1840286254882812
190,1933,26.567417,-0.3512783050537109
191,1934,26.711416,-0.2072792053222656
192,1935,26.735666,-0.1830291748046875
193,1936,26.616583,-0.3021125793457031
194,1937,26.395082,-0.5236129760742188
195,1938,26.467,-0.4516963958740234
196,1939,26.41775,-0.500946044921875
197,1940,26.866333,-0.0523624420166015
198,1941,27.167418,0.2487220764160156
199,1942,26.863583,-0.0551128387451171
200,1943,26.80125,-0.1174449920654296
201,1944,27.0205,0.1018047332763671
202,1945,26.794416,-0.1242790222167968
203,1946,26.894417,-0.0242786407470703
204,1947,26.917166,-0.0015296936035156
205,1948,27.028667,0.1099720001220703
206,1949,26.840918,-0.0777778625488281
207,1950,26.303833,-0.6148624420166016
208,1951,27.093334,0.1746387481689453
209,1952,26.92975,0.0110549926757812
210,1953,27.146334,0.2276382446289062
211,1954,27.170416,0.2517204284667969
212,1955,26.678583,-0.2401123046875
213,1956,26.7735,-0.1451950073242187
214,1957,26.702333,-0.2163619995117187
215,1958,27.176167,0.2574710845947265
216,1959,26.772333,-0.1463623046875
217,1960,26.942833,0.0241374969482421
218,1961,27.063168,0.1444721221923828
219,1962,26.925833,0.0071372985839843
220,1963,26.920334,0.0016384124755859
221,1964,26.522583,-0.3961124420166015
222,1965,26.852167,-0.0665283203125
223,1966,26.943666,0.0249710083007812
224,1967,26.815332,-0.103363037109375
225,1968,26.728167,-0.1905288696289062
226,1969,27.386,0.4673042297363281
227,1970,27.2325,0.3138046264648437
228,1971,26.803917,-0.1147785186767578
229,1972,26.881,-0.0376949310302734
230,1973,26.764584,-0.1541118621826172
231,1974,26.893167,-0.0255279541015625
232,1975,26.596333,-0.3223628997802734
233,1976,26.945,0.0263042449951171
234,1977,27.66525,0.7465553283691406
235,1978,27.2835,0.3648052215576172
236,1979,27.079666,0.1609706878662109
237,1980,27.412916,0.4942207336425781
238,1981,27.26175,0.3430538177490234
239,1982,26.7765,-0.1421947479248047
240,1983,26.594667,-0.3240280151367187
241,1984,26.54725,-0.3714447021484375
242,1985,26.809834,-0.1088619232177734
243,1986,26.846666,-0.0720291137695312
244,1987,27.2805,0.3618049621582031
245,1988,27.276833,0.3581371307373047
246,1989,26.674667,-0.244028091430664
247,1990,27.4445,0.5258045196533203
248,1991,27.010834,0.0921382904052734
249,1992,26.738916,-0.179779052734375
250,1993,27.368584,0.4498882293701172
251,1994,27.756083,0.8373870849609375
252,1995,27.3235,0.4048042297363281
253,1996,27.173584,0.2548885345458984
254,1997,27.3465,0.427804946899414
255,1998,28.18675,1.2680549621582031
256,1999,28.112833,1.1941375732421875
257,2000,27.922417,1.0037212371826172
258,2001,28.083334,1.1646385192871094
259,2002,27.994167,1.0754718780517578
260,2003,28.269,1.3503036499023438
261,2004,28.125166,1.2064704895019531
262,2005,28.07375,1.1550540924072266
263,2006,28.044834,1.126138687133789
264,2007,28.363,1.444305419921875
265,2008,27.751917,0.833221435546875
266,2009,28.3425,1.4238052368164062
267,2010,28.458666,1.5399703979492188
268,2011,28.150667,1.2319717407226562
269,2012,28.211584,1.292888641357422
270,2013,28.194374,1.275678634643555
