,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,21.07,0.4413928985595703
74,1817,19.203167,-1.4254398345947266
75,1818,19.97675,-0.6518573760986328
76,1819,19.33525,-1.293355941772461
77,1820,20.682545,0.0539379119873046
78,1821,20.161333,-0.4672737121582031
79,1822,20.255167,-0.3734397888183594
80,1823,20.80709,0.1784839630126953
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,20.191833,-0.4367733001708984
91,1834,20.22025,-0.4083576202392578
92,1835,19.364834,-1.263772964477539
93,1836,19.280546,-1.3480606079101562
94,1837,20.953333,0.3247261047363281
95,1838,24.070858,3.442251205444336
96,1839,,
97,1840,19.978182,-0.6504249572753906
98,1841,20.4948,-0.1338062286376953
99,1842,21.511889,0.8832817077636719
100,1843,20.205084,-0.42352294921875
101,1844,19.731333,-0.8972740173339844
102,1845,19.934416,-0.6941909790039062
103,1846,21.007,0.3783931732177734
104,1847,,
105,1848,19.782167,-0.8464393615722656
106,1849,19.952583,-0.6760234832763672
107,1850,19.985916,-0.6426906585693359
108,1851,20.13175,-0.496856689453125
109,1852,20.09725,-0.5313568115234375
110,1853,20.103834,-0.5247726440429688
111,1854,20.2725,-0.3561077117919922
112,1855,20.764637,0.1360301971435547
113,1856,19.394728,-1.2338790893554688
114,1857,19.673084,-0.9555225372314452
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,20.326,-0.3026065826416015
128,1871,20.27175,-0.3568572998046875
129,1872,20.322666,-0.3059406280517578
130,1873,20.47775,-0.1508560180664062
131,1874,19.852364,-0.7762432098388672
132,1875,20.688583,0.059976577758789
133,1876,20.168417,-0.4601898193359375
134,1877,20.29025,-0.3383560180664062
135,1878,20.356167,-0.272439956665039
136,1879,20.2235,-0.4051074981689453
137,1880,20.8295,0.2008934020996093
138,1881,20.733166,0.1045589447021484
139,1882,20.161833,-0.4667739868164062
140,1883,20.082666,-0.5459403991699219
141,1884,20.084833,-0.5437736511230469
142,1885,19.790417,-0.8381900787353516
143,1886,20.2375,-0.3911075592041015
144,1887,20.33,-0.2986068725585937
145,1888,20.445084,-0.1835231781005859
146,1889,20.491417,-0.1371898651123047
147,1890,20.279417,-0.3491897583007812
148,1891,20.033916,-0.5946903228759766
149,1892,20.83575,0.2071437835693359
150,1893,19.744417,-0.8841896057128906
151,1894,20.0285,-0.6001071929931641
152,1895,20.544,-0.0846061706542968
153,1896,20.90725,0.2786426544189453
154,1897,20.321167,-0.3074398040771484
155,1898,20.624332,-0.0042743682861328
156,1899,20.956833,0.328226089477539
157,1900,20.754583,0.1259765625
158,1901,20.514084,-0.1145229339599609
159,1902,21.173666,0.5450592041015625
160,1903,19.927084,-0.7015228271484375
161,1904,20.620916,-0.0076904296875
162,1905,19.971333,-0.6572742462158203
163,1906,20.423584,-0.2050228118896484
164,1907,20.207333,-0.421274185180664
165,1908,20.297333,-0.3312740325927734
166,1909,20.195333,-0.4332733154296875
167,1910,19.938084,-0.6905231475830078
168,1911,20.244333,-0.3842735290527344
169,1912,20.641417,0.0128097534179687
170,1913,20.292084,-0.3365230560302734
171,1914,20.535917,-0.0926895141601562
172,1915,21.1465,0.5178928375244141
173,1916,20.316084,-0.3125228881835937
174,1917,20.0375,-0.5911064147949219
175,1918,20.206583,-0.4220237731933594
176,1919,20.335167,-0.2934398651123047
177,1920,20.172083,-0.4565238952636719
178,1921,20.997417,0.3688106536865234
179,1922,20.682333,0.0537261962890625
180,1923,20.078917,-0.5496902465820312
181,1924,20.381584,-0.2470226287841797
182,1925,20.34075,-0.2878570556640625
183,1926,20.279083,-0.3495235443115234
184,1927,20.192167,-0.4364395141601562
185,1928,20.572416,-0.0561904907226562
186,1929,20.423584,-0.2050228118896484
187,1930,20.174917,-0.4536895751953125
188,1931,20.506,-0.1226062774658203
189,1932,20.615334,-0.0132732391357421
190,1933,20.340918,-0.287689208984375
191,1934,20.37125,-0.2573566436767578
192,1935,20.006083,-0.6225242614746094
193,1936,20.554667,-0.0739402770996093
194,1937,20.28725,-0.3413562774658203
195,1938,20.617916,-0.010690689086914
196,1939,20.55625,-0.072357177734375
197,1940,20.902584,0.2739772796630859
198,1941,21.710833,1.0822257995605469
199,1942,20.900333,0.2717266082763672
200,1943,20.627916,-0.0006904602050781
201,1944,20.376083,-0.2525234222412109
202,1945,20.321917,-0.3066902160644531
203,1946,21.22925,0.6006431579589844
204,1947,21.3825,0.7538928985595703
205,1948,20.8095,0.1808929443359375
206,1949,20.536,-0.0926074981689453
207,1950,19.694416,-0.9341907501220704
208,1951,20.748583,0.1199760437011718
209,1952,20.915167,0.28656005859375
210,1953,21.391083,0.7624759674072266
211,1954,20.723917,0.0953102111816406
212,1955,20.681084,0.0524768829345703
213,1956,20.576334,-0.0522727966308593
214,1957,19.904417,-0.7241897583007812
215,1958,21.3135,0.6848926544189453
216,1959,20.919167,0.2905597686767578
217,1960,20.731333,0.1027259826660156
218,1961,20.376833,-0.2517738342285156
219,1962,20.439167,-0.1894397735595703
220,1963,21.251083,0.6224765777587891
221,1964,20.141834,-0.4867725372314453
222,1965,20.495167,-0.1334400177001953
223,1966,20.564583,-0.0640239715576171
224,1967,20.348583,-0.2800235748291015
225,1968,20.341833,-0.286773681640625
226,1969,21.034166,0.4055595397949219
227,1970,21.189333,0.5607261657714844
228,1971,20.96625,0.3376426696777344
229,1972,20.100166,-0.5284404754638672
230,1973,20.739584,0.1109771728515625
231,1974,20.435167,-0.1934394836425781
232,1975,20.114584,-0.5140228271484375
233,1976,20.374916,-0.2536907196044922
234,1977,21.189333,0.5607261657714844
235,1978,20.74325,0.1146430969238281
236,1979,20.763083,0.1344757080078125
237,1980,21.41125,0.7826423645019531
238,1981,21.205334,0.5767269134521484
239,1982,20.509417,-0.1191902160644531
240,1983,20.572834,-0.0557727813720703
241,1984,20.875084,0.2464771270751953
242,1985,21.28275,0.6541423797607422
243,1986,20.640583,0.0119762420654296
244,1987,21.436832,0.8082256317138672
245,1988,21.81225,1.1836433410644531
246,1989,20.65,0.021392822265625
247,1990,21.376417,0.7478103637695312
248,1991,20.901333,0.2727260589599609
249,1992,20.7085,0.0798931121826171
250,1993,21.444834,0.8162269592285156
251,1994,21.163084,0.5344772338867188
252,1995,21.073917,0.4453105926513672
253,1996,20.933834,0.3052272796630859
254,1997,20.73875,0.1101436614990234
255,1998,21.66275,1.0341434478759766
256,1999,21.863,1.234394073486328
257,2000,21.8225,1.1938934326171875
258,2001,21.930416,1.301809310913086
259,2002,22.0255,1.396892547607422
260,2003,21.432083,0.8034763336181641
261,2004,22.143084,1.5144767761230469
262,2005,21.272417,0.6438102722167969
263,2006,21.636917,1.008310317993164
264,2007,21.690916,1.0623092651367188
265,2008,21.535166,0.9065589904785156
266,2009,21.911417,1.2828102111816406
267,2010,22.087917,1.459310531616211
268,2011,21.76825,1.1396427154541016
269,2012,21.198,0.5693931579589844
270,2013,22.320875,1.6922683715820312
