,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,26.737833,-0.4779491424560547
140,1883,26.657833,-0.5579490661621094
141,1884,26.262667,-0.953115463256836
142,1885,26.5175,-0.6982822418212891
143,1886,26.383167,-0.8326148986816406
144,1887,26.294,-0.9217815399169922
145,1888,26.711082,-0.50469970703125
146,1889,26.897083,-0.3186988830566406
147,1890,26.444,-0.7717819213867188
148,1891,26.613832,-0.6019496917724609
149,1892,26.81575,-0.4000320434570312
150,1893,26.61775,-0.5980319976806641
151,1894,26.62025,-0.5955314636230469
152,1895,26.543083,-0.672698974609375
153,1896,26.669333,-0.5464496612548828
154,1897,26.978834,-0.236948013305664
155,1898,26.794834,-0.4209480285644531
156,1899,26.9076,-0.3081817626953125
157,1900,,
158,1901,27.306667,0.0908851623535156
159,1902,26.442,-0.7737827301025391
160,1903,26.902916,-0.3128662109375
161,1904,26.448917,-0.7668647766113281
162,1905,26.757084,-0.4586982727050781
163,1906,26.902666,-0.3131160736083984
164,1907,26.391333,-0.8244495391845703
165,1908,26.603834,-0.6119480133056641
166,1909,26.695583,-0.5201988220214844
167,1910,26.765167,-0.4506149291992187
168,1911,26.737167,-0.4786148071289062
169,1912,26.77125,-0.4445323944091797
170,1913,26.975,-0.2407817840576172
171,1914,27.14325,-0.0725326538085937
172,1915,27.135166,-0.0806159973144531
173,1916,26.977333,-0.2384490966796875
174,1917,26.79,-0.42578125
175,1918,26.498333,-0.7174491882324219
176,1919,26.963333,-0.2524490356445312
177,1920,27.017834,-0.1979484558105468
178,1921,26.8485,-0.3672828674316406
179,1922,27.036917,-0.1788654327392578
180,1923,26.79175,-0.4240322113037109
181,1924,26.72825,-0.4875316619873047
182,1925,26.94125,-0.2745323181152344
183,1926,27.248667,0.0328845977783203
184,1927,27.297167,0.0813846588134765
185,1928,27.303833,0.0880508422851562
186,1929,26.91175,-0.3040313720703125
187,1930,27.088833,-0.1269493103027343
188,1931,27.223,0.0072174072265625
189,1932,27.019833,-0.1959495544433593
190,1933,27.106833,-0.1089496612548828
191,1934,27.090834,-0.124948501586914
192,1935,27.038834,-0.1769485473632812
193,1936,27.062416,-0.1533660888671875
194,1937,27.131916,-0.0838661193847656
195,1938,27.031,-0.1847820281982422
196,1939,27.082834,-0.1329479217529297
197,1940,27.021833,-0.193948745727539
198,1941,27.14925,-0.0665321350097656
199,1942,27.205166,-0.0106163024902343
200,1943,27.00125,-0.2145328521728515
201,1944,27.31575,0.0999679565429687
202,1945,27.15225,-0.0635318756103515
203,1946,27.2995,0.0837173461914062
204,1947,27.6225,0.406717300415039
205,1948,27.498833,0.283050537109375
206,1949,27.225916,0.0101337432861328
207,1950,27.049917,-0.1658649444580078
208,1951,27.5015,0.2857170104980469
209,1952,27.43825,0.2224674224853515
210,1953,27.58525,0.3694686889648437
211,1954,27.364916,0.1491336822509765
212,1955,27.208084,-0.0076980590820312
213,1956,27.091167,-0.1246147155761718
214,1957,27.401417,0.1856346130371093
215,1958,27.517084,0.3013019561767578
216,1959,27.306168,0.0903854370117187
217,1960,27.457666,0.2418842315673828
218,1961,27.17175,-0.0440330505371093
219,1962,27.245,0.0292186737060546
220,1963,27.429167,0.2133846282958984
221,1964,27.171667,-0.0441150665283203
222,1965,27.300833,0.0850505828857421
223,1966,27.414333,0.1985511779785156
224,1967,27.356916,0.1411342620849609
225,1968,27.504,0.288217544555664
226,1969,27.496584,0.280801773071289
227,1970,27.634583,0.4188003540039062
228,1971,27.3655,0.1497173309326172
229,1972,27.462334,0.246551513671875
230,1973,27.668917,0.453134536743164
231,1974,27.481667,0.2658843994140625
232,1975,27.3145,0.0987186431884765
233,1976,27.45025,0.2344684600830078
234,1977,27.563334,0.3475513458251953
235,1978,27.419083,0.2033004760742187
236,1979,27.47525,0.2594680786132812
237,1980,27.452833,0.2370510101318359
238,1981,27.557333,0.3415508270263672
239,1982,27.541416,0.3256340026855469
240,1983,27.708666,0.4928836822509765
241,1984,27.638584,0.4228019714355469
242,1985,27.452667,0.2368850708007812
243,1986,27.769083,0.5533008575439453
244,1987,27.74125,0.5254669189453125
245,1988,27.706917,0.4911346435546875
246,1989,27.6095,0.3937187194824219
247,1990,27.676916,0.4611339569091797
248,1991,27.599583,0.3838005065917969
249,1992,27.539083,0.3233013153076172
250,1993,27.484583,0.2688007354736328
251,1994,27.6165,0.4007186889648437
252,1995,27.634083,0.4183006286621094
253,1996,27.701584,0.4858016967773437
254,1997,27.798084,0.5823020935058594
255,1998,28.006416,0.7906341552734375
256,1999,27.666334,0.4505519866943359
257,2000,27.69075,0.4749679565429687
258,2001,27.758583,0.5428009033203125
259,2002,27.801834,0.5860519409179688
260,2003,27.629583,0.4138011932373047
261,2004,27.888916,0.6731338500976562
262,2005,27.71875,0.5029678344726562
263,2006,27.814417,0.5986347198486328
264,2007,27.84275,0.6269683837890625
265,2008,27.62575,0.4099674224853515
266,2009,27.716917,0.5011348724365234
267,2010,27.76775,0.5519676208496094
268,2011,27.553417,0.3376350402832031
269,2012,27.72125,0.5054683685302734
270,2013,27.820375,0.6045932769775391
