,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,22.703728,-0.4329605102539062
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,23.513714,0.3770256042480469
111,1854,,
112,1855,22.785418,-0.3512706756591797
113,1856,22.3615,-0.7751884460449219
114,1857,22.145,-0.9916877746582032
115,1858,22.577833,-0.5588550567626953
116,1859,22.743917,-0.392770767211914
117,1860,22.760584,-0.3761043548583984
118,1861,22.3145,-0.8221874237060547
119,1862,22.040583,-1.0961055755615234
120,1863,22.498833,-0.6378555297851562
121,1864,22.734083,-0.4026050567626953
122,1865,22.919333,-0.217355728149414
123,1866,22.983917,-0.15277099609375
124,1867,22.995167,-0.1415214538574218
125,1868,22.5095,-0.6271877288818359
126,1869,22.872168,-0.2645206451416015
127,1870,22.864666,-0.2720222473144531
128,1871,22.78525,-0.3514385223388672
129,1872,22.886084,-0.2506046295166015
130,1873,22.953583,-0.18310546875
131,1874,22.755833,-0.3808555603027344
132,1875,22.302166,-0.8345222473144531
133,1876,22.818,-0.3186874389648437
134,1877,23.174667,0.0379791259765625
135,1878,23.338417,0.2017288208007812
136,1879,23.011583,-0.1251049041748047
137,1880,22.55175,-0.5849380493164062
138,1881,22.93125,-0.2054386138916015
139,1882,22.51275,-0.6239376068115234
140,1883,22.532,-0.6046886444091797
141,1884,22.36825,-0.7684383392333984
142,1885,22.623917,-0.5127716064453125
143,1886,22.5535,-0.5831890106201172
144,1887,22.662666,-0.4740219116210937
145,1888,22.686333,-0.4503555297851562
146,1889,22.927,-0.2096881866455078
147,1890,22.710667,-0.4260215759277344
148,1891,22.708334,-0.428354263305664
149,1892,22.890583,-0.2461051940917968
150,1893,22.848167,-0.2885208129882812
151,1894,22.457,-0.6796875
152,1895,22.62125,-0.5154380798339844
153,1896,22.698416,-0.438272476196289
154,1897,22.7325,-0.4041881561279297
155,1898,22.87825,-0.2584381103515625
156,1899,22.689833,-0.4468555450439453
157,1900,22.77525,-0.3614387512207031
158,1901,23.345333,0.2086448669433593
159,1902,22.767334,-0.369354248046875
160,1903,22.80775,-0.3289375305175781
161,1904,22.481167,-0.6555213928222656
162,1905,22.518,-0.6186885833740234
163,1906,22.886417,-0.2502708435058594
164,1907,22.533583,-0.6031055450439453
165,1908,22.537834,-0.5988540649414062
166,1909,23.01125,-0.1254386901855468
167,1910,22.706583,-0.4301052093505859
168,1911,22.770666,-0.3660221099853515
169,1912,22.842417,-0.2942714691162109
170,1913,22.721916,-0.4147720336914062
171,1914,22.754084,-0.3826045989990234
172,1915,23.36,0.2233123779296875
173,1916,23.261,0.1243114471435546
174,1917,22.938917,-0.1977710723876953
175,1918,22.890583,-0.2461051940917968
176,1919,22.958416,-0.1782722473144531
177,1920,22.749666,-0.3870220184326172
178,1921,22.814667,-0.322021484375
179,1922,23.05025,-0.0864391326904296
180,1923,22.997334,-0.1393547058105468
181,1924,23.177917,0.041229248046875
182,1925,22.922667,-0.2140216827392578
183,1926,22.898666,-0.2380218505859375
184,1927,23.2,0.0633125305175781
185,1928,23.26425,0.1275615692138672
186,1929,23.089333,-0.0473556518554687
187,1930,23.087084,-0.0496044158935546
188,1931,23.255333,0.1186447143554687
189,1932,23.156834,0.0201454162597656
190,1933,22.907667,-0.2290210723876953
191,1934,23.00075,-0.1359386444091797
192,1935,23.31475,0.1780624389648437
193,1936,23.394583,0.2578945159912109
194,1937,23.411083,0.2743949890136719
195,1938,23.160166,0.023477554321289
196,1939,23.2115,0.0748119354248046
197,1940,23.113,-0.0236873626708984
198,1941,23.326416,0.189727783203125
199,1942,23.356333,0.219644546508789
200,1943,23.06725,-0.0694389343261718
201,1944,22.93675,-0.1999378204345703
202,1945,23.007084,-0.1296043395996093
203,1946,23.287,0.1503124237060547
204,1947,23.837667,0.7009792327880859
205,1948,23.176916,0.0402278900146484
206,1949,22.94825,-0.1884384155273437
207,1950,23.316,0.1793117523193359
208,1951,23.337166,0.2004776000976562
209,1952,23.511084,0.3743953704833984
210,1953,23.103083,-0.0336055755615234
211,1954,23.28675,0.1500625610351562
212,1955,23.428917,0.2922286987304687
213,1956,23.29525,0.1585617065429687
214,1957,23.097834,-0.0388545989990234
215,1958,23.508833,0.3721446990966797
216,1959,23.14425,0.0075626373291015
217,1960,23.520082,0.3833942413330078
218,1961,23.353582,0.2168941497802734
219,1962,23.621584,0.4848957061767578
220,1963,23.441833,0.305145263671875
221,1964,23.26725,0.1305618286132812
222,1965,22.89925,-0.2374382019042968
223,1966,23.217167,0.0804786682128906
224,1967,22.965834,-0.1708545684814453
225,1968,23.114584,-0.022104263305664
226,1969,23.4225,0.2858123779296875
227,1970,23.466084,0.3293952941894531
228,1971,23.1935,0.0568122863769531
229,1972,22.976833,-0.1598548889160156
230,1973,23.662666,0.5259780883789062
231,1974,23.387583,0.250894546508789
232,1975,23.4405,0.303812026977539
233,1976,23.3205,0.1838111877441406
234,1977,23.3265,0.1898117065429687
235,1978,23.488832,0.3521442413330078
236,1979,23.5725,0.4358119964599609
237,1980,23.401833,0.2651443481445312
238,1981,23.460083,0.323394775390625
239,1982,23.030333,-0.1063556671142578
240,1983,23.216583,0.07989501953125
241,1984,23.391333,0.2546443939208984
242,1985,23.721083,0.5843944549560547
243,1986,23.336584,0.1998958587646484
244,1987,23.355917,0.2192287445068359
245,1988,23.829584,0.6928958892822266
246,1989,23.516083,0.37939453125
247,1990,23.663666,0.5269775390625
248,1991,23.439083,0.3023948669433594
249,1992,23.066084,-0.0706043243408203
250,1993,23.218,0.0813121795654296
251,1994,23.473167,0.3364791870117187
252,1995,23.747168,0.6104793548583984
253,1996,23.918333,0.7816448211669922
254,1997,23.549,0.4123115539550781
255,1998,24.271166,1.134477615356445
256,1999,24.077168,0.9404792785644532
257,2000,23.86,0.7233123779296875
258,2001,24.185,1.0483112335205078
259,2002,23.971167,0.8344783782958984
260,2003,23.789167,0.6524791717529297
261,2004,23.740084,0.6033954620361328
262,2005,23.754667,0.6179790496826172
263,2006,23.620583,0.4838943481445312
264,2007,24.082083,0.9453945159912108
265,2008,24.160833,1.0241451263427734
266,2009,23.892834,0.7561454772949219
267,2010,24.786,1.649311065673828
268,2011,23.87725,0.7405624389648438
269,2012,23.90025,0.7635612487792969
270,2013,24.092125,0.9554367065429688
