,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,26.198334,-0.0945415496826171
83,1826,26.2379,-0.0549755096435546
84,1827,26.556726,0.2638511657714844
85,1828,26.003637,-0.2892379760742187
86,1829,25.7718,-0.5210762023925781
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,25.88225,-0.4106254577636719
109,1852,25.601667,-0.6912078857421875
110,1853,25.743584,-0.5492916107177734
111,1854,25.792334,-0.5005416870117188
112,1855,25.894083,-0.3987922668457031
113,1856,26.089,-0.2038745880126953
114,1857,25.47725,-0.8156261444091797
115,1858,25.688417,-0.6044578552246094
116,1859,25.627167,-0.6657085418701172
117,1860,25.5605,-0.7323760986328125
118,1861,25.764166,-0.5287094116210938
119,1862,25.527334,-0.7655410766601562
120,1863,25.888334,-0.404541015625
121,1864,25.683666,-0.6092090606689453
122,1865,25.854416,-0.4384593963623047
123,1866,25.5025,-0.790374755859375
124,1867,26.004168,-0.2887077331542969
125,1868,25.979834,-0.3130416870117187
126,1869,26.738916,0.4460411071777344
127,1870,25.870083,-0.4227924346923828
128,1871,25.648083,-0.6447925567626953
129,1872,26.260084,-0.0327911376953125
130,1873,25.846,-0.4468746185302734
131,1874,25.891167,-0.4017086029052734
132,1875,25.9385,-0.3543758392333984
133,1876,26.124666,-0.1682090759277343
134,1877,26.401333,0.1084575653076171
135,1878,26.962418,0.6695423126220703
136,1879,26.035084,-0.257791519165039
137,1880,25.838083,-0.4547920227050781
138,1881,26.06475,-0.2281246185302734
139,1882,25.673916,-0.6189594268798828
140,1883,25.525167,-0.7677078247070312
141,1884,25.530916,-0.7619590759277344
142,1885,25.763834,-0.5290412902832031
143,1886,25.883083,-0.4097919464111328
144,1887,25.5035,-0.7893753051757812
145,1888,25.636833,-0.6560420989990234
146,1889,26.177416,-0.1154594421386718
147,1890,25.315083,-0.977792739868164
148,1891,26.189083,-0.1037921905517578
149,1892,25.675417,-0.6174583435058594
150,1893,25.533,-0.7598743438720703
151,1894,25.619167,-0.6737079620361328
152,1895,25.942,-0.3508758544921875
153,1896,26.11,-0.1828746795654297
154,1897,26.421,0.1281242370605468
155,1898,25.866333,-0.4265422821044922
156,1899,25.95875,-0.3341255187988281
157,1900,26.240334,-0.0525417327880859
158,1901,25.741583,-0.5512924194335938
159,1902,26.022583,-0.2702922821044922
160,1903,26.1865,-0.1063747406005859
161,1904,25.66375,-0.6291255950927734
162,1905,25.987833,-0.3050422668457031
163,1906,26.028584,-0.264291763305664
164,1907,25.80375,-0.4891262054443359
165,1908,25.764917,-0.5279579162597656
166,1909,25.693167,-0.5997085571289062
167,1910,25.44075,-0.8521251678466797
168,1911,26.107584,-0.1852912902832031
169,1912,26.480417,0.1875419616699218
170,1913,25.917084,-0.3757915496826172
171,1914,26.314,0.0211238861083984
172,1915,26.551666,0.2587909698486328
173,1916,26.064917,-0.2279586791992187
174,1917,25.382917,-0.9099578857421876
175,1918,25.748417,-0.5444583892822266
176,1919,26.219418,-0.0734577178955078
177,1920,26.288918,-0.0039577484130859
178,1921,26.18575,-0.107126235961914
179,1922,26.286667,-0.0062084197998046
180,1923,26.158,-0.1348743438720703
181,1924,26.137083,-0.155792236328125
182,1925,26.145082,-0.1477928161621093
183,1926,26.541416,0.2485408782958984
184,1927,26.210333,-0.0825424194335937
185,1928,26.276917,-0.0159587860107421
186,1929,26.325167,0.0322914123535156
187,1930,26.547417,0.2545413970947265
188,1931,26.591333,0.2984580993652344
189,1932,26.304417,0.0115413665771484
190,1933,26.109,-0.1838760375976562
191,1934,26.23125,-0.061624526977539
192,1935,26.046667,-0.2462081909179687
193,1936,26.395334,0.1024589538574218
194,1937,26.3115,0.018625259399414
195,1938,25.9695,-0.3233757019042969
196,1939,26.367332,0.0744571685791015
197,1940,26.9355,0.6426239013671875
198,1941,27.129084,0.8362083435058594
199,1942,26.399416,0.1065406799316406
200,1943,26.13425,-0.1586246490478515
201,1944,26.255917,-0.0369586944580078
202,1945,26.311916,0.0190410614013671
203,1946,26.531416,0.2385406494140625
204,1947,26.4805,0.1876239776611328
205,1948,26.635666,0.3427906036376953
206,1949,26.098583,-0.1942920684814453
207,1950,25.975334,-0.3175411224365234
208,1951,26.48775,0.1948738098144531
209,1952,26.496584,0.2037086486816406
210,1953,26.638666,0.3457908630371094
211,1954,26.313,0.0201244354248046
212,1955,26.143833,-0.1490421295166015
213,1956,26.055334,-0.2375411987304687
214,1957,26.814583,0.5217075347900391
215,1958,27.029,0.7361240386962891
216,1959,26.645834,0.3529586791992187
217,1960,26.494667,0.201791763305664
218,1961,26.481583,0.1887073516845703
219,1962,26.40125,0.1083755493164062
220,1963,26.44725,0.1543750762939453
221,1964,26.544083,0.2512073516845703
222,1965,26.499666,0.2067909240722656
223,1966,26.576084,0.2832088470458984
224,1967,26.232334,-0.0605411529541015
225,1968,26.31,0.0171241760253906
226,1969,26.720167,0.4272918701171875
227,1970,26.415167,0.1222915649414062
228,1971,26.02025,-0.2726249694824219
229,1972,26.701916,0.4090404510498047
230,1973,26.568916,0.276041030883789
231,1974,26.210667,-0.0822086334228515
232,1975,26.1395,-0.1533756256103515
233,1976,26.48625,0.1933746337890625
234,1977,26.71675,0.4238739013671875
235,1978,26.4725,0.1796245574951172
236,1979,26.652,0.3591251373291015
237,1980,26.65925,0.3663749694824219
238,1981,26.655834,0.3629589080810547
239,1982,26.779083,0.4862079620361328
240,1983,27.250668,0.9577922821044922
241,1984,26.321,0.0281238555908203
242,1985,26.416166,0.123291015625
243,1986,26.698166,0.4052906036376953
244,1987,27.222584,0.9297084808349608
245,1988,26.628166,0.3352909088134765
246,1989,26.526417,0.2335414886474609
247,1990,26.925333,0.6324577331542969
248,1991,27.068083,0.77520751953125
249,1992,27.1085,0.8156242370605469
250,1993,26.937,0.6441249847412109
251,1994,27.006,0.7131252288818359
252,1995,26.958084,0.6652088165283203
253,1996,26.668333,0.375457763671875
254,1997,27.412916,1.1200408935546875
255,1998,27.547417,1.2545413970947266
256,1999,26.42525,0.1323738098144531
257,2000,26.711834,0.4189586639404297
258,2001,26.665833,0.3729572296142578
259,2002,27.207,0.9141254425048828
260,2003,27.248417,0.9555416107177734
261,2004,27.105917,0.8130416870117188
262,2005,27.085,0.7921237945556641
263,2006,27.13175,0.8388748168945312
264,2007,27.059416,0.76654052734375
265,2008,26.800667,0.5077915191650391
266,2009,27.26975,0.9768753051757812
267,2010,27.029167,0.7362918853759766
268,2011,26.70925,0.4163742065429687
269,2012,27.0825,0.7896251678466797
270,2013,27.2175,0.9246253967285156
