,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,23.92475,-0.5276126861572266
140,1883,23.863083,-0.5892791748046875
141,1884,23.751417,-0.7009449005126953
142,1885,23.705416,-0.7469463348388672
143,1886,23.879,-0.5733623504638672
144,1887,23.619667,-0.8326950073242188
145,1888,23.97575,-0.4766120910644531
146,1889,24.4255,-0.0268611907958984
147,1890,23.844,-0.6083621978759766
148,1891,23.839333,-0.6130294799804688
149,1892,24.073416,-0.378946304321289
150,1893,24.15625,-0.296112060546875
151,1894,23.864416,-0.5879459381103516
152,1895,23.917917,-0.5344448089599609
153,1896,23.695333,-0.7570285797119141
154,1897,24.270834,-0.181528091430664
155,1898,23.9655,-0.4868621826171875
156,1899,23.8385,-0.6138629913330078
157,1900,24.536667,0.0843048095703125
158,1901,24.324167,-0.1281948089599609
159,1902,23.608917,-0.84344482421875
160,1903,24.202333,-0.2500286102294922
161,1904,23.675,-0.7773628234863281
162,1905,24.05825,-0.3941116333007812
163,1906,24.275084,-0.1772785186767578
164,1907,23.73525,-0.7171115875244141
165,1908,23.795918,-0.6564445495605469
166,1909,24.582167,0.1298046112060547
167,1910,24.528667,0.0763053894042968
168,1911,24.15875,-0.2936115264892578
169,1912,24.474083,0.0217208862304687
170,1913,24.273167,-0.1791954040527343
171,1914,24.080584,-0.3717784881591797
172,1915,24.5555,0.1031379699707031
173,1916,24.563917,0.1115550994873046
174,1917,24.44375,-0.0086116790771484
175,1918,23.730333,-0.7220287322998047
176,1919,23.842333,-0.6100292205810547
177,1920,24.414667,-0.0376949310302734
178,1921,24.193,-0.2593612670898437
179,1922,24.23325,-0.2191123962402343
180,1923,23.78625,-0.6661128997802734
181,1924,24.459667,0.0073051452636718
182,1925,24.088667,-0.3636951446533203
183,1926,24.767334,0.314971923828125
184,1927,24.34425,-0.1081123352050781
185,1928,24.3405,-0.1118621826171875
186,1929,24.084417,-0.3679447174072265
187,1930,24.188833,-0.263528823852539
188,1931,24.287,-0.1653614044189453
189,1932,24.4825,0.0301380157470703
190,1933,24.523083,0.0707206726074218
191,1934,24.625917,0.1735553741455078
192,1935,24.416916,-0.0354461669921875
193,1936,24.330416,-0.1219463348388671
194,1937,24.51825,0.065887451171875
195,1938,24.2625,-0.1898612976074218
196,1939,24.101667,-0.3506946563720703
197,1940,24.34975,-0.1026115417480468
198,1941,24.16025,-0.2921123504638672
199,1942,24.9745,0.5221385955810547
200,1943,24.325834,-0.1265277862548828
201,1944,24.351418,-0.1009445190429687
202,1945,24.398,-0.054361343383789
203,1946,24.149834,-0.3025283813476562
204,1947,24.79575,0.3433876037597656
205,1948,24.670084,0.217721939086914
206,1949,24.741667,0.2893047332763672
207,1950,24.593584,0.1412220001220703
208,1951,24.426416,-0.0259456634521484
209,1952,24.664583,0.2122211456298828
210,1953,24.38725,-0.0651111602783203
211,1954,24.445084,-0.0072784423828125
212,1955,24.436167,-0.0161952972412109
213,1956,24.552166,0.0998039245605468
214,1957,24.448584,-0.0037784576416015
215,1958,24.737333,0.2849712371826172
216,1959,24.514334,0.0619716644287109
217,1960,24.460833,0.0084705352783203
218,1961,24.233334,-0.2190284729003906
219,1962,24.54975,0.0973873138427734
220,1963,24.471666,0.0193042755126953
221,1964,24.599833,0.147470474243164
222,1965,24.034334,-0.4180278778076172
223,1966,24.481167,0.0288047790527343
224,1967,24.334333,-0.1180286407470703
225,1968,24.4845,0.0321388244628906
226,1969,24.69775,0.2453880310058593
227,1970,24.76875,0.3163871765136719
228,1971,24.56375,0.1113872528076171
229,1972,24.2855,-0.1668624877929687
230,1973,24.798916,0.3465538024902344
231,1974,24.586082,0.1337203979492187
232,1975,24.637667,0.1853046417236328
233,1976,24.364166,-0.08819580078125
234,1977,24.46825,0.0158882141113281
235,1978,24.7425,0.2901382446289062
236,1979,24.705084,0.2527217864990234
237,1980,24.745167,0.2928047180175781
238,1981,24.870333,0.4179706573486328
239,1982,24.517584,0.0652217864990234
240,1983,24.970167,0.5178050994873047
241,1984,24.7435,0.2911376953125
242,1985,24.722084,0.2697219848632812
243,1986,24.874916,0.4225540161132812
244,1987,24.950916,0.4985542297363281
245,1988,25.16675,0.7143878936767578
246,1989,24.892,0.4396381378173828
247,1990,24.93675,0.4843883514404297
248,1991,24.726166,0.2738037109375
249,1992,24.831083,0.3787212371826172
250,1993,24.67375,0.2213878631591797
251,1994,24.694834,0.242471694946289
252,1995,24.984,0.5316371917724609
253,1996,25.042334,0.5899715423583984
254,1997,24.7675,0.3151378631591797
255,1998,25.41975,0.967388153076172
256,1999,24.919834,0.4674720764160156
257,2000,24.942,0.4896373748779297
258,2001,25.054667,0.6023044586181641
259,2002,25.096333,0.6439704895019531
260,2003,25.066833,0.614471435546875
261,2004,24.908916,0.4565544128417969
262,2005,25.03375,0.5813884735107422
263,2006,24.739,0.2866382598876953
264,2007,24.882668,0.4303054809570312
265,2008,24.775917,0.3235549926757812
266,2009,24.783167,0.3308048248291015
267,2010,25.342,0.8896369934082031
268,2011,24.829834,0.377471923828125
269,2012,24.843584,0.3912220001220703
270,2013,25.069124,0.6167621612548828
