,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,22.391333,-0.8458347320556641
90,1833,23.074583,-0.1625843048095703
91,1834,22.86375,-0.3734169006347656
92,1835,22.0705,-1.166667938232422
93,1836,22.441917,-0.7952499389648438
94,1837,22.1115,-1.1256675720214844
95,1838,22.2535,-0.9836673736572266
96,1839,22.31025,-0.9269180297851562
97,1840,22.632166,-0.6050014495849609
98,1841,22.456917,-0.7802505493164062
99,1842,22.8475,-0.3896675109863281
100,1843,22.969,-0.268167495727539
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,22.93025,-0.3069171905517578
109,1852,22.910084,-0.3270835876464844
110,1853,22.887,-0.350168228149414
111,1854,23.0525,-0.1846675872802734
112,1855,22.815166,-0.4220008850097656
113,1856,22.376,-0.8611679077148438
114,1857,22.63975,-0.5974178314208984
115,1858,22.326166,-0.911001205444336
116,1859,23.088083,-0.1490840911865234
117,1860,23.040167,-0.197000503540039
118,1861,22.62925,-0.6079177856445312
119,1862,22.7085,-0.5286674499511719
120,1863,22.592916,-0.6442508697509766
121,1864,22.634,-0.6031665802001953
122,1865,22.921083,-0.3160839080810547
123,1866,22.901583,-0.3355846405029297
124,1867,22.8505,-0.386667251586914
125,1868,23.274334,0.0371665954589843
126,1869,23.066084,-0.1710834503173828
127,1870,23.019833,-0.2173347473144531
128,1871,22.79775,-0.4394168853759765
129,1872,22.897083,-0.3400840759277344
130,1873,23.416416,0.1792488098144531
131,1874,22.401417,-0.8357505798339844
132,1875,22.2665,-0.9706668853759766
133,1876,22.891333,-0.345834732055664
134,1877,23.7875,0.5503330230712891
135,1878,22.959417,-0.277750015258789
136,1879,22.538918,-0.6982498168945312
137,1880,22.723167,-0.5139999389648438
138,1881,22.87025,-0.3669166564941406
139,1882,22.518167,-0.7189998626708984
140,1883,22.6055,-0.6316680908203125
141,1884,22.72925,-0.5079174041748047
142,1885,22.656,-0.5811672210693359
143,1886,22.519833,-0.7173347473144531
144,1887,23.073334,-0.1638336181640625
145,1888,23.21875,-0.0184173583984375
146,1889,22.87925,-0.3579177856445312
147,1890,22.466333,-0.7708339691162109
148,1891,22.90025,-0.3369178771972656
149,1892,22.58775,-0.6494178771972656
150,1893,22.326084,-0.9110832214355468
151,1894,22.736666,-0.5005016326904297
152,1895,23.309668,0.0725002288818359
153,1896,23.692083,0.4549160003662109
154,1897,23.259916,0.0227489471435546
155,1898,22.684416,-0.5527515411376953
156,1899,23.31125,0.0740833282470703
157,1900,23.743,0.5058326721191406
158,1901,23.413166,0.1759986877441406
159,1902,23.5935,0.356332778930664
160,1903,22.932667,-0.3045005798339844
161,1904,22.781334,-0.4558334350585937
162,1905,23.034666,-0.2025012969970703
163,1906,23.5605,0.3233318328857422
164,1907,22.8545,-0.3826675415039062
165,1908,22.74025,-0.496917724609375
166,1909,22.643,-0.5941677093505859
167,1910,22.965084,-0.2720832824707031
168,1911,22.348917,-0.8882503509521484
169,1912,23.021917,-0.215250015258789
170,1913,23.550167,0.3129997253417969
171,1914,23.737333,0.5001659393310547
172,1915,23.753584,0.5164165496826172
173,1916,23.052166,-0.1850013732910156
174,1917,22.643417,-0.59375
175,1918,22.987,-0.2501678466796875
176,1919,23.525667,0.2884998321533203
177,1920,22.80875,-0.4284172058105469
178,1921,22.93475,-0.3024177551269531
179,1922,22.927334,-0.3098335266113281
180,1923,22.978416,-0.2587509155273437
181,1924,22.747583,-0.4895839691162109
182,1925,23.513,0.2758331298828125
183,1926,24.085417,0.8482494354248047
184,1927,23.419916,0.182748794555664
185,1928,23.3415,0.1043319702148437
186,1929,23.286667,0.04949951171875
187,1930,23.834417,0.5972499847412109
188,1931,22.77175,-0.4654178619384765
189,1932,23.466667,0.2294998168945312
190,1933,23.409416,0.1722488403320312
191,1934,23.272417,0.0352497100830078
192,1935,23.46325,0.2260818481445312
193,1936,23.787666,0.5504989624023438
194,1937,23.51,0.2728328704833984
195,1938,23.27425,0.0370826721191406
196,1939,23.422417,0.1852493286132812
197,1940,23.472584,0.2354164123535156
198,1941,23.07375,-0.1634178161621093
199,1942,22.684917,-0.5522499084472656
200,1943,22.92925,-0.3079166412353515
201,1944,24.14725,0.9100818634033204
202,1945,23.850166,0.6129989624023438
203,1946,23.199583,-0.0375843048095703
204,1947,23.020334,-0.2168331146240234
205,1948,23.748583,0.5114154815673828
206,1949,23.329916,0.0927486419677734
207,1950,23.434,0.1968326568603515
208,1951,23.428833,0.1916656494140625
209,1952,23.25425,0.0170822143554687
210,1953,23.838083,0.6009159088134766
211,1954,23.446083,0.2089157104492187
212,1955,23.24575,0.0085830688476562
213,1956,22.415833,-0.8213348388671875
214,1957,23.051584,-0.1855831146240234
215,1958,23.25825,0.0210819244384765
216,1959,23.535,0.2978324890136719
217,1960,23.072834,-0.1643333435058593
218,1961,24.013416,0.7762489318847656
219,1962,22.896084,-0.3410835266113281
220,1963,24.331,1.093832015991211
221,1964,23.098,-0.1391677856445312
222,1965,23.477667,0.2404994964599609
223,1966,23.542084,0.3049163818359375
224,1967,23.923084,0.6859169006347656
225,1968,23.507334,0.2701663970947265
226,1969,23.689333,0.4521656036376953
227,1970,23.750584,0.5134162902832031
228,1971,22.979334,-0.2578334808349609
229,1972,23.78225,0.5450820922851562
230,1973,23.5885,0.3513317108154297
231,1974,23.212166,-0.0250015258789062
232,1975,23.408667,0.1714992523193359
233,1976,22.964333,-0.2728347778320312
234,1977,24.15025,0.9130821228027344
235,1978,24.0815,0.8443317413330078
236,1979,23.407833,0.1706657409667968
237,1980,23.60025,0.3630828857421875
238,1981,23.6915,0.4543323516845703
239,1982,23.81025,0.5730819702148438
240,1983,23.199667,-0.0375003814697265
241,1984,23.673,0.4358329772949219
242,1985,24.013916,0.7767486572265625
243,1986,24.11475,0.8775825500488281
244,1987,23.522417,0.2852497100830078
245,1988,23.543917,0.3067493438720703
246,1989,23.372334,0.1351661682128906
247,1990,23.599417,0.3622493743896484
248,1991,24.115667,0.8784999847412109
249,1992,23.09075,-0.1464176177978515
250,1993,23.73425,0.4970817565917969
251,1994,24.470917,1.2337493896484375
252,1995,23.96375,0.7265834808349609
253,1996,23.414833,0.1776657104492187
254,1997,24.407417,1.1702499389648438
255,1998,23.41725,0.1800823211669922
256,1999,23.697584,0.4604167938232422
257,2000,23.626083,0.388916015625
258,2001,24.28825,1.0510826110839844
259,2002,24.759,1.521833419799805
260,2003,24.263834,1.0266666412353516
261,2004,23.8045,0.5673332214355469
262,2005,23.820084,0.582916259765625
263,2006,24.376583,1.1394157409667969
264,2007,23.726667,0.4895000457763672
265,2008,23.818333,0.5811653137207031
266,2009,24.188583,0.951416015625
267,2010,23.615417,0.3782501220703125
268,2011,23.9915,0.75433349609375
269,2012,24.46575,1.2285823822021484
270,2013,22.81775,-0.4194164276123047
