,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,18.94457,-0.98101806640625
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,19.662333,-0.2632560729980469
131,1874,19.576818,-0.3487701416015625
132,1875,19.068583,-0.8570060729980469
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,19.257572,-0.6680164337158203
138,1881,19.5439,-0.3816890716552734
139,1882,19.314083,-0.6115055084228516
140,1883,19.187,-0.7385883331298828
141,1884,19.075,-0.8505878448486328
142,1885,,
143,1886,19.111166,-0.814422607421875
144,1887,19.3877,-0.5378894805908203
145,1888,19.093624,-0.8319644927978516
146,1889,,
147,1890,,
148,1891,19.279083,-0.6465053558349609
149,1892,19.204,-0.721588134765625
150,1893,19.088667,-0.8369216918945312
151,1894,19.3585,-0.5670890808105469
152,1895,19.578,-0.3475894927978515
153,1896,19.753834,-0.1717548370361328
154,1897,19.61925,-0.3063392639160156
155,1898,19.2642,-0.6613883972167969
156,1899,19.495333,-0.4302558898925781
157,1900,20.01325,0.0876617431640625
158,1901,19.71475,-0.2108383178710937
159,1902,19.714417,-0.2111721038818359
160,1903,19.485584,-0.4400043487548828
161,1904,19.483084,-0.4425048828125
162,1905,19.94525,0.0196609497070312
163,1906,19.615084,-0.3105049133300781
164,1907,19.3715,-0.5540885925292969
165,1908,19.281834,-0.6437549591064453
166,1909,19.248,-0.6775894165039062
167,1910,19.133333,-0.7922554016113281
168,1911,19.58075,-0.3448390960693359
169,1912,19.7875,-0.1380882263183593
170,1913,19.688,-0.237588882446289
171,1914,19.868334,-0.0572547912597656
172,1915,20.069334,0.1437454223632812
173,1916,19.1755,-0.7500877380371094
174,1917,19.162083,-0.7635059356689453
175,1918,19.611334,-0.3142547607421875
176,1919,20.04825,0.1226615905761718
177,1920,19.673416,-0.2521724700927734
178,1921,19.392084,-0.5335044860839844
179,1922,19.653833,-0.2717552185058594
180,1923,19.6545,-0.2710895538330078
181,1924,19.5915,-0.3340892791748047
182,1925,19.66825,-0.2573394775390625
183,1926,20.1715,0.24591064453125
184,1927,19.808167,-0.1174221038818359
185,1928,19.971333,0.0457439422607421
186,1929,19.4925,-0.4330883026123047
187,1930,19.85975,-0.0658378601074218
188,1931,19.918833,-0.0067558288574218
189,1932,19.879417,-0.0461711883544921
190,1933,19.584084,-0.3415050506591797
191,1934,19.55325,-0.3723392486572265
192,1935,19.724667,-0.2009220123291015
193,1936,20.007833,0.082244873046875
194,1937,20.071667,0.1460781097412109
195,1938,19.703,-0.2225894927978515
196,1939,20.352583,0.4269943237304687
197,1940,20.372417,0.4468288421630859
198,1941,20.599916,0.6743278503417969
199,1942,20.06875,0.1431617736816406
200,1943,20.01075,0.0851612091064453
201,1944,20.048834,0.1232452392578125
202,1945,20.093082,0.1674938201904297
203,1946,20.023167,0.0975780487060546
204,1947,20.017584,0.0919952392578125
205,1948,20.06,0.1344108581542968
206,1949,19.851418,-0.0741710662841796
207,1950,19.584,-0.3415889739990234
208,1951,20.0065,0.080911636352539
209,1952,20.023167,0.0975780487060546
210,1953,20.261,0.3354110717773437
211,1954,19.800417,-0.1251716613769531
212,1955,19.696917,-0.2286720275878906
213,1956,19.511168,-0.4144210815429687
214,1957,20.264833,0.3392448425292969
215,1958,20.374083,0.4484939575195312
216,1959,20.14475,0.2191619873046875
217,1960,19.96925,0.0436611175537109
218,1961,20.0875,0.1619110107421875
219,1962,19.95425,0.0286617279052734
220,1963,20.148834,0.223245620727539
221,1964,19.953167,0.0275783538818359
222,1965,20.264917,0.3393287658691406
223,1966,20.240583,0.3149948120117187
224,1967,19.964,0.0384120941162109
225,1968,19.952667,0.027078628540039
226,1969,20.588833,0.6632442474365234
227,1970,20.141333,0.2157440185546875
228,1971,19.80325,-0.1223392486572265
229,1972,20.532,0.6064109802246094
230,1973,20.1495,0.2239112854003906
231,1974,19.729334,-0.1962547302246093
232,1975,19.78025,-0.1453380584716797
233,1976,19.877916,-0.0476722717285156
234,1977,20.18075,0.2551612854003906
235,1978,20.083,0.1574115753173828
236,1979,20.233166,0.3075771331787109
237,1980,20.332582,0.4069938659667969
238,1981,20.043417,0.117828369140625
239,1982,20.270584,0.3449954986572265
240,1983,21.088917,1.1633281707763672
241,1984,20.1245,0.1989116668701172
242,1985,20.03175,0.1061611175537109
243,1986,20.1345,0.2089118957519531
244,1987,20.86725,0.9416618347167968
245,1988,20.250084,0.3244953155517578
246,1989,20.017166,0.0915775299072265
247,1990,20.233084,0.3074951171875
248,1991,20.50425,0.5786609649658203
249,1992,20.836584,0.9109954833984376
250,1993,20.5025,0.5769119262695312
251,1994,20.530582,0.6049938201904297
252,1995,20.686,0.7604122161865234
253,1996,20.115,0.1894111633300781
254,1997,20.936583,1.0109939575195312
255,1998,21.181833,1.256244659423828
256,1999,20.06775,0.1421623229980468
257,2000,20.231916,0.3063278198242187
258,2001,20.22575,0.3001613616943359
259,2002,20.536,0.6104106903076172
260,2003,20.485584,0.5599956512451172
261,2004,20.443083,0.5174942016601562
262,2005,20.450583,0.524993896484375
263,2006,20.541,0.6154117584228516
264,2007,20.191668,0.2660789489746094
265,2008,20.226418,0.3008289337158203
266,2009,20.523083,0.5974941253662109
267,2010,20.5845,0.6589107513427734
268,2011,20.284082,0.3584938049316406
269,2012,20.46,0.5344104766845703
270,2013,19.97625,0.0506610870361328
