,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,26.065332,-0.3800048828125
111,1854,26.21325,-0.2320880889892578
112,1855,26.03375,-0.4115867614746094
113,1856,25.664083,-0.7812538146972656
114,1857,25.7695,-0.6758365631103516
115,1858,25.929083,-0.5162544250488281
116,1859,26.174545,-0.270792007446289
117,1860,25.923334,-0.522003173828125
118,1861,25.788416,-0.65692138671875
119,1862,,
120,1863,,
121,1864,,
122,1865,26.106909,-0.3384284973144531
123,1866,26.065584,-0.3797531127929687
124,1867,26.245909,-0.1994285583496093
125,1868,26.264833,-0.1805038452148437
126,1869,26.302584,-0.1427536010742187
127,1870,26.129667,-0.3156700134277344
128,1871,26.017584,-0.4277534484863281
129,1872,26.140583,-0.3047542572021484
130,1873,26.133083,-0.3122539520263672
131,1874,26.314417,-0.13092041015625
132,1875,25.85725,-0.5880870819091797
133,1876,25.746,-0.6993370056152344
134,1877,26.390333,-0.0550041198730468
135,1878,26.605083,0.1597461700439453
136,1879,26.053083,-0.3922538757324219
137,1880,25.85025,-0.5950870513916016
138,1881,25.81275,-0.6325874328613281
139,1882,26.064167,-0.3811702728271484
140,1883,25.953917,-0.4914207458496094
141,1884,25.4485,-0.9968376159667968
142,1885,25.815584,-0.6297531127929688
143,1886,25.460667,-0.984670639038086
144,1887,25.529667,-0.9156703948974608
145,1888,26.200916,-0.2444210052490234
146,1889,26.229084,-0.2162532806396484
147,1890,25.793667,-0.6516704559326172
148,1891,25.911667,-0.5336704254150391
149,1892,25.876167,-0.5691699981689453
150,1893,25.796333,-0.6490039825439453
151,1894,25.8365,-0.6088371276855469
152,1895,25.8025,-0.6428375244140625
153,1896,25.927668,-0.517669677734375
154,1897,26.439,-0.0063381195068359
155,1898,26.116583,-0.3287544250488281
156,1899,25.94125,-0.5040874481201172
157,1900,26.251333,-0.1940040588378906
158,1901,26.058167,-0.3871707916259765
159,1902,26.036333,-0.4090042114257812
160,1903,26.223583,-0.2217540740966797
161,1904,25.747667,-0.6976699829101562
162,1905,26.061,-0.3843364715576172
163,1906,26.19625,-0.2490863800048828
164,1907,25.97875,-0.4665870666503906
165,1908,26.121666,-0.3236713409423828
166,1909,26.162666,-0.2826709747314453
167,1910,26.126583,-0.3187541961669922
168,1911,26.04575,-0.3995876312255859
169,1912,26.387,-0.0583381652832031
170,1913,26.135416,-0.3099212646484375
171,1914,26.437,-0.0083370208740234
172,1915,26.707333,0.2619953155517578
173,1916,26.099,-0.3463363647460937
174,1917,26.01425,-0.4310874938964844
175,1918,25.749166,-0.6961708068847656
176,1919,26.355417,-0.0899200439453125
177,1920,26.2745,-0.17083740234375
178,1921,26.2185,-0.226837158203125
179,1922,26.348083,-0.0972537994384765
180,1923,26.092417,-0.3529205322265625
181,1924,26.232166,-0.2131710052490234
182,1925,26.148417,-0.2969207763671875
183,1926,26.282167,-0.1631698608398437
184,1927,26.39675,-0.0485877990722656
185,1928,26.423666,-0.0216712951660156
186,1929,26.074083,-0.3712539672851562
187,1930,26.427334,-0.0180034637451171
188,1931,26.612417,0.1670799255371093
189,1932,26.206417,-0.2389202117919922
190,1933,26.361917,-0.0834197998046875
191,1934,26.044416,-0.4009208679199219
192,1935,26.305584,-0.1397533416748047
193,1936,26.35325,-0.0920867919921875
194,1937,26.511,0.0656623840332031
195,1938,26.302834,-0.1425037384033203
196,1939,26.371166,-0.0741710662841796
197,1940,26.419416,-0.0259208679199218
198,1941,26.787582,0.3422451019287109
199,1942,26.596167,0.1508293151855468
200,1943,26.269583,-0.1757545471191406
201,1944,26.425583,-0.019754409790039
202,1945,26.331333,-0.1140041351318359
203,1946,26.755667,0.3103294372558594
204,1947,26.88775,0.442413330078125
205,1948,26.60575,0.1604118347167968
206,1949,26.553167,0.1078300476074218
207,1950,26.532167,0.0868301391601562
208,1951,26.737,0.2916622161865234
209,1952,26.770334,0.3249969482421875
210,1953,26.849083,0.4037456512451172
211,1954,26.799917,0.3545799255371094
212,1955,26.561167,0.1158294677734375
213,1956,26.537333,0.0919952392578125
214,1957,26.844,0.3986625671386719
215,1958,26.914333,0.4689960479736328
216,1959,26.828083,0.3827457427978515
217,1960,26.8445,0.3991622924804687
218,1961,26.6955,0.250162124633789
219,1962,26.626167,0.1808300018310547
220,1963,26.485332,0.0399951934814453
221,1964,26.719084,0.2737464904785156
222,1965,26.560667,0.1153297424316406
223,1966,26.963583,0.5182456970214844
224,1967,26.57375,0.1284122467041015
225,1968,26.71375,0.2684135437011719
226,1969,27.018084,0.5727462768554688
227,1970,27.001333,0.5559959411621094
228,1971,26.39975,-0.0455875396728515
229,1972,26.772083,0.3267459869384765
230,1973,26.988583,0.5432453155517578
231,1974,26.631834,0.1864967346191406
232,1975,26.726,0.2806625366210937
233,1976,26.571,0.1256618499755859
234,1977,26.8245,0.3791618347167969
235,1978,26.664333,0.2189960479736328
236,1979,26.83225,0.3869132995605469
237,1980,26.771,0.325662612915039
238,1981,26.830084,0.3847465515136719
239,1982,26.751583,0.3062458038330078
240,1983,27.103416,0.6580791473388672
241,1984,26.669083,0.2237453460693359
242,1985,26.902834,0.4574966430664062
243,1986,26.79125,0.3459129333496094
244,1987,27.301916,0.8565788269042969
245,1988,27.190083,0.7447452545166016
246,1989,26.732166,0.2868289947509765
247,1990,26.932333,0.4869956970214844
248,1991,26.793417,0.3480796813964844
249,1992,26.9015,0.4561634063720703
250,1993,26.846333,0.4009952545166015
251,1994,26.831333,0.385995864868164
252,1995,26.826416,0.3810787200927734
253,1996,26.887917,0.4425792694091797
254,1997,26.976334,0.5309963226318359
255,1998,27.779417,1.3340797424316406
256,1999,26.92575,0.4804134368896484
257,2000,27.00975,0.5644130706787109
258,2001,27.10425,0.6589126586914062
259,2002,27.083166,0.6378288269042969
260,2003,27.014833,0.5694961547851562
261,2004,27.089834,0.6444969177246094
262,2005,27.144333,0.6989955902099609
263,2006,27.178083,0.7327461242675781
264,2007,27.162,0.7166633605957031
265,2008,26.87575,0.4304122924804687
266,2009,27.00875,0.5634136199951172
267,2010,27.3565,0.911163330078125
268,2011,26.785917,0.3405799865722656
269,2012,27.148916,0.7035789489746094
270,2013,27.41675,0.9714126586914062
