,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.269182,-0.1823635101318359
82,1825,25.526333,0.0747871398925781
83,1826,25.3267,-0.1248455047607421
84,1827,25.523273,0.0717277526855468
85,1828,25.571909,0.1203632354736328
86,1829,24.8932,-0.5583457946777344
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,24.782223,-0.6693229675292969
103,1846,25.33875,-0.1127948760986328
104,1847,24.945833,-0.5057125091552734
105,1848,24.85,-0.6015453338623047
106,1849,24.995333,-0.4562129974365234
107,1850,25.015083,-0.43646240234375
108,1851,25.13925,-0.312295913696289
109,1852,24.823,-0.6285457611083984
110,1853,25.096083,-0.3554630279541015
111,1854,25.024834,-0.4267120361328125
112,1855,25.205667,-0.2458782196044922
113,1856,25.431667,-0.0198783874511718
114,1857,24.656416,-0.7951297760009766
115,1858,24.641333,-0.8102130889892578
116,1859,24.812916,-0.6386299133300781
117,1860,24.834833,-0.6167125701904297
118,1861,25.041916,-0.4096298217773437
119,1862,24.9195,-0.5320453643798828
120,1863,25.0735,-0.3780460357666015
121,1864,24.944584,-0.5069618225097656
122,1865,25.195583,-0.2559623718261719
123,1866,24.926332,-0.5252132415771484
124,1867,25.00975,-0.4417953491210937
125,1868,25.2655,-0.1860466003417968
126,1869,25.351833,-0.0997123718261718
127,1870,25.094418,-0.3571281433105469
128,1871,25.233667,-0.2178783416748047
129,1872,25.268084,-0.1834621429443359
130,1873,24.969667,-0.4818782806396484
131,1874,24.93075,-0.5207958221435547
132,1875,24.96575,-0.4857959747314453
133,1876,25.2265,-0.225046157836914
134,1877,25.63925,0.1877040863037109
135,1878,25.739584,0.2880382537841797
136,1879,25.149166,-0.3023796081542969
137,1880,25.001667,-0.4498786926269531
138,1881,24.987,-0.4645462036132812
139,1882,24.802334,-0.6492118835449219
140,1883,24.780416,-0.6711292266845703
141,1884,24.72975,-0.7217960357666016
142,1885,25.111917,-0.3396282196044922
143,1886,24.77375,-0.67779541015625
144,1887,24.635834,-0.8157119750976562
145,1888,24.973583,-0.4779624938964844
146,1889,25.258083,-0.1934623718261718
147,1890,24.887583,-0.5639629364013672
148,1891,25.172667,-0.278879165649414
149,1892,25.046417,-0.4051284790039062
150,1893,24.88925,-0.5622959136962891
151,1894,24.90025,-0.5512962341308594
152,1895,25.16075,-0.2907962799072265
153,1896,25.225834,-0.2257118225097656
154,1897,25.437416,-0.014129638671875
155,1898,25.264166,-0.1873798370361328
156,1899,25.087833,-0.3637123107910156
157,1900,25.370083,-0.0814628601074218
158,1901,25.57025,0.1187038421630859
159,1902,25.279833,-0.1717128753662109
160,1903,25.373833,-0.0777130126953125
161,1904,24.859417,-0.5921287536621094
162,1905,25.47,0.0184535980224609
163,1906,25.275667,-0.1758785247802734
164,1907,24.901917,-0.5496292114257812
165,1908,25.14825,-0.3032951354980469
166,1909,25.04525,-0.4062957763671875
167,1910,24.908083,-0.5434627532958984
168,1911,25.178833,-0.2727127075195312
169,1912,25.411083,-0.0404624938964843
170,1913,24.76725,-0.684295654296875
171,1914,25.295834,-0.1557121276855468
172,1915,25.657167,0.2056217193603515
173,1916,25.132416,-0.3191299438476562
174,1917,24.83475,-0.6167964935302734
175,1918,25.023916,-0.4276294708251953
176,1919,25.397,-0.0545463562011718
177,1920,25.395166,-0.0563793182373046
178,1921,25.06725,-0.3842964172363281
179,1922,24.793,-0.6585464477539062
180,1923,25.056168,-0.3953781127929687
181,1924,25.437916,-0.0136299133300781
182,1925,25.159666,-0.291879653930664
183,1926,25.662083,0.2105369567871093
184,1927,25.515667,0.0641212463378906
185,1928,25.54675,0.0952033996582031
186,1929,25.251333,-0.2002124786376953
187,1930,25.46925,0.0177040100097656
188,1931,25.787083,0.3355369567871094
189,1932,25.617916,0.1663703918457031
190,1933,25.313334,-0.1382122039794922
191,1934,25.231417,-0.2201290130615234
192,1935,25.085667,-0.3658790588378906
193,1936,25.396166,-0.0553798675537109
194,1937,25.532,0.080453872680664
195,1938,25.106,-0.3455448150634765
196,1939,25.278584,-0.1729621887207031
197,1940,25.754917,0.3033714294433594
198,1941,25.914667,0.4631214141845703
199,1942,25.985666,0.5341205596923828
200,1943,25.474583,0.0230369567871093
201,1944,25.455667,0.0041217803955078
202,1945,25.22175,-0.2297954559326172
203,1946,25.381416,-0.07012939453125
204,1947,25.735,0.2834548950195312
205,1948,25.783333,0.331787109375
206,1949,25.288084,-0.163461685180664
207,1950,25.108334,-0.3432121276855469
208,1951,25.595083,0.1435375213623047
209,1952,25.776917,0.3253707885742187
210,1953,25.78575,0.3342037200927734
211,1954,25.464582,0.0130367279052734
212,1955,25.465918,0.0143718719482421
213,1956,25.370916,-0.0806293487548828
214,1957,25.784834,0.3332881927490234
215,1958,26.090416,0.6388702392578125
216,1959,25.915083,0.4635372161865234
217,1960,26.065416,0.6138706207275391
218,1961,25.687084,0.2355384826660156
219,1962,25.657084,0.2055377960205078
220,1963,25.93725,0.4857044219970703
221,1964,25.792917,0.3413715362548828
222,1965,25.376833,-0.0747127532958984
223,1966,25.626333,0.1747875213623047
224,1967,25.35425,-0.0972957611083984
225,1968,25.419,-0.0325450897216796
226,1969,25.995333,0.5437870025634766
227,1970,25.6975,0.2459545135498047
228,1971,25.361917,-0.0896282196044921
229,1972,25.5705,0.1189537048339843
230,1973,25.716417,0.264871597290039
231,1974,25.279583,-0.1719627380371093
232,1975,25.346916,-0.1046295166015625
233,1976,25.285166,-0.1663799285888672
234,1977,25.778,0.3264541625976562
235,1978,25.83975,0.3882045745849609
236,1979,25.73825,0.2867050170898437
237,1980,26.19975,0.7482051849365234
238,1981,26.144333,0.6927871704101562
239,1982,25.749666,0.2981204986572265
240,1983,26.194084,0.7425384521484375
241,1984,25.64425,0.1927051544189453
242,1985,25.587084,0.135538101196289
243,1986,25.694584,0.2430381774902343
244,1987,26.293333,0.8417873382568359
245,1988,25.961416,0.5098705291748047
246,1989,25.617416,0.1658706665039062
247,1990,25.93975,0.4882049560546875
248,1991,25.879667,0.4281215667724609
249,1992,25.899166,0.4476203918457031
250,1993,26.014833,0.5632877349853516
251,1994,26.130083,0.6785373687744141
252,1995,26.256584,0.8050384521484375
253,1996,25.8585,0.4069538116455078
254,1997,26.316,0.8644542694091797
255,1998,26.633083,1.181537628173828
256,1999,26.052584,0.6010379791259766
257,2000,25.7865,0.3349552154541015
258,2001,26.27025,0.8187046051025391
259,2002,26.482,1.0304546356201172
260,2003,26.510666,1.0591201782226562
261,2004,26.0995,0.6479549407958984
262,2005,26.429667,0.9781208038330078
263,2006,26.45225,1.0007038116455078
264,2007,26.617834,1.1662883758544922
265,2008,26.098333,0.6467876434326172
266,2009,26.338,0.8864536285400391
267,2010,26.63825,1.1867046356201172
268,2011,26.220833,0.769287109375
269,2012,26.469584,1.0180377960205078
270,2013,26.283222,0.8316764831542969
