,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,26.247091,-0.5682163238525391
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,26.076916,-0.7383918762207031
106,1849,26.289917,-0.525390625
107,1850,25.90675,-0.9085578918457032
108,1851,26.542084,-0.273223876953125
109,1852,26.408916,-0.4063911437988281
110,1853,26.364584,-0.450723648071289
111,1854,26.240583,-0.5747241973876953
112,1855,26.436333,-0.3789749145507812
113,1856,26.1075,-0.7078075408935547
114,1857,25.852667,-0.9626407623291016
115,1858,26.4855,-0.3298072814941406
116,1859,26.526917,-0.28839111328125
117,1860,26.40075,-0.4145584106445312
118,1861,25.79725,-1.018056869506836
119,1862,25.47675,-1.3385581970214844
120,1863,25.939667,-0.875640869140625
121,1864,26.345833,-0.4694747924804687
122,1865,26.597,-0.2183074951171875
123,1866,26.35575,-0.4595584869384765
124,1867,26.682,-0.1333084106445312
125,1868,26.571083,-0.2442245483398437
126,1869,26.783333,-0.0319747924804687
127,1870,26.51575,-0.2995567321777344
128,1871,26.375166,-0.4401416778564453
129,1872,26.421667,-0.3936405181884765
130,1873,26.716917,-0.0983905792236328
131,1874,26.526,-0.2893085479736328
132,1875,26.253084,-0.5622234344482422
133,1876,26.424833,-0.3904743194580078
134,1877,26.900667,0.0853595733642578
135,1878,26.89075,0.0754432678222656
136,1879,26.536167,-0.2791404724121094
137,1880,26.346416,-0.4688911437988281
138,1881,27.102917,0.2876091003417969
139,1882,26.266916,-0.5483913421630859
140,1883,26.684,-0.1313076019287109
141,1884,26.396833,-0.4184741973876953
142,1885,26.428167,-0.3871402740478515
143,1886,26.640333,-0.1749744415283203
144,1887,26.325916,-0.4893913269042969
145,1888,26.62775,-0.1875572204589843
146,1889,26.931833,0.116525650024414
147,1890,26.489,-0.3263072967529297
148,1891,26.777416,-0.0378913879394531
149,1892,26.794916,-0.0203914642333984
150,1893,26.708666,-0.1066417694091796
151,1894,26.373917,-0.4413909912109375
152,1895,26.28375,-0.5315570831298828
153,1896,26.447332,-0.3679752349853515
154,1897,26.40875,-0.4065570831298828
155,1898,26.241917,-0.5733909606933594
156,1899,26.712,-0.1033077239990234
157,1900,26.736834,-0.0784740447998046
158,1901,26.938084,0.1227760314941406
159,1902,26.86925,0.0539417266845703
160,1903,26.139833,-0.6754741668701172
161,1904,26.668917,-0.1463909149169922
162,1905,26.539083,-0.276224136352539
163,1906,26.4735,-0.3418083190917969
164,1907,26.262,-0.5533084869384766
165,1908,26.590666,-0.2246417999267578
166,1909,26.932917,0.1176090240478515
167,1910,26.141417,-0.6738910675048828
168,1911,25.7435,-1.071807861328125
169,1912,26.4545,-0.3608074188232422
170,1913,26.486166,-0.329141616821289
171,1914,26.673416,-0.1418914794921875
172,1915,26.978582,0.1632747650146484
173,1916,26.237333,-0.5779743194580078
174,1917,26.433666,-0.3816413879394531
175,1918,26.197916,-0.6173915863037109
176,1919,26.675,-0.1403083801269531
177,1920,26.577333,-0.2379741668701172
178,1921,26.446083,-0.3692245483398437
179,1922,26.93475,0.1194419860839843
180,1923,26.524166,-0.2911415100097656
181,1924,27.229416,0.4141082763671875
182,1925,26.466417,-0.3488903045654297
183,1926,26.771584,-0.0437240600585937
184,1927,26.613333,-0.201974868774414
185,1928,26.656918,-0.1583900451660156
186,1929,26.782667,-0.0326404571533203
187,1930,26.700916,-0.1143913269042968
188,1931,26.735167,-0.0801410675048828
189,1932,26.41925,-0.39605712890625
190,1933,26.177584,-0.6377239227294922
191,1934,26.405416,-0.409891128540039
192,1935,26.888166,0.0728588104248046
193,1936,26.489166,-0.326141357421875
194,1937,26.452667,-0.362640380859375
195,1938,26.6795,-0.1358070373535156
196,1939,26.529417,-0.2858905792236328
197,1940,26.928417,0.1131095886230468
198,1941,26.9425,0.1271915435791015
199,1942,27.083834,0.2685260772705078
200,1943,26.622334,-0.1929740905761718
201,1944,27.044666,0.2293586730957031
202,1945,26.679832,-0.1354751586914062
203,1946,27.252083,0.4367752075195312
204,1947,27.448334,0.633026123046875
205,1948,26.614084,-0.2012233734130859
206,1949,26.396,-0.4193077087402344
207,1950,26.293,-0.522308349609375
208,1951,27.114,0.2986927032470703
209,1952,26.95225,0.136941909790039
210,1953,27.02925,0.2139415740966797
211,1954,27.227583,0.4122753143310547
212,1955,26.889416,0.0741081237792968
213,1956,26.610834,-0.2044734954833984
214,1957,26.527916,-0.2873916625976562
215,1958,27.122334,0.3070259094238281
216,1959,26.27475,-0.540557861328125
217,1960,27.045918,0.2306098937988281
218,1961,26.697916,-0.1173915863037109
219,1962,27.160667,0.3453598022460937
220,1963,26.8975,0.0821914672851562
221,1964,26.258833,-0.5564746856689453
222,1965,27.068167,0.2528591156005859
223,1966,27.210583,0.3952751159667969
224,1967,26.55975,-0.2555580139160156
225,1968,26.698334,-0.116973876953125
226,1969,27.49025,0.6749420166015625
227,1970,27.28725,0.4719429016113281
228,1971,26.64275,-0.1725578308105468
229,1972,26.354666,-0.460641860961914
230,1973,26.933916,0.1186084747314453
231,1974,26.8715,0.056192398071289
232,1975,26.657,-0.1583080291748047
233,1976,26.619167,-0.1961402893066406
234,1977,27.519833,0.7045249938964844
235,1978,27.088667,0.2733592987060547
236,1979,27.527834,0.7125263214111328
237,1980,27.436583,0.6212749481201172
238,1981,27.375,0.5596923828125
239,1982,26.271,-0.5443077087402344
240,1983,26.404,-0.4113082885742187
241,1984,26.770584,-0.0447235107421875
242,1985,26.974083,0.1587753295898437
243,1986,27.204166,0.3888587951660156
244,1987,27.37975,0.5644416809082031
245,1988,27.37625,0.5609416961669922
246,1989,26.75325,-0.0620574951171875
247,1990,27.320333,0.5050258636474609
248,1991,26.71975,-0.0955581665039062
249,1992,26.147417,-0.6678905487060547
250,1993,27.04975,0.2344417572021484
251,1994,27.529583,0.7142753601074219
252,1995,27.103083,0.2877750396728515
253,1996,27.608084,0.7927761077880859
254,1997,27.157917,0.3426094055175781
255,1998,28.424833,1.6095256805419922
256,1999,28.567,1.751691818237305
257,2000,27.993,1.177692413330078
258,2001,28.305666,1.4903583526611328
259,2002,28.1855,1.3701915740966797
260,2003,28.325083,1.509775161743164
261,2004,28.140417,1.3251094818115234
262,2005,28.013083,1.197774887084961
263,2006,28.071417,1.2561092376708984
264,2007,28.170416,1.3551082611083984
265,2008,27.865334,1.0500259399414062
266,2009,28.1225,1.3071918487548828
267,2010,28.889584,2.0742759704589844
268,2011,28.1615,1.3461933135986328
269,2012,28.4845,1.6691932678222656
270,2013,28.57375,1.758441925048828
