,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,23.011091,-0.2856769561767578
45,1788,21.755375,-1.5413932800292969
46,1789,22.763636,-0.5331325531005859
47,1790,22.843416,-0.4533519744873047
48,1791,23.342833,0.0460643768310546
49,1792,23.583778,0.2870101928710937
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,22.240143,-1.0566253662109375
61,1804,23.7612,0.4644317626953125
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,22.713667,-0.5831012725830078
111,1854,22.760916,-0.5358524322509766
112,1855,22.443583,-0.8531856536865234
113,1856,22.421167,-0.8756008148193359
114,1857,22.293083,-1.0036849975585938
115,1858,22.748,-0.5487689971923828
116,1859,22.887,-0.409769058227539
117,1860,23.036,-0.2607688903808594
118,1861,23.002333,-0.2944355010986328
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,23.00125,-0.2955188751220703
147,1890,22.349728,-0.947040557861328
148,1891,22.545084,-0.7516841888427734
149,1892,22.617167,-0.6796016693115234
150,1893,22.537167,-0.7596015930175781
151,1894,22.870083,-0.4266853332519531
152,1895,22.8565,-0.4402675628662109
153,1896,22.90375,-0.3930187225341797
154,1897,23.102917,-0.1938514709472656
155,1898,22.991333,-0.3054351806640625
156,1899,22.878,-0.4187679290771484
157,1900,23.265167,-0.0316009521484375
158,1901,23.346582,0.049814224243164
159,1902,23.147333,-0.1494350433349609
160,1903,22.86875,-0.428018569946289
161,1904,22.6715,-0.6252689361572266
162,1905,23.054,-0.242767333984375
163,1906,23.09525,-0.2015190124511718
164,1907,22.766167,-0.5306015014648438
165,1908,22.92925,-0.3675174713134765
166,1909,22.858418,-0.4383506774902344
167,1910,22.903418,-0.393350601196289
168,1911,22.886168,-0.4106006622314453
169,1912,23.150667,-0.1461009979248047
170,1913,22.8905,-0.4062690734863281
171,1914,23.29975,0.0029811859130859
172,1915,23.373667,0.0768985748291015
173,1916,23.069334,-0.2274341583251953
174,1917,22.660833,-0.6359348297119141
175,1918,22.711166,-0.585601806640625
176,1919,23.31475,0.0179824829101562
177,1920,22.8005,-0.4962673187255859
178,1921,22.879,-0.4177684783935547
179,1922,22.77775,-0.5190181732177734
180,1923,23.144583,-0.1521854400634765
181,1924,22.926332,-0.3704357147216797
182,1925,23.260084,-0.0366840362548828
183,1926,23.511417,0.2146492004394531
184,1927,22.975416,-0.3213520050048828
185,1928,23.15975,-0.1370182037353515
186,1929,23.00475,-0.2920188903808594
187,1930,23.045666,-0.2511024475097656
188,1931,23.441334,0.1445655822753906
189,1932,23.058834,-0.2379341125488281
190,1933,23.1695,-0.127267837524414
191,1934,23.0275,-0.2692680358886719
192,1935,23.229,-0.0677680969238281
193,1936,23.344917,0.0481491088867187
194,1937,23.389334,0.0925655364990234
195,1938,23.209833,-0.0869350433349609
196,1939,23.41825,0.1214809417724609
197,1940,23.5055,0.2087326049804687
198,1941,23.62425,0.3274822235107422
199,1942,23.245083,-0.0516853332519531
200,1943,22.8625,-0.4342689514160156
201,1944,23.439083,0.1423149108886718
202,1945,23.36225,0.0654811859130859
203,1946,23.483667,0.186899185180664
204,1947,23.276083,-0.0206851959228515
205,1948,23.478416,0.1816482543945312
206,1949,23.354334,0.057565689086914
207,1950,23.069416,-0.2273521423339843
208,1951,23.203667,-0.0931015014648437
209,1952,23.439333,0.1425647735595703
210,1953,23.392916,0.0961475372314453
211,1954,23.564667,0.2678985595703125
212,1955,23.207666,-0.0891017913818359
213,1956,23.1905,-0.1062679290771484
214,1957,23.274666,-0.0221023559570312
215,1958,23.366417,0.0696487426757812
216,1959,23.127583,-0.1691856384277343
217,1960,23.20025,-0.0965175628662109
218,1961,23.978916,0.6821479797363281
219,1962,23.085167,-0.2116012573242187
220,1963,22.96475,-0.3320178985595703
221,1964,22.9185,-0.3782672882080078
222,1965,22.927834,-0.3689346313476562
223,1966,23.41025,0.1134815216064453
224,1967,23.5575,0.2607326507568359
225,1968,23.0415,-0.2552680969238281
226,1969,23.876333,0.5795650482177734
227,1970,23.50875,0.2119827270507812
228,1971,23.082167,-0.2146015167236328
229,1972,23.586166,0.289398193359375
230,1973,23.545918,0.2491493225097656
231,1974,22.952667,-0.3441009521484375
232,1975,23.321,0.02423095703125
233,1976,23.6035,0.306732177734375
234,1977,23.915083,0.6183147430419922
235,1978,23.759583,0.4628143310546875
236,1979,23.693832,0.397064208984375
237,1980,23.678,0.3812313079833984
238,1981,23.548916,0.2521476745605469
239,1982,23.472584,0.1758155822753906
240,1983,23.585833,0.2890644073486328
241,1984,23.320833,0.0240650177001953
242,1985,23.466833,0.1700649261474609
243,1986,23.4085,0.1117324829101562
244,1987,24.02675,0.7299823760986328
245,1988,23.847334,0.5505657196044922
246,1989,23.5765,0.2797317504882812
247,1990,23.54225,0.2454814910888672
248,1991,23.922333,0.6255645751953125
249,1992,23.749,0.4522323608398437
250,1993,23.769167,0.4723987579345703
251,1994,23.994917,0.6981487274169922
252,1995,23.856583,0.559814453125
253,1996,23.732834,0.436065673828125
254,1997,23.860916,0.56414794921875
255,1998,24.225916,0.929147720336914
256,1999,23.891333,0.5945644378662109
257,2000,23.881416,0.5846481323242188
258,2001,24.273417,0.9766483306884766
259,2002,24.145334,0.8485660552978516
260,2003,24.197,0.9002323150634766
261,2004,24.085417,0.7886486053466797
262,2005,23.909834,0.6130657196044922
263,2006,24.049084,0.7523155212402344
264,2007,24.026667,0.7298984527587891
265,2008,23.93075,0.6339817047119141
266,2009,24.269,0.9722309112548828
267,2010,24.373917,1.0771484375
268,2011,24.3805,1.0837326049804688
269,2012,24.178,0.8812313079833984
270,2013,24.269125,0.9723567962646484
